Token ID	Token	Lemma	POS	Sense	Token ID IT	Token IT	Lemma IT	POS IT	Sense IT
d001.s002.t029	medicine	medicine	N	bn:00054128n	i001.s002.t024	medicinale	medicinale	NOUN	bn:00054128n
d001.s002.t028	the		X		i001.s002.t024	medicinale	medicinale	NOUN	
d001.s002.t019	,		X		i001.s002.t025	.	.	PUNCT	
d001.s002.t030	.		X		i001.s002.t025	.	.	PUNCT	
d001.s003.t001	If		X		i001.s003.t001	Se	se	SCONJ	
d001.s003.t002	you		X		i001.s003.t002	hai	avere	VERB	
d001.s003.t003	need	need	V	bn:00091028v	i001.s003.t003	bisogno	bisogno	NOUN	bn:00091028v
d001.s003.t004	more	more	J	bn:00106935a	i001.s003.t005	maggiori	maggiore	ADJ	bn:00106935a
d001.s003.t005	information	information	N	bn:00025314n	i001.s003.t006	informazioni	informazione	NOUN	bn:00025314n
d001.s003.t006	about		X		i001.s003.t007	sulla	su il	ADP	
d001.s003.t007	your		X		i001.s003.t008	tua	tuo	DET	
d001.s003.t009	condition	condition	N	bn:00021648n	i001.s003.t009	condizione	condizione	NOUN	bn:00021648n
d001.s003.t008	medical	medical	J	bn:00106555a	i001.s003.t010	medica	medico	ADJ	bn:00106555a
d001.s003.t010	or		X		i001.s003.t011	o	o	CCONJ	
d001.s003.t011	your		X		i001.s003.t012	sul	su il	ADP	
d001.s003.t012	treatment	treatment	N	bn:00047235n	i001.s003.t013	trattamento	trattamento	NOUN	bn:00047235n
d001.s003.t013	,		X		i001.s003.t014	,	,	PUNCT	
d001.s003.t014	read	read	V	bn:00092424v	i001.s003.t015	leggi	legge	NOUN	bn:00092424v
d001.s003.t015	the		X		i001.s003.t016	il	il	DET	
d001.s003.t017	Leaflet	leaflet	N	bn:00012133n	i001.s003.t017➕i001.s003.t018	foglio➕illustrativo	foglio	NOUN➕ADJ	bn:00012133n
d001.s003.t018	(		X		i001.s003.t019	(	(	PUNCT	
d001.s003.t019	also	also	R	bn:00114246r	i001.s003.t020	accluso	accluso	VERB	bn:00114246r
d001.s003.t022	the		X		i001.s003.t021	all&#39;EPAR	all&#39;EPAR	NUM	
d001.s003.t023	EPAR	epar	N		i001.s003.t021	all&#39;EPAR	all&#39;EPAR	NUM	
d001.s003.t024	)		X		i001.s003.t022	)	)	PUNCT	
d001.s003.t025	or		X		i001.s003.t023	oppure	oppure	CCONJ	
d001.s003.t026	contact	contact	V	bn:00085696v	i001.s003.t024	contatta	contattare	VERB	bn:00085696v
d001.s003.t027	your		X		i001.s003.t026	tuo	tuo	DET	
d001.s003.t028	doctor	doctor	N	bn:00027976n	i001.s003.t027	medico	medico	NOUN	bn:00027976n
d001.s003.t029	or		X		i001.s003.t028	o	o	CCONJ	
d001.s003.t030	pharmacist	pharmacist	N	bn:00004992n	i001.s003.t029	farmacista	farmacista	NOUN	bn:00004992n
d001.s003.t031	.		X		i001.s003.t030	.	.	PUNCT	
d001.s004.t001	If		X		i001.s004.t001	Se	se	SCONJ	
d001.s004.t003	want	want	V	bn:00086682v	i001.s004.t002	desideri	desiderare	VERB	bn:00086682v
d001.s004.t004	more	more	J	bn:00106935a	i001.s004.t003	maggiori	maggiore	ADJ	bn:00106935a
d001.s004.t005	information	information	N	bn:00025314n	i001.s004.t004	informazioni	informazione	NOUN	bn:00025314n
d001.s004.t006	on		X		i001.s004.t005	sulla	su il	ADP	
d001.s004.t008	basis	basis	N	bn:00008786n	i001.s004.t006	base	base	NOUN	bn:00008786n
d001.s004.t007	the		X		i001.s004.t007	delle	di il	ADP	
d001.s004.t012	recommendations	recommendation	N	bn:00066562n	i001.s004.t008	raccomandazioni	raccomandazione	NOUN	bn:00066562n
d001.s004.t010	the		X		i001.s004.t008	raccomandazioni	raccomandazione	NOUN	
d001.s004.t009	of		X		i001.s004.t009	del	di il	ADP	
d001.s004.t011	CHMP	chmp	N	bn:00302314n	i001.s004.t010	CHMP	CHMP	PROPN	bn:00302314n
d001.s004.t013	,		X		i001.s004.t011	,	,	PUNCT	
d001.s004.t014	read	read	V	bn:00092424v	i001.s004.t012	leggi	legge	NOUN	bn:00092424v
d001.s004.t015	the		X		i001.s004.t013	la	il	DET	
d001.s004.t017	Discussion	discussion	N	bn:00027523n	i001.s004.t014	discussione	discussione	NOUN	bn:00027523n
d001.s004.t016	Scientific	scientific	J	bn:00110175a	i001.s004.t015	scientifica	scientifico	ADJ	bn:00110175a
d001.s004.t022	the		X		i001.s004.t015	scientifica	scientifico	ADJ	
d001.s004.t018	(		X		i001.s004.t016	(	(	PUNCT	
d001.s004.t019	also	also	R	bn:00114246r	i001.s004.t017	anch&#39;essa	anch&#39;essa	ADJ	bn:00114246r
d001.s004.t020	part	part	N	bn:00021395n	i001.s004.t018	parte	parte	NOUN	bn:00021395n
d001.s004.t023	EPAR	epar	N		i001.s004.t019	dell&#39;EPAR	dell&#39;EPAR	NOUN	
d001.s004.t021	of		X		i001.s004.t019	dell&#39;EPAR	dell&#39;EPAR	NOUN	
d001.s004.t024	)		X		i001.s004.t020	)	)	PUNCT	
d001.s004.t025	.		X		i001.s004.t021	.	.	PUNCT	
d001.s005.t002	is	be	V		i001.s005.t001	Cos&#39;è	Cos&#39;è	PROPN	
d001.s005.t001	What		X		i001.s005.t001	Cos&#39;è	Cos&#39;è	PROPN	
d001.s005.t003	Alimta	alimta	N	bn:00602447n	i001.s005.t002	Alimta	Alimta	PROPN	bn:00602447n
d001.s005.t004	?		X		i001.s005.t003	?	?	PUNCT	
d001.s006.t001	Alimta	alimta	N	bn:00602447n	i001.s006.t001	Alimta	Alimta	PROPN	bn:00602447n
d001.s006.t002	is	be	V		i001.s006.t002	è	essere	AUX	
d001.s006.t003	a		X		i001.s006.t003	una	uno	DET	
d001.s006.t004	powder	powder	N	bn:00063926n	i001.s006.t004	polvere	polvere	NOUN	bn:00063926n
d001.s006.t005	that		X		i001.s006.t005	che	che	PRON	
d001.s006.t007	made up	make up	V	bn:00083187v	i001.s006.t006	costituisce	costituire	VERB	bn:00083187v
d001.s006.t009	a		X		i001.s006.t007	una	uno	DET	
d001.s006.t010	solution	solution	N	bn:00072760n	i001.s006.t008	soluzione	soluzione	NOUN	bn:00072760n
d001.s006.t011	for		X		i001.s006.t009	per	per	ADP	
d001.s006.t012	infusion	infusion	N	bn:00046734n	i001.s006.t010	infusione	infusione	NOUN	bn:00046734n
d001.s006.t006	is	be	V		i001.s006.t010	infusione	infusione	NOUN	
d001.s006.t013	(		X		i001.s006.t011	(	(	PUNCT	
d001.s006.t014	drip	drip	V	bn:00087306v	i001.s006.t012	flebo	flebo	NOUN	bn:00087306v
d001.s006.t015	into		X		i001.s006.t013	in	in	ADP	
d001.s006.t016	a		X		i001.s006.t014	una	uno	DET	
d001.s006.t017	vein	vein	N	bn:00079681n	i001.s006.t015	vena	vena	NOUN	bn:00079681n
d001.s006.t018	)		X		i001.s006.t016	)	)	PUNCT	
d001.s006.t019	.		X		i001.s006.t017	.	.	PUNCT	
d001.s007.t002	contains	contain	V	bn:00085499v	i001.s007.t001	Contiene	contienere	VERB	bn:00085499v
d001.s007.t001	It		X		i001.s007.t001	Contiene	contienere	VERB	
d001.s007.t003	the		X		i001.s007.t002	il	il	DET	
d001.s007.t004	active	active	J	bn:00096387a	i001.s007.t003	principio	principio	NOUN	bn:00096387a
d001.s007.t005	substance	substance	N	bn:00074986n	i001.s007.t004	attivo	attivo	ADJ	bn:00074986n
d001.s007.t006	pemetrexed	pemetrexed	N	bn:00602447n	i001.s007.t005	pemeterxed	pemeterxed	NOUN	bn:00602447n
d001.s007.t007	.		X		i001.s007.t006	.	.	PUNCT	
d001.s008.t004	used	use	V	bn:00082705v	i001.s008.t001	A	a	ADP	bn:00082705v
d001.s008.t001	What		X		i001.s008.t002	cosa	cosa	PRON	
d001.s008.t002	is	be	V		i001.s008.t003	serve	servire	VERB	
d001.s008.t003	Alimta	alimta	N	bn:00602447n	i001.s008.t004	Alimta	Alimta	PROPN	bn:00602447n
d001.s008.t006	?		X		i001.s008.t005	?	?	PUNCT	
d001.s009.t001	Alimta	alimta	N	bn:00602447n	i001.s009.t001	Alimta	Alimta	PROPN	bn:00602447n
d001.s009.t002	is	be	V		i001.s009.t002	è	essere	AUX	
d001.s009.t003	used	use	V	bn:00082705v	i001.s009.t003	usato	usare	VERB	bn:00082705v
d001.s009.t004	to		X		i001.s009.t004	per	per	ADP	
d001.s009.t005	treat	treat	V	bn:00084532v	i001.s009.t005	trattare	trattare	VERB	bn:00084532v
d001.s009.t006	two		X		i001.s009.t006	due	due	NUM	
d001.s009.t007	types	type	N	bn:00078798n	i001.s009.t007	tipi	tipo	NOUN	bn:00078798n
d001.s009.t008	of		X		i001.s009.t008	di	di	ADP	
d001.s009.t009	cancer	cancer	N	bn:00015180n	i001.s009.t009	cancro	cancro	NOUN	bn:00015180n
d001.s009.t010	:		X		i001.s009.t010	:	:	PUNCT	
d001.s009.t012	mesothelioma	mesothelioma	N	bn:00054512n	i001.s009.t012	mesotelioma	mesotelioma	NOUN	bn:00054512n
d001.s009.t011	pleural	pleural	J	bn:00108692a	i001.s009.t013	pleurico	pleurico	ADJ	bn:00108692a
d001.s009.t020	lungs	lung	N	bn:00052341n	i001.s009.t013➕i001.s009.t019	pleurico➕polmoni	pleurico	ADJ➕NOUN	bn:00052341n
d001.s009.t013	(		X		i001.s009.t014	(	(	PUNCT	
d001.s009.t014	cancer	cancer	N	bn:00015180n	i001.s009.t015	cancro	cancro	NOUN	bn:00015180n
d001.s009.t018	of		X		i001.s009.t016	del	di il	ADP	
d001.s009.t017	lining	lining	N	bn:00051366n	i001.s009.t017	rivestimento	rivestimento	NOUN	bn:00051366n
d001.s009.t019	the		X		i001.s009.t018	dei	di il	ADP	
d001.s009.t021	that		X		i001.s009.t020	,	,	PUNCT	
d001.s009.t023	usually	usually	R	bn:00114778r	i001.s009.t021	solitamente	solitamente	ADV	bn:00114778r
d001.s009.t022	is	be	V		i001.s009.t022	causato	causare	VERB	
d001.s009.t024	caused	cause	V	bn:00084069v	i001.s009.t022	causato	causare	VERB	bn:00084069v
d001.s009.t025	by		X		i001.s009.t023	dall&#39;esposizione	dall&#39;esposizione	ADV	
d001.s009.t026	exposure	exposure	N	bn:00032379n	i001.s009.t023	dall&#39;esposizione	dall&#39;esposizione	ADV	bn:00032379n
d001.s009.t028	asbestos	asbestos	N	bn:00006236n	i001.s009.t024	all&#39;amianto	all&#39;amianto	NOUN	bn:00006236n
d001.s009.t027	to		X		i001.s009.t024	all&#39;amianto	all&#39;amianto	NOUN	
d001.s009.t029	)		X		i001.s009.t025	)	)	PUNCT	
d001.s009.t030	.		X		i001.s009.t026	.	.	PUNCT	
d001.s010.t001	Alimta	alimta	N	bn:00602447n	i001.s010.t001	Alimta	Alimta	PROPN	bn:00602447n
d001.s010.t002	is	be	V		i001.s010.t002	è	essere	AUX	
d001.s010.t003	used	use	V	bn:00082705v	i001.s010.t003	usato	usare	VERB	bn:00082705v
d001.s010.t004	together	together	R		i001.s010.t004	insieme	insieme	ADV	
d001.s010.t005	with		X		i001.s010.t005	al	a il	DET	
d001.s010.t006	cisplatin	cisplatin	N	bn:00577781n	i001.s010.t006	cisplatino	cisplatino	NOUN	bn:00577781n
d001.s010.t007	(		X		i001.s010.t007	(	(	PUNCT	
d001.s010.t008	another		X		i001.s010.t009	altro	altro	ADJ	
d001.s010.t010	medicine	medicine	N	bn:00054128n	i001.s010.t010	medicinale	medicinale	NOUN	bn:00054128n
d001.s010.t009	anticancer	anticancer	J	bn:00097220a	i001.s010.t011	antitumorale	antitumorale	ADJ	bn:00097220a
d001.s010.t011	)		X		i001.s010.t012	)	)	PUNCT	
d001.s010.t012	when		X		i001.s010.t013	quando	quando	SCONJ	
d001.s010.t013	the		X		i001.s010.t014	il	il	DET	
d001.s010.t014	cancer	cancer	N	bn:00015180n	i001.s010.t015	cancro	cancro	NOUN	bn:00015180n
d001.s010.t016	unresectable	unresectable	J		i001.s010.t016➕i001.s010.t018➕i001.s010.t023	non➕resecabile➕rimosso	non	ADV➕ADJ➕VERB	
d001.s010.t015	is	be	V		i001.s010.t017	è	essere	AUX	
d001.s010.t017	(		X		i001.s010.t019	(	(	PUNCT	
d001.s010.t018	cannot		X		i001.s010.t021	può	potere	AUX	
d001.s010.t019	be	be	V		i001.s010.t022	essere	essere	AUX	
d001.s010.t020	removed	remove	V	bn:00092783v	i001.s010.t023	rimosso	rimottere	VERB	bn:00092783v
d001.s010.t021	by		X		i001.s010.t024	con	con	ADP	
d001.s010.t023	alone	alone	J	bn:00096871a	i001.s010.t026	solo	solo	ADJ	bn:00096871a
d001.s010.t022	surgery	surgery	N	bn:00059129n	i001.s010.t027	intervento	intervento	NOUN	bn:00059129n
d001.s010.t024	)		X		i001.s010.t029	)	)	PUNCT	
d001.s010.t025	and		X		i001.s010.t030	e	e	CCONJ	
d001.s010.t026	malignant	malignant	J	bn:00106363a	i001.s010.t031	maligno	maligno	ADJ	bn:00106363a
d001.s010.t027	(		X		i001.s010.t032	(	(	PUNCT	
d001.s010.t028	has	have	V		i001.s010.t034	è	essere	AUX	
d001.s010.t029	spread	spread	V	bn:00092083v	i001.s010.t035	diffuso	diffuso	VERB	bn:00092083v
d001.s010.t030	,		X		i001.s010.t036	,	,	PUNCT	
d001.s010.t031	or		X		i001.s010.t037	o	o	CCONJ	
d001.s010.t032	is	be	V		i001.s010.t038	è	essere	AUX	
d001.s010.t033	likely	likely	J	bn:00105981a	i001.s010.t039	probabile	probabile	ADJ	bn:00105981a
d001.s010.t034	to		X		i001.s010.t040	che	che	SCONJ	
d001.s010.t035	spread	spread	V	bn:00092083v	i001.s010.t042	diffonda	diffondare	VERB	bn:00092083v
d001.s010.t036	easily	easily	R	bn:00115155r	i001.s010.t043	facilmente	facilmente	ADV	bn:00115155r
d001.s010.t037	,		X		i001.s010.t044	,	,	PUNCT	
d001.s010.t038	to		X		i001.s010.t045	ad	a	ADP	
d001.s010.t039	other	other	J	bn:00108011a	i001.s010.t046	altre	altro	ADJ	bn:00108011a
d001.s010.t040	parts	part	N	bn:00021395n	i001.s010.t047	parti	parte	NOUN	bn:00021395n
d001.s010.t041	of		X		i001.s010.t048	del	di il	ADP	
d001.s010.t043	body	body	N	bn:00011744n	i001.s010.t049	corpo	corpo	NOUN	bn:00011744n
d001.s010.t044	)		X		i001.s010.t050	)	)	PUNCT	
d001.s010.t045	,		X		i001.s010.t051	,	,	PUNCT	
d001.s010.t046	in		X		i001.s010.t052	in	in	ADP	
d001.s010.t047	patients	patient	N	bn:00061017n	i001.s010.t053	pazienti	paziente	NOUN	bn:00061017n
d001.s010.t048	who		X		i001.s010.t054	che	che	PRON	
d001.s010.t050	not	not	R	bn:00116360r	i001.s010.t055	non	non	ADV	bn:00116360r
d001.s010.t049	have	have	V		i001.s010.t056	hanno	avere	AUX	
d001.s010.t051	received	receive	V	bn:00087863v	i001.s010.t058	ricevuto	ricevere	VERB	bn:00087863v
d001.s010.t052	chemotherapy	chemotherapy	N	bn:00018141n	i001.s010.t059	chemioterapia	chemioterapia	NOUN	bn:00018141n
d001.s010.t053	(		X		i001.s010.t060	(	(	PUNCT	
d001.s010.t054	medicines	medicine	N	bn:00054128n	i001.s010.t061	medicinali	medicinale	NOUN	bn:00054128n
d001.s010.t062	non-small	non-small	J		i001.s010.t062➕i001.s010.t068➕i001.s010.t070	antitumorali➕non➕piccole	antitumorale	ADJ➕ADV➕ADJ	
d001.s010.t057	)		X		i001.s010.t063	)	)	PUNCT	
d001.s010.t058	before		X		i001.s010.t064	prima	prima	ADV	
d001.s010.t065	cancer	cancer	N	bn:00015180n	i001.s010.t066	cancro	cancro	NOUN	bn:00015180n
d001.s010.t072	cells	cell	N	bn:00017027n	i001.s010.t067➕i001.s010.t079	polmonare➕cellule	polmonare	ADJ➕NOUN	bn:00017027n
d001.s010.t063	cell	cell	N	bn:00017027n	i001.s010.t071	cellule	cellula	NOUN	bn:00017027n
d001.s010.t059	advanced	advanced	J	bn:00096528a	i001.s010.t072	avanzato	avanzato	ADJ	bn:00096528a
d001.s010.t060	or		X		i001.s010.t073	o	o	CCONJ	
d001.s010.t061	metastatic	metastatic	J	bn:00106664a	i001.s010.t074	metastatico	metastatico	ADJ	bn:00106664a
d001.s010.t066	that		X		i001.s010.t075	che	che	PRON	
d001.s010.t068	not	not	R	bn:00116360r	i001.s010.t076	non	non	ADV	bn:00116360r
d001.s010.t069	affecting	affect	V	bn:00082427v	i001.s010.t077	colpisce	colpire	VERB	bn:00082427v
d001.s010.t042	the		X		i001.s010.t078	le	il	DET	
d001.s010.t071	squamous	squamous	J		i001.s010.t080	squamose	squamoso	ADJ	
d001.s010.t073	.		X		i001.s010.t081	.	.	PUNCT	
d001.s011.t001	Alimta	alimta	N	bn:00602447n	i001.s011.t001	Alimta	Alimta	PROPN	bn:00602447n
d001.s011.t002	is	be	V		i001.s011.t002	è	essere	AUX	
d001.s011.t003	used	use	V	bn:00082705v	i001.s011.t003	usato	usare	VERB	bn:00082705v
d001.s011.t004	in		X		i001.s011.t004	in	in	ADP	
d001.s011.t005	combination	combination	N	bn:00020872n	i001.s011.t005	combinazione	combinazione	NOUN	bn:00020872n
d001.s011.t006	with		X		i001.s011.t006	con	con	ADP	
d001.s011.t007	cisplatin	cisplatin	N	bn:00577781n	i001.s011.t007	cisplatino	cisplatino	NOUN	bn:00577781n
d001.s011.t008	in		X		i001.s011.t008	in	in	ADP	
d001.s011.t009	patients	patient	N	bn:00061017n	i001.s011.t009	pazienti	paziente	NOUN	bn:00061017n
d001.s011.t010	who		X		i001.s011.t010	che	che	PRON	
d001.s011.t012	not	not	R	bn:00116360r	i001.s011.t011	non	non	ADV	bn:00116360r
d001.s011.t011	have	have	V		i001.s011.t012	sono	essere	AUX	
d001.s011.t013	been	be	V		i001.s011.t013	stati	essere	AUX	
d001.s011.t014	treated	treat	V	bn:00084532v	i001.s011.t014	trattati	trattare	VERB	bn:00084532v
d001.s011.t031	the		X		i001.s011.t015	in	in	ADP	
d001.s011.t015	before		X		i001.s011.t016	precedenza	precedenza	NOUN	
d001.s011.t017	and		X		i001.s011.t017	e	e	CCONJ	
d001.s011.t018	on		X		i001.s011.t018	da	da	ADP	
d001.s011.t020	own	own	J		i001.s011.t019	solo	solo	ADV	
d001.s011.t021	in		X		i001.s011.t020	in	in	ADP	
d001.s011.t022	patients	patient	N	bn:00061017n	i001.s011.t021	pazienti	paziente	NOUN	bn:00061017n
d001.s011.t023	who		X		i001.s011.t022	che	che	PRON	
d001.s011.t024	have	have	V		i001.s011.t023	hanno	avere	AUX	
d001.s011.t025	received	receive	V	bn:00087863v	i001.s011.t024	ricevuto	ricevere	VERB	bn:00087863v
d001.s011.t030	in		X		i001.s011.t025	in	in	ADP	
d001.s011.t032	past	past	N	bn:00060927n	i001.s011.t026	passato	passato	NOUN	bn:00060927n
d001.s011.t026	another		X		i001.s011.t028	altro	altro	ADJ	
d001.s011.t027	type	type	N	bn:00078798n	i001.s011.t029	tipo	tipo	NOUN	bn:00078798n
d001.s011.t028	of		X		i001.s011.t030	di	di	ADP	
d001.s011.t029	chemotherapy	chemotherapy	N	bn:00018141n	i001.s011.t031	chemioterapia	chemioterapia	NOUN	bn:00018141n
d001.s011.t016	,		X		i001.s011.t032	.	.	PUNCT	
d001.s011.t033	.		X		i001.s011.t032	.	.	PUNCT	
d001.s012.t001	The		X		i001.s012.t001	Il	il	DET	
d001.s012.t002	medicine	medicine	N	bn:00054128n	i001.s012.t002	medicinale	medicinale	NOUN	bn:00054128n
d001.s012.t006	obtained	obtain	V	bn:00082276v	i001.s012.t002➕i001.s012.t005	medicinale➕ottenuto	medicinale	NOUN➕VERB	bn:00082276v
d001.s012.t003	can		X		i001.s012.t003	può	potere	AUX	
d001.s012.t005	be	be	V		i001.s012.t004	essere	essere	AUX	
d001.s012.t004	only	only	R	bn:00116450r	i001.s012.t006	soltanto	soltanto	ADV	bn:00116450r
d001.s012.t007	with		X		i001.s012.t007	con	con	ADP	
d001.s012.t009	prescription	prescription	N	bn:00064195n	i001.s012.t008	prescrizione	prescrizione	NOUN	bn:00064195n
d001.s012.t010	.		X		i001.s012.t010	.	.	PUNCT	
d001.s013.t001	How		X		i001.s013.t001	Come	come	ADV	
d001.s013.t002	is	be	V		i001.s013.t002	si	si	PRON	
d001.s013.t004	used	use	V	bn:00082705v	i001.s013.t003	usa	usare	VERB	bn:00082705v
d001.s013.t003	Alimta	alimta	N	bn:00602447n	i001.s013.t004	Alimta	Alimta	PROPN	bn:00602447n
d001.s013.t005	?		X		i001.s013.t005	?	?	PUNCT	
d001.s014.t001	Alimta	alimta	N	bn:00602447n	i001.s014.t001	Alimta	Alimta	PROPN	bn:00602447n
d001.s014.t002	should		X		i001.s014.t002	deve	dovere	AUX	
d001.s014.t004	be	be	V		i001.s014.t003	essere	essere	AUX	
d001.s014.t005	given	give	V	bn:00088826v	i001.s014.t004	somministrato	somministrare	VERB	bn:00088826v
d001.s014.t003	only	only	R	bn:00116450r	i001.s014.t005	solo	solo	ADV	bn:00116450r
d001.s014.t006	under		X		i001.s014.t006	sotto	sotto	ADP	
d001.s014.t007	the		X		i001.s014.t007	la	il	DET	
d001.s014.t008	supervision	supervision	N	bn:00059908n	i001.s014.t008	supervisione	supervisione	NOUN	bn:00059908n
d001.s014.t009	of		X		i001.s014.t009	di	di	ADP	
d001.s014.t010	a		X		i001.s014.t010	un	uno	DET	
d001.s014.t011	doctor	doctor	N	bn:00027976n	i001.s014.t011	medico	medico	NOUN	bn:00027976n
d001.s014.t013	is	be	V		i001.s014.t012	qualificato	qualificato	ADJ	
d001.s014.t014	qualified	qualify	V		i001.s014.t012	qualificato	qualificato	ADJ	
d001.s014.t015	in		X		i001.s014.t013	nell’	in il	ADP	
d001.s014.t017	use	use	N	bn:00030627n	i001.s014.t014	uso	uso	NOUN	bn:00030627n
d001.s014.t016	the		X		i001.s014.t015	della	di il	ADP	
d001.s014.t020	chemotherapy	chemotherapy	N	bn:00018141n	i001.s014.t016	chemioterapia	chemioterapia	NOUN	bn:00018141n
d001.s014.t018	of		X		i001.s014.t017	antitumorale	antitumorale	ADJ	
d001.s014.t019	anticancer	anticancer	J	bn:00097220a	i001.s014.t017	antitumorale	antitumorale	ADJ	bn:00097220a
d001.s014.t021	.		X		i001.s014.t018	.	.	PUNCT	
d001.s015.t001	The		X		i001.s015.t001	La	il	DET	
d001.s015.t003	dose	dose	N	bn:00028320n	i001.s015.t002	dose	dose	NOUN	bn:00028320n
d001.s015.t002	recommended	recommended	J		i001.s015.t003	raccomandata	raccomandato	ADJ	
d001.s015.t004	of		X		i001.s015.t004	di	di	ADP	
d001.s015.t005	Alimta	alimta	N	bn:00602447n	i001.s015.t005	Alimta	Alimta	PROPN	bn:00602447n
d001.s015.t006	is	be	V		i001.s015.t006	è	essere	VERB	
d001.s015.t007	500		X		i001.s015.t008	500	500	NUM	
d001.s015.t008	mg	mg	N	bn:00054701n	i001.s015.t009	mg	mg	NOUN	bn:00054701n
d001.s015.t009	per		X		i001.s015.t010	per	per	ADP	
d001.s015.t011	metre	metre	N	bn:00052501n	i001.s015.t011	metro	metro	NOUN	bn:00052501n
d001.s015.t010	square	square	J		i001.s015.t012	quadrato	quadrato	ADJ	
d001.s015.t012	of		X		i001.s015.t013	di	di	ADP	
d001.s015.t014	surface	surface	N	bn:00075374n	i001.s015.t014	superficie	superficie	NOUN	bn:00075374n
d001.s015.t013	body	body	N	bn:00011744n	i001.s015.t015	corporea	corporeo	ADJ	bn:00011744n
d001.s015.t015	area	area	N	bn:00005518n	i001.s015.t015	corporea	corporeo	ADJ	bn:00005518n
d001.s015.t016	(		X		i001.s015.t016	(	(	PUNCT	
d001.s015.t017	calculated	calculate	V	bn:00084373v	i001.s015.t017	calcolata	calcolare	VERB	bn:00084373v
d001.s015.t018	using	use	V	bn:00082705v	i001.s015.t019	base	base	NOUN	bn:00082705v
d001.s015.t022	height	height	N	bn:00043545n	i001.s015.t020	all&#39;altezza	all&#39;altezzo	ADJ	bn:00043545n
d001.s015.t021	s		X		i001.s015.t020	all&#39;altezza	all&#39;altezzo	ADJ	
d001.s015.t023	and		X		i001.s015.t021	e	e	CCONJ	
d001.s015.t024	weight	weight	N	bn:00080831n	i001.s015.t023	peso	peso	NOUN	bn:00080831n
