ID	English	Italian Translation
d000.s034	In patients who had not received chemotherapy in the past , the average survival time was 10.3 months in both groups .	Nei pazienti che non avevano ricevuto chemioterapia in passato, il tempo medio di sopravvivenza è stato di 10,3 mesi in entrambi i gruppi.
d000.s035	However , in both studies , patients whose cancer was not affecting squamous cells had longer survival times if they received Alimta than if they received the comparator .	Tuttavia, in entrambi gli studi, i pazienti il cui cancro non colpiva le cellule squamose avevano tempi di sopravvivenza più lunghi se ricevevano Alimta rispetto a quelli che ricevevano il farmaco di confronto.
d000.s036	In contrast , patients whose cancer was affecting squamous cells had shorter survival times if they received Alimta . kalgebra is a mathematical calculator based on content markup MathML language .	Al contrario, i pazienti il cui cancro colpiva le cellule squamose avevano tempi di sopravvivenza più brevi se ricevevano Alimta. Kalgebra è una calcolatrice matematica basata sul linguaggio di markup dei contenuti MathML.
d000.s037	Nowadays it is capable to make simple MathML operations ( arithmetic and logical ) and to representate 2D and 3D graphs .	Oggigiorno è in grado di eseguire semplici operazioni MathML (aritmetiche e logiche) e di rappresentare grafici 2D e 3D.
d000.s038	It is actually not necessary to know MathML to use kalgebra . kalgebra is a MathML based graph calculator .	In realtà non è necessario conoscere MathML per utilizzare Kalgebra. Kalgebra è una calcolatrice grafica basata su MathML.
d000.s039	Although it was initially MathML oriented it can now be used by everyone with little mathematical knowledge .	Sebbene inizialmente fosse orientato al MathML, ora può essere utilizzato da chiunque abbia scarse conoscenze matematiche.
d000.s040	Here 's a screenshot of kalgebra main window kalgebra main window kalgebra main window consists in a Console tab , a 2D Graph tab , a 3D Graph tab and a Dictionary tab .	Ecco uno screenshot della finestra principale di Kalgebra. La finestra principale di Kalgebra è composta da una scheda Console, una scheda Grafico 2D, una scheda Grafico 3D e una scheda Dizionario.
d000.s041	Below these tabs you will find an input field to type your functions or do your calculations .	Sotto queste schede troverete un campo di immissione per digitare le vostre funzioni o effettuare i vostri calcoli.
d000.s042	If we want to understand how it works , the best thing we can do is to realize that our input is being converted into MathML although it is not necessary to know MathML .	Se vogliamo capire come funziona, la cosa migliore che possiamo fare è renderci conto che il nostro input viene convertito in MathML, anche se non è necessario conoscere il MathML.
d000.s043	I have based the syntax basically on common sense , it should not be hard for anyone .	Ho basato la sintassi fondamentalmente sul buon senso, non dovrebbe essere difficile per nessuno.
d000.s044	I ve looked closely to maxima and maple s syntax so they look very similar . + - * / : Addition , subtraction , multiplication and division . ^ , ** : Power , you can use them both .	Ho esaminato attentamente la sintassi di Maxima e Maple, quindi sembrano molto simili. + - * / : Addizione, sottrazione, moltiplicazione e divisione. ^ , ** : Potenza, puoi usarli entrambi.
d000.s045	Also it is possible to use the unicode ² characters .	È possibile utilizzare anche i caratteri Unicode ².
d000.s046	Powers are one way to make roots too . -gt : It s the way to specify the bounded variable in a function . ( ) : It is used to specify a higher priority . abc(params) : When the parser finds a function , it checks if abc is an operator .	Anche le potenze sono un modo per creare radici. -gt: è il modo per specificare la variabile limitata in una funzione. (): viene utilizzato per specificare una priorità più alta. abc(params): quando il parser trova una funzione, controlla se abc è un operatore.
d000.s047	If it is , it will be treated as an operator , if it is not , it will be treated as a user function . : = : It is used to define a variable value . ? : Piecewise condition definition .	In tal caso, verrà trattato come un operatore, in caso contrario, verrà trattato come una funzione utente. : = : Viene utilizzato per definire un valore di variabile. ? : Definizione di condizione a tratti.
d000.s048	Piecewise is the way we can define conditional operations in kalgebra .	Il metodo a tratti è il modo in cui possiamo definire le operazioni condizionali in Kalgebra.
d000.s049	If we introduce the condition before the ? it will use this condition only if it is true , if it finds a ? without any condition , it will enter in the last instance . { } : MathML container . It can be used to define a container .	Se introduciamo la condizione prima di ?, questa condizione verrà utilizzata solo se è vera, se trova un ? senza alcuna condizione, verrà inserita nell&#39;ultima istanza . { } : contenitore MathML. Può essere utilizzato per definire un contenitore.
d000.s050	Mainly useful for working with piecewise .	Utile soprattutto per lavorare con i dati a tratti.
d000.s051	Now you could ask me , why should the user mind about MathML ? That s easy . With this , we can operate with functions like cos() , sin() , any other trigonometric functions , sum() or product() .	Ora potresti chiedermi, perché l&#39;utente dovrebbe preoccuparsi di MathML? È facile. Con questo, possiamo operare con funzioni come cos(), sin(), qualsiasi altra funzione trigonometrica, sum() o product().
d000.s052	It does not matter what kind it is .	Non importa di che tipo si tratti.
d000.s053	We can use plus() , times() and everything which has its operator . kalgebra 's console is useful as a calculator .	Possiamo usare plus(), times() e tutto ciò che ha il suo operatore. La console di Kalgebra è utile come calcolatrice.
d000.s054	There you have a list of the declared variables .	Ecco un elenco delle variabili dichiarate.
d000.s055	By double clicking on them you will see a dialog that lets you change their values ( just a way to trick the log ) .	Facendo doppio clic su di essi verrà visualizzata una finestra di dialogo che consente di modificarne i valori (solo un modo per ingannare il registro).
d000.s056	"""Every time you enter an expression , the """" ans """" variable value will be changed to the last result ."""	&quot;Ogni volta che inserisci un&#39;espressione, il valore della variabile &quot;&quot; ans &quot;&quot; verrà modificato nell&#39;ultimo risultato.&quot;
d000.s057	Ctrl N New Window	Ctrl N Nuova finestra
d000.s058	Flushes the log .	Svuota il registro.
d000.s059	Ctrl L Load Script	Ctrl L Carica script
d000.s060	Executes the instructions in a file sequentially .	Esegue le istruzioni contenute in un file in sequenza.
d000.s061	Nice if you want to define some libraries or resume some previous work .	Utile se si vogliono definire alcune librerie o riprendere un lavoro precedente.
d000.s062	Ctrl G Save Script	Ctrl G Salva script
d000.s063	Saves the instructions you have typed since the session began to be able to reuse .	Salva le istruzioni digitate dall&#39;inizio della sessione per poterle riutilizzare.
d000.s064	Generates text files so it should be easy to fix using any text editor , like Kate .	Genera file di testo, quindi dovrebbe essere facile correggerlo utilizzando un qualsiasi editor di testo, come Kate.
d000.s065	Ctrl S Save Log	Ctrl S Salva registro
d000.s066	Saves the log with all results into an HTML file to be able to print or publish .	Salva il registro con tutti i risultati in un file HTML per poterlo stampare o pubblicare.
d000.s067	Ctrl Q Quit	Ctrl Q Esci
d000.s068	Shuts the program down .	Chiude il programma.
d000.s069	To add a new 2D graph on kalgebra , what you have to do is to go to the 2D Graph tab and click in the Add tab to add the new function .	Per aggiungere un nuovo grafico 2D su Kalgebra, quello che devi fare è andare alla scheda Grafico 2D e cliccare sulla scheda Aggiungi per aggiungere la nuova funzione.
d000.s070	Then your focus will go to an input text box where you can type your function .	Quindi il focus si sposterà su una casella di testo di input in cui potrai digitare la tua funzione.
d000.s071	If you want to use a typical f(x) function it is not necessary to specify it .	Se si desidera utilizzare una tipica funzione f(x) non è necessario specificarla.
d000.s072	If you have entered the function click on the OK button to display the graph in the main window .	Se hai inserito la funzione clicca sul pulsante OK per visualizzare il grafico nella finestra principale.
d000.s073	You can set several graphs on the same view .	È possibile impostare più grafici nella stessa vista.
d000.s074	Just use the Add button when you are in List mode .	Basta usare il pulsante Aggiungi quando sei in modalità Elenco.
d000.s075	You can set each graph its own color .	È possibile impostare un colore diverso per ogni grafico.
d000.s076	The Foundation has recently been involved in organising a conference which dealt with this critical challenge .	La Fondazione è stata recentemente coinvolta nell&#39;organizzazione di un convegno dedicato a questa sfida critica.
d000.s077	Over 100 participants from the main interest groups attended and debated issues such as the role of key actors including public authorities , social partners , voluntary and community organisations as well as service users .	Oltre 100 partecipanti provenienti dai principali gruppi di interesse hanno preso parte e dibattuto questioni quali il ruolo degli attori chiave, tra cui le autorità pubbliche, i partner sociali, le organizzazioni di volontariato e comunitarie, nonché gli utenti dei servizi.
d000.s078	There were relatively few cases reported of attempts to involve users in service planning but their involvement in service provision was found to be more common .	Sono stati segnalati relativamente pochi casi di tentativi di coinvolgere gli utenti nella pianificazione dei servizi, ma il loro coinvolgimento nella fornitura dei servizi è risultato essere più comune.
d000.s079	Note was also taken of the variety of different roles played by public welfare	È stata inoltre presa nota della varietà dei diversi ruoli svolti dal welfare pubblico
d000.s080	The Foundation organised , together with the European Commission , the Spanish Ministry of Social Affairs and the Galician regional government , a European conference on social exclusion : a major challenge for public welfare services .	La Fondazione ha organizzato, insieme alla Commissione Europea, al Ministero degli Affari Sociali spagnolo e al governo regionale della Galizia, una conferenza europea sull&#39;esclusione sociale: una sfida importante per i servizi di assistenza pubblica.
d000.s081	The Foundation recently published a comparative study as part of the EPOC project which assesses the extent to which direct participation can humanise work while increasing profitability .	La Fondazione ha recentemente pubblicato uno studio comparativo nell&#39;ambito del progetto EPOC che valuta in che misura la partecipazione diretta possa umanizzare il lavoro aumentandone al contempo la redditività.
d000.s082	The study is based on 195 personal interviews with senior officials of the social partners as representatives of national level peak organisations in fifteen European countries .	Lo studio si basa su 195 interviste personali con alti funzionari delle parti sociali in qualità di rappresentanti delle principali organizzazioni a livello nazionale in quindici paesi europei.
d000.s083	As important industrial sectors , the metal industry and the banking sector were also included .	Tra i settori industriali più importanti figurano anche l&#39;industria metalmeccanica e il settore bancario.
d000.s084	Key speakers at the social exclusion conference were ( left to right ) Cristina Louro , Employment , Industrial Relations and Social Affairs Directorate , European Commission Fernando Gomes , a high degree of Committee of the Regions Barbara Weiler , Member of the European Parliament José Maria Gil-Robles , Vice-President , European Parliament and John Carroll , Economic and Social Committee .	I relatori principali della conferenza sull&#39;esclusione sociale sono stati (da sinistra a destra): Cristina Louro, Direzione generale per l&#39;occupazione, le relazioni industriali e gli affari sociali, Commissione europea, Fernando Gomes, membro di alto rango del Comitato delle regioni, Barbara Weiler, membro del Parlamento europeo, José Maria Gil-Robles, vicepresidente del Parlamento europeo e John Carroll, Comitato economico e sociale.
d000.s085	Case Studies Each national report contains a portfolio of between 25 and 30 initiatives which best present policies and practices to improve the recruitment , training and development of ageing workers in both the work place and the community .	Casi di studio Ogni rapporto nazionale contiene un portafoglio di 25-30 iniziative che presentano al meglio politiche e pratiche volte a migliorare il reclutamento, la formazione e lo sviluppo dei lavoratori anziani sia sul posto di lavoro che nella comunità.
d000.s086	For each country , two or three initiatives have been selected for further in depth case study .	Per ogni paese sono state selezionate due o tre iniziative per uno studio di caso più approfondito.
d000.s087	These case studies analysed the background of the initiatives , their impact on employment patterns and work organisations and assessed the benefits and problems of the initiative .	Questi studi di caso hanno analizzato il contesto delle iniziative, il loro impatto sui modelli di occupazione e sulle organizzazioni del lavoro e hanno valutato i vantaggi e i problemi dell&#39;iniziativa.
d000.s088	Visits and interviews with key personnel were also undertaken .	Sono state effettuate anche visite e interviste con il personale chiave.
d000.s089	These national studies will form the basis of a European report which synthesises overall practices .	Questi studi nazionali costituiranno la base di un rapporto europeo che sintetizzerà le pratiche complessive.
d000.s090	The report and a case book of initiatives will be published in 1996 and provide the backdrop for a conference to be staged in Autumn , 1996 .	Il rapporto e un libro di casi di iniziative saranno pubblicati nel 1996 e costituiranno lo sfondo per una conferenza che si terrà nell&#39;autunno del 1996.
d000.s091	The Foundation aims to document the characteristics of age barriers in job recruitment and training and to analyse their causes .	La Fondazione si propone di documentare le caratteristiche delle barriere legate all&#39;età nel reclutamento e nella formazione professionale e di analizzarne le cause.
d000.s092	The perspectives of the social partners is also being examined , with particular attention paid to proposals for removing age barriers .	Vengono esaminate anche le prospettive delle parti sociali, con particolare attenzione alle proposte volte a rimuovere le barriere legate all&#39;età.
d000.s093	Thirdly , the project documents and assesses initiatives , in both the public and private sectors which combat age barriers , especially for older workers .	In terzo luogo, il progetto documenta e valuta le iniziative, sia nel settore pubblico che in quello privato, che combattono le barriere legate all&#39;età, in particolare per i lavoratori più anziani.
d000.s094	Seeking alternatives to early retirement and redundancy , the project is primarily concerned with the retention , reintegration and retraining of older workers .	Cercando alternative al pensionamento anticipato e al licenziamento, il progetto si occupa principalmente del mantenimento, della reintegrazione e della riqualificazione dei lavoratori più anziani.
d000.s095	The gender and ethnic backgrounds of workers and how these relate to age discrimination are examined .	Vengono esaminati il genere e l&#39;origine etnica dei lavoratori e il modo in cui questi si relazionano alla discriminazione basata sull&#39;età.
d000.s096	The project also considers initiatives to combat age discrimination in rural areas and in small and medium sized enterprises .	Il progetto prende in considerazione anche iniziative volte a combattere la discriminazione basata sull&#39;età nelle aree rurali e nelle piccole e medie imprese.
d000.s097	Seven member states are covered by the project : Belgium , France , Germany , Greece , Italy , the Netherlands and the United Kingdom .	Il progetto coinvolge sette Stati membri: Belgio, Francia, Germania, Grecia, Italia, Paesi Bassi e Regno Unito.
d000.s098	This document is a summary of the European Public Assessment Report . It explains how the Committee for Medicinal Products for Veterinary Use ( CVMP ) assessed the studies performed , to reach their recommendations on how to use the medicine .	Questo documento è una sintesi del Rapporto di valutazione pubblica europea. Spiega come il Comitato per i medicinali per uso veterinario (CVMP) ha valutato gli studi eseguiti, per giungere alle proprie raccomandazioni su come utilizzare il medicinale.
d000.s099	What is Cerenia ?	Che cosa è Cerenia?
d000.s100	Cerenia contains the active substance maropitant and is available as tablet or as solution for injection .	Cerenia contiene il principio attivo maropitant ed è disponibile sotto forma di compresse o di soluzione iniettabile.
d000.s101	The tablets are pale-orange and have a score line on both sides so that they can be halved .	Le compresse sono di colore arancione chiaro e presentano una linea di incisione su entrambi i lati, in modo da poterle dimezzare.
d000.s102	Each tablet is marked with the Pfizer logo on one side and with the letters MPT and the quantity of maropitant on the other side .	Ogni compressa è contrassegnata con il logo Pfizer su un lato e con le lettere MPT e la quantità di maropitant sull&#39;altro lato.
d000.s103	What is Cerenia used for ?	A cosa serve Cerenia?
d000.s104	Cerenia is an anti-emetic , this means that it stops vomiting .	Cerenia è un antiemetico, cioè blocca il vomito.
d000.s105	It is used in dogs to prevent vomiting such as vomiting caused by chemotherapy ( medicines used for the treatment of cancer , some of which are known to cause vomiting ) .	Viene utilizzato nei cani per prevenire il vomito, ad esempio quello causato dalla chemioterapia (medicinali usati per il trattamento del cancro, alcuni dei quali sono noti per causare vomito).
d000.s106	In combination with supportive measures such as other veterinary treatment or a special diet , Cerenia can also be used in the treatment of vomiting ( either as injection or as injection followed by tablets ) .	In combinazione con misure di supporto come altri trattamenti veterinari o una dieta speciale, Cerenia può essere utilizzato anche nel trattamento del vomito (sia come iniezione che come iniezione seguita da compresse).
d000.s107	For these purposes , Cerenia can be given for up to five days	Per questi scopi, Cerenia può essere somministrato fino a cinque giorni
d000.s108	How does Cerenia work ?	Come funziona Cerenia?
d000.s109	Cerenia blocks a neurokinin 1 ( NK1 ) receptor , which acts in the central nervous system .	Cerenia blocca il recettore della neurochinina 1 (NK1), che agisce nel sistema nervoso centrale.
d000.s110	How has Cerenia been studied ?	Come è stata studiata Cerenia?
d000.s111	A large number of studies with Cerenia were carried out either in laboratory dogs or in animal patients at veterinary practises in several European countries and in the USA .	Sono stati condotti numerosi studi con Cerenia su cani da laboratorio o su pazienti animali presso ambulatori veterinari in diversi paesi europei e negli Stati Uniti.
d000.s112	What benefit has Cerenia shown during the studies ?	Quali benefici ha mostrato Cerenia nel corso degli studi?
d000.s113	The results of the studies showed that Cerenia was more effective than the placebo : less vomiting was seen in dogs that received the medicine than in dogs that received a placebo , both in the treatment or in the prevention of vomiting .	I risultati degli studi hanno dimostrato che Cerenia è stato più efficace del placebo: nei cani che hanno ricevuto il medicinale è stato osservato un numero inferiore di casi di vomito rispetto ai cani che hanno ricevuto un placebo, sia nel trattamento che nella prevenzione del vomito.
d000.s114	The treatment of a vomiting dog should be started with the injection , since vomiting animals might not be able to keep a tablet down ( as they might throw the intact tablet up again ) .	Il trattamento di un cane che vomita deve essere iniziato con l&#39;iniezione, poiché gli animali che vomitano potrebbero non essere in grado di tenere giù una compressa (poiché potrebbero vomitare di nuovo la compressa intatta).
d000.s115	For follow-up treatment , the animal owner can administer the tablets to the dog .	Per il trattamento di follow-up, il proprietario dell&#39;animale può somministrare le compresse al cane.
d000.s116	Also , the treatment of vomiting should only be together with other supportive measure or other veterinary therapy while addressing the underlying causes of the vomiting .	Inoltre, il trattamento del vomito deve essere effettuato solo insieme ad altre misure di supporto o altre terapie veterinarie, affrontando nel contempo le cause sottostanti il vomito.
d000.s117	What is the risk associated with Cerenia ?	Quali sono i rischi associati a Cerenia?
d000.s118	Cerenia was generally well tolerated when administered daily at dosages up to 5 times the recommended doses for an extended period of time ( up to 3 times the recommended maximum duration of treatment ) .	Cerenia è stato generalmente ben tollerato quando somministrato quotidianamente a dosaggi fino a 5 volte superiori a quelli raccomandati per un periodo di tempo prolungato (fino a 3 volte la durata massima raccomandata del trattamento).
d000.s119	What are the precautions for the person who gives the medicine or comes into contact with the animal ?	Quali sono le precauzioni che deve adottare la persona che somministra il medicinale o entra in contatto con l&#39;animale?
d000.s120	Cerenia does not represent a particular risk for people .	Cerenia non rappresenta un rischio particolare per le persone.
