Token ID	Token	Lemma	POS	Chinese Token	POS ZH	BN Synset	Correct?	Synonyms?	BN Gloss	Token ID ZH	Annotator notes	Chinese Token - BN Synset	Chinese Token - BN Gloss	English Lemma - WN Synsets	English Lemma - WN Glosses	English Lemma - BN Synsets	English Lemma - BN Glosses	Add Annotation	ZH Token-BN Synset	ZH Token-BN Gloss
d001.s002.t015	assessed	assess	V	了➕评估	AS➕VV	bn:00082720v	1	1	Evaluate or estimate the nature, quality, ability, extent, or significance of	z001.s002.t003➕z001.s002.t012										
d001.s002.t016	the		X	的	DEC					z001.s002.t015										
d001.s002.t017	studies	study	N	研究	NN	bn:00074790n	1	1	A detailed critical inspection	z001.s002.t016										
d001.s002.t018	performed	perform	V	进行	VV	bn:00087107v	1	1	Carry out or perform an action	z001.s002.t014										
d001.s002.t019	,		X	，	PU					z001.s002.t017										
d001.s002.t020	to		X	以	MSP					z001.s002.t018										
d001.s002.t021	reach	reach	V	得出	VV	bn:00082226v	1	1	To gain with effort	z001.s002.t019										
d001.s002.t022	their		X	n/a																
d001.s002.t023	recommendations	recommendation	N	建议	NN	bn:00066562n	1	1	Something (as a course of action) that is recommended as advisable	z001.s002.t025										
d001.s002.t024	on		X	关于	P					z001.s002.t020										
d001.s002.t025	how		X	如何	AD					z001.s002.t021										
d001.s002.t026	to		X	n/a																
d001.s002.t027	use	use	V	使用	VV	bn:00082705v	1	1	Put into service; make work or employ for a particular purpose or for its inherent or natural purpose	z001.s002.t022										
d001.s002.t028	the		X	n/a																
d001.s002.t029	medicine	medicine	N	药物	NN	bn:00054128n	1	1	(medicine) something that treats or prevents or alleviates the symptoms of disease	z001.s002.t023										
d001.s002.t030	.		X	。	PU					z001.s002.t026										
d001.s003.t001	If		X	如果	CS					z001.s003.t001										
d001.s003.t002	you		X	您	PN					z001.s003.t002										
d001.s003.t003	need	need	V	需要	VV	bn:00091028v	1	1	Have need of	z001.s003.t003										
d001.s003.t004	more	more	J	更	AD	bn:00106935a	0	1	(comparative of `much' used with mass nouns) a quantifier meaning greater in size or amount or extent or degree	z001.s003.t004	PoS Tag Mismatch									
d001.s003.t005	information	information	N	信息	NN	bn:00025314n	1	1	A collection of facts from which conclusions may be drawn	z001.s003.t014										
d001.s003.t006	about		X	有关	P					z001.s003.t006										
d001.s003.t007	your		X	您	PN					z001.s003.t007										
d001.s003.t008	medical	medical	J	医疗	NN	bn:00106555a	0	1	Requiring or amenable to treatment by medicine especially as opposed to surgery	z001.s003.t009	PoS Tag Mismatch								bn:00106554a;bn:00111810a	Relating to the study or practice of medicine;Relating to or involved in therapy
d001.s003.t009	condition	condition	N	状况	NN	bn:00021648n	1	1	An illness, disease, or other medical problem	z001.s003.t010										
d001.s003.t010	or		X	或	CC					z001.s003.t011										
d001.s003.t011	your		X	治疗	NN					z001.s003.t012										
d001.s003.t012	treatment	treatment	N	治疗	NN	bn:00047235n	1	1	Care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury)	z001.s003.t012										
d001.s003.t013	,		X	，	PU					z001.s003.t015										
d001.s003.t014	read	read	V	阅读	VV	bn:00092424v	1	1	Interpret something that is written or printed	z001.s003.t017										
d001.s003.t015	the		X	的	DEG					z001.s003.t013										
d001.s003.t016	Package	package	N	药品➕说明书	NN	bn:00013882n	0	0	A collection of things wrapped or boxed together	z001.s003.t018➕z001.s003.t019	Translation Error									
d001.s003.t017	Leaflet	leaflet	N	说明书	NN	bn:00012133n	1	1	A small book usually having a paper cover	z001.s003.t019										
d001.s003.t018	(		X	（	PU					z001.s003.t020										
d001.s003.t019	also	also	R	也是	VC	bn:00114246r	0	1	In addition	z001.s003.t021	PoS Tag Mismatch									
d001.s003.t020	part	part	N	一部分	CD	bn:00021395n	0	1	Something determined in relation to something that includes it	z001.s003.t024	PoS Tag Mismatch								bn:00021395n;bn:00060765n	Something determined in relation to something that includes it;A portion of a natural object
d001.s003.t021	of		X	的	DEG					z001.s003.t023										
d001.s003.t022	the		X	n/a																
d001.s003.t023	EPAR	epar	N	EPAR	NR					z001.s003.t022										
d001.s003.t024	)		X	）	PU					z001.s003.t025										
d001.s003.t025	or		X	或	CC					z001.s003.t026										
d001.s003.t026	contact	contact	V	联系	VV	bn:00085696v	1	1	Be in or establish communication with	z001.s003.t027										
d001.s003.t027	your		X	您	PN					z001.s003.t028										
d001.s003.t028	doctor	doctor	N	医生	NN	bn:00027976n	1	1	A licensed medical practitioner	z001.s003.t030										
d001.s003.t029	or		X	或	CC					z001.s003.t031										
d001.s003.t030	pharmacist	pharmacist	N	医生➕师	NN	bn:00004992n	1	1	A health professional trained in the art of preparing and dispensing drugs	z001.s003.t030➕z001.s003.t033										
d001.s003.t031	.		X	。	PU					z001.s003.t034										
d001.s004.t001	If		X	如果	CS					z001.s004.t001										
d001.s004.t002	you		X	您	PN					z001.s004.t002										
d001.s004.t003	want	want	V	想	VV	bn:00086682v	1	1	Feel or have a desire for; want strongly	z001.s004.t003										
d001.s004.t004	more	more	J	更	AD	bn:00106935a	0	1	(comparative of `much' used with mass nouns) a quantifier meaning greater in size or amount or extent or degree	z001.s004.t009	PoS Tag Mismatch									
d001.s004.t005	information	information	N	信息	NN	bn:00025314n	1	1	A collection of facts from which conclusions may be drawn	z001.s004.t011										
d001.s004.t006	on		X	了解	VV					z001.s004.t004										
d001.s004.t007	the		X	n/a																
d001.s004.t008	basis	basis	N	n/a		bn:00008786n	0	0	The fundamental assumptions from which something is begun or developed or calculated or explained		Missing Translation									
d001.s004.t009	of		X	建议	NN					z001.s004.t007										
d001.s004.t010	the		X	的	DEG					z001.s004.t008										
d001.s004.t011	CHMP	chmp	N	CHMP	NR	bn:00302314n	1	1	The Committee for Medicinal Products for Human Use, formerly known as Committee for Proprietary Medicinal Products, is the European Medicines Agency's committee responsible for elaborating the agency's opinions on all issues regarding medicinal products for human use.	z001.s004.t006										
d001.s004.t012	recommendations	recommendation	N	建议	NN	bn:00066562n	1	1	Something (as a course of action) that is recommended as advisable	z001.s004.t007										
d001.s004.t013	,		X	，	PU					z001.s004.t012										
d001.s004.t014	read	read	V	阅读	VV	bn:00092424v	1	1	Interpret something that is written or printed	z001.s004.t014										
d001.s004.t015	the		X	科学	NN					z001.s004.t015										
d001.s004.t016	Scientific	scientific	J	科学	NN	bn:00110175a	0	1	Of or relating to the practice of science	z001.s004.t015	PoS Tag Mismatch								bn:00110176a;bn:00110175a	Conforming with the principles or methods used in science;Of or relating to the practice of science
d001.s004.t017	Discussion	discussion	N	讨论	NN	bn:00027523n			An extended communication (often interactive) dealing with some particular topic	z001.s004.t016										
d001.s004.t018	(		X	（	PU					z001.s004.t017										
d001.s004.t019	also	also	R	也是	VC	bn:00114246r	0	0	In addition	z001.s004.t018	PoS Tag Mismatch									
d001.s004.t020	part	part	N	一部分	CD	bn:00021395n	0	1	Something determined in relation to something that includes it	z001.s004.t021	PoS Tag Mismatch								bn:00021395n;bn:00060765n	Something determined in relation to something that includes it;A portion of a natural object
d001.s004.t021	of		X	n/a																
d001.s004.t022	the		X	的	DEG					z001.s004.t020										
d001.s004.t023	EPAR	epar	N	EPAR	NR					z001.s004.t019										
d001.s004.t024	)		X	）	PU					z001.s004.t022										
d001.s004.t025	.		X	。	PU					z001.s004.t023										
d001.s005.t001	What		X	什么	PN					z001.s005.t001										
d001.s005.t002	is	be	V	是	VC					z001.s005.t002										
d001.s005.t003	Alimta	alimta	N	Alimta	NN	bn:00602447n	1	1	Pemetrexed is a chemotherapy drug manufactured and marketed by Eli Lilly and Company.	z001.s005.t003										
d001.s005.t004	?		X	？	PU					z001.s005.t004										
d001.s006.t001	Alimta	alimta	N	Alimta	NR	bn:00602447n	1	1	Pemetrexed is a chemotherapy drug manufactured and marketed by Eli Lilly and Company.	z001.s006.t001										
d001.s006.t002	is	be	V	是	VC					z001.s006.t002										
d001.s006.t003	a		X	一	CD					z001.s006.t003										
d001.s006.t004	powder	powder	N	粉末	NN	bn:00063926n	1	1	A solid substance in the form of tiny loose particles; a solid that has been pulverized	z001.s006.t005										
d001.s006.t005	that		X	，	PU					z001.s006.t006										
d001.s006.t006	is	be	V	n/a																
d001.s006.t007	made up	make up	V	制成	VV	bn:00083187v	1	1	Form or compose	z001.s006.t008										
d001.s006.t008	into		X	制成	VV					z001.s006.t008										
d001.s006.t009	a		X	n/a																
d001.s006.t010	solution	solution	N	溶液	NN	bn:00072760n	1	1	A homogeneous mixture of two or more substances; frequently (but not necessarily) a liquid solution	z001.s006.t010										
d001.s006.t011	for		X	n/a																
d001.s006.t012	infusion	infusion	N	输液	NN	bn:00046734n	1	1	(medicine) the passive introduction of a substance (a fluid or drug or electrolyte) into a vein or between tissues (as by gravitational force)	z001.s006.t009										
d001.s006.t013	(		X	（	PU					z001.s006.t011										
d001.s006.t014	drip	drip	V	滴入	VV	bn:00087306v	1	1	Let or cause to fall in drops	z001.s006.t012										
d001.s006.t015	into		X	滴入	VV					z001.s006.t012										
d001.s006.t016	a		X	n/a																
d001.s006.t017	vein	vein	N	静脉	NN	bn:00079681n	1	1	A blood vessel that carries blood from the capillaries toward the heart	z001.s006.t013										
d001.s006.t018	)		X	）	PU					z001.s006.t014										
d001.s006.t019	.		X	。	PU					z001.s006.t015										
d001.s007.t001	It		X	它	PN					z001.s007.t001										
d001.s007.t002	contains	contain	V	它➕含有	PN➕VV	bn:00085499v	0	0	Include or contain; have as a component	z001.s007.t001➕z001.s007.t002	Second Word Matched									
d001.s007.t003	the		X	n/a																
d001.s007.t004	active	active	J	活性	JJ	bn:00096387a	1	1	Exerting influence or producing a change or effect	z001.s007.t003										
d001.s007.t005	substance	substance	N	成分	NN	bn:00074986n	1	1	Material of a particular kind or constitution	z001.s007.t004										
d001.s007.t006	pemetrexed	pemetrexed	N	培美➕曲塞	NN	bn:00602447n	1	1	Pemetrexed is a chemotherapy drug manufactured and marketed by Eli Lilly and Company.	z001.s007.t005➕z001.s007.t006										
d001.s007.t007	.		X	。	PU					z001.s007.t007										
d001.s008.t001	What		X	什么	PN					z001.s008.t005										
d001.s008.t002	is	be	V	是	VC					z001.s008.t004										
d001.s008.t003	Alimta	alimta	N	Alimta	NR	bn:00602447n	1	1	Pemetrexed is a chemotherapy drug manufactured and marketed by Eli Lilly and Company.	z001.s008.t001										
d001.s008.t004	used	use	V	用途	NN	bn:00082705v	0	1	Put into service; make work or employ for a particular purpose or for its inherent or natural purpose	z001.s008.t003	PoS Tag Mismatch									
d001.s008.t005	for		X	用途	NN					z001.s008.t003										
d001.s008.t006	?		X	？	PU					z001.s008.t006										
d001.s009.t001	Alimta	alimta	N	Alimta	NR	bn:00602447n	1	1	Pemetrexed is a chemotherapy drug manufactured and marketed by Eli Lilly and Company.	z001.s009.t001										
d001.s009.t002	is	be	V	用于	VV					z001.s009.t002										
d001.s009.t003	used	use	V	用于	VV	bn:00082705v	1	1	Put into service; make work or employ for a particular purpose or for its inherent or natural purpose	z001.s009.t002										
d001.s009.t004	to		X	n/a																
d001.s009.t005	treat	treat	V	治疗	VV	bn:00084532v	1	1	Provide treatment for	z001.s009.t003										
d001.s009.t006	two		X	两	CD					z001.s009.t004										
d001.s009.t007	types	type	N	类型	NN	bn:00078798n	1	1	A subdivision of a particular kind of thing	z001.s009.t006										
d001.s009.t008	of		X	的	DEG					z001.s009.t007										
d001.s009.t009	cancer	cancer	N	癌症	NN	bn:00015180n	1	1	Any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream	z001.s009.t008										
d001.s009.t010	:		X	：	PU					z001.s009.t009										
d001.s009.t011	pleural	pleural	J	膜	NN	bn:00108692a	0	0	Of or relating to the pleura or the walls of the thorax	z001.s009.t017	PoS Tag Mismatch								bn:00106591a;bn:00113529a	Relating to or made of or similar to a membrane;Of or relating to the velum
d001.s009.t012	mesothelioma	mesothelioma	N	胸膜➕瘤	NN	bn:00054512n	1	1	A form of carcinoma of the mesothelium lining lungs or abdomen or heart; usually associated with exposure to asbestos dust	z001.s009.t010➕z001.s009.t013										
d001.s009.t013	(		X	（	PU					z001.s009.t014										
d001.s009.t014	cancer	cancer	N	癌症	NN	bn:00015180n	1	1	Any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream	z001.s009.t018										
d001.s009.t015	of		X	n/a																
d001.s009.t016	the		X	n/a																
d001.s009.t017	lining	lining	N	胸膜	NN	bn:00051366n	1	1	A protective covering that protects an inside surface	z001.s009.t010										
d001.s009.t018	of		X	n/a																
d001.s009.t019	the		X	n/a																
d001.s009.t020	lungs	lung	N	肺部	NN	bn:00052341n	1	1	Either of two saclike respiratory organs in the chest of vertebrates; serves to remove carbon dioxide and provide oxygen to the blood	z001.s009.t015										
d001.s009.t021	that		X	，	PU					z001.s009.t019										
d001.s009.t022	is	be	V	n/a																
d001.s009.t023	usually	usually	R	通常	AD	bn:00114778r	1	1	Under normal conditions	z001.s009.t020										
d001.s009.t024	caused	cause	V	引起	VV	bn:00084069v	1	1	Cause to happen, occur or exist	z001.s009.t024										
d001.s009.t025	by		X	由	P					z001.s009.t021										
d001.s009.t026	exposure	exposure	N	接触	VV	bn:00032379n	0	1	The state of being vulnerable or exposed	z001.s009.t022	PoS Tag Mismatch								bn:00022113n;bn:01056317n;bn:01000452n;bn:00080118n;bn:14383959n;bn:17140905n;bn:15676731n;bn:15463959n;bn:00022112n;bn:00022118n;bn:00076032n	The act of touching physically;Contact is a 1985 hard science fiction novel by American scientist Carl Sagan.;The Touch is a 1971 romantic drama film directed by Ingmar Bergman and starring Max von Sydow, Bibi Andersson, Elliott Gould, and Sheila Reid.;The right granted by a court to a parent (or other relative) who is deprived of custody of a child to visit the child on a regular basis;In mathematics, two functions have a contact of order k if, at a point P, they have the same value and k equal derivatives.;VK is a Russian online social media and social networking service based in Saint Petersburg.;Contact is a 1997 American science fiction drama film directed by Robert Zemeckis, based on the 1985 novel by Carl Sagan.;Contact mechanics is the study of the deformation of solids that touch each other at one or more points.;Close interaction;(electronics) a junction where things (as two electrical conductors) touch or are in physical contact;The state of being tangent; having contact at a single point or along a line without crossing
d001.s009.t027	to		X	n/a																
d001.s009.t028	asbestos	asbestos	N	石棉	NN	bn:00006236n	1	1	A fibrous amphibole; used for making fireproof articles; inhaling fibers can cause asbestosis or lung cancer	z001.s009.t023										
d001.s009.t029	)		X	）	PU					z001.s009.t025										
d001.s009.t030	.		X	。	PU					z001.s009.t026										
d001.s010.t001	Alimta	alimta	N	Alimta	NN	bn:00602447n	1	1	Pemetrexed is a chemotherapy drug manufactured and marketed by Eli Lilly and Company.	z001.s010.t057										
d001.s010.t002	is	be	V	n/a																
d001.s010.t003	used	use	V	使用	VV	bn:00082705v	1	1	Put into service; make work or employ for a particular purpose or for its inherent or natural purpose	z001.s010.t069										
d001.s010.t004	together	together	R	一起	AD					z001.s010.t068										
d001.s010.t005	with		X	与	P					z001.s010.t058										
d001.s010.t006	cisplatin	cisplatin	N	铂	NN	bn:00577781n	1	1	Cisplatin is a chemotherapy medication used to treat a number of cancers.	z001.s010.t060										
d001.s010.t007	(		X	（	PU					z001.s010.t048										
d001.s010.t008	another		X	另	DT					z001.s010.t062										
d001.s010.t009	anticancer	anticancer	J	抗癌➕抗癌	JJ	bn:00097220a	1	1	Used in the treatment of cancer	z001.s010.t035➕z001.s010.t065										
d001.s010.t010	medicine	medicine	N	药物	NN	bn:00054128n	1	1	(medicine) something that treats or prevents or alleviates the symptoms of disease	z001.s010.t066										
d001.s010.t011	)		X	）	PU					z001.s010.t011										
d001.s010.t012	when		X	当	P					z001.s010.t001										
d001.s010.t013	the		X	n/a																
d001.s010.t014	cancer	cancer	N	癌症	NN	bn:00015180n	1	1	Any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream	z001.s010.t002										
d001.s010.t015	is	be	V	n/a																
d001.s010.t016	unresectable	unresectable	J	无法	AD					z001.s010.t003										
d001.s010.t017	(		X	（	PU					z001.s010.t005										
d001.s010.t018	cannot		X	不能	AD					z001.s010.t006										
d001.s010.t019	be	be	V	n/a																
d001.s010.t020	removed	remove	V	切除	VV	bn:00092783v	1	1	Remove something concrete, as by lifting, pushing, or taking off, or remove something abstract	z001.s010.t004										
d001.s010.t021	by		X	通过	P					z001.s010.t008										
d001.s010.t022	surgery	surgery	N	手术	NN	bn:00059129n	1	1	A medical procedure involving an incision with instruments; performed to repair damage or arrest disease in a living body	z001.s010.t009										
d001.s010.t023	alone	alone	J	仅	AD	bn:00096871a	0	1	Exclusive of anyone or anything else	z001.s010.t007										
d001.s010.t024	)		X	）	PU					z001.s010.t054										
d001.s010.t025	and		X	且	AD					z001.s010.t012										
d001.s010.t026	malignant	malignant	J	恶性	VA	bn:00106363a	1	1	Dangerous to health; characterized by progressive and uncontrolled growth (especially of a tumor)	z001.s010.t014										
d001.s010.t027	(		X	（	PU					z001.s010.t015										
d001.s010.t028	has	have	V	已经	AD					z001.s010.t016										
d001.s010.t029	spread	spread	V	扩散	VV	bn:00092083v	1	1	Become distributed or widespread	z001.s010.t017										
d001.s010.t030	,		X	或	CC					z001.s010.t018										
d001.s010.t031	or		X	或	CC					z001.s010.t018										
d001.s010.t032	is	be	V	n/a																
d001.s010.t033	likely	likely	J	可能	AD	bn:00105981a	0	1	Has a good chance of being the case or of coming about	z001.s010.t019	PoS Tag Mismatch								bn:00100185a;bn:00105981a;bn:00105982a;bn:00108830a	Capable of being imagined;Has a good chance of being the case or of coming about;Likely but not certain to be or become true or real;Existing in possibility
d001.s010.t034	to		X	n/a																
d001.s010.t035	spread	spread	V	扩散	VV	bn:00092083v	1	1	Become distributed or widespread	z001.s010.t021										
d001.s010.t036	easily	easily	R	轻易	AD	bn:00115155r	0	0	With ease (`easy' is sometimes used informally for `easily')	z001.s010.t020										
d001.s010.t037	,		X	，	PU					z001.s010.t056										
d001.s010.t038	to		X	到	VV					z001.s010.t022										
d001.s010.t039	other	other	J	其他	DT	bn:00108011a	0	0	Not the same one or ones already mentioned or implied- the White Queen	z001.s010.t024									bn:00108011a	Not the same one or ones already mentioned or implied- the White Queen
d001.s010.t040	parts	part	N	部位	NN	bn:00021395n	1	1	Something determined in relation to something that includes it	z001.s010.t025										
d001.s010.t041	of		X	n/a																
d001.s010.t042	the		X	n/a																
d001.s010.t043	body	body	N	身体	NN	bn:00011744n	1	1	The entire structure of an organism (an animal, plant, or human being)	z001.s010.t023										
d001.s010.t044	)		X	）	PU					z001.s010.t026										
d001.s010.t045	,		X	，	PU					z001.s010.t027										
d001.s010.t046	in		X	n/a																
d001.s010.t047	patients	patient	N	患者	NN	bn:00061017n	1	1	A person who requires medical care	z001.s010.t047										
d001.s010.t048	who		X	n/a																
d001.s010.t049	have	have	V	过	AS					z001.s010.t032										
d001.s010.t050	not	not	R	未	AD	bn:00116360r	1	1	Negation of a word or group of words	z001.s010.t030										
d001.s010.t051	received	receive	V	接受	VV	bn:00087863v	1	1	Go through (mental or physical states or experiences)	z001.s010.t031										
d001.s010.t052	chemotherapy	chemotherapy	N	化疗	NN	bn:00018141n	1	1	The use of chemical agents to treat or control disease (or mental illness)	z001.s010.t033										
d001.s010.t053	(		X	（	PU					z001.s010.t034										
d001.s010.t054	medicines	medicine	N	抗癌➕药物	JJ➕NN	bn:00054128n	0	1	(medicine) something that treats or prevents or alleviates the symptoms of disease	z001.s010.t035➕z001.s010.t036	second word matched									
d001.s010.t055	for		X	n/a																
d001.s010.t056	cancer	cancer	N	抗癌	JJ	bn:00015180n	0	0	Any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream	z001.s010.t035									bn:00015180n;bn:03273614n	Any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream;An anticarcinogen is a substance that counteracts the effects of a carcinogen or inhibits the development of cancer.
d001.s010.t057	)		X	）	PU					z001.s010.t037										
d001.s010.t058	before		X	之前	AD					z001.s010.t029										
d001.s010.t059	advanced	advanced	J	转移	JJ	bn:00096528a	0	0	Comparatively late in a course of development	z001.s010.t041									bn:00106664a	Relating to or affected by metastasis
d001.s010.t060	or		X	或	CC					z001.s010.t040										
d001.s010.t061	metastatic	metastatic	J	晚期	NN	bn:00106664a	1	0	Relating to or affected by metastasis	z001.s010.t039										
d001.s010.t062	non-small	non-small	J	非➕小	JJ					z001.s010.t043➕z001.s010.t044										
d001.s010.t063	cell	cell	N	细胞	NN	bn:00017027n	1	1	(biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as in monads) or may form colonies or tissues as in higher plants and animals	z001.s010.t045										
d001.s010.t064	lung	lung	N	n/a		bn:00052341n	0	0	Either of two saclike respiratory organs in the chest of vertebrates; serves to remove carbon dioxide and provide oxygen to the blood		missing translation									
d001.s010.t065	cancer	cancer	N	肺癌	NN	bn:00015180n	1	0	Any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream	z001.s010.t046										
d001.s010.t066	that		X	n/a																
d001.s010.t067	is	be	V	n/a																
d001.s010.t068	not	not	R	未	AD	bn:00116360r	1	1	Negation of a word or group of words	z001.s010.t049										
d001.s010.t069	affecting	affect	V	影响	VV	bn:00082427v	1	1	Act physically on; have an effect upon	z001.s010.t050										
d001.s010.t070	the		X	n/a																
d001.s010.t071	squamous	squamous	J	肺癌	NN					z001.s010.t046										
d001.s010.t072	cells	cell	N	患者➕细胞	NN	bn:00017027n	1	0	(biology) the basic structural and functional unit of all organisms; they may exist as independent units of life (as in monads) or may form colonies or tissues as in higher plants and animals	z001.s010.t047➕z001.s010.t053										
d001.s010.t073	.		X	。	PU					z001.s010.t070										
d001.s011.t001	Alimta	alimta	N	Alimta	NR	bn:00602447n	1	1	Pemetrexed is a chemotherapy drug manufactured and marketed by Eli Lilly and Company.	z001.s011.t010										
d001.s011.t002	is	be	V	与	CC					z001.s011.t011										
d001.s011.t003	used	use	V	使用	VV	bn:00082705v	1	1	Put into service; make work or employ for a particular purpose or for its inherent or natural purpose	z001.s011.t029										
d001.s011.t004	in		X	以前	NT					z001.s011.t002										
d001.s011.t005	combination	combination	N	联合	AD	bn:00020872n	1	1	A collection of things that have been combined; an assemblage of separate parts or qualities	z001.s011.t013										
d001.s011.t006	with		X	与	CC					z001.s011.t011										
d001.s011.t007	cisplatin	cisplatin	N	Alimta	NR	bn:00577781n	1	0	Cisplatin is a chemotherapy medication used to treat a number of cancers.	z001.s011.t026										
d001.s011.t008	in		X	对于	P					z001.s011.t001										
d001.s011.t009	patients	patient	N	患者	NN	bn:00061017n	1	1	A person who requires medical care	z001.s011.t008										
d001.s011.t010	who		X	的	DEC					z001.s011.t007										
d001.s011.t011	have	have	V	n/a																
d001.s011.t012	not	not	R	未	AD	bn:00116360r	1	1	Negation of a word or group of words	z001.s011.t003										
d001.s011.t013	been	be	V	接受	VV					z001.s011.t004										
d001.s011.t014	treated	treat	V	治疗	NN	bn:00084532v	1	1	Provide treatment for	z001.s011.t006										
d001.s011.t015	before		X	以前	NT					z001.s011.t002										
d001.s011.t016	,		X	，	PU					z001.s011.t009										
d001.s011.t017	and		X	；	PU					z001.s011.t015										
d001.s011.t018	on		X	n/a																
d001.s011.t019	its		X	n/a																
d001.s011.t020	own	own	J	单独	AD					z001.s011.t028										
d001.s011.t021	in		X	对于	P					z001.s011.t016										
d001.s011.t022	patients	patient	N	患者	NN	bn:00061017n	1	1	A person who requires medical care	z001.s011.t024										
d001.s011.t023	who		X	n/a																
d001.s011.t024	have	have	V	n/a																
d001.s011.t025	received	receive	V	接受	VV	bn:00087863v	1	1	Go through (mental or physical states or experiences)	z001.s011.t018										
d001.s011.t026	another		X	其他	DT					z001.s011.t020										
d001.s011.t027	type	type	N	类型	NN	bn:00078798n	1	1	A subdivision of a particular kind of thing	z001.s011.t021										
d001.s011.t028	of		X	n/a																
d001.s011.t029	chemotherapy	chemotherapy	N	化疗	NN	bn:00018141n	1	1	The use of chemical agents to treat or control disease (or mental illness)	z001.s011.t022										
d001.s011.t030	in		X	的	DEC					z001.s011.t023										
d001.s011.t031	the		X	n/a																
d001.s011.t032	past	past	N	以前	NT	bn:00060927n	1	1	The time that has elapsed	z001.s011.t017										
d001.s011.t033	.		X	，➕。	PU					z001.s011.t025➕z001.s011.t030										
d001.s012.t001	The		X	这	DT					z001.s012.t001										
