Token ID	Token	POS	Lemma	BN Synset
d001.s015.t007	平方米	NOUN	平方米	bn:00017102n
d001.s015.t008	体表	NOUN	体表	bn:00042601n
d001.s015.t009	面积	NOUN	面积	bn:00005518n
d001.s015.t010	500	X	500	
d001.s015.t011	毫克	NOUN	毫克	bn:00054701n
d001.s015.t012	（	X	（	
d001.s015.t013	根据	VERB	根据	bn:00032045n
d001.s015.t014	患者	NOUN	患者	bn:00061017n
d001.s015.t015	的	X	的	
d001.s015.t016	身高	NOUN	身高	bn:00043545n
d001.s015.t017	和	X	和	
d001.s015.t018	体重	NOUN	体重	bn:00011779n
d001.s015.t019	计算	VERB	计算	bn:00084373v
d001.s015.t020	）	X	）	
d001.s015.t021	。	X	。	
d001.s016.t001	每	X	每	
d001.s016.t002	三	X	三	
d001.s016.t003	周	NOUN	周	bn:00043484n
d001.s016.t004	进行	VERB	进行	bn:00085715v
d001.s016.t005	一	X	一	
d001.s016.t006	次	NOUN	次	bn:00019047n
d001.s016.t007	静脉	ADJ	静脉	bn:00113540a
d001.s016.t008	输	NOUN	输	bn:00090486v
d001.s016.t009	注	NOUN	注	bn:00091897v
d001.s016.t010	，	X	，	
d001.s016.t011	每次	ADV	每次	bn:00115252r
d001.s016.t012	持续	VERB	持续	bn:00090070v
d001.s016.t013	10	X	10	
d001.s016.t014	分钟	NOUN	分钟	bn:00055094n
d001.s016.t015	。	X	。	
d001.s017.t001	为了	X	为了	
d001.s017.t002	减少	VERB	减少	bn:00084079v
d001.s017.t003	副作用	NOUN	副作用	bn:00071445n
d001.s017.t004	，	X	，	
d001.s017.t005	患者	NOUN	患者	bn:00061017n
d001.s017.t006	在	X	在	
d001.s017.t007	使用	VERB	使用	bn:00082873v
d001.s017.t008	Alimta	NOUN	Alimta	bn:00006975n
d001.s017.t009	治疗	VERB	治疗	bn:00084532v
d001.s017.t010	期间	NOUN	期间	bn:00061605n
d001.s017.t011	应该	VERB	应该	bn:00083357v
d001.s017.t012	服用	VERB	服用	bn:00087321v
d001.s017.t013	皮质类固醇	NOUN	皮质类固醇	bn:00001507n
d001.s017.t014	和	X	和	
d001.s017.t015	叶酸	NOUN	叶酸	bn:00035585n
d001.s017.t016	（	X	（	
d001.s017.t017	一	X	一	
d001.s017.t018	种	NOUN	种	bn:00073210n
d001.s017.t019	维生素	NOUN	维生素	bn:00080147n
d001.s017.t020	）	X	）	
d001.s017.t021	，	X	，	
d001.s017.t022	并	ADV	并	bn:00114281r
d001.s017.t023	注射	VERB	注射	bn:00089749v
d001.s017.t024	维生素	NOUN	维生素	bn:00080147n
d001.s017.t025	B12	NOUN	B12	bn:00004712n
d001.s017.t026	。	X	。	
d001.s018.t001	当	X	当	
d001.s018.t002	Alimta	NOUN	Alimta	bn:00006975n
d001.s018.t003	与	X	与	
d001.s018.t004	顺铂	NOUN	顺铂	bn:00051454n
d001.s018.t005	一起	ADV	一起	bn:00114206r
d001.s018.t006	服用	VERB	服用	bn:00088826v
d001.s018.t007	时	X	时	
d001.s018.t008	，	X	，	
d001.s018.t009	还	ADV	还	bn:00115147r
d001.s018.t010	应	VERB	应	bn:00083181v
d001.s018.t011	在	X	在	
d001.s018.t012	顺铂	NOUN	顺铂	bn:00046516n
d001.s018.t013	给	VERB	给	bn:00082710v
d001.s018.t014	药	NOUN	药	bn:00054128n
d001.s018.t015	之前	ADV	之前	bn:00114512r
d001.s018.t016	或	X	或	
d001.s018.t017	之后	ADV	之后	bn:00115742r
d001.s018.t018	给予	VERB	给予	bn:00082364v
d001.s018.t019	止吐	ADJ	止吐	bn:00097030a
d001.s018.t020	药	NOUN	药	bn:00054128n
d001.s018.t021	（	X	（	
d001.s018.t022	以	X	以	
d001.s018.t023	防止	VERB	防止	bn:00082954v
d001.s018.t024	呕吐	NOUN	呕吐	bn:00027565n
d001.s018.t025	）	X	）	
d001.s018.t026	和	X	和	
d001.s018.t027	液体	NOUN	液体	bn:00035426n
d001.s018.t028	（	X	（	
d001.s018.t029	以	X	以	
d001.s018.t030	防止	VERB	防止	bn:00082954v
d001.s018.t031	脱水	NOUN	脱水	bn:00025983n
d001.s018.t032	）	X	）	
d001.s018.t033	。	X	。	
d001.s019.t001	对于	X	对于	
d001.s019.t002	血细胞	NOUN	血细胞	bn:00011360n
d001.s019.t003	计数	NOUN	计数	bn:00023140n
d001.s019.t004	异常	ADJ	异常	bn:00096158a
d001.s019.t005	或	X	或	
d001.s019.t006	出现	VERB	出现	bn:00082788v
d001.s019.t007	其他	ADJ	其他	bn:00108011a
d001.s019.t008	副作用	NOUN	副作用	bn:00071445n
d001.s019.t009	的	X	的	
d001.s019.t010	患者	NOUN	患者	bn:00061017n
d001.s019.t011	，	X	，	
d001.s019.t012	应	VERB	应	bn:00083181v
d001.s019.t013	推迟	VERB	推迟	bn:00086459v
d001.s019.t014	或	X	或	
d001.s019.t015	停止	VERB	停止	bn:00084710v
d001.s019.t016	治疗	NOUN	治疗	bn:00047235n
d001.s019.t017	，	X	，	
d001.s019.t018	或	X	或	
d001.s019.t019	减少	VERB	减少	bn:00084079v
d001.s019.t020	剂量	NOUN	剂量	bn:00028320n
d001.s019.t021	。	X	。	
d001.s020.t001	不	ADV	不	bn:00057809n
d001.s020.t002	建议	VERB	建议	bn:00082417v
d001.s020.t003	患有	VERB	患有	bn:00086708v
d001.s020.t004	中度	ADJ	中度	bn:00017216n
d001.s020.t005	或	X	或	
d001.s020.t006	重度	ADJ	重度	bn:00104589a
d001.s020.t007	肾脏	NOUN	肾脏	bn:00049083n
d001.s020.t008	疾病	NOUN	疾病	bn:00027546n
d001.s020.t009	的	X	的	
d001.s020.t010	患者	NOUN	患者	bn:00061017n
d001.s020.t011	使用	VERB	使用	bn:00082873v
d001.s020.t012	Alimta	NOUN	Alimta	bn:00052120n
d001.s020.t013	。	X	。	
d001.s021.t001	欲	VERB	欲	bn:00083181v
d001.s021.t002	了解	VERB	了解	bn:00095375v
d001.s021.t003	更	ADV	更	bn:00116284r
d001.s021.t004	多	X	多	
d001.s021.t005	信息	NOUN	信息	bn:00046698n
d001.s021.t006	，	X	，	
d001.s021.t007	请	VERB	请	bn:00082828v
d001.s021.t008	参阅	VERB	参阅	bn:00088489v
d001.s021.t009	产品	NOUN	产品	bn:00054416n
d001.s021.t010	特性	NOUN	特性	bn:00017762n
d001.s021.t011	摘要	NOUN	摘要	bn:00000489n
d001.s021.t012	（	X	（	
d001.s021.t013	也	ADV	也	bn:00114246r
d001.s021.t014	是	VERB	是	bn:00083182v
d001.s021.t015	EPAR	NOUN	EPAR	bn:00059436n
d001.s021.t016	的	X	的	
d001.s021.t017	一部分	NOUN	一部分	bn:00021395n
d001.s021.t018	）	X	）	
d001.s021.t019	。	X	。	
d001.s022.t001	Alimta	NOUN	Alimta	bn:00014919n
d001.s022.t002	如何	ADV	如何	bn:00114422r
d001.s022.t003	发挥	VERB	发挥	bn:00087833v
d001.s022.t004	作用	NOUN	作用	bn:00036822n
d001.s022.t005	？	X	？	
d001.s023.t001	Alimta	NOUN	Alimta	bn:00006975n
d001.s023.t002	中	X	中	
d001.s023.t003	的	X	的	
d001.s023.t004	活性	ADJ	活性	bn:00001174n
d001.s023.t005	成分	NOUN	成分	bn:00046750n
d001.s023.t006	培美曲塞	NOUN	培美曲塞	bn:00026482n
d001.s023.t007	是	VERB	是	bn:00083181v
d001.s023.t008	一	X	一	
d001.s023.t009	种	NOUN	种	bn:00070254n
d001.s023.t010	细胞	NOUN	细胞	bn:00017027n
d001.s023.t011	毒	ADJ	毒	bn:00063256n
d001.s023.t012	药物	NOUN	药物	bn:00028872n
d001.s023.t013	（	X	（	
d001.s023.t014	杀死	VERB	杀死	bn:00090098v
d001.s023.t015	正在	ADV	正在	bn:00117138r
d001.s023.t016	分裂	VERB	分裂	bn:00084611v
d001.s023.t017	的	X	的	
d001.s023.t018	细胞	NOUN	细胞	bn:00017027n
d001.s023.t019	，	X	，	
d001.s023.t020	如	ADV	如	bn:00115147r
d001.s023.t021	癌细胞	NOUN	癌细胞	bn:00015187n
d001.s023.t022	的	X	的	
d001.s023.t023	药物	NOUN	药物	bn:00028872n
d001.s023.t024	）	X	）	
d001.s023.t025	，	X	，	
d001.s023.t026	属于	VERB	属于	bn:00083389v
d001.s023.t027	抗代谢药	NOUN	抗代谢药	bn:00004691n
d001.s023.t028	类	NOUN	类	bn:00016733n
d001.s023.t029	。	X	。	
d001.s024.t001	在	X	在	
d001.s024.t002	体内	NOUN	体内	bn:00105292a
d001.s024.t003	，	X	，	
d001.s024.t004	培美曲塞	NOUN	培美曲塞	bn:00046516n
d001.s024.t005	被	X	被	
d001.s024.t006	转化	VERB	转化	bn:00095092v
d001.s024.t007	成	X	成	
d001.s024.t008	活性	ADJ	活性	bn:00001174n
d001.s024.t009	形式	NOUN	形式	bn:00035908n
d001.s024.t010	，	X	，	
d001.s024.t011	从而	ADV	从而	bn:00117263r
d001.s024.t012	抑制	VERB	抑制	bn:00085638v
d001.s024.t013	参与	VERB	参与	bn:00091450v
d001.s024.t014	生成	VERB	生成	bn:00086708v
d001.s024.t015	核苷酸	NOUN	核苷酸	bn:00008788n
d001.s024.t016	（	X	（	
d001.s024.t017	DNA	NOUN	DNA	bn:00026301n
d001.s024.t018	和	X	和	
d001.s024.t019	RNA	NOUN	RNA	bn:00067714n
d001.s024.t020	的	X	的	
d001.s024.t021	组成部分	NOUN	组成部分	bn:00021396n
d001.s024.t022	，	X	，	
d001.s024.t023	即	VERB	即	bn:00115715r
d001.s024.t024	细胞	NOUN	细胞	bn:00017027n
d001.s024.t025	的	X	的	
d001.s024.t026	遗传物质	NOUN	遗传物质	bn:00037738n
d001.s024.t027	）	X	）	
d001.s024.t028	的	X	的	
d001.s024.t029	酶	NOUN	酶	bn:00031085n
d001.s024.t030	的	X	的	
d001.s024.t031	活性	NOUN	活性	bn:00001174n
d001.s024.t032	。	X	。	
d001.s025.t001	Alimta	NOUN	Alimta	bn:00069450n
d001.s025.t002	的	X	的	
d001.s025.t003	研究	NOUN	研究	bn:00067280n
d001.s025.t004	进展	VERB	进展	bn:00001557n
d001.s025.t005	如何	ADV	如何	bn:00114073r
d001.s025.t006	？	X	？	
d001.s026.t001	为了	X	为了	
d001.s026.t002	治疗	VERB	治疗	bn:00084532v
d001.s026.t003	恶性	ADJ	恶性	bn:00106363a
d001.s026.t004	胸膜间	ADJ	胸膜间	bn:00099465a
d001.s026.t005	皮瘤	NOUN	皮瘤	bn:00099307a
d001.s026.t006	，	X	，	
d001.s026.t007	Alimta	NOUN	Alimta	bn:00046516n
d001.s026.t008	已	ADV	已	bn:00114245r
d001.s026.t009	在	X	在	
d001.s026.t010	一	X	一	
d001.s026.t011	项	NOUN	项	bn:00056816n
d001.s026.t012	主要	ADJ	主要	bn:00099598a
d001.s026.t013	研究	NOUN	研究	bn:00067280n
d001.s026.t014	中	X	中	
d001.s026.t015	对	X	对	
d001.s026.t016	456	X	456	
d001.s026.t017	名	NOUN	名	bn:00056758n
d001.s026.t018	之前	ADV	之前	bn:00114512r
d001.s026.t019	未	ADV	未	bn:00115313r
d001.s026.t020	接受	VERB	接受	bn:00082199v
d001.s026.t021	过	X	过	
d001.s026.t022	化疗	NOUN	化疗	bn:00001124n
d001.s026.t023	的	X	的	
d001.s026.t024	患者	NOUN	患者	bn:00061017n
d001.s026.t025	进行	VERB	进行	bn:00088913v
d001.s026.t026	了	X	了	
d001.s026.t027	研究	NOUN	研究	bn:00067280n
d001.s026.t028	。	X	。	
d001.s027.t001	比较	VERB	比较	bn:00085450v
d001.s027.t002	了	X	了	
d001.s027.t003	Alimta	NOUN	Alimta	bn:00006975n
d001.s027.t004	与	X	与	
d001.s027.t005	顺铂	NOUN	顺铂	bn:00075785n
d001.s027.t006	联合	ADV	联合	bn:00082868v
d001.s027.t007	治疗	VERB	治疗	bn:00084532v
d001.s027.t008	与	X	与	
d001.s027.t009	单独	ADV	单独	bn:00110423a
d001.s027.t010	使用	VERB	使用	bn:00082873v
d001.s027.t011	顺铂	NOUN	顺铂	bn:00046516n
d001.s027.t012	治疗	VERB	治疗	bn:00084532v
d001.s027.t013	的	X	的	
d001.s027.t014	效果	NOUN	效果	bn:00021961n
d001.s027.t015	。	X	。	
d001.s028.t001	在	X	在	
d001.s028.t002	非	ADJ	非	bn:00098251a
d001.s028.t003	小	ADJ	小	bn:00106058a
d001.s028.t004	细胞	NOUN	细胞	bn:00017027n
d001.s028.t005	肺癌	NOUN	肺癌	bn:00052343n
d001.s028.t006	的	X	的	
d001.s028.t007	治疗	NOUN	治疗	bn:00047235n
d001.s028.t008	方面	NOUN	方面	bn:00006382n
d001.s028.t009	，	X	，	
d001.s028.t010	一	X	一	
d001.s028.t011	项	NOUN	项	bn:00056816n
d001.s028.t012	涉及	VERB	涉及	bn:00083240v
d001.s028.t013	571	X	571	
d001.s028.t014	名	NOUN	名	bn:00056758n
d001.s028.t015	既往	ADV	既往	bn:00115147r
d001.s028.t016	接受	VERB	接受	bn:00082201v
d001.s028.t017	过	X	过	
d001.s028.t018	化疗	NOUN	化疗	bn:00001124n
d001.s028.t019	的	X	的	
d001.s028.t020	局部	ADV	局部	bn:00021395n
d001.s028.t021	晚期	ADJ	晚期	bn:00096528a
d001.s028.t022	或	X	或	
d001.s028.t023	转移性	ADJ	转移性	bn:00054585n
d001.s028.t024	疾病	NOUN	疾病	bn:00027546n
d001.s028.t025	患者	NOUN	患者	bn:00061017n
d001.s028.t026	的	X	的	
d001.s028.t027	研究	NOUN	研究	bn:00067280n
d001.s028.t028	比较	VERB	比较	bn:00085450v
d001.s028.t029	了	X	了	
d001.s028.t030	Alimta	NOUN	Alimta	bn:00046516n
d001.s028.t031	与	X	与	
d001.s028.t032	多西他赛	NOUN	多西他赛	bn:00028512n
d001.s028.t033	（	X	（	
d001.s028.t034	另	X	另	
d001.s028.t035	一	X	一	
d001.s028.t036	种	NOUN	种	bn:00073210n
d001.s028.t037	抗癌	ADJ	抗癌	bn:00097220a
d001.s028.t038	药物	NOUN	药物	bn:00028872n
d001.s028.t039	）	X	）	
d001.s028.t040	的	X	的	
d001.s028.t041	效果	NOUN	效果	bn:00021961n
d001.s028.t042	。	X	。	
d001.s029.t001	在	X	在	
d001.s029.t002	一	X	一	
d001.s029.t003	项	NOUN	项	bn:00056816n
