ID	English	Chinese Translation
d001.s024	In the body , pemetrexed is converted into an active form that blocks the activity of the enzymes that are involved in producing nucleotides ( the building blocks of DNA and RNA , the genetic material of cells ) .	在体内，培美曲塞被转化成活性形式，从而抑制参与生成核苷酸（DNA 和 RNA 的组成部分，即细胞的遗传物质）的酶的活性。
d001.s025	How has Alimta been studied ?	Alimta 的研究进展如何？
d001.s026	For the treatment of malignant pleural mesothelioma , Alimta has been studied in one main study in 456 patients who had not received chemotherapy for their disease before .	为了治疗恶性胸膜间皮瘤，Alimta 已在一项主要研究中对 456 名之前未接受过化疗的患者进行了研究。
d001.s027	The effects of Alimta in combination with cisplatin were compared with those of cisplatin alone .	比较了 Alimta 与顺铂联合治疗与单独使用顺铂治疗的效果。
d001.s028	For the treatment of non-small cell lung cancer , the effects of Alimta were compared with those of docetaxel ( another anticancer medicine ) in one study involving 571 patients with locally advanced or metastatic disease who had received chemotherapy in the past .	在非小细胞肺癌的治疗方面，一项涉及 571 名既往接受过化疗的局部晚期或转移性疾病患者的研究比较了 Alimta 与多西他赛（另一种抗癌药物）的效果。
d001.s029	Alimta was also compared with gemcitabine ( another anticancer medicine ) , both in combination with cisplatin , in a study involving 1,725 patients who had not received chemotherapy for lung cancer in the past .	在 一项 涉及 1725 名过去未接受过化疗的肺癌患者的研究中，阿利泰与吉西他滨 ( 另 一种 抗癌药 ) 进行了比较，两者都与顺铂联合使用。
d001.s030	In all three studies , the main measure of effectiveness was how long the patients survived .	在这三项研究中，疗效的主要衡量标准是患者存活的时间。
d001.s031	What benefit has Alimta shown during the studies ?	Alimta 在研究期间显示出了什么益处？
d001.s032	Alimta increased the survival time of patients with malignant pleural mesothelioma .	Alimta 延长了恶性胸膜间皮瘤患者的生存时间。
d001.s033	Patients receiving Alimta and cisplatin survived for an average of 12.1 months , compared with 9.3 months in those receiving cisplatin alone .	接受 Alimta 和顺铂治疗的患者平均生存期为 12.1 个月，而仅接受顺铂治疗的患者平均生存期为 9.3 个月。
d001.s034	In the treatment of patients with non-small cell lung cancer , Alimta was as effective as the comparators .	在治疗非小细胞肺癌患者方面，Alimta与对照药物一样有效。
d001.s035	In patients who had received chemotherapy in the past , the average survival time was 8.3 months with Alimta , compared with 7.9 months with docetaxel .	对于过去接受过化疗的患者，使用 Alimta 治疗后平均生存期为 8.3 个月，而使用多西他赛治疗后平均生存期为 7.9 个月。
d001.s036	In patients who had not received chemotherapy in the past , the average survival time was 10.3 months in both groups .	对于既往未接受过化疗的患者，两组平均生存期均为10.3个月。
d001.s037	However , in both studies , patients whose cancer was not affecting squamous cells had longer survival times if they received Alimta than if they received the comparator .	然而，在这两项研究中，对于癌症未影响到鳞状细胞的患者，接受 Alimta 治疗的患者比接受对照药物治疗的患者存活时间更长。
d001.s038	In contrast , patients whose cancer was affecting squamous cells had shorter survival times if they received Alimta .	相反，癌症影响鳞状细胞的患者如果接受 Alimta 治疗则存活时间较短。
d002.s001	kalgebra is a mathematical calculator based on content markup MathML language .	kalgebra 是一个基于内容标记 MathML 语言的数学计算器。
d002.s002	Nowadays it is capable to make simple MathML operations ( arithmetic and logical ) and to representate 2D and 3D graphs .	现在它能够进行简单的 MathML 运算（算术和逻辑）以及表示 2D 和 3D 图形。
d002.s003	It is actually not necessary to know MathML to use kalgebra .	实际上，不需要了解 MathML 就可以使用 kalgebra 。
d002.s004	kalgebra is a MathML based graph calculator .	kalgebra 是一个基于 MathML 的图形计算器。
d002.s005	Although it was initially MathML oriented it can now be used by everyone with little mathematical knowledge .	尽管它最初是面向 MathML 的，但现在任何具有少量数学知识的人都可以使用它。
d002.s006	Here 's a screenshot of kalgebra main window	这是 kalgebra 主窗口的屏幕截图
d002.s007	kalgebra main window	kalgebra 主窗口
d002.s008	kalgebra main window consists in a Console tab , a 2D Graph tab , a 3D Graph tab and a Dictionary tab .	kalgebra 主窗口由一个控制台选项卡、一个二维图形选项卡、一个三维图形选项卡和一个词典选项卡组成。
d002.s009	Below these tabs you will find an input field to type your functions or do your calculations .	在这些选项卡下面，您将看到一个输入字段，您可以用它来输入函数或进行计算。
d002.s010	If we want to understand how it works , the best thing we can do is to realize that our input is being converted into MathML although it is not necessary to know MathML .	如果我们想了解它是如何工作的，我们能做的最好的事情就是意识到我们的输入正在转换成 MathML，尽管没有必要了解 MathML。
d002.s011	I have based the syntax basically on common sense , it should not be hard for anyone .	我的语法基本上是基于常识的，对于任何人来说这都应该不难。
d002.s012	I ve looked closely to maxima and maple s syntax so they look very similar .	我仔细研究了 maxima 和 maple 的语法，发现它们看起来非常相似。
d002.s013	+ - * / : Addition , subtraction , multiplication and division .	+-*/：加、减、乘、除。
d002.s014	^ , ** : Power , you can use them both .	^，**：力量，你可以同时使用它们。
d002.s015	Also it is possible to use the unicode ² characters .	也可以使用unicode²字符。
d002.s016	Powers are one way to make roots too .	权力也是建立根基的一种方法。
d002.s017	-gt : It s the way to specify the bounded variable in a function .	-gt ：这是在函数中指定有界变量的方法。
d002.s018	( ) : It is used to specify a higher priority .	（）：用于指定较高的优先级。
d002.s019	abc(params) : When the parser finds a function , it checks if abc is an operator .	abc(params) ：当解析器找到一个函数时，它会检查 abc 是否是一个运算符。
d002.s020	If it is , it will be treated as an operator , if it is not , it will be treated as a user function .	如果是，它将被视为运算符，如果不是，它将被视为用户函数。
d002.s021	: = : It is used to define a variable value .	：=：用于定义一个变量值。
d002.s022	? : Piecewise condition definition .	？：分段条件定义。
d002.s023	Piecewise is the way we can define conditional operations in kalgebra .	我们可以在 kalgebra 中定义条件运算的方式是分段方式。
d002.s024	If we introduce the condition before the ? it will use this condition only if it is true , if it finds a ? without any condition , it will enter in the last instance .	如果我们在 ? 之前引入条件，则仅当条件为真时才会使用此条件，如果发现没有任何条件的 ?，它将进入最后一个实例。
d002.s025	{ } : MathML container .	{ } ：MathML 容器。
d002.s026	It can be used to define a container .	它可用于定义一个容器。
d002.s027	Mainly useful for working with piecewise .	主要用于分段工作。
d002.s028	Now you could ask me , why should the user mind about MathML ?	现在您可能会问我，用户为什么要介意 MathML？
d002.s029	That s easy . With this , we can operate with functions like cos() , sin() , any other trigonometric functions , sum() or product() .	这很简单。有了它，我们就可以操作 cos() 、 sin() 等函数，以及任何其他三角函数、 sum() 或 product() 。
d002.s030	It does not matter what kind it is .	不管是哪种类型。
d002.s031	We can use plus() , times() and everything which has its operator .	我们可以使用 plus()、times() 以及所有带有其运算符的函数。
d002.s032	kalgebra 's console is useful as a calculator .	kalgebra 的控制台可用作计算器。
d002.s033	There you have a list of the declared variables .	这里有一个已声明变量的列表。
d002.s034	By double clicking on them you will see a dialog that lets you change their values ( just a way to trick the log ) .	通过双击它们，您将看到一个对话框，您可以更改它们的值（这只是一种欺骗日志的方法）。
d002.s035	"Every time you enter an expression , the "" ans "" variable value will be changed to the last result ."	每次输入一个表达式时，“ans”变量的值都会改变为最后一个结果。
d002.s036	Ctrl N New Window	Ctrl N 新窗口
d002.s037	Flushes the log .	刷新日志。
d002.s038	Ctrl L Load Script	Ctrl L 加载脚本
d002.s039	Executes the instructions in a file sequentially .	按顺序执行文件中的指令。
d002.s040	Nice if you want to define some libraries or resume some previous work .	如果您想定义一些库或者恢复一些以前的工作，那就太好了。
d002.s041	Ctrl G Save Script	Ctrl G 保存脚本
d002.s042	Saves the instructions you have typed since the session began to be able to reuse .	保存您自会话开始以来键入的指令，以便能够重复使用。
d002.s043	Generates text files so it should be easy to fix using any text editor , like Kate .	生成文本文件，因此使用任何文本编辑器（如 Kate）都可以轻松修复。
d002.s044	Ctrl S Save Log	Ctrl S 保存日志
d002.s045	Saves the log with all results into an HTML file to be able to print or publish .	将所有结果的日志保存到 HTML 文件中，以便打印或发布。
d002.s046	Ctrl Q Quit	Ctrl Q 退出
d002.s047	Shuts the program down .	关闭程序。
d002.s048	To add a new 2D graph on kalgebra , what you have to do is to go to the 2D Graph tab and click in the Add tab to add the new function .	要在 kalgebra 上添加新的 2D 图形，您需要做的是转到“2D 图形”选项卡，然后单击“添加”选项卡以添加新函数。
d002.s049	Then your focus will go to an input text box where you can type your function .	然后你的焦点将转到输入文本框，你可以在其中输入你的函数。
d002.s050	If you want to use a typical f(x) function it is not necessary to specify it .	如果您想使用典型的 f(x) 函数，则无需指定它。
d002.s051	If you have entered the function click on the OK button to display the graph in the main window .	如果您已经输入该功能请单击“确定”按钮以在主窗口中显示图表。
d002.s052	You can set several graphs on the same view .	您可以在同一视图上设置多个图表。
d002.s053	Just use the Add button when you are in List mode .	当您处于列表模式时，只需使用添加按钮即可。
d002.s054	You can set each graph its own color .	您可以为每个图形设置其自己的颜色。
d003.s002	The Foundation has recently been involved in organising a conference which dealt with this critical challenge .	该基金会最近参与组织了一次应对这一严峻挑战的会议。
d003.s003	Over 100 participants from the main interest groups attended and debated issues such as the role of key actors including public authorities , social partners , voluntary and community organisations as well as service users .	来自各主要利益群体的 100 多名参与者出席了会议，并就公共当局、社会伙伴、志愿者和社区组织以及服务用户等主要参与者的作用等问题进行了辩论。
d003.s004	There were relatively few cases reported of attempts to involve users in service planning but their involvement in service provision was found to be more common .	报告显示，尝试让用户参与服务规划的案例相对较少，但用户参与服务提供的情况却更为常见。
d003.s005	Note was also taken of the variety of different roles played by public welfare	还注意到公共福利发挥着各种不同的作用
d003.s006	The Foundation organised , together with the European Commission , the Spanish Ministry of Social Affairs and the Galician regional government , a European conference on social exclusion : a major challenge for public welfare services .	该基金会与欧盟委员会、西班牙社会事务部和加利西亚大区政府联合举办了一次以“社会排斥：公共福利服务面临的重大挑战”为主题的欧洲会议。
d003.s007	The Foundation recently published a comparative study as part of the EPOC project which assesses the extent to which direct participation can humanise work while increasing profitability .	作为 EPOC 项目的一部分，该基金会最近发布了一项比较研究，该项目评估了直接参与在多大程度上可以使工作人性化同时提高盈利能力。
d003.s008	The study is based on 195 personal interviews with senior officials of the social partners as representatives of national level peak organisations in fifteen European countries .	该研究基于对来自欧洲 15 个国家的国家级高峰组织的代表社会伙伴高级官员进行的 195 次个人访谈。
d003.s009	As important industrial sectors , the metal industry and the banking sector were also included .	作为重要的工业部门，金属工业和银行业也被纳入其中。
d003.s010	Key speakers at the social exclusion conference were ( left to right ) Cristina Louro , Employment , Industrial Relations and Social Affairs Directorate , European Commission Fernando Gomes , a high degree of Committee of the Regions Barbara Weiler , Member of the European Parliament José Maria Gil-Robles , Vice-President , European Parliament and John Carroll , Economic and Social Committee .	社会排斥会议的主要发言人有（从左到右）欧盟委员会就业、劳资关系和社会事务司的克里斯蒂娜·洛罗（Cristina Louro）、欧洲议会议员、地区高级委员会委员费尔南多·戈麦斯（Fernando Gomes）、欧洲议会议员、欧洲议会副主席何塞·玛丽亚·吉尔-罗夫莱斯（José Maria Gil-Robles）和经济和社会委员会委员约翰·卡罗尔（John Carroll）。
d003.s011	Case Studies Each national report contains a portfolio of between 25 and 30 initiatives which best present policies and practices to improve the recruitment , training and development of ageing workers in both the work place and the community .	案例研究 每一份国家报告都包含25至30项举措，这些举措最好地介绍了改善工作地点和社区中老龄工人的招聘、培训和发展的政策和实践。
d003.s012	For each country , two or three initiatives have been selected for further in depth case study .	对于每个国家，我们选取了两到三个举措进行进一步深入的案例研究。
d003.s013	These case studies analysed the background of the initiatives , their impact on employment patterns and work organisations and assessed the benefits and problems of the initiative .	这些案例研究分析了这些举措的背景、它们对就业模式和工作组织的影响，并评估了这些举措的好处和问题。
d003.s014	Visits and interviews with key personnel were also undertaken .	我们还对主要人员进行了走访和访谈。
d003.s015	These national studies will form the basis of a European report which synthesises overall practices .	这些国家研究将形成一份综合整体实践的欧洲报告的基础。
d003.s016	The report and a case book of initiatives will be published in 1996 and provide the backdrop for a conference to be staged in Autumn , 1996 .	该报告及一系列举措案例将于1996年出版，并为1996年秋季举行的会议提供背景。
d003.s017	The Foundation aims to document the characteristics of age barriers in job recruitment and training and to analyse their causes .	该基金会的目标是记录求职招聘和培训中年龄障碍的特点并分析其原因。
d003.s018	The perspectives of the social partners is also being examined , with particular attention paid to proposals for removing age barriers .	社会 伙伴 的 观点 也 正在 接受 审查 , 其中 特别 关注 消除 年龄 障碍 的 建议 .
d003.s019	Thirdly , the project documents and assesses initiatives , in both the public and private sectors which combat age barriers , especially for older workers .	第三，该项目记录并评估了公共和私营部门消除年龄障碍（特别是针对老年工人）的举措。
d003.s020	Seeking alternatives to early retirement and redundancy , the project is primarily concerned with the retention , reintegration and retraining of older workers .	为了寻求提前退休和裁员的替代方案，该项目主要关注老年工人的保留、重返社会和再培训。
d003.s021	The gender and ethnic backgrounds of workers and how these relate to age discrimination are examined .	研究了工人的性别和种族背景以及这些与年龄歧视的关系。
d003.s022	The project also considers initiatives to combat age discrimination in rural areas and in small and medium sized enterprises .	该项目还考虑采取举措，打击农村地区和中小企业中的年龄歧视。
d003.s023	Seven member states are covered by the project : Belgium , France , Germany , Greece , Italy , the Netherlands and the United Kingdom .	此项目覆盖七个成员国：比利时、法国、德国、希腊、意大利、荷兰和英国。
d004.s001	This document is a summary of the European Public Assessment Report .	本文件是欧洲公共评估报告的摘要。
d004.s002	It explains how the Committee for Medicinal Products for Veterinary Use ( CVMP ) assessed the studies performed , to reach their recommendations on how to use the medicine .	它解释了兽药委员会 (CVMP) 如何评估所进行的研究，以得出关于如何使用该药物的建议。
d004.s003	What is Cerenia ?	Cerenia 是什么？
d004.s004	Cerenia contains the active substance maropitant and is available as tablet or as solution for injection .	Cerenia 含有活性物质马罗匹坦，有片剂和注射液两种形式。
d004.s005	The tablets are pale-orange and have a score line on both sides so that they can be halved .	药片呈淡橙色，两面都有刻痕，可以切成两半。
d004.s006	Each tablet is marked with the Pfizer logo on one side and with the letters MPT and the quantity of maropitant on the other side .	每片药片一面标有辉瑞标志，另一面标有字母 MPT 和马罗匹坦的数量。
d004.s007	What is Cerenia used for ?	Cerenia 用于什么？
d004.s008	Cerenia is an anti-emetic , this means that it stops vomiting .	Cerenia 是一种止吐药，这意味着它可以停止呕吐。
d004.s009	It is used in dogs to prevent vomiting such as vomiting caused by chemotherapy ( medicines used for the treatment of cancer , some of which are known to cause vomiting ) .	它用于防止狗出现呕吐，例如化疗引起的呕吐（用于治疗癌症的药物，其中一些已知会引起呕吐）。
d004.s010	In combination with supportive measures such as other veterinary treatment or a special diet , Cerenia can also be used in the treatment of vomiting ( either as injection or as injection followed by tablets ) .	与其他兽医治疗或特殊饮食等支持措施相结合，Cerenia 也可用于治疗呕吐（注射或注射后服用药片）。
d004.s011	For these purposes , Cerenia can be given for up to five days	为了达到这些目的，Cerenia 最多可以服用五天
d004.s012	How does Cerenia work ?	Cerenia 如何发挥作用？
d004.s013	Cerenia blocks a neurokinin 1 ( NK1 ) receptor , which acts in the central nervous system .	Cerenia 可阻断神经激肽 1 ( NK1 ) 受体，该受体在中枢神经系统中起作用。
d004.s014	How has Cerenia been studied ?	如何对 Cerenia 进行研究？
d004.s015	A large number of studies with Cerenia were carried out either in laboratory dogs or in animal patients at veterinary practises in several European countries and in the USA .	在欧洲多个国家和美国的兽医诊所中，对实验犬和动物患者进行了大量有关 Cerenia 的研究。
d004.s016	What benefit has Cerenia shown during the studies ?	Cerenia 在研究期间表现出了什么益处？
d004.s017	The results of the studies showed that Cerenia was more effective than the placebo : less vomiting was seen in dogs that received the medicine than in dogs that received a placebo , both in the treatment or in the prevention of vomiting .	研究结果表明，Cerenia 比安慰剂更有效：无论是在治疗还是预防呕吐方面，服用该药物的狗的呕吐次数都比服用安慰剂的狗少。
d004.s018	The treatment of a vomiting dog should be started with the injection , since vomiting animals might not be able to keep a tablet down ( as they might throw the intact tablet up again ) .	治疗呕吐的狗应该从注射开始，因为呕吐的动物可能无法吞下药片（因为它们可能会再次将完整的药片吐出来）。
d004.s019	For follow-up treatment , the animal owner can administer the tablets to the dog .	为了进行后续治疗，动物主人可以给狗服用药片。
d004.s020	Also , the treatment of vomiting should only be together with other supportive measure or other veterinary therapy while addressing the underlying causes of the vomiting .	此外，呕吐的治疗应与其他支持措施或其他兽医疗法一起进行，同时解决呕吐的根本原因。
d004.s021	What is the risk associated with Cerenia ?	Cerenia 有哪些风险？
d004.s022	Cerenia was generally well tolerated when administered daily at dosages up to 5 times the recommended doses for an extended period of time ( up to 3 times the recommended maximum duration of treatment ) .	当每日服用剂量高达推荐剂量的 5 倍并且持续较长时间（高达建议最大治疗时间的 3 倍）时，Cerenia 通常耐受性良好。
d004.s023	What are the precautions for the person who gives the medicine or comes into contact with the animal ?	给动物注射药物或者接触动物的人需要注意什么？
d004.s024	Cerenia does not represent a particular risk for people .	Cerenia 并不会对人体造成特别的风险。
