d001.s001.t002  bn:00028015n
d001.s009.t001  bn:00602447n                   
d001.s009.t002  bn:00082705v                   
d001.s009.t003  bn:00084532v                   
d001.s009.t005  bn:00078798n                   
d001.s009.t006  bn:00078798n                   
d001.s009.t008  bn:00015180n                   
d001.s009.t010  bn:00051366n                   
d001.s009.t015  bn:00052341n                   
d001.s009.t016  bn:00054285n                   
d001.s009.t017  bn:00015180n                   
d001.s009.t019  bn:00114778r                   
d001.s009.t021  bn:00095040v                   
d001.s009.t022  bn:00006236n                   
d001.s009.t023  bn:00084069v                   
d001.s010.t002  bn:00015180n                   
d001.s010.t003  bn:13653537a                   
d001.s010.t006  bn:00114234r                   
d001.s010.t008  bn:00059129n                   
d001.s010.t009  bn:00082590v                   
d001.s010.t013  bn:00106363a                   
d001.s010.t015  bn:00114245r                   
d001.s010.t016  bn:00092083v                   
d001.s010.t018  bn:00114523r                   
d001.s010.t019  bn:00115155r                   
d001.s010.t020  bn:00092083v                   
d001.s010.t022  bn:00011744n                   
d001.s010.t023  bn:00108011a                   
d001.s010.t024  bn:00021395n                   
d001.s010.t028  bn:00114512r                   
d001.s010.t029  bn:00116360r                   
d001.s010.t030  bn:00087863v                   
d001.s010.t032  bn:00018141n                   
d001.s010.t034  bn:00097220a                   
d001.s010.t035  bn:00054128n                   
d001.s010.t038  bn:00096528a                   
d001.s010.t040  bn:00106664a                   
d001.s010.t044  bn:00017027n                   
d001.s010.t045  bn:00015180n                   
d001.s010.t046  bn:00061017n                   
d001.s010.t048  bn:00116360r                   
d001.s010.t049  bn:00082427v                   
d001.s010.t056  bn:00602447n                   
d001.s010.t059  bn:00577781n                   
d001.s010.t063  bn:00078798n                   
d001.s010.t064  bn:00097220a                   
d001.s010.t065  bn:00054128n                   
d001.s010.t067  bn:00114206r                   
d001.s010.t068  bn:00082705v                   
d001.s011.t002  bn:00114512r                   
d001.s011.t003  bn:00116360r                   
d001.s011.t004  bn:00087863v                   
d001.s011.t006  bn:00047235n                   
d001.s011.t008  bn:00061017n                   
d001.s011.t010  bn:00602447n                   
d001.s011.t012  bn:00577781n                   
d001.s011.t013  bn:00115794r                   
d001.s011.t014  bn:00082705v                   
d001.s011.t017  bn:00114512r                   
d001.s011.t018  bn:00087863v                   
d001.s011.t020  bn:00108011a                   
d001.s011.t021  bn:00078798n                   
d001.s011.t022  bn:00018141n                   
d001.s011.t024  bn:00061017n                   
d001.s011.t026  bn:00577781n                   
d001.s011.t028  bn:00114234r                   
d001.s011.t029  bn:00082705v                   
d001.s012.t002  bn:00078798n                   
d001.s012.t003  bn:00054128n                   
d001.s012.t006  bn:00064195n                   
d001.s012.t009  bn:00082276v                   
d001.s013.t001  bn:00602447n                   
d001.s013.t002  bn:13606173r                   
d001.s013.t003  bn:00082705v                   
d001.s014.t001  bn:00602447n                   
d001.s014.t002  bn:00116450r                   
d001.s014.t005  bn:00089241v                   
d001.s014.t006  bn:00097220a                   
d001.s014.t007  bn:00018141n                   
d001.s014.t008  bn:00030627n                   
d001.s014.t009  bn:00007294n                   
d001.s014.t011  bn:00027976n                   
d001.s014.t013  bn:00059908n                   
d001.s014.t015  bn:00082705v                   
d001.s015.t001  bn:00602447n                   
d001.s015.t003  bn:00041086n                   
d001.s015.t004  bn:00028320n                   
d001.s015.t007  bn:00052501n                   
d001.s015.t008  bn:00075374n                   
d001.s015.t009  bn:00005518n                   
d001.s015.t011  bn:00054701n                   
d001.s015.t013  bn:00082705v                   
d001.s015.t014  bn:00061017n                   
d001.s015.t016  bn:00043545n                   
d001.s015.t018  bn:00080831n                   
d001.s015.t019  bn:00084373v                   
d001.s016.t003  bn:00043484n                   
d001.s016.t004  bn:00095355v                   
d001.s016.t006  bn:00000443n                   
d001.s016.t007  bn:00102230a                   
d001.s016.t012  bn:00087620v                   
d001.s016.t014  bn:00055094n                   
d001.s017.t002  bn:00084079v                   
d001.s017.t003  bn:00029874n                   
d001.s017.t005  bn:00061017n                   
d001.s017.t007  bn:00082705v                   
d001.s017.t008  bn:00602447n                   
d001.s017.t009  bn:00084532v                   
d001.s017.t010  bn:00061605n                   
d001.s017.t012  bn:00089246v                   
d001.s017.t013  bn:00001507n                   
d001.s017.t015  bn:00035585n                   
d001.s017.t018  bn:00078798n                   
d001.s017.t019  bn:00080147n                   
d001.s017.t022  bn:00114281r                   
d001.s017.t023  bn:00089749v                   
d001.s017.t024  bn:00080147n                   
d001.s018.t002  bn:00602447n                   
d001.s018.t006  bn:00114206r                   
d001.s018.t007  bn:00088826v                   
d001.s018.t010  bn:00114246r                   
d001.s018.t016  bn:00028320n                   
d001.s018.t017  bn:00114512r                   
d001.s018.t019  bn:00114165r                   
d001.s018.t020  bn:00088826v                   
d001.s018.t021  bn:13787881a                   
d001.s018.t022  bn:00054128n                   
d001.s018.t025  bn:00088454v                   
d001.s018.t026  bn:00027565n                   
d001.s018.t029  bn:00035426n                   
d001.s018.t032  bn:00088454v                   
d001.s018.t033  bn:00025983n                   
d001.s019.t002  bn:00011346n                   
d001.s019.t003  bn:00023140n                   
d001.s019.t004  bn:00096158a                   
d001.s019.t006  bn:00088745v                   
d001.s019.t007  bn:00108011a                   
d001.s019.t008  bn:00029874n                   
d001.s019.t010  bn:00061017n                   
d001.s019.t013  bn:00086514v                   
d001.s019.t015  bn:00083908v                   
d001.s019.t016  bn:00047235n                   
d001.s019.t019  bn:00084079v                   
d001.s019.t020  bn:00028320n                   
d001.s020.t001  bn:00116360r                   
d001.s020.t002  bn:00082418v                   
d001.s020.t003  bn:27229268v                   
d001.s020.t004  bn:00106826a                   
d001.s020.t006  bn:00110473a                   
d001.s020.t007  bn:00049083n                   
d001.s020.t008  bn:00048242n                   
d001.s020.t010  bn:00061017n                   
d001.s020.t011  bn:00082705v                   
d001.s020.t012  bn:00602447n                   
d001.s021.t002  bn:00095375v                   
d001.s021.t003  bn:00116285r                   
d001.s021.t005  bn:00025314n                   
d001.s021.t008  bn:00087787v                   
d001.s021.t009  bn:00064584n                   
d001.s021.t010  bn:00017761n                   
d001.s021.t011  bn:00075142n                   
d001.s021.t013  bn:00114246r                   
d001.s021.t017  bn:00021395n                   
d001.s022.t001  bn:00602447n                   
d001.s022.t002  bn:13606173r                   
d001.s022.t003  bn:00087833v                   
d001.s022.t004  bn:00036822n                   
d001.s023.t001  bn:00602447n                   
d001.s023.t004  bn:00096387a                   
d001.s023.t005  bn:00074986n                   
d001.s023.t006  bn:00602447n                   
d001.s023.t009  bn:00078798n                   
d001.s023.t010  bn:00017027n                   
d001.s023.t011  bn:00100866a                   
d001.s023.t012  bn:00054128n                   
d001.s023.t014  bn:00090098v                   
d001.s023.t016  bn:00087100v                   
d001.s023.t020  bn:00115147r                   
d001.s023.t021  bn:00015180n                   
d001.s023.t023  bn:00054128n                   
d001.s023.t026  bn:00083389v                   
d001.s023.t027  bn:00004691n                   
d001.s023.t028  bn:00018111n                   
d001.s024.t002  bn:00011744n                   
d001.s024.t008  bn:00095091v                   
d001.s024.t010  bn:00096387a                   
d001.s024.t011  bn:00035913n                   
d001.s024.t013  bn:00117263r                   
d001.s024.t014  bn:00084850v                   
d001.s024.t015  bn:00089893v                   
d001.s024.t016  bn:00084082v                   
d001.s024.t017  bn:00008788n                   
d001.s024.t019  bn:00026301n                   
d001.s024.t021  bn:00067714n                   
d001.s024.t023  bn:00013726n                   
d001.s024.t026  bn:00017027n                   
d001.s024.t028  bn:00053801n                   
d001.s024.t031  bn:00031085n                   
d001.s024.t033  bn:00001130n                   
d001.s025.t001  bn:00602447n                   
d001.s025.t003  bn:00067280n                   
d001.s025.t004  bn:00082400v                   
d001.s025.t005  bn:13703919r                   
d001.s026.t002  bn:00084532v                   
d001.s026.t003  bn:00106363a                   
d001.s026.t004  bn:00108692a                   
d001.s026.t008  bn:00602447n                   
d001.s026.t009  bn:00114245r                   
d001.s026.t012  bn:00047730n                   
d001.s026.t013  bn:00099598a                   
d001.s026.t014  bn:00074790n                   
d001.s026.t018  bn:18091809n                   
d001.s026.t019  bn:00114512r                   
d001.s026.t020  bn:00116360r                   
d001.s026.t021  bn:00087863v                   
d001.s026.t023  bn:00018141n                   
d001.s026.t025  bn:00061017n                   
d001.s026.t026  bn:00087628v                   
d001.s026.t028  bn:00074790n                   
d001.s027.t001  bn:00085450v                   
d001.s027.t003  bn:00602447n                   
d001.s027.t007  bn:00115794r                   
d001.s027.t008  bn:00084532v                   
d001.s027.t010  bn:00114234r                   
d001.s027.t011  bn:00082705v                   
d001.s027.t014  bn:00084532v                   
d001.s027.t016  bn:00029874n                   
d001.s028.t004  bn:00017027n                   
d001.s028.t005  bn:00015180n                   
d001.s028.t007  bn:00047235n                   
d001.s028.t008  bn:00006382n                   
d001.s028.t011  bn:00047730n                   
d001.s028.t012  bn:00089893v                   
d001.s028.t014  bn:18091809n                   
d001.s028.t015  bn:00114512r                   
d001.s028.t016  bn:00087863v                   
d001.s028.t018  bn:00018141n                   
d001.s028.t020  bn:00116147r                   
d001.s028.t021  bn:00096528a                   
d001.s028.t023  bn:00096528a                   
d001.s028.t024  bn:00027546n                   
d001.s028.t025  bn:00061017n                   
d001.s028.t027  bn:00074790n                   
d001.s028.t028  bn:00085450v                   
d001.s028.t030  bn:00602447n                   
d001.s028.t032  bn:01537207n                   
d001.s028.t036  bn:00078798n                   
d001.s028.t037  bn:00097220a                   
d001.s028.t038  bn:00054128n                   
d001.s028.t041  bn:00029874n                   
d001.s029.t003  bn:00047730n                   
d001.s029.t004  bn:00089893v                   
d001.s029.t006  bn:18091809n                   
d001.s029.t007  bn:00060927n                   
d001.s029.t008  bn:00116360r                   
d001.s029.t009  bn:00087863v                   
d001.s029.t011  bn:00018141n                   
d001.s029.t013  bn:00015180n                   
d001.s029.t014  bn:00061017n                   
d001.s029.t016  bn:00074790n                   
d001.s029.t020  bn:00114246r                   
d001.s029.t022  bn:00577781n                   
d001.s029.t026  bn:00078798n                   
d001.s029.t027  bn:00097220a                   
d001.s029.t028  bn:00054128n                   
d001.s029.t030  bn:00087628v                   
d001.s029.t032  bn:23824760n                   
d001.s029.t035  bn:00114203r                   
d001.s029.t039  bn:00115794r                   
d001.s029.t040  bn:00082705v                   
d001.s030.t004  bn:00047730n                   
d001.s030.t005  bn:00067181n                   
d001.s030.t008  bn:00029876n                   
d001.s030.t010  bn:00099598a                   
d001.s030.t011  bn:00054019n                   
d001.s030.t013  bn:00061017n                   
d001.s030.t014  bn:00085382v                   
d001.s030.t016  bn:00077267n                   
d001.s031.t001  bn:00602447n                   
d001.s031.t003  bn:00074790n                   
d001.s031.t004  bn:00061605n                   
d001.s031.t005  bn:00086567v                   
d001.s031.t008  bn:00037022n                   
d001.s032.t001  bn:00602447n                   
d001.s032.t002  bn:00089667v                   
d001.s032.t004  bn:00106363a                   
d001.s032.t005  bn:00108692a                   
d001.s032.t008  bn:00061017n                   
d001.s032.t010  bn:00030811n                   
d001.s032.t011  bn:00077268n                   
d001.s033.t001  bn:00087863v                   
d001.s033.t002  bn:00602447n                   
d001.s033.t006  bn:00047235n                   
d001.s033.t008  bn:00061017n                   
d001.s033.t009  bn:00097854a                   
d001.s033.t010  bn:00085382v                   
d001.s033.t014  bn:00055794n                   
d001.s033.t016  bn:00114627r                   
d001.s033.t017  bn:00114234r                   
d001.s033.t018  bn:00087863v                   
d001.s033.t019  bn:00577781n                   
d001.s033.t020  bn:00047235n                   
d001.s033.t023  bn:00097854a                   
d001.s033.t027  bn:00055794n                   
d001.s034.t002  bn:00084532v                   
d001.s034.t005  bn:00017027n                   
d001.s034.t006  bn:00015180n                   
d001.s034.t007  bn:00061017n                   
d001.s034.t008  bn:00006382n                   
d001.s034.t010  bn:00602447n                   
d001.s034.t012  bn:00097269a                   
d001.s034.t013  bn:00054128n                   
d001.s034.t014  bn:00114354r                   
d001.s034.t015  bn:00102038a                   
d001.s035.t002  bn:00060927n                   
d001.s035.t003  bn:00087863v                   
d001.s035.t005  bn:00018141n                   
d001.s035.t007  bn:00061017n                   
d001.s035.t009  bn:00082705v                   
d001.s035.t010  bn:00602447n                   
d001.s035.t011  bn:00084532v                   
d001.s035.t013  bn:00097854a                   
d001.s035.t014  bn:00030811n                   
d001.s035.t015  bn:00077268n                   
d001.s035.t019  bn:00055794n                   
d001.s035.t022  bn:00082705v                   
d001.s035.t023  bn:01537207n                   
d001.s035.t024  bn:00084532v                   
d001.s035.t026  bn:00097854a                   
d001.s035.t027  bn:00030811n                   
d001.s035.t028  bn:00077268n                   
d001.s035.t032  bn:00055794n                   
d001.s036.t002  bn:00114512r                   
d001.s036.t003  bn:00116360r                   
d001.s036.t004  bn:00087863v                   
d001.s036.t006  bn:00018141n                   
d001.s036.t008  bn:00061017n                   
d001.s036.t011  bn:00041942n                   
d001.s036.t012  bn:00097854a                   
d001.s036.t013  bn:00030811n                   
d001.s036.t014  bn:00077268n                   
d001.s036.t015  bn:00114203r                   
d001.s036.t019  bn:00055794n                   
d001.s037.t001  bn:00114627r                   
d001.s037.t006  bn:00047730n                   
d001.s037.t007  bn:00074790n                   
d001.s037.t011  bn:00015180n                   
d001.s037.t012  bn:00116360r                   
d001.s037.t013  bn:00082427v                   
d001.s037.t017  bn:00017027n                   
d001.s037.t019  bn:00061017n                   
d001.s037.t021  bn:00087863v                   
d001.s037.t022  bn:00602447n                   
d001.s037.t023  bn:00047235n                   
d001.s037.t027  bn:00087863v                   
d001.s037.t028  bn:00097269a                   
d001.s037.t029  bn:00054128n                   
d001.s037.t030  bn:00047235n                   
d001.s037.t033  bn:00030811n                   
d001.s037.t034  bn:00077268n                   
d001.s037.t035  bn:00116285r                   
d001.s037.t036  bn:00106124a                   
d001.s038.t001  bn:00114842r                   
d001.s038.t003  bn:00015180n                   
d001.s038.t004  bn:00082427v                   
d001.s038.t007  bn:00017027n                   
d001.s038.t009  bn:00061017n                   
d001.s038.t011  bn:00087863v                   
d001.s038.t012  bn:00602447n                   
d001.s038.t013  bn:00047235n                   
d001.s038.t014  bn:00117250r                   
d001.s038.t015  bn:00030811n                   
d001.s038.t016  bn:00077268n                   
d002.s001.t001  bn:08534138n                   
d002.s001.t004  bn:00083141v                   
d002.s001.t005  bn:00022153n                   
d002.s001.t006  bn:00053491n                   
d002.s001.t007  bn:03313895n                   
d002.s001.t008  bn:00213650n                   
d002.s001.t010  bn:00053823n                   
d002.s001.t011  bn:00946167n                   
d002.s002.t001  bn:00116382r                   
d002.s002.t003  bn:13601970v                   
d002.s002.t004  bn:00090557v                   
d002.s002.t005  bn:00102111a                   
d002.s002.t007  bn:03313895n                   
d002.s002.t008  bn:00059128n                   
d002.s002.t010  bn:00097495a                   
d002.s002.t012  bn:00105862a                   
d002.s002.t015  bn:00086557v                   
d002.s002.t018  bn:00000102n                   
d002.s002.t019  bn:00041412n                   
d002.s003.t001  bn:00114118r                   
d002.s003.t003  bn:00116360r                   
d002.s003.t004  bn:00091028v                   
d002.s003.t005  bn:00085261v                   
d002.s003.t006  bn:03313895n                   
d002.s003.t007  bn:00114626r                   
d002.s003.t009  bn:00082705v                   
d002.s003.t010  bn:08534138n                   
d002.s004.t001  bn:08534138n                   
d002.s004.t004  bn:00083141v                   
d002.s004.t005  bn:03313895n                   
d002.s004.t007  bn:00041412n                   
d002.s004.t008  bn:00946167n                   
d002.s005.t003  bn:00114055r                   
d002.s005.t005  bn:00091201v                   
d002.s005.t006  bn:03313895n                   
d002.s005.t009  bn:00114216r                   
d002.s005.t010  bn:00114424r                   
d002.s005.t012  bn:00089241v                   
d002.s005.t013  bn:00106058a                   
d002.s005.t014  bn:00106488a                   
d002.s005.t015  bn:00020452n                   
d002.s005.t017  bn:00061450n                   
d002.s005.t018  bn:00114203r                   
d002.s005.t020  bn:00082705v                   
d002.s006.t003  bn:08534138n                   
d002.s006.t004  bn:00099598a                   
d002.s006.t005  bn:00081292n                   
d002.s006.t007  bn:01157212n                   
d002.s007.t001  bn:08534138n                   
d002.s007.t002  bn:00081292n                   
d002.s008.t001  bn:08534138n                   
d002.s008.t002  bn:00081292n                   
d002.s008.t006  bn:00020949n                   
d002.s008.t008  bn:00120018n                   
d002.s008.t012  bn:00780722n                   
d002.s008.t013  bn:00041412n                   
d002.s008.t015  bn:00120018n                   
d002.s008.t018  bn:15649186n                   
d002.s008.t021  bn:00120018n                   
d002.s008.t025  bn:00026967n                   
d002.s008.t028  bn:00085498v                   
d002.s009.t003  bn:00120018n                   
d002.s009.t004  bn:00114401r                   
d002.s009.t008  bn:00086708v                   
d002.s009.t011  bn:00046850n                   
d002.s009.t012  bn:00034274n                   
d002.s009.t016  bn:00082711v                   
d002.s009.t019  bn:00095295v                   
d002.s009.t020  bn:00036821n                   
d002.s009.t022  bn:00087107v                   
d002.s009.t023  bn:00014688n                   
d002.s010.t003  bn:00086682v                   
d002.s010.t004  bn:00092443v                   
d002.s010.t007  bn:13606173r                   
d002.s010.t008  bn:00088629v                   
d002.s010.t013  bn:00087107v                   
d002.s010.t016  bn:00098274a                   
d002.s010.t018  bn:00076919n                   
d002.s010.t019  bn:00115715r                   
d002.s010.t020  bn:00082472v                   
d002.s010.t023  bn:00046850n                   
d002.s010.t025  bn:00084772v                   
d002.s010.t026  bn:00083294v                   
d002.s010.t027  bn:03313895n                   
d002.s010.t030  bn:00090161v                   
d002.s010.t031  bn:00057131n                   
d002.s010.t032  bn:00085261v                   
d002.s010.t033  bn:03313895n                   
d002.s011.t003  bn:02561609n                   
d002.s011.t004  bn:00114508r                   
d002.s011.t006  bn:00083141v                   
d002.s011.t007  bn:00021164n                   
d002.s011.t012  bn:02268723n                   
d002.s011.t015  bn:00114203r                   
d002.s011.t017  bn:00116360r                   
d002.s011.t018  bn:00101358a                   
d002.s012.t002  bn:00114748r                   
d002.s012.t003  bn:00090448v                   
d002.s012.t005  bn:03857246n                   
d002.s012.t007  bn:03668936n                   
d002.s012.t009  bn:02561609n                   
d002.s012.t011  bn:00086708v                   
d002.s012.t013  bn:00090452v                   
d002.s012.t014  bn:00116789r                   
d002.s012.t015  bn:00096782a                   
d002.s013.t006  bn:00001296n                   
d002.s013.t008  bn:00055233n                   
d002.s013.t010  bn:00056300n                   
d002.s013.t012  bn:00027919n                   
d002.s014.t006  bn:00032355n                   
d002.s014.t010  bn:00114206r                   
d002.s014.t011  bn:00082705v                   
d002.s015.t001  bn:00114246r                   
d002.s015.t003  bn:00082705v                   
d002.s015.t004  bn:02529895n                   
d002.s015.t005  bn:16907601n                   
d002.s016.t001  bn:00032355n                   
d002.s016.t003  bn:00090557v                   
d002.s016.t004  bn:00068247n                   
d002.s016.t007  bn:00078798n                   
d002.s016.t008  bn:00001965n                   
d002.s017.t007  bn:00036821n                   
d002.s017.t009  bn:00086468v                   
d002.s017.t012  bn:00079583n                   
d002.s017.t014  bn:00001965n                   
d002.s018.t004  bn:00082705v                   
d002.s018.t005  bn:00086468v                   
d002.s018.t007  bn:00104162a                   
d002.s018.t009  bn:00004489n                   
d002.s019.t007  bn:00060753n                   
d002.s019.t008  bn:00082811v                   
d002.s019.t010  bn:00036821n                   
d002.s019.t015  bn:00082813v                   
d002.s019.t020  bn:00059141n                   
d002.s020.t007  bn:00095141v                   
d002.s020.t008  bn:00059141n                   
d002.s020.t011  bn:27110432v                   
d002.s020.t016  bn:00095141v                   
d002.s020.t017  bn:00079373n                   
d002.s020.t018  bn:00036821n                   
d002.s021.t004  bn:00082705v                   
d002.s021.t005  bn:00086468v                   
d002.s021.t007  bn:00079583n                   
d002.s021.t008  bn:00079508n                   
d002.s022.t003  bn:03132721n                   
d002.s022.t004  bn:00100214a                   
d002.s022.t005  bn:00025928n                   
d002.s023.t004  bn:08534138n                   
d002.s023.t006  bn:00086468v                   
d002.s023.t007  bn:00100214a                   
d002.s023.t008  bn:00053826n                   
d002.s023.t010  bn:00054625n                   
d002.s023.t012  bn:03132721n                   
d002.s024.t005  bn:00060927n                   
d002.s024.t006  bn:00087681v                   
d002.s024.t007  bn:00021645n                   
d002.s024.t009  bn:00117250r                   
d002.s024.t010  bn:00114626r                   
d002.s024.t014  bn:00855623n                   
d002.s024.t018  bn:00082705v                   
d002.s024.t020  bn:00021645n                   
d002.s024.t023  bn:00086708v                   
d002.s024.t024  bn:00090161v                   
d002.s024.t026  bn:00021645n                   
d002.s024.t032  bn:00085363v                   
d002.s024.t033  bn:00102969a                   
d002.s024.t036  bn:00016401n                   
d002.s025.t004  bn:03313895n                   
d002.s025.t005  bn:03305154n                   
d002.s026.t003  bn:00082705v                   
d002.s026.t004  bn:00086466v                   
d002.s026.t006  bn:03305154n                   
d002.s027.t001  bn:00114714r                   
d002.s027.t002  bn:00082705v                   
d002.s027.t003  bn:03132721n                   
d002.s027.t004  bn:00081568n                   
d002.s028.t001  bn:00114424r                   
d002.s028.t005  bn:00082821v                   
d002.s028.t008  bn:00079373n                   
d002.s028.t012  bn:03313895n                   
d002.s029.t002  bn:00115619r                   
d002.s029.t003  bn:00101973a                   
d002.s029.t010  bn:00114626r                   
d002.s029.t012  bn:00085744v                   
d002.s029.t020  bn:00114282r                   
d002.s029.t021  bn:00036821n                   
d002.s029.t025  bn:00108011a                   
d002.s029.t027  bn:00036821n                   
d002.s030.t001  bn:00115067r                   
d002.s030.t004  bn:00078798n                   
d002.s030.t005  bn:00035907n                   
d002.s031.t003  bn:00082705v                   
d002.s031.t013  bn:00088078v                   
d002.s031.t017  bn:00059141n                   
d002.s032.t001  bn:08534138n                   
d002.s032.t005  bn:00082295v                   
d002.s032.t006  bn:00946167n                   
d002.s033.t002  bn:00088078v                   
d002.s033.t004  bn:00114245r                   
d002.s033.t005  bn:00082638v                   
d002.s033.t006  bn:00079583n                   
d002.s033.t008  bn:00051508n                   
d002.s034.t007  bn:00084662v                   
d002.s034.t010  bn:00051831n                   
d002.s034.t014  bn:00082553v                   
d002.s034.t017  bn:00079508n                   
d002.s034.t020  bn:00114626r                   
d002.s034.t023  bn:00078798n                   
d002.s034.t024  bn:00088310v                   
d002.s034.t025  bn:00051831n                   
d002.s034.t027  bn:00001965n                   
d002.s035.t002  bn:00087679v                   
d002.s035.t003  bn:00032395n                   
d002.s035.t011  bn:00079583n                   
d002.s035.t012  bn:00079508n                   
d002.s035.t014  bn:00082553v                   
d002.s035.t016  bn:00100203a                   
d002.s035.t018  bn:00034520n                   
d002.s036.t001  bn:00020947n                   
d002.s036.t002  bn:00056688n                   
d002.s036.t003  bn:00107267a                   
d002.s036.t004  bn:00081292n                   
d002.s037.t002  bn:00051831n                   
d002.s038.t001  bn:00020947n                   
d002.s038.t002  bn:00049538n                   
d002.s038.t003  bn:00090416v                   
d002.s038.t004  bn:00012062n                   
d002.s039.t002  bn:00059306n                   
d002.s039.t003  bn:00087823v                   
d002.s039.t004  bn:00021475n                   
d002.s039.t007  bn:00020945n                   
d002.s040.t003  bn:00086682v                   
d002.s040.t004  bn:00086466v                   
d002.s040.t005  bn:00110911a                   
d002.s040.t006  bn:00050969n                   
d002.s040.t008  bn:00092413v                   
d002.s040.t009  bn:00110911a                   
d002.s040.t010  bn:00107791a                   
d002.s040.t012  bn:00081568n                   
d002.s040.t017  bn:00107292a                   
d002.s041.t001  bn:00020947n                   
d002.s041.t002  bn:00036962n                   
d002.s041.t003  bn:00093281v                   
d002.s041.t004  bn:00012062n                   
d002.s042.t001  bn:00093281v                   
d002.s042.t004  bn:03751534n                   
d002.s042.t005  bn:00083344v                   
d002.s042.t007  bn:00095295v                   
d002.s042.t009  bn:00020945n                   
d002.s042.t012  bn:13601970v                   
d002.s042.t013  bn:00092558v                   
d002.s043.t001  bn:00084080v                   
d002.s043.t002  bn:00076732n                   
d002.s043.t003  bn:00021475n                   
d002.s043.t006  bn:00082705v                   
d002.s043.t008  bn:00076732n                   
d002.s043.t009  bn:00029775n                   
d002.s043.t012  bn:03628723n                   
d002.s043.t014  bn:00114203r                   
d002.s043.t016  bn:00115155r                   
d002.s043.t017  bn:00084308v                   
d002.s044.t001  bn:00020947n                   
d002.s044.t002  bn:00068673n                   
d002.s044.t003  bn:00051831n                   
d002.s044.t004  bn:00051831n                   
d002.s045.t003  bn:00034520n                   
d002.s045.t005  bn:00051831n                   
d002.s045.t006  bn:00085644v                   
d002.s045.t008  bn:00045087n                   
d002.s045.t009  bn:00021475n                   
d002.s045.t013  bn:00089639v                   
d002.s045.t015  bn:00084099v                   
d002.s046.t001  bn:00020947n                   
d002.s046.t002  bn:00065472n                   
d002.s046.t003  bn:00084710v                   
d002.s047.t001  bn:00085170v                   
d002.s047.t002  bn:00021492n                   
d002.s048.t003  bn:08534138n                   
d002.s048.t005  bn:00082317v                   
d002.s048.t006  bn:00107267a                   
d002.s048.t009  bn:00041412n                   
d002.s048.t012  bn:00091028v                   
d002.s048.t013  bn:00087107v                   
d002.s048.t016  bn:00088912v                   
d002.s048.t019  bn:00041412n                   
d002.s048.t021  bn:00120018n                   
d002.s048.t023  bn:00114281r                   
d002.s048.t026  bn:00082317v                   
d002.s048.t028  bn:00120018n                   
d002.s048.t031  bn:00082317v                   
d002.s048.t032  bn:00107267a                   
d002.s048.t033  bn:00036821n                   
d002.s049.t001  bn:00114281r                   
d002.s049.t004  bn:00007023n                   
d002.s049.t006  bn:00088912v                   
d002.s049.t007  bn:00046850n                   
d002.s049.t008  bn:00076732n                   
d002.s049.t009  bn:00012528n                   
d002.s049.t015  bn:00095295v                   
d002.s049.t018  bn:00036821n                   
d002.s050.t003  bn:00086682v                   
d002.s050.t004  bn:00082705v                   
