Sentence ID	Sentence
d001.s038	相反，癌症影响鳞状细胞的患者如果接受Alimta治疗则存活时间较短。
d002.s001	kalgebra是一个基于内容标记MathML语言的数学计算器。
d002.s002	现在它能够进行简单的MathML运算（算术和逻辑）以及表示2D和3D图形。
d002.s003	实际上，不需要了解MathML就可以使用kalgebra。
d002.s004	kalgebra是一个基于MathML的图形计算器。
d002.s005	尽管它最初是面向MathML的，但是现在任何具有少量数学知识的人都可以使用它。
d002.s006	这是kalgebra主窗口的屏幕截图
d002.s007	kalgebra主窗口
d002.s008	kalgebra主窗口由一个控制台选项卡、一个二维图形选项卡、一个三维图形选项卡和一个词典选项卡组成。
d002.s009	在这些选项卡下面，您将看到一个输入字段，您可以用它来输入函数或进行计算。
d002.s010	如果我们想了解它是如何工作的，我们能做的最好的事情就是意识到我们的输入正在转换成MathML，尽管没有必要了解MathML。
d002.s011	我的语法基本上是基于常识的，对于任何人来说这都应该不难。
d002.s012	我仔细研究了maxima和maple的语法，发现它们看起来非常相似。
d002.s013	#ERROR!-*/：加、减、乘、除。
d002.s014	^，**：幂，你可以同时使用它们。
d002.s015	也可以使用unicode²字符。
d002.s016	幂也是建立根的一种方法。
d002.s017	-gt：这是在函数中指定有界变量的方法。
d002.s018	（）：用于指定较高的优先级。
d002.s019	abc(params)：当解析器找到一个函数时，它会检查abc是否是一个运算符。
d002.s020	如果是，它将被视为运算符，如果不是，它将被视为用户函数。
d002.s021	：#ERROR!：用于定义一个变量值。
d002.s022	？：分段条件定义。
d002.s023	我们可以在kalgebra中定义条件运算的方式是分段方式。
d002.s024	如果我们在 ?之前引入条件，则仅当条件为真时才会使用此条件，如果发现没有任何条件的?，它将进入最后一个实例。
d002.s025	{}：MathML容器。
d002.s026	它可用于定义一个容器。
d002.s027	主要用于分段工作。
d002.s028	现在您可能会问我，用户为什么要介意MathML？
d002.s029	这很简单。有了它，我们就可以操作cos()、sin()等函数，以及任何其他三角函数、sum()或product()。
d002.s030	不管是哪种类型。
d002.s031	我们可以使用plus()、times()以及所有带有其运算符的函数。
d002.s032	kalgebra的控制台可用作计算器。
d002.s033	这里有一个已声明变量的列表。
d002.s034	通过双击它们，您将看到一个对话框，您可以更改它们的值（这只是一种欺骗日志的方法）。
d002.s035	每次输入表达式时，“”和“”变量值都会更改为最后一个结果。
d002.s036	CtrlN新窗口
d002.s037	刷新日志。
d002.s038	CtrlL加载脚本
d002.s039	按顺序执行文件中的指令。
d002.s040	如果您想定义一些库或者恢复一些以前的工作，那就太好了。
d002.s041	CtrlG保存脚本
d002.s042	保存您自会话开始以来键入的指令，以便能够重复使用。
d002.s043	生成文本文件，因此使用任何文本编辑器（如Kate）都可以轻松修复。
d002.s044	CtrlS保存日志
d002.s045	将所有结果的日志保存到HTML文件中，以便打印或发布。
d002.s046	CtrlQ退出
d002.s047	关闭程序。
d002.s048	要在kalgebra上添加新的2D图形，您需要做的是转到“2D图形”选项，然后单击“添加”选项卡以添加新函数。
d002.s049	然后你的焦点将转到输入文本框，你可以在其中输入你的函数。
d002.s050	如果您想使用典型的f(x)函数，则无需指定它。
d002.s051	如果您已经输入该功能请单击“确定”按钮以在主窗口中显示图表。
d002.s052	您可以在同一视图上设置多个图表。
d002.s053	当您处于列表模式时，只需使用添加按钮即可。
d002.s054	您可以为每个图形设置其自己的颜色。
d003.s002	该基金会最近参与组织了一次应对这一严峻挑战的会议。
d003.s003	来自各主要利益群体的100多名参与者出席了会议，并就公共当局、社会伙伴、志愿者和社区组织以及服务用户等主要参与者的作用等问题进行了辩论。
d003.s004	报告显示，尝试让用户参与服务规划的案例相对较少，但是用户参与服务提供的情况却更为常见。
d003.s005	还注意到公共福利发挥着各种不同的作用
d003.s006	该基金会与欧盟委员会、西班牙社会事务部和加利西亚大区政府联合举办了一次以“社会排斥：公共福利服务面临的重大挑战”为主题的欧洲会议。
d003.s007	作为EPOC项目的一部分，该基金会最近发布了一项比较研究，该项目评估了直接参与在多大程度上可以使工作人性化同时提高盈利能力。
d003.s008	该研究基于对来自欧洲15个国家的国家级高峰组织的代表社会伙伴高级官员进行的195次个人访谈。
d003.s009	作为重要的工业部门，金属工业和银行业也被纳入其中。
d003.s010	社会排斥会议的主要发言人有（从左到右）欧盟委员会就业、劳资关系和社会事务司的克里斯蒂娜·洛罗(CristinaLouro)、欧洲议会议员、地区高级委员会委员费尔南多·戈麦斯(FernandoGomes)、欧洲议会议员、欧洲议会副主席何塞·玛丽亚·吉尔·罗夫莱斯(JoséMariaGil-Robles)和经济和社会委员会委员约翰·卡罗尔(JohnCarroll)。
d003.s011	案例研究每一份国家报告都包含25至30项举措，这些举措最好地介绍了改善工作地点和社区中老龄工人的招聘、培训和发展的政策和实践。
d003.s012	对于每个国家，我们选取了两到三个举措进行进一步深入的案例研究。
d003.s013	这些案例研究分析了这些举措的背景、它们对就业模式和工作组织的影响，并评估了这些举措的好处和问题。
d003.s014	我们还对主要人员进行了走访和访谈。
d003.s015	这些国家研究将形成一份综合整体实践的欧洲报告的基础。
d003.s016	该报告及一系列举措案例将于1996年出版，并为1996年秋季举行的会议提供背景。
d003.s017	该基金会的目标是记录求职招聘和培训中年龄障碍的特点并分析其原因。
d003.s018	社会伙伴的观点也正在接受审查,其中特别关注消除年龄障碍的建议.
d003.s019	第三，该项目记录并评估了公共和私营部门消除年龄障碍（特别是针对老年工人）的举措。
d003.s020	为了寻求提前退休和裁员的替代方案，该项目主要关注老年工人的保留、重返社会和再培训。
d003.s021	研究了工人的性别和种族背景以及这些与年龄歧视的关系。
d003.s022	该项目还考虑采取举措，打击农村地区和中小企业中的年龄歧视。
d003.s023	此项目覆盖七个成员国：比利时、法国、德国、希腊、意大利、荷兰和英国。
d004.s001	本文件是欧洲公共评估报告的摘要。
d004.s002	它解释了兽药委员会(CVMP)如何评估所进行的研究，以得出关于如何使用该药物的建议。
d004.s003	Cerenia是什么？
d004.s004	Cerenia含有活性物质马罗匹坦，有片剂和注射液两种形式。
d004.s005	药片呈淡橙色，两面都有刻痕，可以切成两半。
d004.s006	每片药片一面标有辉瑞标志，另一面标有字母MPT和马罗匹坦的数量。
d004.s007	Cerenia用于什么？
d004.s008	Cerenia是一种止吐药，这意味着它可以停止呕吐。
d004.s009	它用于防止狗出现呕吐，例如化疗引起的呕吐（用于治疗癌症的药物，其中一些已知会引起呕吐）。
d004.s010	与其他兽医治疗或特殊饮食等支持措施相结合，Cerenia也可用于治疗呕吐（注射或注射后服用药片）。
d004.s011	为了达到这些目的，Cerenia最多可以服用五天
d004.s012	Cerenia如何发挥作用？
d004.s013	Cerenia可阻断神经激肽1(NK1)受体，该受体在中枢神经系统中起作用。
d004.s014	如何对Cerenia进行研究？
d004.s015	在欧洲多个国家和美国的兽医诊所中，对实验犬和动物患者进行了大量有关Cerenia的研究。
d004.s016	Cerenia在研究期间表现出了什么益处？
d004.s017	研究结果表明，Cerenia比安慰剂更有效：无论是在治疗还是预防呕吐方面，服用该药物的狗的呕吐次数都比服用安慰剂的狗少。
d004.s018	治疗呕吐的狗应该从注射开始，因为呕吐的动物可能无法吞下药片（因为它们可能会再次将完整的药片吐出来）。
d004.s019	为了进行后续治疗，动物主人可以给狗服用药片。
d004.s020	此外，呕吐的治疗应与其他支持措施或其他兽医疗法一起进行，同时解决呕吐的根本原因。
d004.s021	Cerenia有哪些风险？
d004.s022	当每日服用剂量高达推荐剂量的5倍并且持续较长时间（高达建议最大治疗时间的3倍）时，Cerenia通常耐受性良好。
d004.s023	给动物注射药物或者接触动物的人需要注意什么？
d004.s024	Cerenia并不会对人体造成特别的风险。
