d001.s001.t001	document%1:10:00::	wn:06470073n	bn:00028015n
d001.s010.t001	use%2:34:01::	wn:01158872v	bn:00082705v
d001.s010.t002	together_with%4:02:00::	wn:00117082r	bn:00114766r
d001.s010.t003	anticancer%3:01:00::	wn:02629410a	bn:00097220a
d001.s010.t004	medicine%1:06:00::	wn:03740161n	bn:00054128n
d001.s010.t005	cancer%1:26:00::	wn:14239918n	bn:00015180n
d001.s010.t006	remove%2:30:00::	wn:00173338v	bn:00092783v
d001.s010.t007	surgery%1:04:01::	wn:00671351n	bn:00059129n
d001.s010.t008	alone%5:00:00:exclusive:00	wn:01862697a	bn:00096871a
d001.s010.t009	malignant%3:00:02::	wn:02594714a	bn:00106363a
d001.s010.t010	spread%2:35:07::	wn:01380122v	bn:00092083v
d001.s010.t011	likely%3:00:04::	wn:01413247a	bn:00105982a
d001.s010.t012	spread%2:35:07::	wn:01380122v	bn:00092083v
d001.s010.t013	easily%4:02:01::	wn:00147876r	bn:00115155r
d001.s010.t014	other%3:00:00::	wn:02069355a	bn:00108011a
d001.s010.t015	part%1:17:00::	wn:09385911n	bn:00060765n
d001.s010.t016	body%1:08:00::	wn:05216365n	bn:00011744n
d001.s010.t017	patient%1:18:00::	wn:10405694n	bn:00061017n
d001.s010.t018	not%4:02:00::	wn:00024073r	bn:00116360r
d001.s010.t019	receive%2:39:03::	wn:02108026v	bn:00087863v
d001.s010.t020	chemotherapy%1:04:00::	wn:00662340n	bn:00018141n
d001.s010.t021	medicine%1:06:00::	wn:03740161n	bn:00054128n
d001.s010.t022	cancer%1:26:00::	wn:14239918n	bn:00015180n
d001.s010.t023	advanced%5:00:00:late:02	wn:00819526a	bn:00096528a
d001.s010.t024	metastatic%3:01:00::	wn:02975216a	bn:00106664a
d001.s010.t025	cell%1:03:00::	wn:00006484n	bn:00017027n
d001.s010.t026	lung_cancer%1:26:00::	wn:14251317n	bn:00052343n
d001.s010.t027	not%4:02:00::	wn:00024073r	bn:00116360r
d001.s010.t028	affect%2:29:00::	wn:00019448v	bn:00082427v
d001.s010.t029	squamous_cell%1:08:00::	wn:05242928n	bn:00073708n
d001.s011.t001	use%2:34:01::	wn:01158872v	bn:00082705v
d001.s011.t002	combination%1:04:00::	wn:00378985n	bn:00020878n
d001.s011.t003	patient%1:18:00::	wn:10405694n	bn:00061017n
d001.s011.t004	not%4:02:00::	wn:00024073r	bn:00116360r
d001.s011.t005	treat%2:29:00::	wn:00078760v	bn:00084532v
d001.s011.t006	patient%1:18:00::	wn:10405694n	bn:00061017n
d001.s011.t007	receive%2:39:03::	wn:02108026v	bn:00087863v
d001.s011.t008	type%1:09:00::	wn:05840188n	bn:00078798n
d001.s011.t009	chemotherapy%1:04:00::	wn:00662340n	bn:00018141n
d001.s011.t010	past%1:28:01::	wn:15141693n	bn:00060928n
d001.s012.t001	medicine%1:06:00::	wn:03740161n	bn:00054128n
d001.s012.t002	only%4:02:03::	wn:00505114r	bn:00116450r
d001.s012.t003	obtain%2:40:00::	wn:02238085v	bn:00091124v
d001.s012.t004	prescription%1:10:01::	wn:06365808n	bn:00064195n
d001.s013.t001	use%2:34:01::	wn:01158872v	bn:00082705v
d001.s014.t001	only%4:02:03::	wn:00505114r	bn:00116450r
d001.s014.t002	give%2:40:13::	wn:02309374v	bn:00088826v
d001.s014.t003	supervision%1:04:00::	wn:01135529n	bn:00059908n
d001.s014.t004	doctor%1:18:00::	wn:10020890n	bn:00027976n
d001.s014.t005	use%1:04:00::	wn:00947128n	bn:00030627n
d001.s014.t006	anticancer%3:01:00::	wn:02629410a	bn:00097220a
d001.s014.t007	chemotherapy%1:04:00::	wn:00662340n	bn:00018141n
d001.s015.t001	dose%1:06:00::	wn:03225238n	bn:00028320n
d001.s015.t002	mg%1:23:00::	wn:13723061n	bn:00054701n
d001.s015.t003	square_metre%1:23:00::	wn:13613294n	bn:00017102n
d001.s015.t004	body%1:08:00::	wn:05216365n	bn:00011744n
d001.s015.t005	surface_area%1:07:00::	wn:05128519n	bn:00005518n
d001.s015.t006	calculate%2:31:00::	wn:00637259v	bn:00084373v
d001.s015.t007	use%2:34:01::	wn:01158872v	bn:00082705v
d001.s015.t008	patient%1:18:00::	wn:10405694n	bn:00061017n
d001.s015.t009	height%1:07:01::	wn:05002352n	bn:00043545n
d001.s015.t010	weight%1:07:00::	wn:05026843n	bn:00080831n
d001.s015.t011	give%2:40:13::	wn:02309374v	bn:00088826v
d001.s015.t012	once%4:02:00::	wn:00118869r	bn:00115811r
d001.s015.t013	every%5:00:02:all:00	wn:02270186a	bn:00102467a
d001.s015.t014	week%1:28:00::	wn:15169873n	bn:00043484n
d001.s015.t015	intravenous%3:01:00::	wn:02890703a	bn:00102230a
d001.s015.t016	infusion%1:04:00::	wn:00323532n	bn:00046734n
d001.s015.t017	last%2:42:00::	wn:02704928v	bn:00087620v
d001.s015.t018	minute%1:28:00::	wn:15234764n	bn:00055094n
d001.s016.t001	reduce%2:30:01::	wn:00233203v	bn:00092595v
d001.s016.t002	side_effect%1:26:00::	wn:14311977n	bn:00071445n
d001.s016.t003	patient%1:18:00::	wn:10405694n	bn:00061017n
d001.s016.t004	take%2:34:00::	wn:01156834v	bn:00085689v
d001.s016.t005	corticosteroid%1:27:00::	wn:14751417n	bn:00001507n
d001.s016.t006	folic_acid%1:27:00::	wn:15091846n	bn:00035585n
d001.s016.t007	type%1:09:00::	wn:05840188n	bn:00078798n
d001.s016.t008	vitamin%1:27:00::	wn:15089258n	bn:00080147n
d001.s016.t009	injection%1:04:01::	wn:00697365n	bn:00046787n
d001.s016.t010	vitamin_b12%1:27:00::	wn:15091304n	bn:00004712n
d001.s016.t011	treatment%1:04:00::	wn:00658082n	bn:00047235n
d001.s017.t001	give%2:40:13::	wn:02309374v	bn:00088826v
d001.s017.t002	medicine%1:06:00::	wn:03740161n	bn:00054128n
d001.s017.t003	prevent%2:41:01::	wn:02452885v	bn:00088454v
d001.s017.t004	vomit%2:29:00::	wn:00076400v	bn:00083115v
d001.s017.t005	fluid%1:27:02::	wn:14939900n	bn:00035426n
d001.s017.t006	prevent%2:41:01::	wn:02452885v	bn:00088454v
d001.s017.t007	dehydration%1:26:01::	wn:14040846n	bn:00025983n
d001.s017.t008	also%4:02:00::	wn:00047534r	bn:00114246r
d001.s017.t009	give%2:40:13::	wn:02309374v	bn:00088826v
d001.s017.t010	before%4:02:03::	wn:00060939r	bn:00114512r
d001.s017.t011	after%4:02:01::	wn:00061203r	bn:00114165r
d001.s017.t012	dose%1:06:00::	wn:03225238n	bn:00028320n
d001.s018.t001	treatment%1:04:00::	wn:00658082n	bn:00047235n
d001.s018.t002	delay%2:42:00::	wn:02641957v	bn:00086515v
d001.s018.t003	discontinue%2:30:00::	wn:00362348v	bn:00083908v
d001.s018.t004	dose%1:06:00::	wn:03225238n	bn:00028320n
d001.s018.t005	reduce%2:30:00::	wn:00429060v	bn:00084079v
d001.s018.t006	patient%1:18:00::	wn:10405694n	bn:00061017n
d001.s018.t007	blood_count%1:23:00::	wn:13592105n	bn:00011364n
d001.s018.t008	abnormal%3:00:00::	wn:01595596a	bn:00096158a
d001.s018.t009	have%2:29:05::	wn:00065639v	bn:00088745v
d001.s018.t010	certain%5:00:00:definite:00	wn:00700884a	bn:00099474a
d001.s018.t011	other%3:00:00::	wn:02069355a	bn:00108011a
d001.s018.t012	side_effect%1:26:00::	wn:14311977n	bn:00071445n
d001.s019.t001	not%4:02:00::	wn:00024073r	bn:00116360r
d001.s019.t002	recommend%2:32:01::	wn:00875141v	bn:00082418v
d001.s019.t003	use%1:04:00::	wn:00947128n	bn:00030627n
d001.s019.t004	patient%1:18:00::	wn:10405694n	bn:00061017n
d001.s019.t005	moderate%3:00:00::	wn:01531375a	bn:00106826a
d001.s019.t006	severe%5:00:01:bad:00	wn:01129185a	bn:00110473a
d001.s019.t007	kidney%1:08:00::	wn:05332802n	bn:00049083n
d001.s019.t008	problem%1:26:00::	wn:14410605n	bn:00048242n
d001.s020.t001	more%3:00:01::	wn:01555133a	bn:00106935a
d001.s020.t002	information%1:14:00::	wn:08462320n	bn:00025314n
d001.s020.t003	see%2:39:13::	wn:02131279v	bn:00087787v
d001.s020.t004	summary%1:10:00::	wn:06467007n	bn:00075142n
d001.s020.t005	product%1:06:00::	wn:04007894n	bn:00064584n
d001.s020.t006	also%4:02:00::	wn:00047534r	bn:00114246r
d001.s020.t007	part%1:09:00::	wn:05867413n	bn:00027912n
d001.s022.t001	active%3:00:07::	wn:00042457a	bn:00096387a
d001.s022.t002	substance%1:03:01::	wn:00020090n	bn:00074987n
d001.s022.t003	cytotoxic%3:01:00::	wn:02709917a	bn:00100866a
d001.s022.t004	medicine%1:06:00::	wn:03740161n	bn:00054128n
d001.s022.t005	medicine%1:06:00::	wn:03740161n	bn:00054128n
d001.s022.t006	kill%2:35:00::	wn:01323958v	bn:00090098v
d001.s022.t007	cell%1:03:00::	wn:00006484n	bn:00017027n
d001.s022.t008	divide%2:35:00::	wn:01557774v	bn:00087100v
d001.s022.t009	cancer_cell%1:08:00::	wn:05431285n	bn:00015187n
d001.s022.t010	belong_to%2:42:00::	wn:02719930v	bn:00083391v
d001.s022.t011	group%1:03:00::	wn:00031264n	bn:00041942n
d001.s022.t012	antimetabolite%1:06:00::	wn:02722166n	bn:00004691n
d001.s023.t001	body%1:08:00::	wn:05216365n	bn:00011744n
d001.s023.t002	convert%2:30:03::	wn:00115157v	bn:00085761v
d001.s023.t003	active%3:00:07::	wn:00042457a	bn:00096387a
d001.s023.t004	form%1:07:03::	wn:04930478n	bn:00035913n
d001.s023.t005	block%2:41:01::	wn:02559752v	bn:00083623v
d001.s023.t006	activity%1:22:00::	wn:13440063n	bn:00001173n
d001.s023.t007	enzyme%1:27:00::	wn:14732946n	bn:00031085n
d001.s023.t008	involve%2:42:04::	wn:02677567v	bn:00089893v
d001.s023.t009	produce%2:36:02::	wn:01752495v	bn:00084082v
d001.s023.t010	nucleotide%1:27:00::	wn:14964590n	bn:00008788n
d001.s023.t011	building_block%1:17:00::	wn:09465459n	bn:00013726n
d001.s023.t012	dna%1:27:00::	wn:14830364n	bn:00026301n
d001.s023.t013	rna%1:27:00::	wn:14832193n	bn:00067714n
d001.s023.t014	genetic%3:01:02::	wn:02734544a	bn:00103522a
d001.s023.t015	material%1:27:00::	wn:14580897n	bn:00053801n
d001.s023.t016	cell%1:03:00::	wn:00006484n	bn:00017027n
d001.s024.t001	study%2:31:02::	wn:00644583v	bn:00082596v
d001.s025.t001	treatment%1:04:00::	wn:00658082n	bn:00047235n
d001.s025.t002	malignant%3:00:02::	wn:02594714a	bn:00106363a
d001.s025.t003	pleural%3:01:00::	wn:02947653a	bn:00108692a
d001.s025.t004	mesothelioma%1:26:00::	wn:14251435n	bn:00054512n
d001.s025.t005	study%2:31:02::	wn:00644583v	bn:00082596v
d001.s025.t006	main%5:00:00:important:00	wn:01277426a	bn:00099598a
d001.s025.t007	study%1:04:00::	wn:00644503n	bn:00074790n
d001.s025.t008	patient%1:18:00::	wn:10405694n	bn:00061017n
d001.s025.t009	not%4:02:00::	wn:00024073r	bn:00116360r
d001.s025.t010	receive%2:39:03::	wn:02108026v	bn:00087863v
d001.s025.t011	chemotherapy%1:04:00::	wn:00662340n	bn:00018141n
d001.s025.t012	disease%1:26:00::	wn:14070360n	bn:00027546n
d001.s025.t013	before%4:02:03::	wn:00060939r	bn:00114512r
d001.s026.t001	effect%1:26:00::	wn:14311348n	bn:00029874n
d001.s026.t002	combination%1:04:00::	wn:00378985n	bn:00020878n
d001.s026.t003	compare%2:31:00::	wn:00652900v	bn:00085450v
d001.s026.t004	alone%4:02:01::	wn:00157967r	bn:00114235r
d001.s027.t001	treatment%1:04:00::	wn:00658082n	bn:00047235n
d001.s027.t002	cell%1:03:00::	wn:00006484n	bn:00017027n
d001.s027.t003	lung_cancer%1:26:00::	wn:14251317n	bn:00052343n
d001.s027.t004	effect%1:26:00::	wn:14311348n	bn:00029874n
d001.s027.t005	compare%2:31:00::	wn:00652900v	bn:00085450v
d001.s027.t006	anticancer%3:01:00::	wn:02629410a	bn:00097220a
d001.s027.t007	medicine%1:06:00::	wn:03740161n	bn:00054128n
d001.s027.t008	study%1:04:00::	wn:00644503n	bn:00074790n
d001.s027.t009	involve%2:42:04::	wn:02677567v	bn:00089893v
d001.s027.t010	patient%1:18:00::	wn:10405694n	bn:00061017n
d001.s027.t011	locally%4:02:01::	wn:00135418r	bn:00116147r
d001.s027.t012	advanced%5:00:00:late:02	wn:00819526a	bn:00096528a
d001.s027.t013	metastatic%3:01:00::	wn:02975216a	bn:00106664a
d001.s027.t014	disease%1:26:00::	wn:14070360n	bn:00027546n
d001.s027.t015	receive%2:39:03::	wn:02108026v	bn:00087863v
d001.s027.t016	chemotherapy%1:04:00::	wn:00662340n	bn:00018141n
d001.s027.t017	past%1:28:01::	wn:15141693n	bn:00060928n
d001.s028.t001	also%4:02:00::	wn:00047534r	bn:00114246r
d001.s028.t002	compare%2:31:00::	wn:00652900v	bn:00085450v
d001.s028.t003	anticancer%3:01:00::	wn:02629410a	bn:00097220a
d001.s028.t004	medicine%1:06:00::	wn:03740161n	bn:00054128n
d001.s028.t005	combination%1:04:00::	wn:00378985n	bn:00020878n
d001.s028.t006	study%1:04:00::	wn:00644503n	bn:00074790n
d001.s028.t007	involve%2:42:04::	wn:02677567v	bn:00089893v
d001.s028.t008	patient%1:18:00::	wn:10405694n	bn:00061017n
d001.s028.t009	not%4:02:00::	wn:00024073r	bn:00116360r
d001.s028.t010	receive%2:39:03::	wn:02108026v	bn:00087863v
d001.s028.t011	chemotherapy%1:04:00::	wn:00662340n	bn:00018141n
d001.s028.t012	lung_cancer%1:26:00::	wn:14251317n	bn:00052343n
d001.s028.t013	past%1:28:01::	wn:15141693n	bn:00060928n
d001.s029.t001	study%1:04:00::	wn:00644503n	bn:00074790n
d001.s029.t002	main%5:00:00:important:00	wn:01277426a	bn:00099598a
d001.s029.t003	measure%1:04:00::	wn:00996969n	bn:00054019n
d001.s029.t004	effectiveness%1:07:01::	wn:05034225n	bn:00029877n
d001.s029.t005	long%4:02:00::	wn:00166025r	bn:00116153r
d001.s029.t006	patient%1:18:00::	wn:10405694n	bn:00061017n
d001.s029.t007	survive%2:42:02::	wn:02619924v	bn:00085382v
d001.s030.t001	benefit%1:07:00::	wn:05142641n	bn:00009905n
d001.s030.t002	show%2:31:00::	wn:00664788v	bn:00086567v
d001.s030.t003	study%1:04:00::	wn:00644503n	bn:00074790n
d001.s031.t001	increase%2:30:02::	wn:00153263v	bn:00089667v
d001.s031.t002	survival%1:26:00::	wn:13962166n	bn:00030811n
d001.s031.t003	time%1:28:00::	wn:15122231n	bn:00077268n
d001.s031.t004	patient%1:18:00::	wn:10405694n	bn:00061017n
d001.s031.t005	malignant%3:00:02::	wn:02594714a	bn:00106363a
d001.s031.t006	pleural%3:01:00::	wn:02947653a	bn:00108692a
d001.s031.t007	mesothelioma%1:26:00::	wn:14251435n	bn:00054512n
d001.s032.t001	patient%1:18:00::	wn:10405694n	bn:00061017n
d001.s032.t002	receive%2:39:03::	wn:02108026v	bn:00087863v
d001.s032.t003	survive%2:42:02::	wn:02619924v	bn:00085382v
d001.s032.t004	average%1:09:01::	wn:05856979n	bn:00007451n
d001.s032.t005	month%1:28:00::	wn:15206296n	bn:00055794n
d001.s032.t006	compare%2:31:00::	wn:00652900v	bn:00085450v
d001.s032.t007	month%1:28:00::	wn:15206296n	bn:00055794n
d001.s032.t008	alone%4:02:01::	wn:00157967r	bn:00114235r
d001.s033.t001	treatment%1:04:00::	wn:00658082n	bn:00047235n
d001.s033.t002	patient%1:18:00::	wn:10405694n	bn:00061017n
d001.s033.t003	cell%1:03:00::	wn:00006484n	bn:00017027n
d001.s033.t004	lung_cancer%1:26:00::	wn:14251317n	bn:00052343n
d001.s033.t005	as%4:02:00::	wn:00022131r	bn:00114354r
d001.s033.t006	effective%3:00:00::	wn:00834198a	bn:00102038a
d001.s033.t007	as%4:02:00::	wn:00022131r	bn:00114354r
d001.s034.t001	patient%1:18:00::	wn:10405694n	bn:00061017n
d001.s034.t002	receive%2:39:03::	wn:02108026v	bn:00087863v
d001.s034.t003	chemotherapy%1:04:00::	wn:00662340n	bn:00018141n
d001.s034.t004	past%1:28:01::	wn:15141693n	bn:00060928n
d001.s034.t005	average%5:00:02:normal:01	wn:01594146a	bn:00097854a
d001.s034.t006	survival%1:26:00::	wn:13962166n	bn:00030811n
d001.s034.t007	time%1:28:00::	wn:15122231n	bn:00077268n
d001.s034.t008	month%1:28:00::	wn:15206296n	bn:00055794n
d001.s034.t009	compare%2:31:00::	wn:00652900v	bn:00085450v
d001.s034.t010	month%1:28:00::	wn:15206296n	bn:00055794n
d001.s035.t001	patient%1:18:00::	wn:10405694n	bn:00061017n
d001.s035.t002	not%4:02:00::	wn:00024073r	bn:00116360r
d001.s035.t003	receive%2:39:03::	wn:02108026v	bn:00087863v
d001.s035.t004	chemotherapy%1:04:00::	wn:00662340n	bn:00018141n
d001.s035.t005	past%1:28:01::	wn:15141693n	bn:00060928n
d001.s035.t006	average%5:00:02:normal:01	wn:01594146a	bn:00097854a
d001.s035.t007	survival%1:26:00::	wn:13962166n	bn:00030811n
d001.s035.t008	time%1:28:00::	wn:15122231n	bn:00077268n
d001.s035.t009	month%1:28:00::	wn:15206296n	bn:00055794n
d001.s035.t010	group%1:03:00::	wn:00031264n	bn:00041942n
d001.s036.t001	however%4:02:04::	wn:00028797r	bn:00115696r
d001.s036.t002	study%1:04:00::	wn:00644503n	bn:00074790n
d001.s036.t003	patient%1:18:00::	wn:10405694n	bn:00061017n
d001.s036.t004	cancer%1:26:00::	wn:14239918n	bn:00015180n
d001.s036.t005	not%4:02:00::	wn:00024073r	bn:00116360r
d001.s036.t006	affect%2:29:00::	wn:00019448v	bn:00082427v
d001.s036.t007	squamous_cell%1:08:00::	wn:05242928n	bn:00073708n
d001.s036.t008	have%2:29:05::	wn:00065639v	bn:00088745v
d001.s036.t009	long%3:00:02::	wn:01437963a	bn:00106124a
d001.s036.t010	survival%1:26:00::	wn:13962166n	bn:00030811n
d001.s036.t011	time%1:28:00::	wn:15122231n	bn:00077268n
d001.s037.t001	contrast%1:24:00::	wn:13855627n	bn:00022261n
d001.s037.t002	patient%1:18:00::	wn:10405694n	bn:00061017n
d001.s037.t003	cancer%1:26:00::	wn:14239918n	bn:00015180n
d001.s037.t004	affect%2:29:00::	wn:00019448v	bn:00082427v
d001.s037.t005	squamous_cell%1:08:00::	wn:05242928n	bn:00073708n
d001.s037.t006	have%2:29:05::	wn:00065639v	bn:00088745v
d001.s037.t007	short%3:00:02::	wn:01442186a	bn:00110561a
d001.s037.t008	survival%1:26:00::	wn:13962166n	bn:00030811n
d001.s037.t009	time%1:28:00::	wn:15122231n	bn:00077268n
d001.s037.t010	mathematical%3:01:00::	wn:02937876a	bn:00106488a
d001.s037.t011	base%2:31:00::	wn:00636888v	bn:00083141v
d001.s037.t012	markup%1:10:00::	wn:06787602n	bn:00053491n
d001.s038.t001	nowadays%4:02:00::	wn:00048475r	bn:00116382r
d001.s038.t002	capable%3:00:00::	wn:00306314a	bn:00099215a
d001.s038.t003	make%2:36:12::	wn:01755816v	bn:00090557v
d001.s038.t004	simple%5:00:00:easy:01	wn:00750296a	bn:00102111a
d001.s038.t005	operation%1:04:01::	wn:00869583n	bn:00053826n
d001.s038.t006	arithmetic%3:01:00::	wn:03044869a	bn:00097495a
d001.s038.t007	3d%1:09:00::	wn:05939948n	bn:00000102n
d001.s038.t008	graph%1:10:00::	wn:07000195n	bn:00041412n
d001.s039.t001	actually%4:02:02::	wn:00149744r	bn:00114120r
d001.s039.t002	not%4:02:00::	wn:00024073r	bn:00116360r
d001.s039.t003	necessary%3:00:00::	wn:01580050a	bn:00107182a
d001.s039.t004	know%2:31:00::	wn:00594337v	bn:00090143v
d001.s039.t005	use%2:34:01::	wn:01158872v	bn:00082705v
d001.s039.t006	base%2:31:00::	wn:00636888v	bn:00083141v
d001.s039.t007	graph%1:10:00::	wn:07000195n	bn:00041412n
d001.s040.t001	initially%4:02:00::	wn:00103194r	bn:00114055r
d001.s040.t002	orient%2:30:00::	wn:00301662v	bn:00091201v
d001.s040.t003	now%4:02:04::	wn:00049220r	bn:00114424r
d001.s040.t004	use%2:34:01::	wn:01158872v	bn:00082705v
d001.s040.t005	little%3:00:01::	wn:01391351a	bn:00106058a
d001.s040.t006	mathematical%3:01:00::	wn:02937876a	bn:00106488a
d001.s040.t007	knowledge%1:03:00::	wn:00023271n	bn:00020452n
d001.s041.t001	here%4:02:00::	wn:00108479r	bn:00115639r
d001.s041.t002	main%5:00:00:important:00	wn:01277426a	bn:00099598a
d001.s041.t003	window%1:06:03::	wn:04588739n	bn:00081292n
d001.s041.t004	main%5:00:00:important:00	wn:01277426a	bn:00099598a
d001.s041.t005	window%1:06:03::	wn:04588739n	bn:00081292n
d001.s041.t006	main%5:00:00:important:00	wn:01277426a	bn:00099598a
d001.s041.t007	window%1:06:03::	wn:04588739n	bn:00081292n
d001.s041.t008	consist%2:42:01::	wn:02633356v	bn:00085498v
d001.s041.t009	console%1:06:02::	wn:03092656n	bn:00022002n
d001.s041.t010	graph%1:10:00::	wn:07000195n	bn:00041412n
d001.s041.t011	3d%1:09:00::	wn:05939948n	bn:00000102n
d001.s041.t012	graph%1:10:00::	wn:07000195n	bn:00041412n
d001.s041.t013	dictionary%1:10:00::	wn:06418901n	bn:00026967n
d001.s042.t001	below%4:02:01::	wn:00080039r	bn:00114401r
d001.s042.t002	find%2:39:02::	wn:02154508v	bn:00086708v
d001.s042.t003	input%1:06:00::	wn:03573154n	bn:00046850n
d001.s042.t004	field%1:14:03::	wn:08005580n	bn:00034274n
d001.s042.t005	type%2:32:00::	wn:01004692v	bn:00095295v
d001.s042.t006	function%1:24:00::	wn:13783816n	bn:00036821n
d001.s042.t007	do%2:41:04::	wn:02561995v	bn:00087108v
d001.s042.t008	calculation%1:09:00::	wn:05802185n	bn:00014689n
d001.s043.t001	want%2:37:00::	wn:01825237v	bn:00086682v
d001.s043.t002	understand%2:31:00::	wn:00588888v	bn:00095375v
d001.s043.t003	work%2:35:02::	wn:01525666v	bn:00088629v
d001.s043.t004	best%3:00:00::	wn:00227507a	bn:00098274a
d001.s043.t005	thing%1:04:00::	wn:00034479n	bn:00076919n
d001.s043.t006	do%2:41:04::	wn:02561995v	bn:00087108v
d001.s043.t007	realize%2:31:00::	wn:00591115v	bn:00092443v
d001.s043.t008	input%1:06:00::	wn:03573154n	bn:00046850n
d001.s043.t009	convert%2:30:03::	wn:00115157v	bn:00085761v
d001.s043.t010	not%4:02:00::	wn:00024073r	bn:00116360r
d001.s043.t011	necessary%3:00:00::	wn:01580050a	bn:00107182a
d001.s043.t012	know%2:31:00::	wn:00594337v	bn:00090143v
d001.s044.t001	base%2:31:00::	wn:00636888v	bn:00083141v
d001.s044.t002	basically%4:02:00::	wn:00003483r	bn:00114508r
d001.s044.t003	common_sense%1:09:00::	wn:05614657n	bn:00021164n
d001.s044.t004	not%4:02:00::	wn:00024073r	bn:00116360r
