d001.s001.t002 bn:00028015n
d001.s010.t004 bn:00117320r
d001.s010.t006 bn:00028512n
d001.s010.t009 bn:00097220a
d001.s010.t010 bn:00054128n
d001.s010.t014 bn:00015180n
d001.s010.t016 bn:00109794a
d001.s010.t020 bn:00092783v
d001.s010.t022 bn:00059129n
d001.s010.t023 bn:00114234r
d001.s010.t026 bn:00106363a
d001.s010.t029 bn:00092083v
d001.s010.t033 bn:00105981a
d001.s010.t036 bn:00115155r
d001.s010.t039 bn:00108011a
d001.s010.t040 bn:00060769n
d001.s010.t043 bn:00011744n
d001.s010.t047 bn:00061017n
d001.s010.t051 bn:00087863v
d001.s010.t052 bn:00018141n
d001.s010.t054 bn:00054128n
d001.s010.t059 bn:00096528a
d001.s010.t061 bn:00106664a
d001.s010.t063 bn:00017027n
d001.s010.t064 bn:00052341n
d001.s010.t069 bn:00082427v
d001.s010.t071 bn:00107004a
d001.s010.t072 bn:00017027n
d001.s011.t001 bn:00041942n
d001.s011.t003 bn:00082705v
d001.s011.t005 bn:00020872n
d001.s011.t007 bn:00028512n
d001.s011.t009 bn:00061017n
d001.s011.t014 bn:00084532v
d001.s011.t015 bn:00114512r
d001.s011.t020 bn:00096707a
d001.s011.t025 bn:00087863v
d001.s011.t027 bn:00078798n
d001.s011.t029 bn:00018141n
d001.s011.t032 bn:00060928n
d001.s012.t002 bn:00054128n
d001.s012.t004 bn:00114234r
d001.s012.t006 bn:00091124v
d001.s012.t009 bn:00031708n
d001.s013.t003 bn:00114194r
d001.s013.t004 bn:00082705v
d001.s014.t001 bn:00041942n
d001.s014.t003 bn:00114234r
d001.s014.t005 bn:00088826v
d001.s014.t008 bn:00059908n
d001.s014.t011 bn:00027976n
d001.s014.t014 bn:00109317a
d001.s014.t017 bn:00030627n
d001.s014.t019 bn:00097220a
d001.s014.t020 bn:00018141n
d001.s015.t002 bn:00082418v
d001.s015.t003 bn:00028320n
d001.s015.t005 bn:00054841n
d001.s015.t010 bn:00111084a
d001.s015.t011 bn:00052501n
d001.s015.t013 bn:00011744n
d001.s015.t014 bn:00075374n
d001.s015.t015 bn:00005518n
d001.s015.t017 bn:00084373v
d001.s015.t018 bn:00082705v
d001.s015.t020 bn:00061017n
d001.s015.t022 bn:00043544n
d001.s015.t024 bn:00080831n
d001.s015.t029 bn:00088826v
d001.s015.t030 bn:00115811r
d001.s015.t033 bn:00043484n
d001.s015.t036 bn:00102230a
d001.s015.t037 bn:00032469n
d001.s015.t038 bn:00087620v
d001.s015.t040 bn:00055094n
d001.s016.t002 bn:00084079v
d001.s016.t003 bn:00071431n
d001.s016.t004 bn:00029874n
d001.s016.t006 bn:00061017n
d001.s016.t008 bn:00085689v
d001.s016.t010 bn:00001507n
d001.s016.t012 bn:00104107a
d001.s016.t013 bn:00000902n
d001.s016.t016 bn:00078798n
d001.s016.t018 bn:00080147n
d001.s016.t022 bn:00089246v
d001.s016.t023 bn:00046786n
d001.s016.t026 bn:00004712n
d001.s016.t028 bn:00047235n
d001.s016.t030 bn:00041942n
d001.s017.t002 bn:00116467r
d001.s017.t004 bn:00088826v
d001.s017.t006 bn:00061938n
d001.s017.t010 bn:00054128n
d001.s017.t013 bn:00088454v
d001.s017.t014 bn:00027565n
d001.s017.t017 bn:00035426n
d001.s017.t021 bn:00025983n
d001.s017.t024 bn:00114246r
d001.s017.t032 bn:00028320n
d001.s018.t001 bn:00047235n
d001.s018.t004 bn:00086514v
d001.s018.t006 bn:00084710v
d001.s018.t010 bn:00028320n
d001.s018.t011 bn:00084079v
d001.s018.t014 bn:00061017n
d001.s018.t016 bn:00011346n
d001.s018.t017 bn:00023139n
d001.s018.t019 bn:00096158a
d001.s018.t023 bn:00099474a
d001.s018.t024 bn:00108011a
d001.s018.t025 bn:00071431n
d001.s018.t026 bn:00029874n
d001.s019.t001 bn:00041942n
d001.s019.t004 bn:00082418v
d001.s019.t006 bn:00030627n
d001.s019.t008 bn:00061017n
d001.s019.t010 bn:00106827a
d001.s019.t012 bn:00110471a
d001.s019.t013 bn:00049083n
d001.s019.t014 bn:00048242n
d001.s020.t002 bn:00106936a
d001.s020.t003 bn:00046698n
d001.s020.t005 bn:00093430v
d001.s020.t007 bn:00075142n
d001.s020.t009 bn:00054416n
d001.s020.t010 bn:00017761n
d001.s020.t012 bn:00114246r
d001.s020.t013 bn:00021395n
d001.s021.t003 bn:00114632r
d001.s021.t004 bn:00088629v
d001.s022.t002 bn:00096387a
d001.s022.t003 bn:00074985n
d001.s022.t005 bn:00041942n
d001.s022.t011 bn:00100866a
d001.s022.t012 bn:00054128n
d001.s022.t017 bn:00090105v
d001.s022.t018 bn:00017027n
d001.s022.t021 bn:00084611v
d001.s022.t024 bn:00015180n
d001.s022.t029 bn:00083389v
d001.s022.t032 bn:00041942n
d001.s022.t033 bn:00004691n
d001.s023.t003 bn:00011744n
d001.s023.t007 bn:00085761v
d001.s023.t010 bn:00096387a
d001.s023.t011 bn:00035907n
d001.s023.t013 bn:00011308n
d001.s023.t015 bn:00001173n
d001.s023.t018 bn:00031085n
d001.s023.t021 bn:00082428v
d001.s023.t023 bn:00084069v
d001.s023.t024 bn:00008788n
d001.s023.t034 bn:00103522a
d001.s023.t035 bn:00053801n
d001.s023.t037 bn:00017027n
d001.s024.t003 bn:00114041r
d001.s024.t005 bn:00082596v
d001.s025.t003 bn:00047235n
d001.s025.t005 bn:00106363a
d001.s025.t006 bn:00108692a
d001.s025.t007 bn:00054512n
d001.s025.t012 bn:00082596v
d001.s025.t015 bn:00099598a
d001.s025.t016 bn:00074790n
d001.s025.t019 bn:00061017n
d001.s025.t023 bn:00089246v
d001.s025.t024 bn:00018141n
d001.s025.t027 bn:00027546n
d001.s025.t028 bn:00114512r
d001.s026.t002 bn:00021961n
d001.s026.t004 bn:00054841n
d001.s026.t006 bn:00020872n
d001.s026.t008 bn:00028512n
d001.s026.t010 bn:00085450v
d001.s026.t015 bn:00096871a
d001.s027.t003 bn:00047235n
d001.s027.t006 bn:00017027n
d001.s027.t007 bn:00052341n
d001.s027.t008 bn:00015180n
d001.s027.t011 bn:00021961n
d001.s027.t013 bn:00041942n
d001.s027.t015 bn:00085450v
d001.s027.t022 bn:00097220a
d001.s027.t023 bn:00054128n
d001.s027.t027 bn:00074790n
d001.s027.t028 bn:00082428v
d001.s027.t030 bn:00061017n
d001.s027.t032 bn:00116147r
d001.s027.t033 bn:00096528a
d001.s027.t035 bn:00106664a
d001.s027.t036 bn:00027546n
d001.s027.t039 bn:00089246v
d001.s027.t040 bn:00018141n
d001.s027.t043 bn:00060927n
d001.s028.t003 bn:00114246r
d001.s028.t004 bn:00085450v
d001.s028.t006 bn:00061938n
d001.s028.t009 bn:00097220a
d001.s028.t010 bn:00054128n
d001.s028.t015 bn:00020872n
d001.s028.t017 bn:00028512n
d001.s028.t021 bn:00074790n
d001.s028.t022 bn:00082428v
d001.s028.t024 bn:00061017n
d001.s028.t028 bn:00089246v
d001.s028.t029 bn:00018141n
d001.s028.t031 bn:00052341n
d001.s028.t032 bn:00015180n
d001.s028.t035 bn:00060928n
d001.s029.t004 bn:00074790n
d001.s029.t007 bn:00099598a
d001.s029.t008 bn:00023853n
d001.s029.t010 bn:00029877n
d001.s029.t013 bn:00106124a
d001.s029.t015 bn:00061017n
d001.s029.t016 bn:00087617v
d001.s030.t002 bn:00009905n
d001.s030.t004 bn:00114246r
d001.s030.t005 bn:00093682v
d001.s030.t008 bn:00074790n
d001.s031.t001 bn:00114364r
d001.s031.t002 bn:00089667v
d001.s031.t004 bn:00030811n
d001.s031.t005 bn:00077267n
d001.s031.t007 bn:00061017n
d001.s031.t009 bn:00106363a
d001.s031.t010 bn:00108692a
d001.s031.t011 bn:00054512n
d001.s032.t001 bn:00061017n
d001.s032.t002 bn:00089246v
d001.s032.t003 bn:00041942n
d001.s032.t005 bn:00028512n
d001.s032.t006 bn:00087617v
d001.s032.t009 bn:00007449n
d001.s032.t012 bn:00055794n
d001.s032.t014 bn:00085450v
d001.s032.t022 bn:00096871a
d001.s033.t003 bn:00047235n
d001.s033.t005 bn:00061017n
d001.s033.t008 bn:00017027n
d001.s033.t009 bn:00052341n
d001.s033.t010 bn:00015180n
d001.s033.t014 bn:00114354r
d001.s033.t015 bn:00102040a
d001.s033.t018 bn:00017562n
d001.s034.t002 bn:00061017n
d001.s034.t005 bn:00089246v
d001.s034.t006 bn:00018141n
d001.s034.t009 bn:00060927n
d001.s034.t012 bn:00097854a
d001.s034.t013 bn:00030811n
d001.s034.t014 bn:00077267n
d001.s034.t017 bn:00055794n
d001.s034.t019 bn:00041942n
d001.s034.t021 bn:00085450v
d001.s034.t026 bn:00061430n
d001.s035.t002 bn:00061017n
d001.s035.t006 bn:00089246v
d001.s035.t007 bn:00018141n
d001.s035.t010 bn:00060927n
d001.s035.t013 bn:00097854a
d001.s035.t014 bn:00030811n
d001.s035.t015 bn:00077267n
d001.s035.t018 bn:00055794n
d001.s035.t021 bn:00041942n
d001.s036.t001 bn:00114216r
d001.s036.t005 bn:00074790n
d001.s036.t007 bn:00061017n
d001.s036.t009 bn:00015180n
d001.s036.t012 bn:00082427v
d001.s036.t013 bn:00107004a
d001.s036.t014 bn:00017027n
d001.s036.t016 bn:00106124a
d001.s036.t017 bn:00030811n
d001.s036.t018 bn:00077267n
d001.s036.t021 bn:00089246v
d001.s036.t022 bn:00117212r
d001.s036.t028 bn:00046770n
d001.s037.t002 bn:00022261n
d001.s037.t004 bn:00061017n
d001.s037.t006 bn:00015180n
d001.s037.t008 bn:00082427v
d001.s037.t009 bn:00107004a
d001.s037.t010 bn:00017027n
d001.s037.t012 bn:00110561a
d001.s037.t013 bn:00030811n
d001.s037.t014 bn:00077267n
d001.s037.t017 bn:00087863v
d001.s037.t018 bn:00116467r
d001.s037.t023 bn:00106488a
d001.s037.t024 bn:00014687n
d001.s037.t025 bn:00083141v
d001.s037.t027 bn:00022154n
d001.s037.t030 bn:00049910n
d001.s038.t001 bn:00116382r
d001.s038.t004 bn:00099215a
d001.s038.t006 bn:00087106v
d001.s038.t007 bn:00110649a
d001.s038.t008 bn:00106488a
d001.s038.t009 bn:00053826n
d001.s038.t011 bn:00097495a
d001.s038.t013 bn:00105862a
d001.s038.t017 bn:00090887v
d001.s038.t021 bn:00041412n
d001.s039.t003 bn:00114117r
d001.s039.t005 bn:00107182a
d001.s039.t007 bn:00090144v
d001.s039.t010 bn:00082705v
d001.s039.t011 bn:00002676n
d001.s039.t017 bn:00083141v
d001.s039.t018 bn:00041412n
d001.s039.t019 bn:00014687n
d001.s040.t004 bn:00114055r
d001.s040.t005 bn:00103547a
d001.s040.t006 bn:00091199v
d001.s040.t009 bn:00116382r
d001.s040.t011 bn:00082705v
d001.s040.t015 bn:00106059a
d001.s040.t016 bn:00106488a
d001.s040.t017 bn:00020452n
d001.s041.t001 bn:00115640r
d001.s041.t004 bn:00064726n
d001.s041.t006 bn:00002676n
d001.s041.t007 bn:00099598a
d001.s041.t008 bn:00081285n
d001.s041.t015 bn:00085498v
d001.s041.t018 bn:00022001n
d001.s041.t019 bn:00075802n
d001.s041.t023 bn:00041412n
d001.s041.t032 bn:00026967n
d001.s042.t003 bn:00075802n
d001.s042.t006 bn:00084231v
d001.s042.t008 bn:00046848n
d001.s042.t009 bn:00034269n
d001.s042.t011 bn:00095295v
d001.s042.t013 bn:00036821n
d001.s042.t017 bn:00014688n
d001.s043.t003 bn:00086682v
d001.s043.t005 bn:00095375v
d001.s043.t008 bn:00088629v
d001.s043.t011 bn:00103678a
d001.s043.t012 bn:00076919n
d001.s043.t018 bn:00082472v
d001.s043.t021 bn:00046848n
d001.s043.t024 bn:00084785v
d001.s043.t031 bn:00107182a
d001.s043.t033 bn:00090141v
d001.s044.t003 bn:00083141v
d001.s044.t005 bn:00062118n
d001.s044.t006 bn:00114508r
d001.s044.t008 bn:00099929a
d001.s044.t009 bn:00021164n
d001.s044.t015 bn:00101358a
d001.s045.t002 bn:00083181v
d001.s045.t003 bn:00090448v
d001.s045.t004 bn:00114750r
d001.s045.t010 bn:00062118n
d001.s045.t013 bn:00090448v
d001.s045.t014 bn:00116789r
d001.s045.t015 bn:00110647a
d001.s045.t019 bn:00000005n
d001.s045.t022 bn:00001296n
d001.s045.t024 bn:00055233n
d001.s045.t026 bn:00056300n
d001.s045.t028 bn:00027919n
d001.s045.t034 bn:00063941n
d001.s045.t038 bn:00082705v
d001.s046.t001 bn:00114246r
d001.s046.t004 bn:00108829a
d001.s046.t006 bn:00082705v
d001.s046.t008 bn:00047160n
d001.s046.t010 bn:00017752n
d001.s047.t001 bn:00032355n
d001.s047.t004 bn:00033729n
d001.s047.t006 bn:00086008v
d001.s047.t007 bn:00068246n
d001.s047.t008 bn:00114246r
d001.s047.t013 bn:00074588n
d001.s047.t017 bn:00086468v
d001.s047.t019 bn:00083798v
d001.s047.t020 bn:00079581n
d001.s047.t023 bn:00036821n
d001.s047.t030 bn:00082705v
d001.s047.t034 bn:00104162a
d001.s047.t035 bn:00064072n
d001.s047.t041 bn:00060753n
d001.s047.t042 bn:00082811v
d001.s047.t047 bn:00084848v
d001.s047.t052 bn:00059141n
d001.s048.t008 bn:00087116v
d001.s048.t011 bn:00059141n
d001.s048.t024 bn:00079373n
d001.s048.t025 bn:00036821n
d001.s048.t032 bn:00082705v
d001.s048.t034 bn:00086466v
d001.s048.t036 bn:00113501a
d001.s048.t037 bn:00079508n
d001.s048.t041 bn:00033359n
d001.s048.t042 bn:00021644n
d001.s048.t043 bn:00025928n
d001.s049.t001 bn:00031281n
d001.s049.t004 bn:00033729n
d001.s049.t007 bn:00086466v
d001.s049.t008 bn:00100214a
d001.s049.t009 bn:00053826n
d001.s049.t011 bn:00002676n
d001.s050.t003 bn:00082273v
d001.s050.t005 bn:00021645n
d001.s050.t011 bn:00082705v
d001.s050.t014 bn:00114234r
d001.s050.t018 bn:00112146a
d001.s050.t022 bn:00084231v
d001.s050.t031 bn:00087679v
d001.s050.t034 bn:00105740a
d001.s050.t035 bn:00016401n
d001.s050.t041 bn:00022129n
d001.s050.t046 bn:00082705v
d001.s050.t048 bn:00086466v
d001.s051.t001 bn:00114714r
d001.s051.t002 bn:00113455a
d001.s051.t004 bn:00095814v
d001.s051.t006 bn:00072213n
d001.s052.t001 bn:00116381r
d001.s052.t004 bn:00082817v
d001.s052.t010 bn:00079373n
d001.s052.t011 bn:00090793v
d001.s052.t016 bn:00046516n
d001.s052.t017 bn:00101973a
d001.s052.t024 bn:00088629v
d001.s052.t026 bn:00036821n
d001.s052.t033 bn:00108011a
d001.s052.t034 bn:00112111a
d001.s053.t004 bn:00085860v
d001.s053.t006 bn:00035907n
d001.s054.t003 bn:00082705v
d001.s054.t012 bn:00059141n
d001.s054.t016 bn:00022003n
d001.s054.t018 bn:00113455a
d001.s054.t021 bn:00014687n
d001.s055.t001 bn:00114427r
d001.s055.t005 bn:00051508n
d001.s055.t008 bn:00086380v
d001.s055.t009 bn:00079581n
d001.s056.t002 bn:00101725a
d001.s056.t003 bn:00019758n
d001.s056.t008 bn:00093430v
d001.s056.t010 bn:00026834n
d001.s056.t012 bn:00082536v
d001.s056.t014 bn:00082553v
d001.s056.t016 bn:00079508n
d001.s056.t018 bn:00114626r
d001.s056.t020 bn:00001965n
d001.s056.t022 bn:00088310v
d001.s056.t024 bn:00051831n
d001.s057.t002 bn:00019848n
d001.s057.t004 bn:00087679v
d001.s057.t006 bn:00032395n
d001.s057.t012 bn:00113501a
d001.s057.t013 bn:00079508n
d001.s057.t016 bn:00084772v
d001.s057.t019 bn:00105740a
d001.s057.t020 bn:00004452n
d001.s058.t001 bn:00086634v
d001.s058.t003 bn:00107267a
d001.s058.t004 bn:00081289n
d001.s059.t001 bn:00087769v
d001.s059.t003 bn:00051829n
d001.s060.t003 bn:00013942n
d001.s060.t004 bn:00012062n
d001.s061.t001 bn:00087823v
d001.s061.t003 bn:00020945n
d001.s061.t006 bn:00034424n
d001.s061.t007 bn:00114819r
d001.s062.t001 bn:00107292a
d001.s062.t004 bn:00086682v
d001.s062.t006 bn:00086466v
d001.s062.t008 bn:00050969n
d001.s062.t010 bn:00092413v
d001.s062.t012 bn:00107791a
d001.s062.t013 bn:00062309n
d001.s063.t001 bn:00086634v
d001.s063.t002 bn:00036962n
d001.s063.t003 bn:00091983v
d001.s063.t004 bn:00012062n
d001.s064.t001 bn:00091983v
d001.s064.t003 bn:00020945n
d001.s064.t006 bn:00095295v
d001.s064.t009 bn:00070689n
d001.s064.t010 bn:00083340v
d001.s064.t013 bn:00096153a
d001.s064.t015 bn:00092558v
d001.s065.t001 bn:00084080v
d001.s065.t002 bn:00076732n
d001.s065.t003 bn:00025320n
d001.s065.t008 bn:00101973a
d001.s065.t010 bn:00084308v
d001.s065.t011 bn:00082705v
d001.s065.t014 bn:00029774n
d001.s065.t017 bn:00115640r
d001.s066.t001 bn:00086634v
d001.s066.t003 bn:00069387n
d001.s066.t004 bn:00051831n
d001.s067.t001 bn:00091983v
d001.s067.t003 bn:00051831n
d001.s067.t006 bn:00004452n
d001.s067.t009 bn:00045087n
d001.s067.t010 bn:00025320n
d001.s067.t013 bn:00096151a
d001.s067.t015 bn:00092023v
d001.s067.t017 bn:00092023v
d001.s068.t001 bn:00093609v
d001.s068.t003 bn:00116771r
d001.s069.t001 bn:00087812v
d001.s069.t003 bn:00021492n
d001.s070.t002 bn:00082317v
d001.s070.t004 bn:00107267a
d001.s070.t006 bn:00041412n
d001.s070.t008 bn:00002676n
d001.s070.t017 bn:00088912v
d001.s070.t022 bn:00075802n
d001.s070.t024 bn:00085112v
d001.s070.t033 bn:00036821n
d001.s071.t001 bn:00117250r
d001.s071.t003 bn:00017153n
d001.s071.t005 bn:00088912v
d001.s071.t008 bn:00046848n
d001.s071.t009 bn:00076732n
d001.s071.t010 bn:00012524n
d001.s071.t014 bn:00095295v
d001.s071.t016 bn:00036821n
d001.s072.t003 bn:00086682v
d001.s072.t005 bn:00082705v
d001.s072.t007 bn:00112216a
d001.s072.t009 bn:00036821n
d001.s072.t013 bn:00107182a
d001.s072.t015 bn:00086468v
d001.s073.t004 bn:00087679v
d001.s073.t006 bn:00036821n
d001.s073.t007 bn:00085112v
d001.s073.t011 bn:00014306n
d001.s073.t013 bn:00087013v
d001.s073.t015 bn:00041412n
d001.s073.t018 bn:00099598a
d001.s073.t019 bn:00081285n
d001.s074.t003 bn:00082357v
d001.s074.t004 bn:00110469a
d001.s074.t005 bn:00041412n
d001.s074.t008 bn:00110075a
d001.s074.t009 bn:00006384n
d001.s075.t001 bn:00114626r
d001.s075.t002 bn:00082705v
d001.s075.t004 bn:00001274n
d001.s075.t005 bn:00014306n
d001.s075.t010 bn:00051508n
d001.s075.t011 bn:00055444n
d001.s076.t003 bn:00090224v
d001.s076.t005 bn:00041412n
d001.s076.t007 bn:00096707a
d001.s076.t008 bn:00020726n
d001.s077.t002 bn:00036064n
d001.s077.t004 bn:00116085r
d001.s077.t006 bn:00089893v
d001.s077.t008 bn:00086870v
d001.s077.t010 bn:00021721n
d001.s077.t012 bn:00082339v
d001.s077.t015 bn:00100677a
d001.s077.t016 bn:00017557n
d001.s078.t003 bn:00060798n
d001.s078.t006 bn:00099598a
d001.s078.t007 bn:00047082n
d001.s078.t008 bn:00041942n
d001.s078.t009 bn:00082907v
d001.s078.t011 bn:00086341v
d001.s078.t012 bn:00047688n
d001.s078.t013 bn:00111411a
d001.s078.t014 bn:00114354r
d001.s078.t016 bn:00036823n
d001.s078.t018 bn:00099258a
d001.s078.t019 bn:00001176n
d001.s078.t020 bn:00089660v
d001.s078.t021 bn:00109211a
d001.s078.t022 bn:00007300n
d001.s078.t024 bn:00110842a
d001.s078.t025 bn:00020592n
d001.s078.t027 bn:00113672a
d001.s078.t029 bn:00021248n
d001.s078.t030 bn:00059480n
d001.s078.t032 bn:00115994r
d001.s078.t034 bn:00070652n
d001.s078.t035 bn:00079373n
d001.s079.t003 bn:00114784r
d001.s079.t004 bn:00102920a
d001.s079.t005 bn:00016401n
d001.s079.t006 bn:00092823v
d001.s079.t008 bn:00007011n
d001.s079.t010 bn:00089893v
d001.s079.t011 bn:00079373n
d001.s079.t013 bn:00070651n
d001.s079.t014 bn:00062794n
d001.s079.t017 bn:00030844n
d001.s079.t020 bn:00064922n
d001.s079.t022 bn:00082811v
d001.s079.t025 bn:00116284r
d001.s079.t026 bn:00100093a
d001.s080.t001 bn:00004350n
d001.s080.t003 bn:00114246r
d001.s080.t004 bn:00094730v
d001.s080.t007 bn:00006554n
d001.s080.t009 bn:00101347a
d001.s080.t010 bn:00036822n
d001.s080.t011 bn:00091709v
d001.s080.t013 bn:00109211a
d001.s080.t014 bn:00065083n
d001.s081.t002 bn:00036064n
d001.s081.t003 bn:00088488v
d001.s081.t005 bn:00117321r
d001.s081.t008 bn:00102440a
d001.s081.t015 bn:00110842a
d001.s081.t016 bn:00001734n
d001.s081.t019 bn:00100881a
d001.s081.t020 bn:00109623a
d001.s081.t021 bn:00041191n
d001.s081.t025 bn:00021721n
d001.s081.t028 bn:00032152n
d001.s081.t031 bn:00106333a
d001.s081.t032 bn:00017557n
d001.s081.t034 bn:00109211a
d001.s081.t035 bn:00065083n
d001.s081.t036 bn:00070651n
d001.s082.t002 bn:00036064n
d001.s082.t003 bn:00116085r
d001.s082.t004 bn:00092023v
d001.s082.t006 bn:00100121a
d001.s082.t007 bn:00074790n
d001.s082.t009 bn:00021395n
d001.s082.t012 bn:00041942n
d001.s082.t013 bn:00049573n
d001.s082.t015 bn:00082720v
d001.s082.t017 bn:00032425n
d001.s082.t020 bn:00101412a
d001.s082.t021 bn:00030844n
d001.s082.t023 bn:00089511v
d001.s082.t024 bn:00081568n
d001.s082.t026 bn:00089667v
d001.s082.t027 bn:00037027n
d001.s083.t002 bn:00074790n
d001.s083.t004 bn:00083141v
d001.s083.t007 bn:00108488a
d001.s083.t008 bn:00047238n
d001.s083.t010 bn:00110401a
d001.s083.t011 bn:00036837n
d001.s083.t014 bn:00110842a
d001.s083.t015 bn:00020592n
d001.s083.t017 bn:00047203n
d001.s083.t019 bn:00107137a
d001.s083.t020 bn:00041239n
d001.s083.t021 bn:00011425n
d001.s083.t022 bn:00059480n
d001.s083.t025 bn:00102440a
d001.s083.t026 bn:00023236n
d001.s084.t001 bn:00114354r
d001.s084.t002 bn:00104680a
d001.s084.t003 bn:00104995a
d001.s084.t004 bn:00070206n
d001.s084.t007 bn:00002936n
d001.s084.t008 bn:00046575n
d001.s084.t011 bn:00008412n
d001.s084.t012 bn:00070206n
d001.s084.t014 bn:00114246r
d001.s084.t015 bn:00089661v
d001.s085.t001 bn:00099258a
d001.s085.t002 bn:00073170n
d001.s085.t005 bn:00110842a
d001.s085.t006 bn:00032152n
d001.s085.t007 bn:00021721n
d001.s085.t010 bn:00090273v
d001.s085.t012 bn:00109848a
d001.s085.t017 bn:00030616n
d001.s085.t019 bn:00104995a
d001.s085.t020 bn:00066998n
d001.s085.t023 bn:00001734n
d001.s085.t024 bn:00011651n
d001.s085.t026 bn:00102440a
d001.s085.t032 bn:00102158a
d001.s085.t033 bn:00025965n
d001.s085.t035 bn:00021015n
d001.s085.t038 bn:00060767n
d001.s085.t042 bn:00034004n
d001.s085.t059 bn:00102001a
d001.s086.t001 bn:00016407n
d001.s086.t002 bn:00074790n
d001.s086.t004 bn:00107137a
d001.s086.t005 bn:00067181n
d001.s086.t006 bn:00085499v
d001.s086.t008 bn:00063673n
d001.s086.t014 bn:00031009n
d001.s086.t016 bn:00103672a
d001.s086.t017 bn:00108977a
d001.s086.t018 bn:00063329n
d001.s086.t020 bn:00061054n
d001.s086.t022 bn:00082573v
d001.s086.t024 bn:00030933n
d001.s086.t026 bn:00041853n
d001.s086.t028 bn:00026695n
d001.s086.t030 bn:00082450v
d001.s086.t031 bn:00064681n
d001.s086.t035 bn:00081570n
d001.s086.t036 bn:00062700n
d001.s086.t039 bn:00021248n
d001.s087.t003 bn:00023236n
d001.s087.t008 bn:00031009n
d001.s087.t011 bn:00084931v
d001.s087.t013 bn:00115324r
d001.s087.t015 bn:00026418n
d001.s087.t016 bn:00016401n
d001.s087.t017 bn:00074790n
d001.s088.t002 bn:00016406n
d001.s088.t003 bn:00074790n
d001.s088.t004 bn:00082596v
d001.s088.t006 bn:00007783n
d001.s088.t009 bn:00031009n
d001.s088.t012 bn:00046065n
d001.s088.t014 bn:00030616n
d001.s088.t015 bn:00061054n
d001.s088.t017 bn:00081568n
d001.s088.t018 bn:00059480n
d001.s088.t020 bn:00082720v
d001.s088.t022 bn:00009905n
d001.s088.t024 bn:00048242n
d001.s088.t027 bn:00034797n
d001.s089.t001 bn:00080111n
d001.s089.t003 bn:00047238n
d001.s089.t005 bn:00099258a
d001.s089.t006 bn:00035770n
d001.s089.t008 bn:00114246r
d001.s089.t009 bn:00082906v
d001.s090.t002 bn:00107137a
d001.s090.t003 bn:00074790n
d001.s090.t005 bn:00085670v
d001.s090.t007 bn:00008786n
d001.s090.t010 bn:00102440a
d001.s090.t011 bn:00067181n
d001.s090.t013 bn:00094713v
d001.s090.t014 bn:00108084a
d001.s090.t015 bn:00061054n
d001.s091.t002 bn:00067181n
d001.s091.t005 bn:00016406n
d001.s091.t006 bn:00012059n
d001.s091.t008 bn:00031009n
d001.s091.t011 bn:00092023v
d001.s091.t015 bn:00088643v
