Token ID	Token	Lemma	POS	Sense
d001.s006.t019	.		X	n/a
d001.s007.t001	It		X	n/a
d001.s007.t002	contains	contain	V	bn:00085499v
d001.s007.t003	the		X	n/a
d001.s007.t004	active	active	J	bn:00096387a
d001.s007.t005	substance	substance	N	bn:00074986n
d001.s007.t006	pemetrexed	pemetrexed	N	bn:00602447n
d001.s007.t007	.		X	n/a
d001.s008.t001	What		X	n/a
d001.s008.t002	is	be	V	n/a
d001.s008.t003	Alimta	alimta	N	bn:00602447n
d001.s008.t004	used	use	V	bn:00082705v
d001.s008.t005	for		X	n/a
d001.s008.t006	?		X	n/a
d001.s009.t001	Alimta	alimta	N	bn:00602447n
d001.s009.t002	is	be	V	n/a
d001.s009.t003	used	use	V	bn:00082705v
d001.s009.t004	to		X	n/a
d001.s009.t005	treat	treat	V	bn:00084532v
d001.s009.t006	two		X	n/a
d001.s009.t007	types	type	N	bn:00078798n
d001.s009.t008	of		X	n/a
d001.s009.t009	cancer	cancer	N	bn:00015180n
d001.s009.t010	:		X	n/a
d001.s009.t011	pleural	pleural	J	bn:00108692a
d001.s009.t012	mesothelioma	mesothelioma	N	bn:00054512n
d001.s009.t013	(		X	n/a
d001.s009.t014	cancer	cancer	N	bn:00015180n
d001.s009.t015	of		X	n/a
d001.s009.t016	the		X	n/a
d001.s009.t017	lining	lining	N	bn:00051366n
d001.s009.t018	of		X	n/a
d001.s009.t019	the		X	n/a
d001.s009.t020	lungs	lung	N	bn:00052341n
d001.s009.t021	that		X	n/a
d001.s009.t022	is	be	V	n/a
d001.s009.t023	usually	usually	R	bn:00114778r
d001.s009.t024	caused	cause	V	bn:00084069v
d001.s009.t025	by		X	n/a
d001.s009.t026	exposure	exposure	N	bn:00032379n
d001.s009.t027	to		X	n/a
d001.s009.t028	asbestos	asbestos	N	bn:00006236n
d001.s009.t029	)		X	n/a
d001.s009.t030	.		X	n/a
d001.s010.t001	Alimta	alimta	N	bn:00602447n
d001.s010.t002	is	be	V	n/a
d001.s010.t003	used	use	V	bn:00082705v
d001.s010.t004	together	together	R	n/a
d001.s010.t005	with		X	n/a
d001.s010.t006	cisplatin	cisplatin	N	bn:00577781n
d001.s010.t007	(		X	n/a
d001.s010.t008	another		X	n/a
d001.s010.t009	anticancer	anticancer	J	bn:00097220a
d001.s010.t010	medicine	medicine	N	bn:00054128n
d001.s010.t011	)		X	n/a
d001.s010.t012	when		X	n/a
d001.s010.t013	the		X	n/a
d001.s010.t014	cancer	cancer	N	bn:00015180n
d001.s010.t015	is	be	V	n/a
d001.s010.t016	unresectable	unresectable	J	n/a
d001.s010.t017	(		X	n/a
d001.s010.t018	cannot		X	n/a
d001.s010.t019	be	be	V	n/a
d001.s010.t020	removed	remove	V	bn:00092783v
d001.s010.t021	by		X	n/a
d001.s010.t022	surgery	surgery	N	bn:00059129n
d001.s010.t023	alone	alone	J	bn:00096871a
d001.s010.t024	)		X	n/a
d001.s010.t025	and		X	n/a
d001.s010.t026	malignant	malignant	J	bn:00106363a
d001.s010.t027	(		X	n/a
d001.s010.t028	has	have	V	n/a
d001.s010.t029	spread	spread	V	bn:00092083v
d001.s010.t030	,		X	n/a
d001.s010.t031	or		X	n/a
d001.s010.t032	is	be	V	n/a
d001.s010.t033	likely	likely	J	bn:00105981a
d001.s010.t034	to		X	n/a
d001.s010.t035	spread	spread	V	bn:00092083v
d001.s010.t036	easily	easily	R	bn:00115155r
d001.s010.t037	,		X	n/a
d001.s010.t038	to		X	n/a
d001.s010.t039	other	other	J	bn:00108011a
d001.s010.t040	parts	part	N	bn:00021395n
d001.s010.t041	of		X	n/a
d001.s010.t042	the		X	n/a
d001.s010.t043	body	body	N	bn:00011744n
d001.s010.t044	)		X	n/a
d001.s010.t045	,		X	n/a
d001.s010.t046	in		X	n/a
d001.s010.t047	patients	patient	N	bn:00061017n
d001.s010.t048	who		X	n/a
d001.s010.t049	have	have	V	n/a
d001.s010.t050	not	not	R	bn:00116360r
d001.s010.t051	received	receive	V	bn:00087863v
d001.s010.t052	chemotherapy	chemotherapy	N	bn:00018141n
d001.s010.t053	(		X	n/a
d001.s010.t054	medicines	medicine	N	bn:00054128n
d001.s010.t055	for		X	n/a
d001.s010.t056	cancer	cancer	N	bn:00015180n
d001.s010.t057	)		X	n/a
d001.s010.t058	before		X	n/a
d001.s010.t059	advanced	advanced	J	bn:00096528a
d001.s010.t060	or		X	n/a
d001.s010.t061	metastatic	metastatic	J	bn:00106664a
d001.s010.t062	non-small	non-small	J	n/a
d001.s010.t063	cell	cell	N	bn:00017027n
d001.s010.t064	lung	lung	N	bn:00052341n
d001.s010.t065	cancer	cancer	N	bn:00015180n
d001.s010.t066	that		X	n/a
d001.s010.t067	is	be	V	n/a
d001.s010.t068	not	not	R	bn:00116360r
d001.s010.t069	affecting	affect	V	bn:00082427v
d001.s010.t070	the		X	n/a
d001.s010.t071	squamous	squamous	J	n/a
d001.s010.t072	cells	cell	N	bn:00017027n
d001.s010.t073	.		X	n/a
d001.s011.t001	Alimta	alimta	N	bn:00602447n
d001.s011.t002	is	be	V	n/a
d001.s011.t003	used	use	V	bn:00082705v
d001.s011.t004	in		X	n/a
d001.s011.t005	combination	combination	N	bn:00020872n
d001.s011.t006	with		X	n/a
d001.s011.t007	cisplatin	cisplatin	N	bn:00577781n
d001.s011.t008	in		X	n/a
d001.s011.t009	patients	patient	N	bn:00061017n
d001.s011.t010	who		X	n/a
d001.s011.t011	have	have	V	n/a
d001.s011.t012	not	not	R	bn:00116360r
d001.s011.t013	been	be	V	n/a
d001.s011.t014	treated	treat	V	bn:00084532v
d001.s011.t015	before		X	n/a
d001.s011.t016	,		X	n/a
d001.s011.t017	and		X	n/a
d001.s011.t018	on		X	n/a
d001.s011.t019	its		X	n/a
d001.s011.t020	own	own	J	n/a
d001.s011.t021	in		X	n/a
d001.s011.t022	patients	patient	N	bn:00061017n
d001.s011.t023	who		X	n/a
d001.s011.t024	have	have	V	n/a
d001.s011.t025	received	receive	V	bn:00087863v
d001.s011.t026	another		X	n/a
d001.s011.t027	type	type	N	bn:00078798n
d001.s011.t028	of		X	n/a
d001.s011.t029	chemotherapy	chemotherapy	N	bn:00018141n
d001.s011.t030	in		X	n/a
d001.s011.t031	the		X	n/a
d001.s011.t032	past	past	N	bn:00060927n
d001.s011.t033	.		X	n/a
d001.s012.t001	The		X	n/a
d001.s012.t002	medicine	medicine	N	bn:00054128n
d001.s012.t003	can		X	n/a
d001.s012.t004	only	only	R	bn:00116450r
d001.s012.t005	be	be	V	n/a
d001.s012.t006	obtained	obtain	V	bn:00082276v
d001.s012.t007	with		X	n/a
d001.s012.t008	a		X	n/a
d001.s012.t009	prescription	prescription	N	bn:00064195n
d001.s012.t010	.		X	n/a
d001.s013.t001	How		X	n/a
d001.s013.t002	is	be	V	n/a
d001.s013.t003	Alimta	alimta	N	bn:00602447n
d001.s013.t004	used	use	V	bn:00082705v
d001.s013.t005	?		X	n/a
d001.s014.t001	Alimta	alimta	N	bn:00602447n
d001.s014.t002	should		X	n/a
d001.s014.t003	only	only	R	bn:00116450r
d001.s014.t004	be	be	V	n/a
d001.s014.t005	given	give	V	bn:00088826v
d001.s014.t006	under		X	n/a
d001.s014.t007	the		X	n/a
d001.s014.t008	supervision	supervision	N	bn:00059908n
d001.s014.t009	of		X	n/a
d001.s014.t010	a		X	n/a
d001.s014.t011	doctor	doctor	N	bn:00027976n
d001.s014.t012	who		X	n/a
d001.s014.t013	is	be	V	n/a
d001.s014.t014	qualified	qualify	V	n/a
d001.s014.t015	in		X	n/a
d001.s014.t016	the		X	n/a
d001.s014.t017	use	use	N	bn:00030627n
d001.s014.t018	of		X	n/a
d001.s014.t019	anticancer	anticancer	J	bn:00097220a
d001.s014.t020	chemotherapy	chemotherapy	N	bn:00018141n
d001.s014.t021	.		X	n/a
d001.s015.t001	The		X	n/a
d001.s015.t002	recommended	recommended	J	n/a
d001.s015.t003	dose	dose	N	bn:00028320n
d001.s015.t004	of		X	n/a
d001.s015.t005	Alimta	alimta	N	bn:00602447n
d001.s015.t006	is	be	V	n/a
d001.s015.t007	500		X	n/a
d001.s015.t008	mg	mg	N	bn:00054701n
d001.s015.t009	per		X	n/a
d001.s015.t010	square	square	J	n/a
d001.s015.t011	metre	metre	N	bn:00052501n
d001.s015.t012	of		X	n/a
d001.s015.t013	body	body	N	bn:00011744n
d001.s015.t014	surface	surface	N	bn:00075374n
d001.s015.t015	area	area	N	bn:00005518n
d001.s015.t016	(		X	n/a
d001.s015.t017	calculated	calculate	V	bn:00084373v
d001.s015.t018	using	use	V	bn:00082705v
d001.s015.t019	the		X	n/a
d001.s015.t020	patient	patient	N	bn:00061017n
d001.s015.t021	s		X	n/a
d001.s015.t022	height	height	N	bn:00043545n
d001.s015.t023	and		X	n/a
d001.s015.t024	weight	weight	N	bn:00080831n
d001.s015.t025	)		X	n/a
d001.s015.t026	.		X	n/a
d001.s016.t001	It		X	n/a
d001.s016.t002	is	be	V	n/a
d001.s016.t003	given	give	V	bn:00088826v
d001.s016.t004	once	once	R	bn:00115811r
d001.s016.t005	every	every	J	bn:00102467a
d001.s016.t006	three		X	n/a
d001.s016.t007	weeks	week	N	bn:00043484n
d001.s016.t008	as		X	n/a
d001.s016.t009	an		X	n/a
d001.s016.t010	intravenous	intravenous	J	bn:00102230a
d001.s016.t011	infusion	infusion	N	bn:00046734n
d001.s016.t012	lasting	last	V	bn:00087620v
d001.s016.t013	10		X	n/a
d001.s016.t014	minutes	minute	N	bn:00055094n
d001.s016.t015	.		X	n/a
d001.s017.t001	To		X	n/a
d001.s017.t002	reduce	reduce	V	bn:00084079v
d001.s017.t003	side	side	J	n/a
d001.s017.t004	effects	effect	N	bn:00029874n
d001.s017.t005	,		X	n/a
d001.s017.t006	patients	patient	N	bn:00061017n
d001.s017.t007	should		X	n/a
d001.s017.t008	take	take	V	bn:00085689v
d001.s017.t009	a		X	n/a
d001.s017.t010	corticosteroid	corticosteroid	N	bn:00001507n
d001.s017.t011	and		X	n/a
d001.s017.t012	folic	folic	J	n/a
d001.s017.t013	acid	acid	N	bn:00000902n
d001.s017.t014	(		X	n/a
d001.s017.t015	a		X	n/a
d001.s017.t016	type	type	N	bn:00078798n
d001.s017.t017	of		X	n/a
d001.s017.t018	vitamin	vitamin	N	bn:00080147n
d001.s017.t019	)		X	n/a
d001.s017.t020	,		X	n/a
d001.s017.t021	and		X	n/a
d001.s017.t022	receive	receive	V	n/a
d001.s017.t023	injections	injection	N	bn:00046785n
d001.s017.t024	of		X	n/a
d001.s017.t025	vitamin	vitamin	N	bn:00080147n
d001.s017.t026	B12	b12	N	n/a
d001.s017.t027	during		X	n/a
d001.s017.t028	treatment	treatment	N	bn:00047235n
d001.s017.t029	with		X	n/a
d001.s017.t030	Alimta	alimta	N	bn:00602447n
d001.s017.t031	.		X	n/a
d001.s018.t001	When		X	n/a
d001.s018.t002	Alimta	alimta	N	bn:00602447n
d001.s018.t003	is	be	V	n/a
d001.s018.t004	given	give	V	bn:00088826v
d001.s018.t005	with		X	n/a
d001.s018.t006	cisplatin	cisplatin	N	bn:00577781n
d001.s018.t007	,		X	n/a
d001.s018.t008	an		X	n/a
d001.s018.t009	anti-emetic	anti-emetic	J	n/a
d001.s018.t010	medicine	medicine	N	bn:00054128n
d001.s018.t011	(		X	n/a
d001.s018.t012	to		X	n/a
d001.s018.t013	prevent	prevent	V	bn:00088454v
d001.s018.t014	vomiting	vomit	V	bn:00083115v
d001.s018.t015	)		X	n/a
d001.s018.t016	and		X	n/a
d001.s018.t017	fluids	fluid	N	bn:00035426n
d001.s018.t018	(		X	n/a
d001.s018.t019	to		X	n/a
d001.s018.t020	prevent	prevent	V	bn:00088454v
d001.s018.t021	dehydration	dehydration	N	bn:00025983n
d001.s018.t022	)		X	n/a
d001.s018.t023	should		X	n/a
d001.s018.t024	also	also	R	bn:00114246r
d001.s018.t025	be	be	V	n/a
d001.s018.t026	given	give	V	bn:00088826v
d001.s018.t027	before	before	R	bn:00114512r
d001.s018.t028	or		X	n/a
d001.s018.t029	after	after	R	bn:00114165r
d001.s018.t030	the		X	n/a
d001.s018.t031	cisplatin	cisplatin	N	bn:00577781n
d001.s018.t032	dose	dose	N	bn:00028320n
d001.s018.t033	.		X	n/a
d001.s019.t001	Treatment	treatment	N	bn:00047235n
d001.s019.t002	should		X	n/a
d001.s019.t003	be	be	V	n/a
d001.s019.t004	delayed	delay	V	bn:00086514v
d001.s019.t005	or		X	n/a
d001.s019.t006	discontinued	discontinue	V	bn:00083908v
d001.s019.t007	,		X	n/a
d001.s019.t008	or		X	n/a
d001.s019.t009	the		X	n/a
d001.s019.t010	dose	dose	N	bn:00028320n
d001.s019.t011	reduced	reduce	V	bn:00084079v
d001.s019.t012	,		X	n/a
d001.s019.t013	in		X	n/a
d001.s019.t014	patients	patient	N	bn:00061017n
d001.s019.t015	whose		X	n/a
d001.s019.t016	blood	blood	N	bn:00011346n
d001.s019.t017	counts	count	N	bn:00023139n
d001.s019.t018	are	be	V	n/a
d001.s019.t019	abnormal	abnormal	J	bn:00096158a
d001.s019.t020	or		X	n/a
d001.s019.t021	who		X	n/a
d001.s019.t022	have	have	V	bn:00088745v
d001.s019.t023	certain	certain	J	bn:00099474a
d001.s019.t024	other	other	J	bn:00108011a
d001.s019.t025	side	side	J	n/a
d001.s019.t026	effects	effect	N	bn:00029874n
d001.s019.t027	.		X	n/a
d001.s020.t001	Alimta	alimta	N	bn:00602447n
d001.s020.t002	is	be	V	n/a
d001.s020.t003	not	not	R	bn:00116360r
d001.s020.t004	recommended	recommend	V	bn:00082418v
d001.s020.t005	for		X	n/a
d001.s020.t006	use	use	N	bn:00030627n
d001.s020.t007	in		X	n/a
d001.s020.t008	patients	patient	N	bn:00061017n
d001.s020.t009	with		X	n/a
d001.s020.t010	moderate	moderate	J	bn:00106826a
d001.s020.t011	or		X	n/a
d001.s020.t012	severe	severe	J	bn:00110473a
d001.s020.t013	kidney	kidney	N	bn:00049083n
d001.s020.t014	problems	problem	N	bn:00048242n
d001.s020.t015	.		X	n/a
d001.s021.t001	For		X	n/a
d001.s021.t002	more	more	J	bn:00106935a
d001.s021.t003	information	information	N	bn:00025314n
d001.s021.t004	,		X	n/a
d001.s021.t005	see	see	V	bn:00087787v
d001.s021.t006	the		X	n/a
d001.s021.t007	Summary	summary	N	bn:00075142n
d001.s021.t008	of		X	n/a
d001.s021.t009	Product	product	N	bn:00064584n
d001.s021.t010	Characteristics	characteristics	N	n/a
d001.s021.t011	(		X	n/a
d001.s021.t012	also	also	R	bn:00114246r
d001.s021.t013	part	part	N	bn:00021395n
d001.s021.t014	of		X	n/a
d001.s021.t015	the		X	n/a
d001.s021.t016	EPAR	epar	N	n/a
d001.s021.t017	)		X	n/a
d001.s021.t018	.		X	n/a
d001.s022.t001	How		X	n/a
d001.s022.t002	does	do	V	n/a
d001.s022.t003	Alimta	alimta	N	bn:00602447n
d001.s022.t004	work	work	N	n/a
d001.s022.t005	?		X	n/a
d001.s023.t001	The		X	n/a
d001.s023.t002	active	active	J	bn:00096387a
d001.s023.t003	substance	substance	N	bn:00074986n
d001.s023.t004	in		X	n/a
d001.s023.t005	Alimta	alimta	N	bn:00602447n
d001.s023.t006	,		X	n/a
d001.s023.t007	pemetrexed	pemetrexed	N	bn:00602447n
d001.s023.t008	,		X	n/a
d001.s023.t009	is	be	V	n/a
d001.s023.t010	a		X	n/a
d001.s023.t011	cytotoxic	cytotoxic	J	bn:00100866a
d001.s023.t012	medicine	medicine	N	bn:00054128n
d001.s023.t013	(		X	n/a
d001.s023.t014	a		X	n/a
d001.s023.t015	medicine	medicine	N	bn:00054128n
d001.s023.t016	that		X	n/a
d001.s023.t017	kills	kill	V	bn:00090098v
d001.s023.t018	cells	cell	N	bn:00017027n
d001.s023.t019	that		X	n/a
d001.s023.t020	are	be	V	n/a
d001.s023.t021	dividing	divide	V	bn:00087100v
d001.s023.t022	,		X	n/a
d001.s023.t023	such as	such as	R	n/a
d001.s023.t024	cancer	cancer	N	bn:00015180n
d001.s023.t025	cells	cell	N	bn:00017027n
d001.s023.t026	)		X	n/a
d001.s023.t027	,		X	n/a
d001.s023.t028	which		X	n/a
d001.s023.t029	belongs	belong	V	bn:00083389v
d001.s023.t030	to		X	n/a
d001.s023.t031	the		X	n/a
d001.s023.t032	group	group	N	bn:00018111n
d001.s023.t033	antimetabolites	antimetabolites	N	bn:00004691n
d001.s023.t034	.		X	n/a
d001.s024.t001	In		X	n/a
d001.s024.t002	the		X	n/a
d001.s024.t003	body	body	N	bn:00011744n
d001.s024.t004	,		X	n/a
d001.s024.t005	pemetrexed	pemetrexed	N	bn:00602447n
d001.s024.t006	is	be	V	n/a
d001.s024.t007	converted	convert	V	bn:00085761v
d001.s024.t008	into		X	n/a
d001.s024.t009	an		X	n/a
d001.s024.t010	active	active	J	bn:00096382a
d001.s024.t011	form	form	N	bn:00035913n
d001.s024.t012	that		X	n/a
d001.s024.t013	blocks	block	V	bn:00083623v
d001.s024.t014	the		X	n/a
d001.s024.t015	activity	activity	N	bn:00001130n
d001.s024.t016	of		X	n/a
d001.s024.t017	the		X	n/a
d001.s024.t018	enzymes	enzyme	N	bn:00031085n
d001.s024.t019	that		X	n/a
d001.s024.t020	are	be	V	n/a
d001.s024.t021	involved	involve	V	bn:00089893v
d001.s024.t022	in		X	n/a
d001.s024.t023	producing	produce	V	bn:00084082v
d001.s024.t024	nucleotides	nucleotide	N	bn:00008788n
d001.s024.t025	(		X	n/a
d001.s024.t026	the		X	n/a
d001.s024.t027	building blocks	building block	N	bn:00013726n
d001.s024.t028	of		X	n/a
d001.s024.t029	DNA	dna	N	bn:00026301n
d001.s024.t030	and		X	n/a
d001.s024.t031	RNA	rna	N	bn:00067714n
d001.s024.t032	,		X	n/a
d001.s024.t033	the		X	n/a
d001.s024.t034	genetic	genetic	J	bn:00103522a
d001.s024.t035	material	material	N	bn:00053801n
d001.s024.t036	of		X	n/a
d001.s024.t037	cells	cell	N	bn:00017027n
d001.s024.t038	)		X	n/a
d001.s024.t039	.		X	n/a
d001.s025.t001	How		X	n/a
d001.s025.t002	has	have	V	n/a
d001.s025.t003	Alimta	alimta	N	bn:00602447n
d001.s025.t004	been	be	V	n/a
d001.s025.t005	studied	study	V	bn:00082596v
d001.s025.t006	?		X	n/a
d001.s026.t001	For		X	n/a
d001.s026.t002	the		X	n/a
d001.s026.t003	treatment	treatment	N	bn:00047235n
d001.s026.t004	of		X	n/a
d001.s026.t005	malignant	malignant	J	bn:00106363a
d001.s026.t006	pleural	pleural	J	bn:00108692a
d001.s026.t007	mesothelioma	mesothelioma	N	bn:00054512n
d001.s026.t008	,		X	n/a
d001.s026.t009	Alimta	alimta	N	bn:00602447n
d001.s026.t010	has	have	V	n/a
d001.s026.t011	been	be	V	n/a
d001.s026.t012	studied	study	V	bn:00082596v
d001.s026.t013	in		X	n/a
d001.s026.t014	one		X	n/a
d001.s026.t015	main	main	J	bn:00099598a
d001.s026.t016	study	study	N	bn:00074790n
d001.s026.t017	in		X	n/a
d001.s026.t018	456		X	n/a
d001.s026.t019	patients	patient	N	bn:00061017n
d001.s026.t020	who		X	n/a
d001.s026.t021	had	have	V	n/a
d001.s026.t022	not	not	R	bn:00116360r
d001.s026.t023	received	receive	V	bn:00087863v
d001.s026.t024	chemotherapy	chemotherapy	N	bn:00018141n
d001.s026.t025	for		X	n/a
d001.s026.t026	their		X	n/a
d001.s026.t027	disease	disease	N	bn:00027546n
d001.s026.t028	before	before	R	bn:00114512r
d001.s026.t029	.		X	n/a
d001.s027.t001	The		X	n/a
d001.s027.t002	effects	effect	N	bn:00029874n
d001.s027.t003	of		X	n/a
d001.s027.t004	Alimta	alimta	N	bn:00602447n
d001.s027.t005	in		X	n/a
d001.s027.t006	combination	combination	N	bn:00020872n
d001.s027.t007	with		X	n/a
d001.s027.t008	cisplatin	cisplatin	N	bn:00577781n
d001.s027.t009	were	be	V	n/a
d001.s027.t010	compared	compare	V	bn:00085450v
d001.s027.t011	with		X	n/a
d001.s027.t012	those		X	n/a
d001.s027.t013	of		X	n/a
d001.s027.t014	cisplatin	cisplatin	N	bn:00577781n
d001.s027.t015	alone	alone	R	bn:00114234r
d001.s027.t016	.		X	n/a
d001.s028.t001	For		X	n/a
d001.s028.t002	the		X	n/a
d001.s028.t003	treatment	treatment	N	bn:00047235n
d001.s028.t004	of		X	n/a
d001.s028.t005	non-small	non-small	J	n/a
d001.s028.t006	cell	cell	N	bn:00017027n
d001.s028.t007	lung	lung	N	bn:00052341n
d001.s028.t008	cancer	cancer	N	bn:00015180n
d001.s028.t009	,		X	n/a
d001.s028.t010	the		X	n/a
d001.s028.t011	effects	effect	N	bn:00029874n
d001.s028.t012	of		X	n/a
d001.s028.t013	Alimta	alimta	N	bn:00602447n
d001.s028.t014	were	be	V	n/a
d001.s028.t015	compared	compare	V	bn:00085450v
d001.s028.t016	with		X	n/a
d001.s028.t017	those		X	n/a
d001.s028.t018	of		X	n/a
d001.s028.t019	docetaxel	docetaxel	N	bn:01537207n
d001.s028.t020	(		X	n/a
d001.s028.t021	another		X	n/a
d001.s028.t022	anticancer	anticancer	J	bn:00097220a
d001.s028.t023	medicine	medicine	N	bn:00054128n
d001.s028.t024	)		X	n/a
d001.s028.t025	in		X	n/a
d001.s028.t026	one		X	n/a
d001.s028.t027	study	study	N	bn:00074790n
d001.s028.t028	involving	involve	V	bn:00089893v
d001.s028.t029	571		X	n/a
d001.s028.t030	patients	patient	N	bn:00061017n
d001.s028.t031	with		X	n/a
d001.s028.t032	locally	locally	R	bn:00116147r
d001.s028.t033	advanced	advanced	J	bn:00096528a
d001.s028.t034	or		X	n/a
d001.s028.t035	metastatic	metastatic	J	bn:00106664a
d001.s028.t036	disease	disease	N	bn:00027546n
d001.s028.t037	who		X	n/a
d001.s028.t038	had	have	V	n/a
d001.s028.t039	received	receive	V	bn:00087863v
d001.s028.t040	chemotherapy	chemotherapy	N	bn:00018141n
d001.s028.t041	in		X	n/a
d001.s028.t042	the		X	n/a
d001.s028.t043	past	past	N	bn:00060927n
d001.s028.t044	.		X	n/a
d001.s029.t001	Alimta	alimta	N	bn:00602447n
d001.s029.t002	was	be	V	n/a
d001.s029.t003	also	also	R	bn:00114246r
d001.s029.t004	compared	compare	V	bn:00085450v
d001.s029.t005	with		X	n/a
d001.s029.t006	gemcitabine	gemcitabine	N	bn:00848690n
d001.s029.t007	(		X	n/a
d001.s029.t008	another		X	n/a
d001.s029.t009	anticancer	anticancer	J	bn:00097220a
d001.s029.t010	medicine	medicine	N	bn:00054128n
d001.s029.t011	)		X	n/a
