ID,English
d002.s022,?: Piecewise condition definition.
d002.s023,Piecewise is the way we can define conditional operations in kalgebra.
d002.s024,"If we introduce the condition before the? it will use this condition only if it is true, if it finds a? without any condition, it will enter in the last instance."
d002.s025,{}: MathML container.
d002.s026,It can be used to define a container.
d002.s027,Mainly useful for working with piecewise.
d002.s028,"Now you could ask me, why should the user mind about MathML?"
d002.s029,"That's easy. With this, we can operate with functions like cos(), sin(), any other trigonometric functions, sum() or product()."
d002.s030,It does not matter what kind it is.
d002.s031,"We can use plus(), times() and everything which has its operator."
d002.s032,kalgebra's console is useful as a calculator.
d002.s033,There you have a list of the declared variables.
d002.s034,By double clicking on them you will see a dialog that lets you change their values (just a way to trick the log).
d002.s035,"Every time you enter an expression, the "" ans "" variable value will be changed to the last result."
d002.s036,Ctrl N New Window
d002.s037,Flushes the log.
d002.s038,Ctrl L Load Script
d002.s039,Executes the instructions in a file sequentially.
d002.s040,Nice if you want to define some libraries or resume some previous work.
d002.s041,Ctrl G Save Script
d002.s042,Saves the instructions you have typed since the session began to be able to reuse.
d002.s043,"Generates text files so it should be easy to fix using any text editor, like Kate."
d002.s044,Ctrl S Save Log
d002.s045,Saves the log with all results into an HTML file to be able to print or publish.
d002.s046,Ctrl Q Quit
d002.s047,Shuts the program down.
d002.s048,"To add a new 2D graph on kalgebra, what you have to do is to go to the 2D Graph tab and click in the Add tab to add the new function."
d002.s049,Then your focus will go to an input text box where you can type your function.
d002.s050,If you want to use a typical f(x) function it is not necessary to specify it.
d002.s051,If you have entered the function click on the OK button to display the graph in the main window.
d002.s052,You can set several graphs on the same view.
d002.s053,Just use the Add button when you are in List mode.
d002.s054,You can set each graph its own color.
d003.s002,The Foundation has recently been involved in organising a conference which dealt with this critical challenge.
d003.s003,"Over 100 participants from the main interest groups attended and debated issues such as the role of key actors including public authorities, social partners, voluntary and community organisations as well as service users."
d003.s004,There were relatively few cases reported of attempts to involve users in service planning but their involvement in service provision was found to be more common.
d003.s005,Note was also taken of the variety of different roles played by public welfare
d003.s006,"The Foundation organised, together with the European Commission, the Spanish Ministry of Social Affairs and the Galician regional government, a European conference on social exclusion: a major challenge for public welfare services."
d003.s007,The Foundation recently published a comparative study as part of the EPOC project which assesses the extent to which direct participation can humanise work while increasing profitability.
d003.s008,The study is based on 195 personal interviews with senior officials of the social partners as representatives of national level peak organisations in fifteen European countries.
d003.s009,"As important industrial sectors, the metal industry and the banking sector were also included."
d003.s010,"Key speakers at the social exclusion conference were (left to right) Cristina Louro, Employment, Industrial Relations and Social Affairs Directorate, European Commission Fernando Gomes, a high degree of Committee of the Regions Barbara Weiler, Member of the European Parliament José Maria Gil-Robles, Vice-President, European Parliament and John Carroll, Economic and Social Committee."
d003.s011,"Case Studies Each national report contains a portfolio of between 25 and 30 initiatives which best present policies and practices to improve the recruitment, training and development of ageing workers in both the work place and the community."
d003.s012,"For each country, two or three initiatives have been selected for further in depth case study."
d003.s013,"These case studies analysed the background of the initiatives, their impact on employment patterns and work organisations and assessed the benefits and problems of the initiative."
d003.s014,Visits and interviews with key personnel were also undertaken.
d003.s015,These national studies will form the basis of a European report which synthesises overall practices.
d003.s016,"The report and a case book of initiatives will be published in 1996 and provide the backdrop for a conference to be staged in Autumn, 1996."
d003.s017,The Foundation aims to document the characteristics of age barriers in job recruitment and training and to analyse their causes.
d003.s018,"The perspectives of the social partners is also being examined, with particular attention paid to proposals for removing age barriers."
d003.s019,"Thirdly, the project documents and assesses initiatives, in both the public and private sectors which combat age barriers, especially for older workers."
d003.s020,"Seeking alternatives to early retirement and redundancy, the project is primarily concerned with the retention, reintegration and retraining of older workers."
d003.s021,The gender and ethnic backgrounds of workers and how these relate to age discrimination are examined.
d003.s022,The project also considers initiatives to combat age discrimination in rural areas and in small and medium sized enterprises.
d003.s023,"Seven member states are covered by the project: Belgium, France, Germany, Greece, Italy, the Netherlands and the United Kingdom."
d004.s001,This document is a summary of the European Public Assessment Report.
d004.s002,"It explains how the Committee for Medicinal Products for Veterinary Use (CVMP) assessed the studies performed, to reach their recommendations on how to use the medicine."
d004.s003,What is Cerenia?
d004.s004,Cerenia contains the active substance maropitant and is available as tablet or as solution for injection.
d004.s005,The tablets are pale-orange and have a score line on both sides so that they can be halved.
d004.s006,Each tablet is marked with the Pfizer logo on one side and with the letters MPT and the quantity of maropitant on the other side.
d004.s007,What is Cerenia used for?
d004.s008,"Cerenia is an anti-emetic, this means that it stops vomiting."
d004.s009,"It is used in dogs to prevent vomiting such as vomiting caused by chemotherapy (medicines used for the treatment of cancer, some of which are known to cause vomiting)."
d004.s010,"In combination with supportive measures such as other veterinary treatment or a special diet, Cerenia can also be used in the treatment of vomiting (either as injection or as injection followed by tablets)."
d004.s011,"For these purposes, Cerenia can be given for up to five days"
d004.s012,How does Cerenia work?
d004.s013,"Cerenia blocks a neurokinin 1 (NK1) receptor, which acts in the central nervous system."
d004.s014,How has Cerenia been studied?
d004.s015,A large number of studies with Cerenia were carried out either in laboratory dogs or in animal patients at veterinary practises in several European countries and in the USA.
d004.s016,What benefit has Cerenia shown during the studies?
d004.s017,"The results of the studies showed that Cerenia was more effective than the placebo: less vomiting was seen in dogs that received the medicine than in dogs that received a placebo, both in the treatment or in the prevention of vomiting."
d004.s018,"The treatment of a vomiting dog should be started with the injection, since vomiting animals might not be able to keep a tablet down (as they might throw the intact tablet up again)."
d004.s019,"For follow-up treatment, the animal owner can administer the tablets to the dog."
d004.s020,"Also, the treatment of vomiting should only be together with other supportive measure or other veterinary therapy while addressing the underlying causes of the vomiting."
d004.s021,What is the risk associated with Cerenia?
d004.s022,Cerenia was generally well tolerated when administered daily at dosages up to 5 times the recommended doses for an extended period of time (up to 3 times the recommended maximum duration of treatment).
d004.s023,What are the precautions for the person who gives the medicine or comes into contact with the animal?
d004.s024,Cerenia does not represent a particular risk for people.
