Sentence ID	Sentence
d002.s009	Bajo estas pestañas encontrará un campo de entrada donde podrá introducir sus funciones o realizar sus cálculos .
d002.s010	Para entender cómo funciona , conviene comprender que lo que introducimos está siendo convertido a MathML , aunque no es necesario conocer MathML .
d002.s011	He basado la sintaxis en el sentido común , por lo que debería ser asequible para todos .
d002.s012	He tenido también en cuenta las sintaxis de Maxima y Maple , por lo que es muy similar a estas .
d002.s013	+ - * / : suma , resta , multiplicación y división .
d002.s014	^ , ** : potencia , puede usar cualquiera de las dos formas .
d002.s015	Asimismo , puede usar los caracteres unicode ² .
d002.s016	Las potencias son también una forma de expresar raíces .
d002.s017	-gt : Permite especificar la variable limitada en una función .
d002.s018	( ) : se usa para especificar una prioridad mayor .
d002.s019	abc(parámetros) : Cuando el analizador sintáctico encuentra una función , comprueba si « abc » es un operador .
d002.s020	Si lo es , lo trata como un operador si no lo es , lo trata como una función de usuario .
d002.s021	: #ERROR! : Se usa para definir el valor de una variable .
d002.s022	? : definición de condiciones en funciones definidas a trozos ( « piecewise » ) .
d002.s023	Permite definir operaciones condicionales en kalgebra .
d002.s024	Cuando introducimos la condición antes del símbolo « ? » , kalgebra utiliza esta condición solo si es verdadera en cambio , si encuentra un símbolo « ? » sin ninguna condición , toma en cuenta el último caso .
d002.s025	Es muy útil a la hora de trabajar con funciones definidas a trozos .
d002.s026	La respuesta es fácil . Con esto podremos realizar operaciones con funciones como cos() , sin() ( o cualquier otra función trigonométrica ) , sum() o product() .
d002.s027	No importa el tipo de función que sea .
d002.s028	Podremos usar plus() , times() y cualquier cosa a la que le corresponda un operador .
d002.s029	La consola de kalgebra es tan útil como una calculadora .
d002.s030	Aquí tiene una lista de las variables declaradas .
d002.s031	Si pulsa dos veces sobre una de ellas , le aparecerá un diálogo con el que podrá cambiar su valor ( es una forma de engañar al registro ) .
d002.s032	Cada vez que introduzca una expresión , el valor de la variable « ans » cambiará para reproducir el último resultado .
d002.s033	Ctrl N Nuevo
d002.s034	Refresca el registro .
d002.s035	Ctrl L Cargar un guión
d002.s036	Ejecuta las instrucciones en una archivo de forma secuencial .
d002.s037	Es útil si lo que desea es definir una biblioteca o reanudar un trabajo anterior .
d002.s038	Ctrl G Guardar el guión
d002.s039	Guarda las intrucciones que ha introducido desde que comenzó la sesión , con lo que podrá reutilizarlas .
d002.s040	Genera un archivo de texto que podrá corregir usando cualquier editor de texto , por ejemplo Kate .
d002.s041	Ctrl S Guardar el registro
d002.s042	Guarda el registro con todos los resultados en un archivo HTML que podrá imprimir o publicar .
d002.s043	Ctrl Q Salir
d002.s044	Cierra el programa .
d002.s045	Para añadir un gráfica 2D en kalgebra , lo que tiene que hacer es ir a la pestaña Gráfica 2D y aquí pulsar la pestaña Añadir , que le permitirá añadir una nueva función .
d002.s046	A continuación tendrá dirigirse al cuadro de texto de entrada , donde podrá introducir su función .
d002.s047	Si quiere usar una función f(x) típica , no es necesario que la especifique .
d002.s048	Después de haber introducido la función , pulse el botón Aceptar para dibujar la gráfica en la ventana principal .
d002.s049	Es posible dibujar varias gráficas en la misma vista .
d002.s050	Para esto use simplemente el botón Añadir cuando se encuentre en el modo Lista .
d002.s051	Puede ajustar el color de cada gráfica .
d003.s001	La Fundación ha intervenido recientemente en la organización de una conferencia sobre este decisivo reto .
d003.s002	Asistieron más de 100 participantes en representación de los principales grupos de interés , los cuales discutieron cuestiones tales como el papel de los principales agentes , entre ellos , las autoridades públicas , los interlocutores sociales y las organizaciones comunitarias y de voluntarios , además de los propios usuarios .
d003.s003	Se tomó nota también de la diversidad de funciones que desempeñan estos servicios
d003.s004	La Fundación organizó , junto con la Comisión Europea , el Ministerio español de Asuntos Sociales y la Comunidad Autónoma de Galicia , una conferencia europea sobre el tema " Exclusión social : Un gran reto para los servicios públicos de protección social " .
d003.s005	La Fundación publicó recientemente en el marco del proyecto EPOC un estudio comparativo en el que se evalúa hasta qué punto la participación directa puede humanizar el trabajo e incrementar al mismo tiempo la rentabilidad .
d003.s006	El estudio se basa en 195 entrevistas personales con altos responsables de los interlocutores sociales , en su calidad de representantes de importantes organizaciones nacionales de 15 países europeos .
d003.s007	La industria del metal y el sector bancario se incluyeron también en atención a su importancia .
d003.s008	Los principales oradores en la conferencia sobre exclusión socialfueron ( de izquierda a derecha ) Cristina Louro , Dirección General de Empleo , Relaciones Laborales y Asuntos Sociales de la Comisión Europea Fernando Gomes , Comité de las Regiones Barbara Weiler , diputada al Parlamento Europeo José María Gil-Robles Gil-Delgado , Vicepresidente , Parlamento Europeo , John Carroll Comité Económico y Social
d003.s009	En cada informe nacional se incluyen las 25 o 30 iniciativas que mejor reflejan prácticas y políticas de mejora de la contratación , la formación y el desarrollo profesional de los trabajadores mayores en el lugar de trabajo y a nivel de la comunidad .
d003.s010	Se seleccionaron dos o tres iniciativas por cada país , para que fueran objeto de un estudio de caso detallado .
d003.s011	En estos estudios de caso se han analizado el contexto de esas iniciativas y sus repercusiones en las pautas de empleo y en las organizaciones , y se han evaluado las ventajas y problemas derivados de las mismas .
d003.s012	Se han realizado además visitas y entrevistas a miembros clave del personal .
d003.s013	Estos estudios nacionales constituirán la liase de un informe europeo en el que se resumirán las prácticas generales .
d003.s014	El informe y un repertorio de iniciativas se publicarán en 1996 , y servirán de telón de fondo a una conferencia que se celebrará el próximo otoño .
d003.s015	La Fundación se propone documentar las características de los obstáculos relacionados con la edad en materia de contratación y formación , y analizar sus causas .
d003.s016	Está examinando asimismo los puntos de vista de los interlocutores sociales , prestando especial atención a las propuestas para eliminar dichos obstáculos .
d003.s017	En tercer lugar , el proyecto documenta y evalúa las iniciativas de los sectores público y privado para combatir estas limitaciones , especialmente en relación con los trabajadores mayores .
d003.s018	El proyecto , que busca alternativas a la jubilación anticipada y al despido , se ocupa ante todo de la retención , la reintegración y la reconversión profesional de los trabajadores mayores .
d003.s019	Estudia asimismo liasta qué punto influyen el sexo y la raza de los trabajadores en la discriminación por razón de la edad .
d003.s020	El proyecto tiene en cuenta , por otra paite , las iniciativas para luchar contra esta clase de discriminación en las zonas rurales y en las pequeñas y medianas empresas .
d003.s021	Siete Estados miembros se incluyen en el proyecto : Alemania , Bélgica , Francia , Grecia , Italia , Países Bajos y Reino Unido .
d004.s003	¿Qué es Cerenia ?
d004.s004	Cerenia contiene el principio activo maropitant y se presenta en forma de comprimidos o de solución inyectables .
d004.s005	Los comprimidos son de color naranja claro y tienen una ranura en ambas caras , lo que permite dividirlos por la mitad .
d004.s006	Cada comprimido va marcado con el logo Pfizer en una cara y las letras MPT y la cantidad de maropitant en la otra .
d004.s007	¿Para qué se utiliza Cerenia ?
d004.s008	Cerenia es un antiemético ( ataja los vómitos ) .
d004.s009	Se utiliza en perros para la prevención de los vómitos , por ejemplo los causados por la quimioterapia ( fármacos utilizados para el tratamiento del cáncer , algunos de los cuales producen vómitos ) .
d004.s010	Combinado con otras medidas complementarias , como otros tratamientos veterinarios o una dieta especial , Cerenia se utiliza también como tratamiento del vómito ( como inyección o como inyección seguida de comprimidos ) .
d004.s011	A estos efectos , Cerenia se puede administrar durante un período de hasta cinco días .
d004.s012	¿Cómo actúa Cerenia ?
d004.s013	Cerenia bloquea los receptores de neurocinina 1 ( NK1 ) en el sistema nervioso central .
d004.s014	¿Qué tipo de estudios se han realizado sobre Cerenia ?
d004.s015	Se han realizado una gran cantidad de estudios con Cerenia en perros de laboratorio y en perros pacientes de clínicas veterinarias de varios países europeos y de EE.UU.
d004.s016	¿Qué beneficios ha demostrado Cerenia durante dichos estudios ?
d004.s017	Los resultados de los estudios demostraron que Cerenia fue más eficaz que el placebo : se observaron menos vómitos en los perros que recibieron el medicamento que en los perros que recibieron placebo , bien como tratamiento , bien como prevención del vómito .
d004.s018	El tratamiento de un perro con vómitos debe iniciarse en forma inyectable puesto que los animales con vómitos podrían no retener el comprimido ( podrían vomitar el comprimido intacto ) .
d004.s019	Para la continuación del tratamiento , el propietario puede administrar el medicamento al animal en forma de comprimidos .
d004.s020	El tratamiento del vómito debe realizarse siempre en asociación con otras medidas de apoyo u otros tratamientos veterinarios para combatir también la causa subyacente del vómito .
d004.s021	¿Cuáles son los efectos secundarios de Cerenia ?
d004.s022	En general , Cerenia fue bien tolerado cuando se administró diariamente a dosis de hasta 5 veces la dosis recomendada durante un período de tiempo prolongado ( hasta 3 veces la duración máxima recomendada del tratamiento ) .
d004.s023	¿Qué precauciones debe adoptar la persona que administre el medicamento o esté en contacto con el animal ?
d004.s024	Cerenia no presenta ningún riesgo especial para el ser humano .
