Token ID	Token	Lemma	POS	Gold Senses	Silver Senses	Filtered Senses	Gold Gloss	Silver Gloss	Filtered Sense
d001.s002.t023	medicamento	medicamento	N	bn:00031708n	bn:00054128n	bn:00054128n	A drug that is available only with written instructions from a doctor or dentist to a pharmacist	(medicine) something that treats or prevents or alleviates the symptoms of disease	bn:00054128n
d001.s002.t024	a fin de		X						
d001.s002.t025	emitir	emitir	V	bn:00084099v	bn:00082226v				
d001.s002.t026	unas		X						
d001.s002.t027	recomendaciones	recomendación	N	bn:00066562n	bn:00066562n	bn:00066562n			bn:00066562n
d001.s002.t028	sobre		X						
d001.s002.t029	su		X						
d001.s002.t030	uso	uso	N	bn:00030627n	bn:00082705v	bn:00082705v	The act of using	Put into service; make work or employ for a particular purpose or for its inherent or natural purpose	bn:00082705v
d001.s002.t031	.		X						
d001.s003.t001	Si		X						
d001.s003.t002	desea	desear	V	bn:00086682v	bn:00091028v				
d001.s003.t003	más	más	R	bn:00116285r	bn:00106935a	bn:00106935a	Comparative of much; to a greater degree or extent	(comparative of `much' used with mass nouns) a quantifier meaning greater in size or amount or extent or degree	bn:00106935a
d001.s003.t004	información	información	N	bn:00046705n	bn:00025314n	bn:00025314n	Knowledge acquired through study or experience or instruction	A collection of facts from which conclusions may be drawn	bn:00025314n
d001.s003.t005	sobre		X						
d001.s003.t006	su		X						
d001.s003.t007	enfermedad	enfermedad	N	bn:00002171n	bn:00021648n				
d001.s003.t008	o		X						
d001.s003.t009	el		X						
d001.s003.t010	tratamiento	tratamiento	N	bn:00047235n	bn:00047235n	bn:00047235n			bn:00047235n
d001.s003.t011	de		X						
d001.s003.t012	la		X						
d001.s003.t013	misma	mismo	J	bn:00110075a					
d001.s003.t014	,		X						
d001.s003.t015	le		X						
d001.s003.t016	aconsejamos	aconsejar	V	bn:00082418v					
d001.s003.t017	que		X						
d001.s003.t018	lea	leer	V	bn:00092424v	bn:00092424v	bn:00092424v			bn:00092424v
d001.s003.t019	el		X						
d001.s003.t020	prospecto	prospecto	N	bn:02573503n	bn:00013882n				
d001.s003.t021	(		X						
d001.s003.t022	incluido	incluir	V	bn:00085499v	bn:00114246r				
d001.s003.t023	en		X						
d001.s003.t024	el		X						
d001.s003.t025	EPAR	epar	N						
d001.s003.t026	)		X						
d001.s003.t027	o		X						
d001.s003.t028	pregunte	preguntar	V	bn:00082821v	bn:00085696v				
d001.s003.t029	a		X						
d001.s003.t030	su		X						
d001.s003.t031	médico	médico	N	bn:00027976n	bn:00027976n	bn:00027976n			bn:00027976n
d001.s003.t032	o		X						
d001.s003.t033	su		X						
d001.s003.t034	farmacéutico	farmacéutico	N	bn:00004992n					
d001.s003.t035	.		X						
d001.s004.t001	Si		X						
d001.s004.t002	desea	desear	V	bn:00086682v	bn:00086682v	bn:00086682v			bn:00086682v
d001.s004.t003	más	más	R	bn:00116285r	bn:00106935a	bn:00106935a	Comparative of much; to a greater degree or extent	(comparative of `much' used with mass nouns) a quantifier meaning greater in size or amount or extent or degree	bn:00106935a
d001.s004.t004	información	información	N	bn:00046705n	bn:00025314n	bn:00025314n	Knowledge acquired through study or experience or instruction	A collection of facts from which conclusions may be drawn	bn:00025314n
d001.s004.t005	sobre		X						
d001.s004.t006	el		X						
d001.s004.t007	fundamento	fundamento	N	bn:00008786n	bn:00008786n	bn:00008786n			bn:00008786n
d001.s004.t008	en		X						
d001.s004.t009	el		X						
d001.s004.t010	que		X						
d001.s004.t011	se		X						
d001.s004.t012	han	haber	V						
d001.s004.t013	basado	basar	V	bn:00083141v					
d001.s004.t014	las		X						
d001.s004.t015	recomendaciones	recomendación	N	bn:00066562n	bn:00066562n	bn:00066562n			bn:00066562n
d001.s004.t016	del		X						
d001.s004.t017	CHMP	chmp	N	bn:00302314n	bn:00302314n	bn:00302314n			bn:00302314n
d001.s004.t018	,		X						
d001.s004.t019	le		X						
d001.s004.t020	aconsejamos	aconsejar	V	bn:00082418v					
d001.s004.t021	que		X						
d001.s004.t022	lea	leer	V	bn:00092424v	bn:00092424v	bn:00092424v			bn:00092424v
d001.s004.t023	el		X						
d001.s004.t024	Debate	debate	N	bn:00005601n	bn:00027523n	bn:00027523n	A discussion in which reasons are advanced for and against some proposition or proposal	An extended communication (often interactive) dealing with some particular topic	bn:00027523n
d001.s004.t025	Científico	científico	J	bn:00110175a	bn:00110175a	bn:00110175a			bn:00110175a
d001.s004.t026	(		X						
d001.s004.t027	también	también	R	bn:00114246r	bn:00114246r	bn:00114246r			bn:00114246r
d001.s004.t028	incluido	incluir	V	bn:00085499v	bn:00021395n				
d001.s004.t029	en		X						
d001.s004.t030	el		X						
d001.s004.t031	EPAR	epar	N						
d001.s004.t032	)		X						
d001.s004.t033	.		X						
d001.s005.t001	¿Qué		X						
d001.s005.t002	es	ser	V						
d001.s005.t003	Alimta	alimta	N	bn:00602447n	bn:00602447n	bn:00602447n			bn:00602447n
d001.s005.t004	?		X						
d001.s006.t001	Alimta	alimta	N	bn:00602447n	bn:00602447n	bn:00602447n			bn:00602447n
d001.s006.t002	es	ser	V						
d001.s006.t003	un		X						
d001.s006.t004	polvo	polvo	N	bn:00063926n	bn:00063926n	bn:00063926n			bn:00063926n
d001.s006.t005	con		X						
d001.s006.t006	el		X						
d001.s006.t007	que		X						
d001.s006.t008	se		X						
d001.s006.t009	prepara	preparar	V	bn:00090556v	bn:00083187v	bn:00083187v	Make by shaping or bringing together constituents	Form or compose	bn:00083187v
d001.s006.t010	una		X						
d001.s006.t011	solución	solución	N	bn:00072760n	bn:00072760n	bn:00072760n			bn:00072760n
d001.s006.t012	para		X						
d001.s006.t013	perfusión	perfusión	N	bn:00061571n	bn:00046734n				
d001.s006.t014	(		X						
d001.s006.t015	goteo	goteo	N	bn:00028771n	bn:00087306v	bn:00087306v	A liquid (as water) that flows in drops (as from the eaves of house)	Let or cause to fall in drops	bn:00087306v
d001.s006.t016	en		X						
d001.s006.t017	vena	vena	N	bn:00057343n	bn:00079681n	bn:00079681n	Any of the vascular bundles or ribs that form the branching framework of conducting and supporting tissues in a leaf or other plant organ	A blood vessel that carries blood from the capillaries toward the heart	bn:00079681n
d001.s006.t018	)		X						
d001.s006.t019	.		X						
d001.s007.t001	Contiene	contener	V	bn:00085499v	bn:00085499v	bn:00085499v			bn:00085499v
d001.s007.t002	el		X						
d001.s007.t003	principio	principio	N	bn:00377649n	bn:00074986n				
d001.s007.t004	activo	activo	J	bn:00096382a	bn:00377649n	bn:00377649n	Tending to become more severe or wider in scope	An active ingredient is the ingredient in a pharmaceutical drug or pesticide that is biologically active.	bn:00377649n
d001.s007.t005	pemetrexed	pemetrexed	N	bn:00602447n	bn:00602447n	bn:00602447n			bn:00602447n
d001.s007.t006	.		X						
d001.s008.t001	¿Para		X						
d001.s008.t002	qué		X						
d001.s008.t003	se		X						
d001.s008.t004	utiliza	utilizar	V	bn:00082705v	bn:00082705v	bn:00082705v			bn:00082705v
d001.s008.t005	Alimta	alimta	N	bn:00602447n	bn:00602447n	bn:00602447n			bn:00602447n
d001.s008.t006	?		X						
d001.s009.t001	Alimta	alimta	N	bn:00602447n	bn:00602447n	bn:00602447n			bn:00602447n
d001.s009.t002	está	estar	V						
d001.s009.t003	indicado	indicar	V	bn:00087644v	bn:00082705v				
d001.s009.t004	para		X						
d001.s009.t005	el		X						
d001.s009.t006	tratamiento	tratamiento	N	bn:00047235n	bn:00084532v				
d001.s009.t007	de		X						
d001.s009.t008	dos		X						
d001.s009.t009	tipos	tipo	N	bn:00035907n	bn:00078798n	bn:00078798n	A category of things distinguished by some common characteristic or quality	A subdivision of a particular kind of thing	bn:00078798n
d001.s009.t010	de		X						
d001.s009.t011	cáncer	cáncer	N	bn:00015180n	bn:00015180n	bn:00015180n			bn:00015180n
d001.s009.t012	:		X						
d001.s009.t013	mesotelioma	mesotelioma	N	bn:00054512n	bn:00054512n	bn:00054512n			bn:00054512n
d001.s009.t014	pleural	pleural	J	bn:00108692a	bn:00108692a	bn:00108692a			bn:00108692a
d001.s009.t015	(		X						
d001.s009.t016	cáncer	cáncer	N	bn:00015180n	bn:00015180n	bn:00015180n			bn:00015180n
d001.s009.t017	del		X						
d001.s009.t018	revestimiento	revestimiento	N	bn:00020185n	bn:00051366n	bn:00051366n	A thin layer covering something	A protective covering that protects an inside surface	bn:00051366n
d001.s009.t019	de		X						
d001.s009.t020	los		X						
d001.s009.t021	pulmones	pulmón	N	bn:00052341n	bn:00052341n	bn:00052341n			bn:00052341n
d001.s009.t022	causado	causar	V	bn:00084069v	bn:00084069v	bn:00084069v			bn:00084069v
d001.s009.t023	generalmente	generalmente	R	bn:00114634r	bn:00114778r	bn:00114778r	Usually; as a rule	Under normal conditions	bn:00114778r
d001.s009.t024	por		X						
d001.s009.t025	la		X						
d001.s009.t026	exposición	exposición	N	bn:00032375n	bn:00032379n	bn:00032379n	"Vulnerability to the elements; to the action of heat or cold or wind or rain or ""they died from exposure"";"	The state of being vulnerable or exposed	bn:00032379n
d001.s009.t027	al		X						
d001.s009.t028	amianto	amianto	N	bn:00006236n	bn:00006236n	bn:00006236n			bn:00006236n
d001.s009.t029	)		X						
d001.s009.t030	.		X						
d001.s010.t001	Alimta	alimta	N	bn:00602447n	bn:00602447n	bn:00602447n			bn:00602447n
d001.s010.t002	se		X						
d001.s010.t003	administra	administrar	V	bn:00082365v	bn:00082705v				
d001.s010.t004	en		X						
d001.s010.t005	combinación	combinación	N	bn:00020872n	bn:00114766r				
d001.s010.t006	con		X						
d001.s010.t007	cisplatino	cisplatino	N	bn:00577781n	bn:00577781n	bn:00577781n			bn:00577781n
d001.s010.t008	(		X						
d001.s010.t009	otro		X						
d001.s010.t010	medicamento	medicamento	N	bn:00031708n	bn:00054128n	bn:00054128n	A drug that is available only with written instructions from a doctor or dentist to a pharmacist	(medicine) something that treats or prevents or alleviates the symptoms of disease	bn:00054128n
d001.s010.t011	contra		X		bn:00097220a				
d001.s010.t012	el		X						
d001.s010.t013	cáncer	cáncer	N	bn:00015180n	bn:00015180n	bn:00015180n			bn:00015180n
d001.s010.t014	)		X						
d001.s010.t015	cuando		X						
d001.s010.t016	el		X						
d001.s010.t017	tumor	tumor	N	bn:00057267n					
d001.s010.t018	«		X						
d001.s010.t019	no	no	R	bn:00116348r					
d001.s010.t020	es	ser	V						
d001.s010.t021	resecable	resecable	J						
d001.s010.t022	»		X						
d001.s010.t023	(		X						
d001.s010.t024	no		X						
d001.s010.t025	puede	poder	V						
d001.s010.t026	extirparse	extirpar	V	bn:00087923v	bn:00092783v				
d001.s010.t027	sólo	sólo	R	bn:00114234r	bn:00096871a	bn:00096871a	Without any others being included or involved	Exclusive of anyone or anything else	bn:00096871a
d001.s010.t028	mediante		X						
d001.s010.t029	cirugía	cirugía	N	bn:00059129n	bn:00059129n	bn:00059129n			bn:00059129n
d001.s010.t030	)		X						
d001.s010.t031	y		X						
d001.s010.t032	es	ser	V						
d001.s010.t033	«		X						
d001.s010.t034	maligno	maligno	J	bn:00106363a	bn:00106363a	bn:00106363a			bn:00106363a
d001.s010.t035	»		X						
d001.s010.t036	(		X						
d001.s010.t037	se		X						
d001.s010.t038	ha	haber	V						
d001.s010.t039	extendido	extender	V	bn:00087063v	bn:00092083v	bn:00092083v	Distribute or disperse widely	Become distributed or widespread	bn:00092083v
d001.s010.t040	,		X						
d001.s010.t041	o		X						
d001.s010.t042	es	ser	V						
d001.s010.t043	probable	probable	J	bn:00105981a	bn:00105981a	bn:00105981a			bn:00105981a
d001.s010.t044	que		X						
d001.s010.t045	se		X						
d001.s010.t046	extienda	extender	V	bn:00087063v	bn:00092083v	bn:00092083v	Distribute or disperse widely	Become distributed or widespread	bn:00092083v
d001.s010.t047	fácilmente	fácilmente	R	bn:00115155r	bn:00115155r	bn:00115155r			bn:00115155r
d001.s010.t048	,		X						
d001.s010.t049	a		X						
d001.s010.t050	otras		X		bn:00108011a				
d001.s010.t051	partes	parte	N	bn:00011769n	bn:00021395n	bn:00021395n	Any part of an organism such as an organ or extremity	Something determined in relation to something that includes it	bn:00021395n
d001.s010.t052	del		X						
d001.s010.t053	cuerpo	cuerpo	N	bn:00003882n	bn:00011744n	bn:00011744n	Alternative names for the body of a human being	The entire structure of an organism (an animal, plant, or human being)	bn:00011744n
d001.s010.t054	)		X						
d001.s010.t055	,		X						
d001.s010.t056	en		X						
d001.s010.t057	pacientes	paciente	N	bn:00061017n	bn:00061017n	bn:00061017n			bn:00061017n
d001.s010.t058	que		X						
d001.s010.t059	no	no	R	bn:00116360r	bn:00116360r	bn:00116360r			bn:00116360r
d001.s010.t060	han	haber	V						
d001.s010.t061	recibido	recibir	V	bn:00089246v	bn:00087863v	bn:00087863v	Get something; come into possession of	Go through (mental or physical states or experiences)	bn:00087863v
d001.s010.t062	quimioterapia	quimioterapia	N	bn:00018141n	bn:00018141n	bn:00018141n			bn:00018141n
d001.s010.t063	(		X						
d001.s010.t064	medicamentos	medicamento	N	bn:00031708n					
d001.s010.t065	contra		X						
d001.s010.t066	el		X						
d001.s010.t067	cáncer	cáncer	N	bn:00015180n	bn:00015180n	bn:00015180n			bn:00015180n
d001.s010.t068	)		X						
d001.s010.t069	previamente	previamente	R	bn:00114297r					
d001.s010.t070	,		X						
d001.s010.t071	cáncer	cáncer	N	bn:00052343n	bn:00015180n	bn:00015180n	Carcinoma of the lungs; one of the commonest forms of cancer	Any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream	bn:00015180n
d001.s010.t072	de		X						
d001.s010.t073	pulmón	pulmón	N	bn:00052341n					
d001.s010.t074	«		X						
d001.s010.t075	no	no	N		bn:03421664n	bn:03421664n			bn:03421664n
d001.s010.t076	microcítico	microcito	N	bn:00054742n					
d001.s010.t077	»		X						
d001.s010.t078	avanzado	avanzado	J	bn:00096528a	bn:00096528a	bn:00096528a			bn:00096528a
d001.s010.t079	o		X						
d001.s010.t080	metastásico	metastásico	N	bn:00054585n	bn:00106664a				
d001.s010.t081	que		X						
d001.s010.t082	no	no	R	bn:00116360r	bn:00116360r	bn:00116360r			bn:00116360r
d001.s010.t083	afecte	afectar	V	bn:00082426v					
d001.s010.t084	a		X						
d001.s010.t085	las		X						
d001.s010.t086	células	célula	N	bn:00017027n					
d001.s010.t087	«		X						
d001.s010.t088	escamosas	escamoso	J						
d001.s010.t089	»		X						
d001.s010.t090	.		X						
d001.s011.t001	Alimta	alimta	N	bn:00602447n	bn:00602447n	bn:00602447n			bn:00602447n
d001.s011.t002	se		X						
d001.s011.t003	utiliza	utilizar	V	bn:00082705v	bn:00082705v	bn:00082705v			bn:00082705v
d001.s011.t004	en		X						
d001.s011.t005	combinación	combinación	N	bn:00020872n	bn:00020872n	bn:00020872n			bn:00020872n
d001.s011.t006	con		X						
d001.s011.t007	cisplatino	cisplatino	N	bn:00577781n	bn:00577781n	bn:00577781n			bn:00577781n
d001.s011.t008	en		X						
d001.s011.t009	pacientes	paciente	N	bn:00061017n	bn:00061017n	bn:00061017n			bn:00061017n
d001.s011.t010	que		X						
d001.s011.t011	no	no	R	bn:00116360r	bn:00116360r	bn:00116360r			bn:00116360r
d001.s011.t012	han	haber	V						
d001.s011.t013	sido	ser	V						
d001.s011.t014	tratados	tratar	V	bn:00084532v	bn:00084532v	bn:00084532v			bn:00084532v
d001.s011.t015	previamente	previamente	R	bn:00114297r					
d001.s011.t016	y		X						
d001.s011.t017	en		X						
d001.s011.t018	monoterapia	monoterapia	N	bn:00749648n					
d001.s011.t019	en		X						
d001.s011.t020	pacientes	paciente	N	bn:00061017n	bn:00061017n	bn:00061017n			bn:00061017n
d001.s011.t021	que		X						
d001.s011.t022	han	haber	V						
d001.s011.t023	sido	ser	V		bn:00087863v				
d001.s011.t024	tratado	tratar	V	bn:00084532v					
d001.s011.t025	previamente	previamente	R	bn:00114297r	bn:00060927n				
d001.s011.t026	con		X						
d001.s011.t027	otros		X						
d001.s011.t028	tipos	tipo	N	bn:00035907n	bn:00078798n	bn:00078798n	A category of things distinguished by some common characteristic or quality	A subdivision of a particular kind of thing	bn:00078798n
d001.s011.t029	de		X						
d001.s011.t030	quimioterapia	quimioterapia	N	bn:00018141n	bn:00018141n	bn:00018141n			bn:00018141n
d001.s011.t031	.		X						
d001.s012.t001	Este		X						
d001.s012.t002	medicamento	medicamento	N	bn:00031708n	bn:00054128n	bn:00054128n	A drug that is available only with written instructions from a doctor or dentist to a pharmacist	(medicine) something that treats or prevents or alleviates the symptoms of disease	bn:00054128n
d001.s012.t003	sólo	sólo	R	bn:00114234r	bn:00116450r	bn:00116450r	Without any others being included or involved	Never except when	bn:00116450r
d001.s012.t004	podrá	poder	V						
d001.s012.t005	dispensarse	dispensar	V	bn:00082365v					
d001.s012.t006	con		X						
d001.s012.t007	receta	receta	N	bn:00031708n					
d001.s012.t008	médica	médico	J	bn:00106554a					
d001.s012.t009	.		X						
d001.s013.t001	¿Cómo	¿cómo	N						
d001.s013.t002	se		X						
d001.s013.t003	usa	usar	V	bn:00082705v	bn:00082705v	bn:00082705v			bn:00082705v
d001.s013.t004	Alimta	alimta	N	bn:00602447n	bn:00602447n	bn:00602447n			bn:00602447n
d001.s013.t005	?		X						
d001.s014.t001	Alimta	alimta	N	bn:00602447n	bn:00602447n	bn:00602447n			bn:00602447n
d001.s014.t002	sólo	sólo	R	bn:00114234r	bn:00116450r	bn:00116450r	Without any others being included or involved	Never except when	bn:00116450r
d001.s014.t003	debe	deber	V						
d001.s014.t004	administrarse	administrar	V	bn:00082365v	bn:00088826v	bn:00088826v	Give or apply (medications)	Give (as medicine)	bn:00088826v
d001.s014.t005	bajo		X						
d001.s014.t006	la		X						
d001.s014.t007	supervisión	supervisión	N	bn:00059908n	bn:00059908n	bn:00059908n			bn:00059908n
d001.s014.t008	de		X						
d001.s014.t009	un		X						
d001.s014.t010	médico	médico	N	bn:00027976n	bn:00027976n	bn:00027976n			bn:00027976n
d001.s014.t011	cualificado	cualificar	V	bn:00092243v					
d001.s014.t012	en		X						
d001.s014.t013	el		X						
d001.s014.t014	uso	uso	N	bn:00030627n	bn:00030627n	bn:00030627n			bn:00030627n
d001.s014.t015	de		X						
d001.s014.t016	quimioterapia	quimioterapia	N	bn:00018141n	bn:00018141n	bn:00018141n			bn:00018141n
d001.s014.t017	contra		X						
d001.s014.t018	el		X						
d001.s014.t019	cáncer	cáncer	N	bn:00015180n					
d001.s014.t020	.		X						
d001.s015.t001	La		X						
d001.s015.t002	dosis	dosis	N	bn:00028320n	bn:00028320n	bn:00028320n			bn:00028320n
d001.s015.t003	recomendada	recomendar	V	bn:00082418v					
d001.s015.t004	de		X						
d001.s015.t005	Alimta	alimta	N	bn:00602447n	bn:00602447n	bn:00602447n			bn:00602447n
d001.s015.t006	es	ser	V						
d001.s015.t007	de		X						
d001.s015.t008	500		X						
d001.s015.t009	mg	mg	N	bn:00054701n	bn:00054701n	bn:00054701n			bn:00054701n
d001.s015.t010	por		X						
d001.s015.t011	metro	metro	N	bn:00017102n	bn:00052501n	bn:00052501n	A centare is 1/100th of an are	The basic unit of length adopted under the Systeme International d'Unites (approximately 1.094 yards)	bn:00052501n
d001.s015.t012	cuadrado	cuadrado	J	bn:00111084a	bn:00005518n				
d001.s015.t013	de		X						
d001.s015.t014	superficie	superficie	N	bn:03551355n	bn:00005518n	bn:00005518n	In physiology and medicine, the body surface area is the measured or calculated surface area of a human body.	The extent of a 2-dimensional surface enclosed within a boundary	bn:00005518n
d001.s015.t015	corporal	corporal	J	bn:00098648a	bn:03551355n				
d001.s015.t016	(		X						
d001.s015.t017	calculada	calcular	V	bn:00084373v	bn:00084373v	bn:00084373v			bn:00084373v
d001.s015.t018	a partir de		X		bn:00082705v				
d001.s015.t019	la		X						
d001.s015.t020	estatura	estatura	N	bn:00043545n	bn:00043545n	bn:00043545n			bn:00043545n
d001.s015.t021	y		X						
d001.s015.t022	el		X						
d001.s015.t023	peso	peso	N	bn:00011779n	bn:00080831n	bn:00080831n	The weight of a person's body	The vertical force exerted by a mass as a result of gravity	bn:00080831n
d001.s015.t024	del		X						
d001.s015.t025	paciente	paciente	N	bn:00061017n	bn:00061017n	bn:00061017n			bn:00061017n
d001.s015.t026	)		X						
d001.s015.t027	.		X						
d001.s016.t001	Con		X						
d001.s016.t002	el		X						
d001.s016.t003	fin	fin	N	bn:00030721n					
d001.s016.t004	de		X						
d001.s016.t005	reducir	reducir	V	bn:00082125v	bn:00084079v	bn:00084079v	Make less active or intense	Cut down on; make a reduction in	bn:00084079v
d001.s016.t006	los		X						
d001.s016.t007	efectos	efecto	N	bn:00071445n	bn:00029874n	bn:00029874n	A secondary and usually adverse effect of a drug or therapy	A symptom caused by an illness or a drug	bn:00029874n
d001.s016.t008	secundarios	secundario	J	bn:00110247a	bn:00071445n	bn:00071445n	Being of second rank or importance or value; not direct or immediate	A secondary and usually adverse effect of a drug or therapy	bn:00071445n
d001.s016.t009	,		X						
d001.s016.t010	los		X						
d001.s016.t011	pacientes	paciente	N	bn:00061017n	bn:00061017n	bn:00061017n			bn:00061017n
d001.s016.t012	deben	deber	V						
d001.s016.t013	recibir	recibir	V	bn:00089246v					
d001.s016.t014	un		X						
d001.s016.t015	corticosteroide	corticosteroide	N	bn:00001507n	bn:00001507n	bn:00001507n			bn:00001507n
d001.s016.t016	y		X						
d001.s016.t017	ácido	ácido	N	bn:00035585n	bn:00000902n	bn:00000902n	A B vitamin that is essential for cell growth and reproduction	Any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt	bn:00000902n
d001.s016.t018	fólico	fólico	J		bn:00035585n				
d001.s016.t019	(		X						
d001.s016.t020	un		X						
d001.s016.t021	tipo	tipo	N	bn:00035907n	bn:00078798n	bn:00078798n	A category of things distinguished by some common characteristic or quality	A subdivision of a particular kind of thing	bn:00078798n
d001.s016.t022	de		X						
d001.s016.t023	vitamina	vitamina	N	bn:00080147n	bn:00080147n	bn:00080147n			bn:00080147n
d001.s016.t024	)		X						
d001.s016.t025	,		X						
d001.s016.t026	así como		X						
d001.s016.t027	inyecciones	inyección	N	bn:00046787n	bn:00046785n	bn:00046785n	The act of putting a liquid into the body by means of a syringe	Any solution that is injected (as into the skin)	bn:00046785n
d001.s016.t028	de		X						
d001.s016.t029	vitamina	vitamina	N	bn:00004712n	bn:00004712n	bn:00004712n			bn:00004712n
d001.s016.t030	B12		X						
d001.s016.t031	durante		X						
d001.s016.t032	el		X						
d001.s016.t033	tratamiento	tratamiento	N	bn:00047235n	bn:00047235n	bn:00047235n			bn:00047235n
d001.s016.t034	con		X						
d001.s016.t035	Alimta	alimta	N	bn:00602447n	bn:00602447n	bn:00602447n			bn:00602447n
d001.s016.t036	.		X						
d001.s017.t001	Cuando		X						
d001.s017.t002	Alimta	alimta	N	bn:00602447n	bn:00602447n	bn:00602447n			bn:00602447n
d001.s017.t003	se		X						
d001.s017.t004	utiliza	utilizar	V	bn:00082705v	bn:00088826v				
d001.s017.t005	conjuntamente	conjuntamente	R	bn:00114766r					
d001.s017.t006	con		X						
d001.s017.t007	cisplatino	cisplatino	N	bn:00577781n	bn:00577781n	bn:00577781n			bn:00577781n
d001.s017.t008	,		X						
d001.s017.t009	hay que	haber~que	V						
d001.s017.t010	administrar	administrar	V	bn:00082365v	bn:00088826v	bn:00088826v	Give or apply (medications)	Give (as medicine)	bn:00088826v
d001.s017.t011	además	además	R	bn:00114134r	bn:00114246r	bn:00114246r	In addition, by way of addition; furthermore	In addition	bn:00114246r
d001.s017.t012	un		X						
d001.s017.t013	medicamento	medicamento	N	bn:00031708n	bn:00054128n	bn:00054128n	A drug that is available only with written instructions from a doctor or dentist to a pharmacist	(medicine) something that treats or prevents or alleviates the symptoms of disease	bn:00054128n
d001.s017.t014	«		X						
d001.s017.t015	antiemético	antiemético	N	bn:00004656n					
d001.s017.t016	»		X						
d001.s017.t017	(		X						
d001.s017.t018	para		X						
d001.s017.t019	evitar	evitar	V	bn:00088454v	bn:00088454v	bn:00088454v			bn:00088454v
d001.s017.t020	los		X						
d001.s017.t021	vómitos	vómito	N	bn:00027565n	bn:00083115v	bn:00083115v	The reflex act of ejecting the contents of the stomach through the mouth	Eject the contents of the stomach through the mouth	bn:00083115v
d001.s017.t022	)		X						
d001.s017.t023	y		X						
d001.s017.t024	líquidos	líquido	N	bn:00051471n	bn:00035426n	bn:00035426n	A substance that is liquid at room temperature and pressure	A substance that is fluid at room temperature and pressure	bn:00035426n
d001.s017.t025	(		X						
d001.s017.t026	para		X						
d001.s017.t027	evitar	evitar	V	bn:00088454v	bn:00088454v	bn:00088454v			bn:00088454v
d001.s017.t028	la		X						
d001.s017.t029	deshidratación	deshidratación	N	bn:00025982n	bn:00025983n	bn:00025983n	Dryness resulting from the removal of water	Depletion of bodily fluids	bn:00025983n
d001.s017.t030	)		X						
d001.s017.t031	antes		X		bn:00114512r				
d001.s017.t032	o		X						
d001.s017.t033	después de		X		bn:00114165r				
d001.s017.t034	la		X						
d001.s017.t035	dosis	dosis	N	bn:00028320n	bn:00028320n	bn:00028320n			bn:00028320n
d001.s017.t036	de		X						
d001.s017.t037	cisplatino	cisplatino	N	bn:00577781n	bn:00577781n	bn:00577781n			bn:00577781n
d001.s017.t038	.		X						
d001.s018.t001	Será	ser	V						
d001.s018.t002	necesario	necesario	J	bn:00107194a					
d001.s018.t003	retrasar	retrasar	V		bn:00086514v	bn:00086514v			bn:00086514v
d001.s018.t004	o		X						
