ID	English	Spanish Translation
d001.s026	The effects of Alimta in combination with cisplatin were compared with those of cisplatin alone .	Se compararon los efectos de Alimta en combinación con cisplatino con los de cisplatino solo.
d001.s027	For the treatment of non-small cell lung cancer , the effects of Alimta were compared with those of docetaxel ( another anticancer medicine ) in one study involving 571 patients with locally advanced or metastatic disease who had received chemotherapy in the past .	Para el tratamiento del cáncer de pulmón de células no pequeñas, los efectos de Alimta se compararon con los de docetaxel (otro medicamento contra el cáncer) en un estudio en el que participaron 571 pacientes con enfermedad localmente avanzada o metastásica que habían recibido quimioterapia en el pasado.
d001.s028	Alimta was also compared with gemcitabine ( another anticancer medicine ) , both in combination with cisplatin , in a study involving 1,725 patients who had not received chemotherapy for lung cancer in the past .	Alimta también se comparó con gemcitabina (otro medicamento contra el cáncer), ambos en combinación con cisplatino, en un estudio en el que participaron 1.725 pacientes que no habían recibido quimioterapia para el cáncer de pulmón en el pasado.
d001.s029	In all three studies , the main measure of effectiveness was how long the patients survived .	En los tres estudios, la principal medida de eficacia fue cuánto tiempo sobrevivieron los pacientes.
d001.s030	What benefit has Alimta shown during the studies ?	¿Qué beneficio ha demostrado Alimta durante los estudios?
d001.s031	Alimta increased the survival time of patients with malignant pleural mesothelioma .	Alimta aumentó el tiempo de supervivencia de los pacientes con mesotelioma pleural maligno.
d001.s032	Patients receiving Alimta and cisplatin survived for an average of 12.1 months , compared with 9.3 months in those receiving cisplatin alone .	Los pacientes que recibieron Alimta y cisplatino sobrevivieron un promedio de 12,1 meses, en comparación con 9,3 meses en los que recibieron cisplatino solo.
d001.s033	In the treatment of patients with non-small cell lung cancer , Alimta was as effective as the comparators .	En el tratamiento de pacientes con cáncer de pulmón de células no pequeñas, Alimta fue tan eficaz como los comparadores.
d001.s034	In patients who had received chemotherapy in the past , the average survival time was 8.3 months with Alimta , compared with 7.9 months with docetaxel .	En pacientes que habían recibido quimioterapia en el pasado, el tiempo de supervivencia promedio fue de 8,3 meses con Alimta, en comparación con 7,9 meses con docetaxel.
d001.s035	In patients who had not received chemotherapy in the past , the average survival time was 10.3 months in both groups .	En los pacientes que no habían recibido quimioterapia en el pasado, el tiempo de supervivencia promedio fue de 10,3 meses en ambos grupos.
d001.s036	However , in both studies , patients whose cancer was not affecting squamous cells had longer survival times if they received Alimta than if they received the comparator .	Sin embargo, en ambos estudios, los pacientes cuyo cáncer no afectaba a las células escamosas tuvieron tiempos de supervivencia más prolongados si recibieron Alimta que si recibieron el comparador.
d001.s037	In contrast , patients whose cancer was affecting squamous cells had shorter survival times if they received Alimta .	Por el contrario, los pacientes cuyo cáncer afectaba a las células escamosas tenían tiempos de supervivencia más cortos si recibían Alimta.
d002.s001	kalgebra is a mathematical calculator based on content markup MathML language .	Kalgebra es una calculadora matemática basada en el lenguaje de marcado de contenido MathML.
d002.s002	Nowadays it is capable to make simple MathML operations ( arithmetic and logical ) and to representate 2D and 3D graphs .	Hoy en día es capaz de realizar operaciones MathML simples (aritméticas y lógicas) y representar gráficos 2D y 3D.
d002.s003	It is actually not necessary to know MathML to use kalgebra .	En realidad, no es necesario saber MathML para usar kalgebra.
d002.s004	kalgebra is a MathML based graph calculator .	kalgebra es una calculadora gráfica basada en MathML.
d002.s005	Although it was initially MathML oriented it can now be used by everyone with little mathematical knowledge .	Aunque inicialmente estaba orientado a MathML, ahora puede ser utilizado por cualquiera con pocos conocimientos matemáticos.
d002.s006	Here s a screenshot of kalgebra main window	Aquí una captura de pantalla de la ventana principal de Kalgebra.
d002.s007	kalgebra main window	ventana principal de calgebra
d002.s008	kalgebra main window consists in a Console tab , a 2D Graph tab , a 3D Graph tab and a Dictionary tab .	La ventana principal de Kalgebra consta de una pestaña Consola, una pestaña Gráfico 2D, una pestaña Gráfico 3D y una pestaña Diccionario.
d002.s009	Below these tabs you will find an input field to type your functions or do your calculations .	Debajo de estas pestañas encontrará un campo de entrada para escribir sus funciones o hacer sus cálculos.
d002.s010	If we want to understand how it works , the best thing we can do is to realize that our input is being converted into MathML although it is not necessary to know MathML .	Si queremos entender cómo funciona, lo mejor que podemos hacer es darnos cuenta de que nuestra entrada se está convirtiendo a MathML aunque no es necesario saber MathML.
d002.s011	I have based the syntax basically on common sense , it should not be hard for anyone .	La sintaxis la he basado básicamente en el sentido común, no debería ser difícil para nadie.
d002.s012	I ve looked closely to maxima and maple s syntax so they look very similar .	He observado de cerca la sintaxis de maxima y maple para que se vean muy similares.
d002.s013	+ - * / : Addition , subtraction , multiplication and division .	+-*/: Suma, resta, multiplicación y división.
d002.s014	^ , ** : Power , you can use them both .	^ , ** : Poder , puedes usarlos ambos .
d002.s015	Also it is possible to use the unicode ² characters .	También es posible utilizar los caracteres Unicode².
d002.s016	Powers are one way to make roots too .	Los poderes también son una manera de hacer raíces.
d002.s017	-gt : It s the way to specify the bounded variable in a function .	-gt: Es la forma de especificar la variable acotada en una función.
d002.s018	( ) : It is used to specify a higher priority .	( ): Se utiliza para especificar una prioridad más alta.
d002.s019	abc(params) : When the parser finds a function , it checks if abc is an operator .	abc(params): cuando el analizador encuentra una función, comprueba si abc es un operador.
d002.s020	If it is , it will be treated as an operator , if it is not , it will be treated as a user function .	Si lo es, será tratado como un operador; si no lo es, será tratado como una función de usuario.
d002.s021	: #ERROR! : It is used to define a variable value .	: #¡ERROR! : Se utiliza para definir un valor de variable .
d002.s022	? : Piecewise condition definition .	? : Definición de condición por partes .
d002.s023	Piecewise is the way we can define conditional operations in kalgebra .	Por partes es la forma en que podemos definir operaciones condicionales en kalgebra.
d002.s024	If we introduce the condition before the ? it will use this condition only if it is TRUE , if it finds a ? without any condition , it will enter in the last instance .	Si introducimos la condición antes del ? utilizará esta condición sólo si es VERDADERA, si encuentra un? sin condición alguna, entrará en última instancia.
d002.s025	Mainly useful for working with piecewise .	Principalmente útil para trabajar con archivos .
d002.s026	That s easy . With this , we can operate with functions like cos() , sin() , any other trigonometric functions , sum() or product() .	Eso es fácil . Con esto, podemos operar con funciones como cos(), sin(), cualquier otra función trigonométrica, sum() o product().
d002.s027	It does not matter what kind it is .	No importa de qué tipo sea.
d002.s028	We can use plus() , times() and everything which has its operator .	Podemos usar plus(), times() y todo lo que tenga su operador.
d002.s029	kalgebra s console is useful as a calculator .	La consola de Kalgebra es útil como calculadora.
d002.s030	There you have a list of the declared variables .	Ahí tienes una lista de las variables declaradas.
d002.s031	By double clicking on them you will see a dialog that lets you change their values ( just a way to trick the log ) .	Al hacer doble clic en ellos, verá un cuadro de diálogo que le permitirá cambiar sus valores (sólo una forma de engañar al registro).
d002.s032	"Every time you enter an expression , the """""" ans """""" variable value will be changed to the last result ."	Cada vez que ingresa una expresión, el valor de la variable &quot;&quot;&quot; y &quot;&quot;&quot; se cambiará al último resultado.
d002.s033	Ctrl N New Window	Ctrl N Nueva ventana
d002.s034	Flushes the log .	Limpia el registro.
d002.s035	Ctrl L Load Script	Ctrl L Cargar secuencia de comandos
d002.s036	Executes the instructions in a file sequentially .	Ejecuta las instrucciones de un archivo de forma secuencial.
d002.s037	Nice if you want to define some libraries or resume some previous work .	Es bueno si desea definir algunas bibliotecas o reanudar algún trabajo anterior.
d002.s038	Ctrl G Save Script	Ctrl G Guardar secuencia de comandos
d002.s039	Saves the instructions you have typed since the session began to be able to reuse .	Guarda las instrucciones que has escrito desde que comenzó la sesión para poder reutilizarlas.
d002.s040	Generates text files so it should be easy to fix using any text editor , like Kate .	Genera archivos de texto por lo que debería ser fácil de arreglar usando cualquier editor de texto, como Kate.
d002.s041	Ctrl S Save Log	Ctrl S Guardar registro
d002.s042	Saves the log with all results into an HTML file to be able to print or publish .	Guarda el registro con todos los resultados en un archivo HTML para poder imprimirlo o publicarlo.
d002.s043	Ctrl Q Quit	Ctrl Q Salir
d002.s044	Shuts the program down .	Cierra el programa.
d002.s045	To add a new 2D graph on kalgebra , what you have to do is to go to the 2D Graph tab and click in the Add tab to add the new function .	Para agregar un nuevo gráfico 2D en kalgebra, lo que tienes que hacer es ir a la pestaña Gráfico 2D y hacer clic en la pestaña Agregar para agregar la nueva función.
d002.s046	Then your focus will go to an input text box where you can type your function .	Luego su atención irá a un cuadro de texto de entrada donde podrá escribir su función.
d002.s047	If you want to use a typical f(x) function it is not necessary to specify it .	Si desea utilizar una función f(x) típica, no es necesario especificarla.
d002.s048	If you have entered the function click on the OK button to display the graph in the main window .	Si ha ingresado a la función haga clic en el botón Aceptar para mostrar el gráfico en la ventana principal.
d002.s049	You can set several graphs on the same view .	Puede configurar varios gráficos en la misma vista.
d002.s050	Just use the Add button when you are in List mode .	Simplemente use el botón Agregar cuando esté en modo Lista.
d002.s051	You can set each graph its own color .	Puede configurar cada gráfico con su propio color.
d003.s001	The Foundation has recently been involved in organising a conference which dealt with this critical challenge .	La Fundación participó recientemente en la organización de una conferencia que abordó este desafío crítico.
d003.s002	Over 100 participants from the main interest groups attended and debated issues such as the role of key actors including public authorities , social partners , voluntary and community organisations as well as service users .	Más de 100 participantes de los principales grupos de interés asistieron y debatieron cuestiones como el papel de los actores clave, incluidas autoridades públicas, interlocutores sociales, organizaciones voluntarias y comunitarias, así como usuarios de servicios.
d003.s003	Note was also taken of the variety of different roles played by public welfare	También se tomó nota de la variedad de funciones que desempeñan los servicios de bienestar público.
d003.s004	The Foundation organised , together with the European Commission , the Spanish Ministry of Social Affairs and the Galician regional government , a European conference on social exclusion : a major challenge for public welfare services .	La Fundación organizó, junto con la Comisión Europea, el Ministerio de Asuntos Sociales de España y la Xunta de Galicia, una conferencia europea sobre la exclusión social: un gran reto para los servicios públicos de bienestar.
d003.s005	The Foundation recently published a comparative study as part of the EPOC project which assesses the extent to which direct participation can humanise work while increasing profitability .	La Fundación ha publicado recientemente un estudio comparativo en el marco del proyecto EPOC que evalúa hasta qué punto la participación directa puede humanizar el trabajo aumentando al mismo tiempo la rentabilidad.
d003.s006	The study is based on 195 personal interviews with senior officials of the social partners as representatives of national level peak organisations in fifteen European countries .	El estudio se basa en 195 entrevistas personales con altos funcionarios de los interlocutores sociales como representantes de organizaciones de nivel nacional en quince países europeos.
d003.s007	As important industrial sectors , the metal industry and the banking sector were also included .	Como sectores industriales importantes, también se incluyeron la industria del metal y el sector bancario.
d003.s008	Key speakers at the social exclusion conference were ( left to right ) Cristina Louro , Employment , Industrial Relations and Social Affairs Directorate , European Commission Fernando Gomes , a high degree of Committee of the Regions Barbara Weiler , Member of the European Parliament José Maria Gil-Robles , Vice-President , European Parliament and John Carroll , Economic and Social Committee .	Los oradores principales en la conferencia sobre exclusión social fueron ( de izquierda a derecha ) Cristina Louro , Dirección de Empleo , Relaciones Industriales y Asuntos Sociales de la Comisión Europea Fernando Gomes , un alto grado del Comité de las Regiones Barbara Weiler , Miembro del Parlamento Europeo José Maria Gil- Robles, Vicepresidente del Parlamento Europeo y John Carroll, Comité Económico y Social.
d003.s009	Case Studies Each national report contains a portfolio of between 25 and 30 initiatives which best present policies and practices to improve the recruitment , training and development of ageing workers in both the work place and the community .	Estudios de caso Cada informe nacional contiene una cartera de entre 25 y 30 iniciativas que presentan mejor las políticas y prácticas para mejorar la contratación, la formación y el desarrollo de los trabajadores de edad avanzada tanto en el lugar de trabajo como en la comunidad.
d003.s010	For each country , two or three initiatives have been selected for further in depth case study .	Para cada país, se han seleccionado dos o tres iniciativas para realizar estudios de caso más detallados.
d003.s011	These case studies analysed the background of the initiatives , their impact on employment patterns and work organisations and assessed the benefits and problems of the initiative .	Estos estudios de caso analizaron los antecedentes de las iniciativas, su impacto en los patrones de empleo y las organizaciones laborales y evaluaron los beneficios y problemas de la iniciativa.
d003.s012	Visits and interviews with key personnel were also undertaken .	También se realizaron visitas y entrevistas con personal clave.
d003.s013	These national studies will form the basis of a European report which synthesises overall practices .	Estos estudios nacionales constituirán la base de un informe europeo que sintetizará las prácticas generales.
d003.s014	The report and a case book of initiatives will be published in 1996 and provide the backdrop for a conference to be staged in Autumn , 1996 .	El informe y un libro de casos de iniciativas se publicarán en 1996 y servirán de telón de fondo para una conferencia que se celebrará en otoño de 1996 .
d003.s015	The Foundation aims to document the characteristics of age barriers in job recruitment and training and to analyse their causes .	La Fundación tiene como objetivo documentar las características de las barreras de edad en la contratación y formación laboral y analizar sus causas.
d003.s016	The perspectives of the social partners is also being examined , with particular attention paid to proposals for removing age barriers .	También se examinan las perspectivas de los interlocutores sociales, prestando especial atención a las propuestas para eliminar las barreras de edad.
d003.s017	Thirdly , the project documents and assesses initiatives , in both the public and private sectors which combat age barriers , especially for older workers .	En tercer lugar, el proyecto documenta y evalúa iniciativas, tanto en el sector público como en el privado, que combaten las barreras de edad, especialmente para los trabajadores de mayor edad.
d003.s018	Seeking alternatives to early retirement and redundancy , the project is primarily concerned with the retention , reintegration and retraining of older workers .	Buscando alternativas a la jubilación anticipada y el despido, el proyecto se ocupa principalmente de la retención, reintegración y reciclaje de los trabajadores de mayor edad.
d003.s019	The gender and ethnic backgrounds of workers and how these relate to age discrimination are examined .	Se examinan el género y el origen étnico de los trabajadores y cómo se relacionan con la discriminación por edad.
d003.s020	The project also considers initiatives to combat age discrimination in rural areas and in small and medium sized enterprises .	El proyecto también considera iniciativas para combatir la discriminación por edad en las zonas rurales y en las pequeñas y medianas empresas.
d003.s021	Seven member states are covered by the project : Belgium , France , Germany , Greece , Italy , the Netherlands and the United Kingdom .	El proyecto abarca siete Estados miembros: Bélgica, Francia, Alemania, Grecia, Italia, Países Bajos y Reino Unido.
d004.s003	What is Cerenia ?	¿Qué es Cerenia?
d004.s004	Cerenia contains the active substance maropitant and is available as tablet or as solution for injection .	Cerenia contiene el principio activo maropitant y está disponible en forma de comprimidos o solución inyectable.
d004.s005	The tablets are pale-orange and have a score line on both sides so that they can be halved .	Los comprimidos son de color naranja pálido y tienen una ranura en ambos lados para poder dividirlos por la mitad.
d004.s006	Each tablet is marked with the Pfizer logo on one side and with the letters MPT and the quantity of maropitant on the other side .	Cada comprimido está marcado con el logo de Pfizer en un lado y con las letras MPT y la cantidad de maropitant en el otro lado.
d004.s007	What is Cerenia used for ?	¿Para qué se utiliza Cerenia?
d004.s008	Cerenia is an anti-emetic , this means that it stops vomiting .	Cerenia es un antiemético, esto significa que detiene el vómito.
d004.s009	It is used in dogs to prevent vomiting such as vomiting caused by chemotherapy ( medicines used for the treatment of cancer , some of which are known to cause vomiting ) .	Se utiliza en perros para prevenir los vómitos, como los provocados por la quimioterapia (medicamentos utilizados para el tratamiento del cáncer, algunos de los cuales se sabe que provocan vómitos).
d004.s010	In combination with supportive measures such as other veterinary treatment or a special diet , Cerenia can also be used in the treatment of vomiting ( either as injection or as injection followed by tablets ) .	En combinación con medidas de apoyo, como otros tratamientos veterinarios o una dieta especial, Cerenia también se puede utilizar en el tratamiento de los vómitos (ya sea como inyección o como inyección seguida de comprimidos).
d004.s011	For these purposes , Cerenia can be given for up to five days	Para estos fines, Cerenia se puede administrar durante un máximo de cinco días.
d004.s012	How does Cerenia work ?	¿Cómo funciona Cerenia?
d004.s013	Cerenia blocks a neurokinin 1 ( NK1 ) receptor , which acts in the central nervous system .	Cerenia bloquea un receptor de neuroquinina 1 (NK1), que actúa en el sistema nervioso central.
d004.s014	How has Cerenia been studied ?	¿Cómo se ha estudiado Cerenia?
d004.s015	A large number of studies with Cerenia were carried out either in laboratory dogs or in animal patients at veterinary practises in several European countries and in the USA .	Se llevaron a cabo un gran número de estudios con Cerenia en perros de laboratorio o en pacientes animales en consultas veterinarias de varios países europeos y EE.UU.
d004.s016	What benefit has Cerenia shown during the studies ?	¿Qué beneficio ha demostrado Cerenia durante los estudios?
d004.s017	The results of the studies showed that Cerenia was more effective than the placebo : less vomiting was seen in dogs that received the medicine than in dogs that received a placebo , both in the treatment or in the prevention of vomiting .	Los resultados de los estudios demostraron que Cerenia fue más eficaz que el placebo: se observaron menos vómitos en los perros que recibieron el medicamento que en los perros que recibieron un placebo, tanto en el tratamiento como en la prevención de los vómitos.
d004.s018	The treatment of a vomiting dog should be started with the injection , since vomiting animals might not be able to keep a tablet down ( as they might throw the intact tablet up again ) .	El tratamiento de un perro que vomita debe iniciarse con la inyección, ya que los animales que vomitan podrían no ser capaces de retener la tableta (ya que podrían arrojar la tableta intacta nuevamente).
d004.s019	For follow-up treatment , the animal owner can administer the tablets to the dog .	Para el tratamiento posterior, el dueño del animal puede administrar los comprimidos al perro.
d004.s020	Also , the treatment of vomiting should only be together with other supportive measure or other veterinary therapy while addressing the underlying causes of the vomiting .	Además, el tratamiento de los vómitos sólo debe realizarse junto con otras medidas de apoyo u otra terapia veterinaria mientras se abordan las causas subyacentes de los vómitos.
d004.s021	What is the risk associated with Cerenia ?	¿Cuál es el riesgo asociado con Cerenia?
d004.s022	Cerenia was generally well tolerated when administered daily at dosages up to 5 times the recommended doses for an extended period of time ( up to 3 times the recommended maximum duration of treatment ) .	Cerenia fue generalmente bien tolerada cuando se administró diariamente en dosis de hasta 5 veces las dosis recomendadas durante un período prolongado (hasta 3 veces la duración máxima recomendada del tratamiento).
d004.s023	What are the precautions for the person who gives the medicine or comes into contact with the animal ?	¿Cuáles son las precauciones para la persona que administra el medicamento o entra en contacto con el animal?
d004.s024	Cerenia does not represent a particular risk for people .	Cerenia no representa un riesgo particular para las personas.
