Token ID	Token	Lemma	POS	BN Synset	Token ID IT	Token IT	Lemma IT	POS IT	Sense IT
d001.s011.t008	type	type	NOUN	bn:00078798n	d001.s011.t028	tipo	tipo	N	bn:00078798n
	of	of	ADP		d001.s011.t029	di		X	
d001.s011.t009	chemotherapy	chemotherapy	NOUN	bn:00018141n	d001.s011.t030	chemioterapia	chemioterapia	N	bn:00018141n
	in	in	ADP		d001.s011.t012	in		X	
	the	the	DET						
d001.s011.t010	past	past	NOUN	bn:00060928n	d001.s011.t021	passato	passato	N	bn:00060928n
	.	.	.		d001.s011.t031	.		X	
	-end-	-end-	-end-						
	The	the	DET		d001.s012.t001	Il		X	
d001.s012.t001	medicine	medicine	NOUN	bn:00054128n	d001.s012.t002	medicinale	medicinale	N	bn:00054128n
	can	can	VERB		d001.s012.t003	può	potere	V	
d001.s012.t002	only	only	ADV	bn:00116450r	d001.s012.t006	soltanto	soltanto	R	bn:00116450r
	be	be	VERB		d001.s012.t004	essere	essere	V	
d001.s012.t003	obtained	obtain	VERB	bn:00091124v	d001.s012.t005	ottenuto	ottenere	V	bn:00091124v
	with	with	ADP		d001.s012.t007	con		X	
	a	a	DET						
d001.s012.t004	prescription	prescription	NOUN	bn:00064195n	d001.s012.t008	prescrizione	prescrizione	N	bn:00064195n
	.	.	.		d001.s012.t010	.		X	
	-end-	-end-	-end-						
	How	how	ADV		d001.s013.t001	Come		X	
	is	be	VERB		d001.s013.t002	si		X	
	Alimta	alimta	NOUN		d001.s013.t004	Alimta	alimta	N	
d001.s013.t001	used	use	VERB	bn:00082705v					
	?	?	.		d001.s013.t005	?		X	
	-end-	-end-	-end-						
	Alimta	alimta	NOUN		d001.s014.t001	Alimta	alimta	N	
	should	should	VERB		d001.s014.t002	deve	dovere	V	
d001.s014.t001	only	only	ADV	bn:00116450r	d001.s014.t005	solamente	solamente	R	bn:00116450r
	be	be	VERB		d001.s014.t003	essere	essere	V	
d001.s014.t002	given	give	VERB	bn:00088826v	d001.s014.t004	somministrato	somministrare	V	bn:00088826v
	under	under	ADP		d001.s014.t006	sotto		X	
	the	the	DET		d001.s014.t007	la		X	
d001.s014.t003	supervision	supervision	NOUN	bn:00059908n	d001.s014.t008	supervisione	supervisione	N	bn:00059908n
	of	of	ADP		d001.s014.t009	di		X	
	a	a	DET		d001.s014.t010	un		X	
d001.s014.t004	doctor	doctor	NOUN	bn:00027976n	d001.s014.t011	medico	medico	N	bn:00027976n
	who	who	PRON						
	is	be	VERB		d001.s014.t012	qualificato	qualificato	J	
	qualified	qualify	VERB		d001.s014.t012	qualificato	qualificato	J	
	in	in	ADP		d001.s014.t013	per		X	
	the	the	DET		d001.s014.t016	della		X	
d001.s014.t005	use	use	NOUN	bn:00030627n	d001.s014.t015	uso	uso	N	bn:00030627n
	of	of	ADP						
d001.s014.t006	anticancer	anticancer	ADJ	bn:00097220a	d001.s014.t018	antitumorale	antitumorale	J	bn:00097220a
d001.s014.t007	chemotherapy	chemotherapy	NOUN	bn:00018141n	d001.s014.t017	chemioterapia	chemioterapia	N	bn:00018141n
	.	.	.		d001.s014.t019	.		X	
	-end-	-end-	-end-						
	The	the	DET		d001.s015.t001	La		X	
	recommended	recommend	VERB		d001.s015.t003	raccomandata	raccomandata	N	
d001.s015.t001	dose	dose	NOUN	bn:00028320n	d001.s015.t002	dose	dose	N	bn:00028320n
	of	of	ADP		d001.s015.t004	di		X	
	Alimta	alimta	NOUN		d001.s015.t005	Alimta	alimta	N	
	is	be	VERB		d001.s015.t006	è	essere	V	
	500	500	NUM		d001.s015.t008	500		X	
d001.s015.t002	mg	mg	NOUN	bn:00054701n	d001.s015.t009	mg	mg	N	bn:00054701n
	per	per	ADP		d001.s015.t010	per		X	
d001.s015.t003	square metre	square_metre	NOUN	bn:00017102n	d001.s015.t011	metro	metro	N	bn:00017102n
	of	of	ADP		d001.s015.t013	di		X	
d001.s015.t004	body	body	NOUN	bn:00011744n	d001.s015.t015	corporea	corporeo	J	bn:00011744n
d001.s015.t005	surface area	surface_area	NOUN	bn:00005518n	d001.s015.t014	superficie	superficie	N	bn:00005518n
	(	(	.		d001.s015.t016	(		X	
d001.s015.t006	calculated	calculate	VERB	bn:00084373v	d001.s015.t017	calcolata	calcolare	V	bn:00084373v
d001.s015.t007	using	use	VERB	bn:00082705v	d001.s015.t018	utilizzando	utilizzare	V	bn:00082705v
	the	the	DET		d001.s015.t024	del		X	
d001.s015.t008	patient	patient	NOUN	bn:00061017n	d001.s015.t025	paziente	paziente	N	bn:00061017n
	s	s	NOUN						
d001.s015.t009	height	height	NOUN	bn:00043545n	d001.s015.t020	altezza	altezza	N	bn:00043545n
	and	and	CONJ		d001.s015.t021	e		X	
d001.s015.t010	weight	weight	NOUN	bn:00080831n	d001.s015.t023	peso	peso	N	bn:00080831n
	)	)	.		d001.s015.t026	)		X	
	.	.	.						
	It	it	PRON						
	is	be	VERB						
d001.s015.t011	given	give	VERB	bn:00088826v					
d001.s015.t012	once	once	ADV	bn:00115811r	d001.s015.t036	volta	volta	N	bn:00115811r
d001.s015.t013	every	every	ADJ	bn:00102467a	d001.s015.t037	ogni	ogni	J	bn:00102467a
	three	three	NUM		d001.s015.t038	tre	tre	J	
d001.s015.t014	weeks	week	NOUN	bn:00043484n	d001.s015.t039	settimane	settimana	N	bn:00043484n
	as	as	ADP		d001.s015.t029	per		X	
	an	a	DET						
d001.s015.t015	intravenous	intravenous	ADJ	bn:00102230a	d001.s015.t031	endovenosa	endovenoso	J	bn:00102230a
d001.s015.t016	infusion	infusion	NOUN	bn:00046734n	d001.s015.t030	infusione	infusione	N	bn:00046734n
d001.s015.t017	lasting	last	VERB	bn:00087620v					
	10	10	NUM		d001.s015.t033	10		X	
d001.s015.t018	minutes	minute	NOUN	bn:00055094n	d001.s015.t034	minuti	minuto	N	bn:00055094n
	.	.	.		d001.s015.t040	.		X	
	-end-	-end-	-end-						
	To	to	PRT		d001.s016.t001	Per		X	
d001.s016.t001	reduce	reduce	VERB	bn:00092595v	d001.s016.t002	ridurre	ridurre	V	bn:00092595v
d001.s016.t002	side effects	side_effect	NOUN	bn:00071445n	d001.s016.t004	effetti	effetto	N	bn:00071445n
	,	,	.		d001.s016.t006	,		X	
d001.s016.t003	patients	patient	NOUN	bn:00061017n	d001.s016.t008	pazienti	paziente	N	bn:00061017n
	should	should	VERB		d001.s016.t009	devono	dovere	V	
d001.s016.t004	take	take	VERB	bn:00085689v	d001.s016.t010	assumere	assumere	V	bn:00085689v
	a	a	DET		d001.s016.t011	un		X	
d001.s016.t005	corticosteroid	corticosteroid	NOUN	bn:00001507n	d001.s016.t012	corticosteroide	corticosteroide	N	bn:00001507n
	and	and	CONJ		d001.s016.t013	e		X	
d001.s016.t006	folic acid	folic_acid	NOUN	bn:00035585n	d001.s016.t015	folico	folico	J	bn:00035585n
	(	(	.		d001.s016.t016	(		X	
	a	a	DET		d001.s016.t017	un		X	
d001.s016.t007	type	type	NOUN	bn:00078798n	d001.s016.t018	tipo	tipo	N	bn:00078798n
	of	of	ADP		d001.s016.t019	di		X	
d001.s016.t008	vitamin	vitamin	NOUN	bn:00080147n	d001.s016.t020	vitamina	vitamina	N	bn:00080147n
	)	)	.		d001.s016.t021	)		X	
	,	,	.						
	and	and	CONJ		d001.s016.t022	e		X	
	receive	receive	VERB		d001.s016.t023	ricevere	ricevere	V	
d001.s016.t009	injections	injection	NOUN	bn:00046787n	d001.s016.t024	iniezioni	iniezione	N	bn:00046787n
	of	of	ADP		d001.s016.t025	di		X	
d001.s016.t010	vitamin B12	vitamin_b12	NOUN	bn:00004712n	d001.s016.t027	B12	b12	N	bn:00004712n
	during	during	ADP		d001.s016.t028	durante		X	
d001.s016.t011	treatment	treatment	NOUN	bn:00047235n	d001.s016.t030	trattamento	trattamento	N	bn:00047235n
	with	with	ADP		d001.s016.t031	con		X	
	Alimta	alimta	NOUN		d001.s016.t032	Alimta	alimta	N	
	.	.	.		d001.s016.t033	.		X	
	-end-	-end-	-end-						
	When	when	ADV		d001.s017.t001	Quando	quando	R	
	Alimta	alimta	NOUN		d001.s017.t002	Alimta	alimta	N	
	is	be	VERB		d001.s017.t003	è	essere	V	
d001.s017.t001	given	give	VERB	bn:00088826v	d001.s017.t004	somministrato	somministrare	V	bn:00088826v
	with	with	ADP		d001.s017.t005	con		X	
	cisplatin	cisplatin	NOUN		d001.s017.t006	cisplatino	cisplatino	N	
	,	,	.		d001.s017.t007	,		X	
	an	a	DET		d001.s017.t012	un		X	
	anti-emetic	anti-emetic	ADJ		d001.s017.t014	antiemetico	antiemetico	N	
d001.s017.t002	medicine	medicine	NOUN	bn:00054128n	d001.s017.t013	farmaco	farmaco	N	bn:00054128n
	(	(	.		d001.s017.t015	(		X	
	to	to	PRT		d001.s017.t016	per		X	
d001.s017.t003	prevent	prevent	VERB	bn:00088454v	d001.s017.t017	prevenire	prevenire	V	bn:00088454v
d001.s017.t004	vomiting	vomit	VERB	bn:00083115v	d001.s017.t019	vomito	vomito	N	bn:00083115v
	)	)	.		d001.s017.t020	)		X	
	and	and	CONJ		d001.s017.t021	e		X	
d001.s017.t005	fluids	fluid	NOUN	bn:00035426n					
	(	(	.						
	to	to	PRT						
d001.s017.t006	prevent	prevent	VERB	bn:00088454v					
d001.s017.t007	dehydration	dehydration	NOUN	bn:00025983n	d001.s017.t030	disidratazione	disidratazione	N	bn:00025983n
	)	)	.						
	should	should	VERB		d001.s017.t010	devono	dovere	V	
d001.s017.t008	also	also	ADV	bn:00114246r					
	be	be	VERB		d001.s017.t011	assumere	assumere	V	
d001.s017.t009	given	give	VERB	bn:00088826v	d001.s017.t022	ricevere	ricevere	V	bn:00088826v
d001.s017.t010	before	before	ADV	bn:00114512r	d001.s017.t032	prima	prima	R	bn:00114512r
	or	or	CONJ		d001.s017.t033	o		X	
d001.s017.t011	after	after	ADV	bn:00114165r	d001.s017.t034	dopo	dopo	R	bn:00114165r
	the	the	DET		d001.s017.t029	la		X	
	cisplatin	cisplatin	NOUN		d001.s017.t038	cisplatino	cisplatino	N	
d001.s017.t012	dose	dose	NOUN	bn:00028320n	d001.s017.t036	assunzione	assunzione	N	bn:00028320n
	.	.	.		d001.s017.t039	.		X	
	-end-	-end-	-end-						
d001.s018.t001	Treatment	treatment	NOUN	bn:00047235n	d001.s018.t002	trattamento	trattamento	N	bn:00047235n
