Start Sense
d001.s027.t027 bn:00097220a
d001.s027.t031 bn:00074790n
d001.s027.t035 bn:00061017n
d001.s027.t040 bn:00096528a
d001.s027.t042 bn:00106664a
d001.s027.t049 bn:00018141n
d001.s028.t005 bn:00085450v
d001.s028.t010 bn:00054128n
d001.s028.t011 bn:00097220a
d001.s028.t016 bn:00020878n
d001.s028.t022 bn:00074790n
d001.s028.t025 bn:00061017n
d001.s028.t028 bn:00060928n
d001.s028.t035 bn:00018141n
d001.s029.t006 bn:00074790n
d001.s029.t009 bn:00099598a
d001.s029.t012 bn:00029877n
d001.s029.t019 bn:00061017n
d001.s030.t002 bn:00009905n
d001.s030.t004 bn:00086567v
d001.s030.t009 bn:00074790n
d001.s031.t003 bn:00089667v
d001.s031.t005 bn:00077268n
d001.s031.t007 bn:00030811n
d001.s031.t009 bn:00061017n
d001.s031.t012 bn:00054512n
d001.s031.t013 bn:00108692a
d001.s031.t014 bn:00106363a
d001.s032.t014 bn:00085382v
d001.s032.t016 bn:00007451n
d001.s032.t018 bn:00055794n
d001.s032.t023 bn:00055794n
d001.s032.t025 bn:00061017n
d001.s033.t002 bn:00047235n
d001.s033.t004 bn:00061017n
d001.s033.t011 bn:00017027n
d001.s033.t018 bn:00102038a
d001.s034.t002 bn:00061017n
d001.s034.t005 bn:00060928n
d001.s034.t010 bn:00018141n
d001.s034.t013 bn:00077268n
d001.s034.t015 bn:00030811n
d001.s034.t016 bn:00097854a
d001.s034.t021 bn:00055794n
d001.s035.t002 bn:00061017n
d001.s035.t005 bn:00060928n
d001.s035.t008 bn:00087863v
d001.s035.t011 bn:00018141n
d001.s035.t014 bn:00077268n
d001.s035.t016 bn:00030811n
d001.s035.t017 bn:00097854a
d001.s035.t022 bn:00055794n
d001.s035.t026 bn:00041942n
d001.s036.t001 bn:00115696r
d001.s036.t006 bn:00074790n
d001.s036.t008 bn:00061017n
d001.s036.t016 bn:00088745v
d001.s036.t018 bn:00077268n
d001.s036.t020 bn:00030811n
d001.s036.t022 bn:00106124a
d001.s037.t004 bn:00061017n
d001.s037.t011 bn:00088745v
d001.s037.t013 bn:00077268n
d001.s037.t015 bn:00030811n
d001.s037.t017 bn:00110561a
d001.s037.t027 bn:00106488a
d001.s037.t028 bn:00083141v
d001.s038.t003 bn:00102111a
d001.s038.t004 bn:00053826n
d001.s038.t006 bn:00097495a
d001.s038.t015 bn:00041412n
d001.s038.t018 bn:00000102n
d001.s039.t001 bn:00116360r
d001.s039.t003 bn:00107182a
d001.s039.t004 bn:00090143v
d001.s039.t007 bn:00082705v
d001.s039.t015 bn:00083141v
d001.s040.t003 bn:00114055r
d001.s040.t005 bn:00091201v
d001.s040.t013 bn:00082705v
d001.s040.t020 bn:00020452n
d001.s040.t021 bn:00106488a
d001.s041.t004 bn:00099598a
d001.s041.t008 bn:00099598a
d001.s041.t012 bn:00081292n
d001.s041.t021 bn:00022002n
d001.s041.t029 bn:00000102n
d001.s041.t033 bn:00026967n
d001.s042.t005 bn:00086708v
d001.s042.t007 bn:00034274n
d001.s042.t013 bn:00036821n
d001.s042.t015 bn:00087108v
d001.s042.t016 bn:00014689n
d001.s043.t002 bn:00086682v
d001.s043.t003 bn:00095375v
d001.s043.t005 bn:00088629v
d001.s043.t008 bn:00076919n
d001.s043.t009 bn:00098274a
d001.s043.t011 bn:00087108v
d001.s043.t020 bn:00085761v
d001.s043.t028 bn:00107182a
d001.s043.t029 bn:00090143v
d001.s044.t002 bn:00083141v
d001.s044.t014 bn:00101358a
d001.s045.t018 bn:00105977a
d001.s045.t025 bn:00001296n
d001.s045.t027 bn:00055233n
d001.s045.t029 bn:00056300n
d001.s045.t031 bn:00027919n
d001.s045.t039 bn:00032355n
d001.s045.t042 bn:00082705v
d001.s046.t003 bn:00108829a
d001.s046.t004 bn:00082705v
d001.s047.t005 bn:00032355n
d001.s047.t009 bn:00090557v
d001.s047.t010 bn:00068247n
d001.s047.t015 bn:00033729n
d001.s047.t017 bn:00086468v
d001.s047.t019 bn:00079583n
d001.s047.t023 bn:00036821n
d001.s047.t028 bn:00082705v
d001.s047.t030 bn:00091005v
d001.s047.t032 bn:00004489n
d001.s047.t041 bn:00086708v
d001.s047.t043 bn:00036821n
d001.s047.t045 bn:00082813v
d001.s047.t052 bn:00059141n
d001.s048.t006 bn:00095141v
d001.s048.t009 bn:00059141n
d001.s048.t016 bn:00095141v
d001.s048.t019 bn:00036821n
d001.s048.t020 bn:00079373n
d001.s048.t025 bn:00082705v
d001.s048.t027 bn:00086468v
d001.s048.t029 bn:00079508n
d001.s048.t038 bn:00021645n
d001.s049.t009 bn:00033729n
d001.s049.t013 bn:00086468v
d001.s050.t002 bn:00087681v
d001.s050.t004 bn:00021645n
d001.s050.t012 bn:00021645n
d001.s050.t014 bn:00082705v
d001.s050.t018 bn:00112148a
d001.s050.t021 bn:00086708v
d001.s050.t027 bn:00021645n
d001.s050.t032 bn:00105740a
d001.s050.t043 bn:00082705v
d001.s050.t045 bn:00086468v
d001.s052.t001 bn:00114424r
d001.s052.t003 bn:00082821v
d001.s052.t007 bn:00079373n
d001.s052.t012 bn:00101973a
d001.s052.t018 bn:00085744v
d001.s052.t020 bn:00036821n
d001.s052.t022 bn:00022956n
d001.s052.t024 bn:00071709n
d001.s052.t029 bn:00036821n
d001.s052.t030 bn:00112111a
d001.s052.t033 bn:00003604n
d001.s052.t035 bn:00053827n
d001.s053.t002 bn:00085860v
d001.s053.t004 bn:00035907n
d001.s054.t002 bn:00082705v
d001.s054.t003 bn:00001296n
d001.s054.t005 bn:00056300n
d001.s054.t010 bn:00089240v
d001.s054.t012 bn:00059141n
d001.s054.t019 bn:00113456a
d001.s055.t004 bn:00051508n
d001.s055.t006 bn:00079583n
d001.s056.t009 bn:00084662v
d001.s056.t016 bn:00082536v
d001.s056.t018 bn:00082553v
d001.s056.t020 bn:00079508n
d001.s056.t023 bn:00001965n
d001.s056.t025 bn:00088310v
d001.s056.t027 bn:00051831n
d001.s057.t002 bn:00019848n
d001.s057.t004 bn:00087681v
d001.s057.t006 bn:00032395n
d001.s057.t009 bn:00079508n
d001.s057.t011 bn:00079583n
d001.s057.t016 bn:00082553v
d001.s057.t018 bn:00105740a
d001.s057.t019 bn:00034520n
d001.s061.t001 bn:00087107v
d001.s061.t003 bn:00020945n
d001.s061.t007 bn:00025320n
d001.s062.t007 bn:00050969n
d001.s062.t012 bn:00081568n
d001.s063.t003 bn:00093281v
d001.s064.t001 bn:00093281v
d001.s064.t003 bn:00020945n
d001.s065.t001 bn:00084080v
d001.s065.t005 bn:00101973a
d001.s065.t011 bn:00082705v
d001.s066.t003 bn:00093281v
d001.s066.t004 bn:00051831n
d001.s067.t001 bn:00093281v
d001.s067.t003 bn:00051831n
d001.s067.t007 bn:00034520n
d001.s067.t010 bn:00045087n
d001.s067.t014 bn:00089639v
d001.s067.t016 bn:00084099v
d001.s068.t003 bn:00084710v
d001.s069.t003 bn:00021492n
d001.s070.t002 bn:00082317v
d001.s070.t004 bn:00107270a
d001.s070.t005 bn:00041412n
d001.s070.t011 bn:00088912v
d001.s070.t014 bn:00041412n
d001.s070.t023 bn:00082317v
d001.s070.t025 bn:00107270a
d001.s070.t026 bn:00036821n
d001.s071.t005 bn:00012528n
d001.s071.t007 bn:00076732n
d001.s071.t012 bn:00036821n
d001.s072.t002 bn:00086682v
d001.s072.t003 bn:00082705v
d001.s072.t005 bn:00112217a
d001.s072.t010 bn:00107182a
d001.s072.t011 bn:00091005v
d001.s073.t003 bn:00087681v
d001.s073.t005 bn:00036821n
d001.s073.t009 bn:00087013v
d001.s073.t011 bn:00041412n
d001.s073.t013 bn:00081292n
d001.s073.t014 bn:00099598a
d001.s074.t004 bn:00041412n
d001.s074.t006 bn:00110075a
d001.s074.t007 bn:00079985n
d001.s075.t001 bn:00082705v
d001.s075.t006 bn:00055444n
d001.s075.t008 bn:00051508n
d001.s076.t002 bn:00090224v
d001.s076.t005 bn:00020733n
d001.s077.t001 bn:00116085r
d001.s077.t003 bn:00036064n
d001.s077.t010 bn:00021721n
d001.s077.t013 bn:00084527v
d001.s077.t015 bn:00017557n
d001.s077.t016 bn:00100676a
d001.s078.t007 bn:00099598a
d001.s078.t014 bn:00086341v
d001.s078.t019 bn:00068130n
d001.s078.t021 bn:00001177n
d001.s078.t024 bn:00109212a
d001.s078.t025 bn:00007300n
d001.s078.t028 bn:00110842a
d001.s078.t030 bn:00059480n
d001.s078.t036 bn:00079373n
d001.s078.t038 bn:00070651n
d001.s079.t019 bn:00079373n
d001.s079.t024 bn:00070651n
d001.s080.t010 bn:00101350a
d001.s081.t003 bn:00021015n
d001.s081.t004 bn:00102440a
d001.s081.t007 bn:00055180n
d001.s081.t010 bn:00110842a
d001.s081.t011 bn:00110978a
d001.s081.t014 bn:00007299n
d001.s081.t015 bn:00109624a
d001.s081.t020 bn:00036064n
d001.s081.t024 bn:00021721n
d001.s081.t025 bn:00102440a
d001.s081.t028 bn:00032152n
d001.s081.t029 bn:00110842a
d001.s081.t032 bn:00106333a
d001.s081.t033 bn:00017557n
d001.s081.t036 bn:00070651n
d001.s081.t037 bn:00109212a
d001.s082.t001 bn:00116085r
d001.s082.t003 bn:00036064n
d001.s082.t005 bn:00092023v
d001.s082.t010 bn:00064665n
d001.s082.t014 bn:00067181n
d001.s082.t015 bn:00100121a
d001.s082.t017 bn:00082720v
d001.s082.t019 bn:00032425n
d001.s082.t023 bn:00030844n
d001.s082.t024 bn:00101412a
d001.s082.t028 bn:00030625n
d001.s082.t034 bn:00037027n
d001.s083.t002 bn:00074790n
d001.s083.t004 bn:00083141v
d001.s083.t007 bn:00047238n
d001.s083.t008 bn:00108489a
d001.s083.t014 bn:00110842a
d001.s083.t020 bn:00059480n
d001.s083.t021 bn:00107137a
d001.s083.t023 bn:00095923a
d001.s083.t024 bn:00023235n
d001.s083.t025 bn:00102440a
d001.s084.t009 bn:00089661v
d001.s084.t012 bn:00046576n
d001.s084.t016 bn:00070206n
d001.s084.t017 bn:00008412n
d001.s085.t003 bn:00073170n
d001.s085.t007 bn:00021721n
d001.s085.t009 bn:00032152n
d001.s085.t010 bn:00110842a
d001.s085.t013 bn:00050521n
d001.s085.t015 bn:00067808n
d001.s085.t021 bn:00011651n
d001.s085.t025 bn:00030626n
d001.s085.t028 bn:00025569n
d001.s085.t029 bn:00104995a
d001.s085.t035 bn:00021015n
d001.s085.t040 bn:00021015n
d001.s085.t048 bn:00060708n
d001.s085.t049 bn:00102440a
d001.s085.t055 bn:00079435n
d001.s085.t058 bn:00102440a
d001.s085.t062 bn:00021015n
d001.s085.t063 bn:00102001a
d001.s085.t065 bn:00110842a
d001.s086.t005 bn:00067181n
d001.s086.t006 bn:00107137a
d001.s086.t007 bn:00085499v
d001.s086.t012 bn:00034797n
d001.s086.t023 bn:00061054n
d001.s086.t026 bn:00082573v
d001.s086.t028 bn:00030933n
d001.s086.t031 bn:00041853n
d001.s086.t034 bn:00026695n
d001.s086.t036 bn:00081593n
d001.s086.t042 bn:00021248n
d001.s087.t003 bn:00023235n
d001.s087.t007 bn:00034797n
d001.s087.t011 bn:00084931v
d001.s087.t018 bn:00016433n
d001.s088.t004 bn:00082597v
d001.s088.t006 bn:00007786n
d001.s088.t008 bn:00034797n
d001.s088.t012 bn:00046065n
d001.s088.t018 bn:00001423n
d001.s088.t020 bn:00081568n
d001.s088.t022 bn:00082720v
d001.s088.t025 bn:00009905n
d001.s088.t028 bn:00048242n
d001.s088.t030 bn:00034797n
d001.s089.t005 bn:00080113n
d001.s089.t007 bn:00047238n
d001.s089.t012 bn:00035770n
d001.s090.t002 bn:00074790n
d001.s090.t003 bn:00107137a
d001.s090.t007 bn:00067181n
d001.s090.t008 bn:00102440a
d001.s090.t010 bn:00094713v
d001.s090.t012 bn:00061054n
d001.s091.t002 bn:00067181n
d001.s091.t007 bn:00034797n
d001.s091.t018 bn:00021721n
d001.s091.t022 bn:00007406n
d001.s092.t002 bn:00036064n
d001.s092.t004 bn:00087137v
d001.s092.t006 bn:00017762n
d001.s092.t008 bn:00008714n
d001.s092.t011 bn:00001936n
d001.s092.t017 bn:00041853n
d001.s092.t019 bn:00082597v
d001.s092.t021 bn:00016850n
d001.s093.t002 bn:00082596v
d001.s093.t010 bn:00110842a
d001.s093.t014 bn:00007020n
d001.s093.t015 bn:00102398a
d001.s093.t017 bn:00064776n
d001.s093.t020 bn:00088783v
d001.s093.t022 bn:00008714n
d001.s093.t025 bn:00001936n
d001.s094.t006 bn:00064665n
d001.s094.t009 bn:00082720v
d001.s094.t010 bn:00034797n
d001.s094.t012 bn:00109212a
d001.s094.t014 bn:00104973a
d001.s094.t021 bn:00008714n
d001.s094.t024 bn:00001936n
d001.s094.t026 bn:00115235r
d001.s094.t030 bn:00081593n
d001.s094.t031 bn:00107786a
d001.s095.t001 bn:00090460v
d001.s095.t010 bn:00064665n
d001.s095.t012 bn:00083240v
d001.s095.t013 bn:00114714r
d001.s095.t023 bn:00081593n
d001.s096.t006 bn:00037634n
d001.s096.t010 bn:00100762a
d001.s096.t012 bn:00081593n
d001.s096.t020 bn:00027538n
d001.s096.t024 bn:00001936n
d001.s097.t002 bn:00064665n
d001.s097.t003 bn:00085651v
d001.s097.t005 bn:00034797n
d001.s097.t011 bn:00027538n
d001.s097.t014 bn:00001936n
d001.s097.t020 bn:00106773a
d001.s097.t023 bn:00031008n
d001.s098.t002 bn:00064665n
d001.s098.t007 bn:00023236n
d001.s098.t008 bn:00054277n
d001.s098.t024 bn:00112908a
d001.s099.t007 bn:00028015n
d001.s099.t010 bn:00075142n
d001.s099.t013 bn:00067181n
d001.s099.t015 bn:00005120n
d001.s099.t016 bn:00109211a
d001.s099.t017 bn:00102440a
d001.s101.t002 bn:00085499v
d001.s101.t009 bn:00097846a
d001.s101.t016 bn:00072760n
d001.s102.t002 bn:00052222n
d001.s102.t009 bn:00089240v
d001.s102.t015 bn:00071433n
d001.s103.t002 bn:00052222n
d001.s103.t004 bn:00090663v
d001.s103.t007 bn:00071433n
d001.s103.t010 bn:00051872n
d001.s103.t014 bn:00108011a
d001.s103.t015 bn:00071433n
d001.s103.t018 bn:00003057n
d001.s103.t026 bn:00003603n
d001.s105.t004 bn:00004656n
d001.s105.t010 bn:00094398v
d001.s106.t002 bn:00082705v
d001.s106.t004 bn:00015267n
d001.s106.t006 bn:00088454v
d001.s106.t009 bn:00084699v
d001.s106.t015 bn:00018141n
d001.s106.t017 bn:00054128n
d001.s106.t021 bn:00047235n
d001.s106.t023 bn:00015180n
d001.s106.t030 bn:00084699v
d001.s107.t002 bn:00020872n
d001.s107.t011 bn:00108011a
d001.s107.t012 bn:00047235n
d001.s107.t013 bn:00113583a
d001.s107.t016 bn:00027011n
d001.s107.t017 bn:00110996a
d001.s107.t023 bn:00082705v
d001.s107.t025 bn:00047235n
d001.s107.t027 bn:00027565n
d001.s107.t031 bn:00046787n
d001.s107.t034 bn:00046787n
d001.s107.t035 bn:00088425v
d001.s107.t037 bn:00052222n
d001.s108.t003 bn:00002178n
d001.s108.t014 bn:00025419n
d001.s110.t002 bn:00083622v
d001.s110.t011 bn:00082285v
d001.s111.t004 bn:00082596v
d001.s112.t005 bn:00074790n
d001.s112.t011 bn:00015267n
d001.s112.t013 bn:00049551n
d001.s112.t021 bn:00113583a
d001.s112.t023 bn:00110469a
d001.s113.t002 bn:00009905n
d001.s113.t004 bn:00083245v
d001.s113.t009 bn:00074790n
d001.s114.t002 bn:00034520n
d001.s114.t004 bn:00074790n
d001.s114.t011 bn:00102038a
d001.s114.t013 bn:00062717n
d001.s114.t016 bn:00015267n
d001.s114.t020 bn:00054128n
d001.s114.t024 bn:00027565n
d001.s114.t035 bn:00062717n
d001.s114.t039 bn:00047235n
d001.s114.t042 bn:00008467n
d001.s114.t044 bn:00027565n
d001.s115.t002 bn:00047235n
d001.s115.t005 bn:00015267n
d001.s115.t007 bn:00027565n
d001.s115.t009 bn:00083347v
d001.s115.t012 bn:00046787n
d001.s115.t016 bn:00004222n
d001.s115.t020 bn:00027565n
d001.s115.t029 bn:00052222n
d001.s116.t003 bn:00047235n
d001.s116.t005 bn:00035627n
d001.s116.t008 bn:00052222n
d001.s116.t011 bn:00082365v
d001.s116.t013 bn:00059954n
d001.s116.t015 bn:00015267n
d001.s117.t004 bn:00047235n
d001.s117.t006 bn:00027565n
d001.s117.t012 bn:00054018n
d001.s117.t018 bn:00076843n
d001.s117.t019 bn:00113583a
d001.s117.t023 bn:00016850n
d001.s117.t025 bn:00027565n
d001.s118.t004 bn:00030747n
d001.s118.t005 bn:00082868v
d001.s119.t003 bn:00115495r
d001.s119.t004 bn:00115530r
d001.s119.t005 bn:00095008v
d001.s119.t007 bn:00082365v
d001.s119.t008 bn:00114917r
d001.s119.t010 bn:00028320n
d001.s119.t014 bn:00019848n
d001.s119.t017 bn:00082418v
d001.s119.t020 bn:00101795a
d001.s119.t028 bn:00019848n
d001.s119.t030 bn:00022191n
d001.s119.t032 bn:00047235n
d001.s120.t004 bn:00042049n
d001.s120.t009 bn:00046516n
d001.s120.t013 bn:00054128n
d001.s120.t017 bn:00022113n
d001.s120.t020 bn:00004222n
d001.s121.t003 bn:00083187v
d001.s121.t004 bn:00102398a
d001.s121.t005 bn:00030747n
d001.s121.t008 bn:00044382n
