Token ID	Token	Lemma	POS	BN Synset	Token ID ES	Token ES	Lemma ES	POS ES	Sense ES
d001.s002.t002	explains	explain	V	bn:00087869v;bn:00087870v;wn:explain%2:32:00::;wn:explain%2:32:01::;wn:explicate%2:32:00::	d001.s002.t004	explica	explicar	V	bn:00087869v;bn:00087870v;wn:explain%2:32:00::;wn:explain%2:32:01::;wn:explicate%2:32:00::
d001.s002.t003	how		X	n/a	d001.s002.t005	cómo	cómo	R	n/a
d001.s002.t004	the		X	n/a	d001.s002.t006	el		X	n/a
d001.s002.t005	Committee	committee	N	bn:00021015n;wiki:committee;wn:commission%1:14:00::;wn:committee%1:14:00::	d001.s002.t007	Comité	comité	N	bn:00021015n;wiki:committee;wn:commission%1:14:00::;wn:committee%1:14:00::
d001.s002.t006	for		X	n/a	d001.s002.t008	de		X	n/a
d001.s002.t007	Medicinal	medicinal	J	bn:00106556a;wn:medicative%5:00:00:healthful:00;wn:medicinal%5:00:00:healthful:00	d001.s002.t009➕d001.s002.t012	Medicamentos➕Humano	medicamento	N➕J	n/a
d001.s002.t008	Products	product	N	bn:00064584n;bn:01740339n;wiki:product_(business);wn:product%1:06:00::;wn:production%1:06:00::	d001.s002.t009	Medicamentos	medicamento	N	n/a
d001.s002.t009	for		X	n/a	d001.s002.t010	de		X	n/a
d001.s002.t010	Human	human	J	bn:00104385a;wn:human%3:01:01::	d001.s002.t012	Humano	humano	J	bn:00104385a;wn:human%3:01:01::
d001.s002.t011	Use	use	N	bn:00030627n;bn:00079370n;wn:employment%1:04:01::;wn:exercise%1:04:03::;wn:usage%1:04:00::;wn:use%1:04:00::;wn:use%1:07:02::;wn:utilisation%1:04:00::;wn:utilization%1:04:00::	d001.s002.t011	Uso	uso	N	bn:00030627n;bn:00079370n;wn:employment%1:04:01::;wn:exercise%1:04:03::;wn:usage%1:04:00::;wn:use%1:04:00::;wn:use%1:07:02::;wn:utilisation%1:04:00::;wn:utilization%1:04:00::
d001.s002.t012	(		X	n/a	d001.s002.t013	(		X	n/a
d001.s002.t013	CHMP	chmp	N	n/a	d001.s002.t014	CHMP	chmp	N	n/a
d001.s002.t014	)		X	n/a	d001.s002.t015	)		X	n/a
d001.s002.t015	assessed	assess	V	bn:00082720v;wn:appraise%2:31:01::;wn:assess%2:31:00::;wn:evaluate%2:31:00::;wn:measure%2:31:01::;wn:valuate%2:31:00::;wn:value%2:31:00::	d001.s002.t017	evaluado	evaluar	V	bn:00082720v;wn:appraise%2:31:01::;wn:assess%2:31:00::;wn:evaluate%2:31:00::;wn:measure%2:31:01::;wn:valuate%2:31:00::;wn:value%2:31:00::
d001.s002.t016	the		X	n/a	d001.s002.t018	los		X	n/a
d001.s002.t017	studies	study	N	bn:00074790n;wn:study%1:04:00::;wn:survey%1:04:02::	d001.s002.t019	estudios	estudio	N	bn:00074790n;wn:study%1:04:00::;wn:survey%1:04:02::
d001.s002.t018	performed	perform	V	bn:00087107v;wn:do%2:36:01::;wn:execute%2:36:01::;wn:perform%2:36:00::	d001.s002.t020	realizados	realizar	V	bn:00087107v;wn:do%2:36:01::;wn:execute%2:36:01::;wn:perform%2:36:00::
d001.s002.t019	,		X	n/a					n/a
d001.s002.t020	to		X	n/a	d001.s002.t024	a fin de		X	n/a
d001.s002.t021	reach	reach	V	bn:00082226v;bn:00088789v;wn:accomplish%2:41:00::;wn:achieve%2:41:00::;wn:attain%2:41:00::;wn:get_to%2:38:02::;wn:make%2:38:02::;wn:progress_to%2:38:00::;wn:reach%2:38:06::;wn:reach%2:41:00::	d001.s002.t025	emitir	emitir	V	n/a
d001.s002.t022	their		X	n/a	d001.s002.t029	su		X	n/a
d001.s002.t023	recommendations	recommendation	N	bn:00066562n;wn:recommendation%1:10:00::	d001.s002.t027	recomendaciones	recomendación	N	bn:00066562n;wn:recommendation%1:10:00::
d001.s002.t024	on		X	n/a	d001.s002.t028	sobre		X	n/a
d001.s002.t025	how		X	n/a					n/a
d001.s002.t026	to		X	n/a					n/a
d001.s002.t027	use	use	V	bn:00082705v;bn:00089140v;wn:apply%2:34:00::;wn:employ%2:34:00::;wn:habituate%2:34:00::;wn:use%2:34:01::;wn:use%2:34:02::;wn:utilise%2:34:00::;wn:utilize%2:34:00::	d001.s002.t030	uso	uso	N	n/a
d001.s002.t028	the		X	n/a	d001.s002.t022	el		X	n/a
d001.s002.t029	medicine	medicine	N	bn:00054128n;bn:00061887n;wiki:pharmaceutical_drug;wn:medicament%1:06:00::;wn:medication%1:06:00::;wn:medicinal_drug%1:06:00::;wn:medicine%1:06:00::;wn:pharmaceutic%1:06:00::;wn:pharmaceutical%1:06:00::	d001.s002.t023	medicamento	medicamento	N	bn:00054128n;bn:00061887n;wiki:pharmaceutical_drug;wn:medicament%1:06:00::;wn:medication%1:06:00::;wn:medicinal_drug%1:06:00::;wn:medicine%1:06:00::;wn:pharmaceutic%1:06:00::;wn:pharmaceutical%1:06:00::
d001.s002.t030	.		X	n/a	d001.s002.t031	.		X	n/a
d001.s003.t001	If		X	n/a	d001.s003.t001	Si		X	n/a
d001.s003.t002	you		X	n/a					n/a
d001.s003.t003	need	need	V	bn:00091028v;bn:00091029v;wn:need%2:34:00::;wn:need%2:34:01::;wn:require%2:34:00::;wn:want%2:34:00::	d001.s003.t002	desea	desear	V	n/a
d001.s003.t004	more	more	J	bn:00106935a;wn:more%3:00:01::;wn:more_than%3:00:00::	d001.s003.t003	más	más	R	n/a
d001.s003.t005	information	information	N	bn:00025314n;bn:00046705n;wiki:data;wiki:information;wn:data%1:14:00::;wn:information%1:09:00::;wn:information%1:14:00::	d001.s003.t004	información	información	N	bn:00025314n;bn:00046705n;wiki:data;wiki:information;wn:data%1:14:00::;wn:information%1:09:00::;wn:information%1:14:00::
d001.s003.t006	about		X	n/a	d001.s003.t005	sobre		X	n/a
d001.s003.t007	your		X	n/a	d001.s003.t006	su		X	n/a
d001.s003.t008	medical	medical	J	bn:00106555a;wn:medical%3:00:00::					n/a
d001.s003.t009	condition	condition	N	bn:00021648n;wn:condition%1:26:05::	d001.s003.t007	enfermedad	enfermedad	N	n/a
d001.s003.t010	or		X	n/a	d001.s003.t008	o		X	n/a
d001.s003.t011	your		X	n/a					n/a
d001.s003.t012	treatment	treatment	N	bn:00047235n;wn:intervention%1:04:02::;wn:treatment%1:04:00::	d001.s003.t010	tratamiento	tratamiento	N	bn:00047235n;wn:intervention%1:04:02::;wn:treatment%1:04:00::
d001.s003.t013	,		X	n/a	d001.s003.t014	,		X	n/a
d001.s003.t014	read	read	V	bn:00092424v;wn:read%2:31:00::	d001.s003.t018	lea	leer	V	bn:00092424v;wn:read%2:31:00::
d001.s003.t015	the		X	n/a	d001.s003.t019	el		X	n/a
d001.s003.t016	Package	package	N	bn:00013882n;bn:00060109n;wiki:packaging_and_labeling;wiki:parcel_(consignment);wn:bundle%1:14:00::;wn:package%1:06:00::;wn:package%1:14:00::;wn:packet%1:14:00::;wn:parcel%1:06:00::;wn:parcel%1:14:00::	d001.s003.t020	prospecto	prospecto	N	n/a
d001.s003.t017	Leaflet	leaflet	N	bn:00012133n;wiki:folded_leaflet;wiki:pamphlet;wn:booklet%1:10:00::;wn:brochure%1:10:00::;wn:folder%1:10:00::;wn:leaflet%1:10:00::;wn:pamphlet%1:10:01::					n/a
d001.s003.t018	(		X	n/a	d001.s003.t021	(		X	n/a
d001.s003.t019	also	also	R	bn:00114246r;wn:also%4:02:00::;wn:as_well%4:02:01::;wn:besides%4:02:03::;wn:likewise%4:02:01::;wn:too%4:02:01::	d001.s003.t022	incluido	incluir	V	n/a
d001.s003.t020	part	part	N	bn:00021395n;bn:00027912n;wn:component%1:24:00::;wn:component_part%1:24:00::;wn:constituent%1:24:00::;wn:division%1:09:00::;wn:part%1:09:00::;wn:part%1:24:00::;wn:portion%1:24:00::;wn:section%1:09:00::					n/a
d001.s003.t021	of		X	n/a					n/a
d001.s003.t022	the		X	n/a	d001.s003.t024	el		X	n/a
d001.s003.t023	EPAR	epar	N	n/a	d001.s003.t025	EPAR	epar	N	n/a
d001.s003.t024	)		X	n/a	d001.s003.t026	)		X	n/a
d001.s003.t025	or		X	n/a	d001.s003.t027	o		X	n/a
d001.s003.t026	contact	contact	V	bn:00085696v;wn:contact%2:32:00::;wn:get_hold_of%2:32:00::;wn:get_through%2:32:00::;wn:reach%2:32:00::	d001.s003.t028	pregunte	preguntar	V	n/a
d001.s003.t027	your		X	n/a	d001.s003.t030	su		X	n/a
d001.s003.t028	doctor	doctor	N	bn:00027976n;wiki:physician;wn:doc%1:18:00::;wn:doctor%1:18:00::;wn:dr.%1:18:00::;wn:md%1:18:00::;wn:medico%1:18:00::;wn:physician%1:18:00::	d001.s003.t031	médico	médico	N	bn:00027976n;wiki:physician;wn:doc%1:18:00::;wn:doctor%1:18:00::;wn:dr.%1:18:00::;wn:md%1:18:00::;wn:medico%1:18:00::;wn:physician%1:18:00::
d001.s003.t029	or		X	n/a	d001.s003.t032	o		X	n/a
d001.s003.t030	pharmacist	pharmacist	N	bn:00004992n;wiki:apothecary;wiki:pharmacist;wn:apothecary%1:18:00::;wn:chemist%1:18:01::;wn:druggist%1:18:00::;wn:pharmacist%1:18:00::;wn:pill_pusher%1:18:00::;wn:pill_roller%1:18:00::	d001.s003.t034	farmacéutico	farmacéutico	N	bn:00004992n;wiki:apothecary;wiki:pharmacist;wn:apothecary%1:18:00::;wn:chemist%1:18:01::;wn:druggist%1:18:00::;wn:pharmacist%1:18:00::;wn:pill_pusher%1:18:00::;wn:pill_roller%1:18:00::
d001.s003.t031	.		X	n/a	d001.s003.t035	.		X	n/a
d001.s004.t001	If		X	n/a	d001.s004.t001	Si		X	n/a
d001.s004.t002	you		X	n/a					n/a
d001.s004.t003	want	want	V	bn:00086682v;wn:desire%2:37:00::;wn:want%2:37:00::	d001.s004.t002	desea	desear	V	bn:00086682v;wn:desire%2:37:00::;wn:want%2:37:00::
d001.s004.t004	more	more	J	bn:00106935a;wn:more%3:00:01::;wn:more_than%3:00:00::	d001.s004.t003	más	más	R	n/a
d001.s004.t005	information	information	N	bn:00025314n;bn:00046705n;wiki:data;wiki:information;wn:data%1:14:00::;wn:information%1:09:00::;wn:information%1:14:00::	d001.s004.t004	información	información	N	bn:00025314n;bn:00046705n;wiki:data;wiki:information;wn:data%1:14:00::;wn:information%1:09:00::;wn:information%1:14:00::
d001.s004.t006	on		X	n/a	d001.s004.t005	sobre		X	n/a
d001.s004.t007	the		X	n/a	d001.s004.t006	el		X	n/a
d001.s004.t008	basis	basis	N	bn:00008786n;bn:00008870n;wn:base%1:09:00::;wn:basis%1:09:00::;wn:basis%1:24:00::;wn:cornerstone%1:09:00::;wn:footing%1:24:00::;wn:foundation%1:09:00::;wn:fundament%1:09:00::;wn:ground%1:24:00::;wn:groundwork%1:09:00::	d001.s004.t007	fundamento	fundamento	N	bn:00008786n;bn:00008870n;wn:base%1:09:00::;wn:basis%1:09:00::;wn:basis%1:24:00::;wn:cornerstone%1:09:00::;wn:footing%1:24:00::;wn:foundation%1:09:00::;wn:fundament%1:09:00::;wn:ground%1:24:00::;wn:groundwork%1:09:00::
d001.s004.t009	of		X	n/a					n/a
d001.s004.t010	the		X	n/a					n/a
d001.s004.t011	CHMP	chmp	N	n/a	d001.s004.t017	CHMP	chmp	N	n/a
d001.s004.t012	recommendations	recommendation	N	bn:00066562n;wn:recommendation%1:10:00::	d001.s004.t015	recomendaciones	recomendación	N	bn:00066562n;wn:recommendation%1:10:00::
d001.s004.t013	,		X	n/a	d001.s004.t018	,		X	n/a
d001.s004.t014	read	read	V	bn:00092424v;wn:read%2:31:00::	d001.s004.t022	lea	leer	V	bn:00092424v;wn:read%2:31:00::
d001.s004.t015	the		X	n/a	d001.s004.t023	el		X	n/a
d001.s004.t016	Scientific	scientific	J	bn:00110175a;bn:00110176a;wn:scientific%3:00:00::;wn:scientific%3:01:00::					n/a
d001.s004.t017	Discussion	discussion	N	bn:00027523n;wiki:discourse;wn:discourse%1:10:00::;wn:discussion%1:10:02::;wn:treatment%1:10:00::	d001.s004.t024	Debate	debate	N	bn:00027523n;wiki:discourse;wn:discourse%1:10:00::;wn:discussion%1:10:02::;wn:treatment%1:10:00::
d001.s004.t018	(		X	n/a	d001.s004.t026	(		X	n/a
d001.s004.t019	also	also	R	bn:00114246r;wn:also%4:02:00::;wn:as_well%4:02:01::;wn:besides%4:02:03::;wn:likewise%4:02:01::;wn:too%4:02:01::	d001.s004.t027	también	también	R	bn:00114246r;wn:also%4:02:00::;wn:as_well%4:02:01::;wn:besides%4:02:03::;wn:likewise%4:02:01::;wn:too%4:02:01::
d001.s004.t020	part	part	N	bn:00021395n;bn:00027912n;wn:component%1:24:00::;wn:component_part%1:24:00::;wn:constituent%1:24:00::;wn:division%1:09:00::;wn:part%1:09:00::;wn:part%1:24:00::;wn:portion%1:24:00::;wn:section%1:09:00::					n/a
d001.s004.t021	of		X	n/a					n/a
d001.s004.t022	the		X	n/a	d001.s004.t030	el		X	n/a
d001.s004.t023	EPAR	epar	N	n/a	d001.s004.t031	EPAR	epar	N	n/a
d001.s004.t024	)		X	n/a	d001.s004.t032	)		X	n/a
d001.s004.t025	.		X	n/a	d001.s004.t033	.		X	n/a
d001.s005.t001	What		X	n/a	d001.s005.t001	¿Qué		X	n/a
d001.s005.t002	is	be	V	n/a	d001.s005.t002	es	ser	V	n/a
d001.s005.t003	Alimta	alimta	N	n/a	d001.s005.t003	Alimta	alimta	N	n/a
d001.s005.t004	?		X	n/a	d001.s005.t004	?		X	n/a
d001.s006.t001	Alimta	alimta	N	n/a	d001.s006.t001	Alimta	alimta	N	n/a
d001.s006.t002	is	be	V	n/a	d001.s006.t002	es	ser	V	n/a
d001.s006.t003	a		X	n/a	d001.s006.t003	un		X	n/a
d001.s006.t004	powder	powder	N	bn:00063926n;bn:00063927n;wiki:powder_(substance);wn:powder%1:06:01::;wn:powder%1:27:00::;wn:pulverisation%1:27:00::;wn:pulverization%1:27:00::					n/a
d001.s006.t005	that		X	n/a	d001.s006.t007	que		X	n/a
d001.s006.t006	is	be	V	n/a					n/a
d001.s006.t007	made up	make up	V	bn:00083187v;wn:be%2:42:02::;wn:comprise%2:42:03::;wn:constitute%2:42:00::;wn:make_up%2:42:00::;wn:represent%2:42:00::	d001.s006.t009	prepara	preparar	V	n/a
d001.s006.t008	into		X	n/a					n/a
d001.s006.t009	a		X	n/a	d001.s006.t010	una		X	n/a
d001.s006.t010	solution	solution	N	bn:00072760n;wiki:solution;wn:solution%1:27:00::	d001.s006.t011	solución	solución	N	bn:00072760n;wiki:solution;wn:solution%1:27:00::
d001.s006.t011	for		X	n/a	d001.s006.t012	para		X	n/a
d001.s006.t012	infusion	infusion	N	bn:00046734n;wn:infusion%1:04:00::	d001.s006.t013	perfusión	perfusión	N	n/a
d001.s006.t013	(		X	n/a	d001.s006.t014	(		X	n/a
d001.s006.t014	drip	drip	V	bn:00087306v;wn:dribble%2:35:10::;wn:drip%2:35:10::;wn:drop%2:35:12::	d001.s006.t015	goteo	goteo	N	n/a
d001.s006.t015	into		X	n/a	d001.s006.t016	en		X	n/a
d001.s006.t016	a		X	n/a					n/a
d001.s006.t017	vein	vein	N	bn:00079681n;wiki:vein;wn:vein%1:08:00::;wn:vena%1:08:00::;wn:venous_blood_vessel%1:08:00::	d001.s006.t017	vena	vena	N	bn:00079681n;wiki:vein;wn:vein%1:08:00::;wn:vena%1:08:00::;wn:venous_blood_vessel%1:08:00::
d001.s006.t018	)		X	n/a	d001.s006.t018	)		X	n/a
d001.s006.t019	.		X	n/a	d001.s006.t019	.		X	n/a
d001.s007.t001	It		X	n/a					n/a
d001.s007.t002	contains	contain	V	bn:00085499v;wn:comprise%2:42:00::;wn:contain%2:42:00::;wn:incorporate%2:42:00::	d001.s007.t001	Contiene	contener	V	bn:00085499v;wn:comprise%2:42:00::;wn:contain%2:42:00::;wn:incorporate%2:42:00::
d001.s007.t003	the		X	n/a	d001.s007.t002	el		X	n/a
d001.s007.t004	active	active	J	bn:00377649n;wiki:active_ingredient	d001.s007.t004	activo	activo	J	n/a
d001.s007.t005	substance	substance	N	bn:00074986n;bn:00074987n;wn:substance%1:03:01::;wn:substance%1:27:00::					n/a
d001.s007.t006	pemetrexed	pemetrexed	N	n/a	d001.s007.t005	pemetrexed	pemetrexed	N	n/a
d001.s007.t007	.		X	n/a	d001.s007.t006	.		X	n/a
d001.s008.t001	What		X	n/a	d001.s008.t002	qué		X	n/a
d001.s008.t002	is	be	V	n/a					n/a
d001.s008.t003	Alimta	alimta	N	n/a	d001.s008.t005	Alimta	alimta	N	n/a
d001.s008.t004	used	use	V	bn:00082705v;bn:00089140v;wn:apply%2:34:00::;wn:employ%2:34:00::;wn:habituate%2:34:00::;wn:use%2:34:01::;wn:use%2:34:02::;wn:utilise%2:34:00::;wn:utilize%2:34:00::	d001.s008.t004	utiliza	utilizar	V	bn:00082705v;bn:00089140v;wn:apply%2:34:00::;wn:employ%2:34:00::;wn:habituate%2:34:00::;wn:use%2:34:01::;wn:use%2:34:02::;wn:utilise%2:34:00::;wn:utilize%2:34:00::
d001.s008.t005	for		X	n/a					n/a
d001.s008.t006	?		X	n/a	d001.s008.t006	?		X	n/a
d001.s009.t001	Alimta	alimta	N	n/a	d001.s009.t001	Alimta	alimta	N	n/a
d001.s009.t002	is	be	V	n/a	d001.s009.t002	está	estar	V	n/a
d001.s009.t003	used	use	V	bn:00082705v;bn:00089140v;wn:apply%2:34:00::;wn:employ%2:34:00::;wn:habituate%2:34:00::;wn:use%2:34:01::;wn:use%2:34:02::;wn:utilise%2:34:00::;wn:utilize%2:34:00::	d001.s009.t003	indicado	indicar	V	n/a
d001.s009.t004	to		X	n/a	d001.s009.t004	para		X	n/a
d001.s009.t005	treat	treat	V	bn:00084532v;wn:care_for%2:29:00::;wn:treat%2:29:00::	d001.s009.t006	tratamiento	tratamiento	N	n/a
d001.s009.t006	two		X	n/a	d001.s009.t008	dos		X	n/a
d001.s009.t007	types	type	N	bn:00078798n;wn:type%1:09:00::	d001.s009.t009	tipos	tipo	N	bn:00078798n;wn:type%1:09:00::
d001.s009.t008	of		X	n/a	d001.s009.t010	de		X	n/a
d001.s009.t009	cancer	cancer	N	bn:00015180n;wiki:cancer;wn:cancer%1:26:00::;wn:malignant_neoplastic_disease%1:26:00::	d001.s009.t011	cáncer	cáncer	N	bn:00015180n;wiki:cancer;wn:cancer%1:26:00::;wn:malignant_neoplastic_disease%1:26:00::
d001.s009.t010	:		X	n/a	d001.s009.t012	:		X	n/a
d001.s009.t011	pleural	pleural	J	bn:00108692a;wn:pleural%3:01:00::	d001.s009.t014	pleural	pleural	J	bn:00108692a;wn:pleural%3:01:00::
d001.s009.t012	mesothelioma	mesothelioma	N	bn:00054512n;wiki:mesothelioma;wn:mesothelioma%1:26:00::	d001.s009.t013	mesotelioma	mesotelioma	N	bn:00054512n;wiki:mesothelioma;wn:mesothelioma%1:26:00::
d001.s009.t013	(		X	n/a	d001.s009.t015	(		X	n/a
d001.s009.t014	cancer	cancer	N	bn:00015180n;wiki:cancer;wn:cancer%1:26:00::;wn:malignant_neoplastic_disease%1:26:00::	d001.s009.t016	cáncer	cáncer	N	bn:00015180n;wiki:cancer;wn:cancer%1:26:00::;wn:malignant_neoplastic_disease%1:26:00::
d001.s009.t015	of		X	n/a	d001.s009.t017	del		X	n/a
d001.s009.t016	the		X	n/a					n/a
d001.s009.t017	lining	lining	N	bn:00051366n;wn:liner%1:06:02::;wn:lining%1:06:00::	d001.s009.t018	revestimiento	revestimiento	N	n/a
d001.s009.t018	of		X	n/a	d001.s009.t019	de		X	n/a
d001.s009.t019	the		X	n/a	d001.s009.t020	los		X	n/a
d001.s009.t020	lungs	lung	N	bn:00052341n;wiki:lung;wn:lung%1:08:00::	d001.s009.t021	pulmones	pulmón	N	bn:00052341n;wiki:lung;wn:lung%1:08:00::
d001.s009.t021	that		X	n/a					n/a
d001.s009.t022	is	be	V	n/a					n/a
d001.s009.t023	usually	usually	R	bn:00114778r;wn:commonly%4:02:00::;wn:normally%4:02:00::;wn:ordinarily%4:02:00::;wn:unremarkably%4:02:00::;wn:usually%4:02:00::	d001.s009.t023	generalmente	generalmente	R	bn:00114778r;wn:commonly%4:02:00::;wn:normally%4:02:00::;wn:ordinarily%4:02:00::;wn:unremarkably%4:02:00::;wn:usually%4:02:00::
d001.s009.t024	caused	cause	V	bn:00084069v;bn:00084699v;wn:bring_about%2:36:03::;wn:cause%2:36:00::;wn:do%2:36:02::;wn:give_rise%2:36:01::;wn:make%2:36:08::;wn:produce%2:36:03::	d001.s009.t022	causado	causar	V	bn:00084069v;bn:00084699v;wn:bring_about%2:36:03::;wn:cause%2:36:00::;wn:do%2:36:02::;wn:give_rise%2:36:01::;wn:make%2:36:08::;wn:produce%2:36:03::
d001.s009.t025	by		X	n/a	d001.s009.t024	por		X	n/a
d001.s009.t026	exposure	exposure	N	bn:00032379n;bn:00032384n;wn:exposure%1:04:01::;wn:exposure%1:26:01::;wn:vulnerability%1:26:00::	d001.s009.t026	exposición	exposición	N	bn:00032379n;bn:00032384n;wn:exposure%1:04:01::;wn:exposure%1:26:01::;wn:vulnerability%1:26:00::
d001.s009.t027	to		X	n/a	d001.s009.t027	al		X	n/a
d001.s009.t028	asbestos	asbestos	N	bn:00006236n;wiki:asbestos;wn:asbestos%1:27:00::	d001.s009.t028	amianto	amianto	N	bn:00006236n;wiki:asbestos;wn:asbestos%1:27:00::
d001.s009.t029	)		X	n/a	d001.s009.t029	)		X	n/a
d001.s009.t030	.		X	n/a	d001.s009.t030	.		X	n/a
d001.s010.t001	Alimta	alimta	N	n/a	d001.s010.t001	Alimta	alimta	N	n/a
d001.s010.t002	is	be	V	n/a	d001.s010.t002	se		X	n/a
d001.s010.t003	used	use	V	bn:00082705v;bn:00089140v;wn:apply%2:34:00::;wn:employ%2:34:00::;wn:habituate%2:34:00::;wn:use%2:34:01::;wn:use%2:34:02::;wn:utilise%2:34:00::;wn:utilize%2:34:00::	d001.s010.t003	administra	administrar	V	n/a
d001.s010.t004	together	together	R	bn:00114766r;wn:collectively%4:02:00::;wn:conjointly%4:02:00::;wn:jointly%4:02:00::;wn:together_with%4:02:00::	d001.s010.t005	combinación	combinación	N	n/a
d001.s010.t005	with		X	n/a	d001.s010.t006	con		X	n/a
d001.s010.t006	cisplatin	cisplatin	N	bn:00577781n;wiki:cisplatin	d001.s010.t007	cisplatino	cisplatino	N	bn:00577781n;wiki:cisplatin
d001.s010.t007	(		X	n/a	d001.s010.t008	(		X	n/a
d001.s010.t008	another		X	n/a	d001.s010.t009	otro		X	n/a
d001.s010.t009	anticancer	anticancer	J	bn:00097220a;wn:anticancer%3:01:00::;wn:antineoplastic%3:01:00::;wn:antitumor%3:01:00::;wn:antitumour%3:01:00::	d001.s010.t011	contra		X	n/a
d001.s010.t010	medicine	medicine	N	bn:00054128n;bn:00061887n;wiki:pharmaceutical_drug;wn:medicament%1:06:00::;wn:medication%1:06:00::;wn:medicinal_drug%1:06:00::;wn:medicine%1:06:00::;wn:pharmaceutic%1:06:00::;wn:pharmaceutical%1:06:00::	d001.s010.t010	medicamento	medicamento	N	bn:00054128n;bn:00061887n;wiki:pharmaceutical_drug;wn:medicament%1:06:00::;wn:medication%1:06:00::;wn:medicinal_drug%1:06:00::;wn:medicine%1:06:00::;wn:pharmaceutic%1:06:00::;wn:pharmaceutical%1:06:00::
d001.s010.t011	)		X	n/a	d001.s010.t014	)		X	n/a
d001.s010.t012	when		X	n/a	d001.s010.t015	cuando		X	n/a
d001.s010.t013	the		X	n/a	d001.s010.t016	el		X	n/a
d001.s010.t014	cancer	cancer	N	bn:00015180n;wiki:cancer;wn:cancer%1:26:00::;wn:malignant_neoplastic_disease%1:26:00::	d001.s010.t013	cáncer	cáncer	N	bn:00015180n;wiki:cancer;wn:cancer%1:26:00::;wn:malignant_neoplastic_disease%1:26:00::
d001.s010.t015	is	be	V	n/a	d001.s010.t020	es	ser	V	n/a
d001.s010.t016	unresectable	unresectable	J	n/a	d001.s010.t021	resecable	resecable	J	n/a
d001.s010.t017	(		X	n/a	d001.s010.t023	(		X	n/a
d001.s010.t018	cannot		X	n/a	d001.s010.t025	puede	poder	V	n/a
d001.s010.t019	be	be	V	n/a					n/a
d001.s010.t020	removed	remove	V	bn:00092783v;wn:remove%2:30:00::;wn:take%2:30:00::;wn:take_away%2:30:01::;wn:withdraw%2:30:01::					n/a
d001.s010.t021	by		X	n/a	d001.s010.t028	mediante		X	n/a
d001.s010.t022	surgery	surgery	N	bn:00059129n;wiki:surgery;wn:operation%1:04:00::;wn:surgery%1:04:01::;wn:surgical_operation%1:04:00::;wn:surgical_procedure%1:04:00::;wn:surgical_process%1:04:00::	d001.s010.t029	cirugía	cirugía	N	bn:00059129n;wiki:surgery;wn:operation%1:04:00::;wn:surgery%1:04:01::;wn:surgical_operation%1:04:00::;wn:surgical_procedure%1:04:00::;wn:surgical_process%1:04:00::
d001.s010.t023	alone	alone	J	bn:00096871a;wn:alone%5:00:00:exclusive:00;wn:only%5:00:00:exclusive:00	d001.s010.t027	sólo	sólo	R	n/a
d001.s010.t024	)		X	n/a	d001.s010.t030	)		X	n/a
d001.s010.t025	and		X	n/a	d001.s010.t031	y		X	n/a
d001.s010.t026	malignant	malignant	J	bn:00106363a;wn:malignant%3:00:02::	d001.s010.t034	maligno	maligno	J	bn:00106363a;wn:malignant%3:00:02::
d001.s010.t027	(		X	n/a	d001.s010.t036	(		X	n/a
d001.s010.t028	has	have	V	n/a	d001.s010.t038	ha	haber	V	n/a
