ID	Sentence	English-Spanish Alignment
d001.s044	He basado la sintaxis en el sentido común , por lo que debería ser asequible para todos .	0-0 2-1 3-2 4-3 6-4 7-7 8-6 9-8 11-12 13-13 14-14 15-15 16-16 17-17
d001.s045	He tenido también en cuenta las sintaxis de Maxima y Maple , por lo que es muy similar a estas . + - * / : suma , resta , multiplicación y división . ^ , ** : potencia , puede usar cualquiera de las dos formas .	0-0 2-1 4-18 5-8 6-9 7-10 9-6 10-13 11-19 13-16 14-17 15-20 16-21 17-22 18-23 19-24 20-25 22-27 24-27 24-29 25-30 26-31 27-32 28-33 29-34 30-35 31-36 32-37 33-38 34-39 36-40 37-41 39-45 40-47
d001.s046	Asimismo , puede usar los caracteres unicode ² .	0-0 3-2 5-3 6-4 7-6 8-7 9-5 10-8
d001.s047	Las potencias son también una forma de expresar raíces . -gt : Permite especificar la variable limitada en una función . ( ) : se usa para especificar una prioridad mayor . abc(parámetros) : Cuando el analizador sintáctico encuentra una función , comprueba si « abc » es un operador .	0-1 1-2 2-4 3-5 4-6 5-7 6-8 7-3 8-9 9-10 10-11 11-12 16-13 17-14 19-15 20-17 21-18 22-19 23-20 24-21 25-22 26-23 29-25 30-26 31-27 32-28 33-30 34-29 35-31 36-32 37-33 38-34 39-35 41-38 42-39 43-40 44-41 46-42 47-43 48-45 49-47 50-48 51-49 52-50
d001.s048	Si lo es , lo trata como un operador si no lo es , lo trata como una función de usuario . : = : Se usa para definir el valor de una variable . ? : definición de condiciones en funciones definidas a trozos ( « piecewise » ) .	0-0 2-2 3-3 4-4 7-5 8-6 9-7 10-8 12-9 14-12 15-10 16-13 17-14 20-15 21-16 22-17 23-20 24-18 25-21 26-22 27-23 28-24 31-26 32-27 33-28 34-32 35-33 36-30 37-34 38-35 39-36 40-47 41-39 42-37 43-50
d001.s049	Permite definir operaciones condicionales en kalgebra .	6-1 7-3 8-2 9-4 10-5 11-6
d001.s050	Cuando introducimos la condición antes del símbolo « ? » , kalgebra utiliza esta condición solo si es verdadera en cambio , si encuentra un símbolo « ? » sin ninguna condición , toma en cuenta el último caso . { } : Puede usarse para definir un contenedor .	0-0 1-1 2-1 3-2 4-3 5-4 7-8 10-12 11-13 12-14 13-15 14-16 16-17 17-18 18-20 19-21 21-22 22-23 23-26 24-28 25-29 26-30 27-31 31-19 32-35 33-36 34-37 35-38 36-39 37-40 38-41 43-42 44-43 45-43 46-44 47-45 48-46 49-47 50-48
d001.s051	Es muy útil a la hora de trabajar con funciones definidas a trozos .	1-2 2-3 3-7 4-8 6-13
d001.s052	Ahora puede preguntarme por qué debería el usuario preocuparse por MathML . La respuesta es fácil . Con esto podremos realizar operaciones con funciones como cos() , sin() ( o cualquier otra función trigonométrica ) , sum() o product() .	0-0 2-1 3-2 4-2 6-3 7-4 8-5 9-6 10-7 11-8 12-9 15-13 16-14 17-15 18-16 19-17 22-18 23-19 24-21 25-22 26-23 27-24 28-25 29-26 31-29 32-30 33-32 34-31 35-34 36-35 37-36 38-37 39-38
d001.s053	No importa el tipo de función que sea .	2-0 3-1 4-2 5-3 7-7 8-8
d001.s054	Podremos usar plus() , times() y cualquier cosa a la que le corresponda un operador . La consola de kalgebra es tan útil como una calculadora .	0-0 1-0 2-1 3-2 4-3 5-4 6-5 7-7 11-12 12-13 13-17 15-15 16-18 17-20 18-21 19-22 20-23 21-24
d001.s055	Aquí tiene una lista de las variables declaradas .	0-0 2-1 3-2 4-3 5-4 6-5 7-7 8-6 9-8
d001.s056	Si pulsa dos veces sobre una de ellas , le aparecerá un diálogo con el que podrá cambiar su valor ( es una forma de engañar al registro ) .	0-0 1-2 2-1 2-25 3-4 4-7 6-10 7-10 8-11 9-12 10-15 13-17 14-18 15-19 16-20 18-22 19-23 21-25 23-27 24-28 25-29
d001.s057	Cada vez que introduzca una expresión , el valor de la variable « ans » cambiará para reproducir el último resultado .	0-0 1-0 2-0 3-1 4-2 5-3 6-4 7-5 8-10 9-11 10-12 11-9 12-6 13-13 14-15 15-13 16-14 17-16 18-17 19-18 20-19
d001.s058	Ctrl N Nuevo	1-1 3-2
d001.s059	Refresca el registro .	0-0 1-1 2-2 3-3
d001.s060	Ctrl L Cargar un guión	0-0 1-1 2-2
d001.s061	Ejecuta las instrucciones en una archivo de forma secuencial .	0-0 1-1 2-2 3-3 4-4 5-5 6-8 7-9
d001.s062	Es útil si lo que desea es definir una biblioteca o reanudar un trabajo anterior .	0-1 1-2 3-5 5-7 6-8 7-9 8-10 11-14 12-13 13-15
d001.s063	Ctrl G Guardar el guión	0-0 1-1 3-4
d001.s064	Guarda las intrucciones que ha introducido desde que comenzó la sesión , con lo que podrá reutilizarlas .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-9 8-10 9-8 12-15 14-16 15-17
d001.s065	Genera un archivo de texto que podrá corregir usando cualquier editor de texto , por ejemplo Kate .	0-0 1-4 2-2 7-6 8-5 9-7 10-8 11-9 12-12 13-10 14-13 15-14 16-15 17-16
d001.s066	Ctrl S Guardar el registro	0-0 1-1 3-4
d001.s067	Guarda el registro con todos los resultados en un archivo HTML que podrá imprimir o publicar .	0-0 1-1 2-2 3-3 4-4 5-6 6-7 7-8 8-10 9-9 12-12 13-11 14-13 15-14 16-15 17-16
d001.s068	Ctrl Q Salir	0-0 1-1 2-2
d001.s069	Cierra el programa .	1-1 2-2 4-3
d001.s070	Para añadir un gráfica 2D en kalgebra , lo que tiene que hacer es ir a la pestaña Gráfica 2D y aquí pulsar la pestaña Añadir , que le permitirá añadir una nueva función .	0-0 1-1 2-2 4-4 5-3 6-5 7-6 8-7 9-8 11-10 12-10 13-11 14-12 16-13 17-14 18-15 19-18 20-17 21-16 22-19 23-21 25-22 26-24 27-23 29-29 31-31 32-32 33-33
d001.s071	A continuación tendrá dirigirse al cuadro de texto de entrada , donde podrá introducir su función .	0-1 4-3 5-4 7-9 8-7 9-5 10-11 12-12 13-13 14-14 15-15 16-16
d001.s072	Si quiere usar una función f(x) típica , no es necesario que la especifique .	0-0 2-1 4-2 5-3 6-6 7-5 8-4 10-9 11-8 12-10 13-11 14-13 15-12 16-14
d001.s073	Después de haber introducido la función , pulse el botón Aceptar para dibujar la gráfica en la ventana principal .	0-0 2-1 3-2 4-3 5-4 6-6 8-7 9-9 10-8 11-10 12-11 13-12 14-13 15-14 16-15 17-17 18-16 19-18
d001.s074	Es posible dibujar varias gráficas en la misma vista .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9
d001.s075	Para esto use simplemente el botón Añadir cuando se encuentre en el modo Lista .	0-3 1-2 2-4 3-6 4-5 5-7 8-10 9-13 10-12 11-14
d001.s076	Puede ajustar el color de cada gráfica .	1-0 2-1 3-5 7-3 8-7
d001.s077	La Fundación ha intervenido recientemente en la organización de una conferencia sobre este decisivo reto .	0-0 1-1 2-2 3-4 4-3 5-3 6-5 7-7 8-9 9-10 12-11 13-12 14-13 15-14 16-15
d001.s078	Asistieron más de 100 participantes en representación de los principales grupos de interés , los cuales discutieron cuestiones tales como el papel de los principales agentes , entre ellos , las autoridades públicas , los interlocutores sociales y las organizaciones comunitarias y de voluntarios , además de los propios usuarios .	0-1 1-3 2-4 4-8 5-9 6-12 7-10 10-16 11-17 12-18 13-19 14-20 15-21 16-22 17-24 18-25 18-35 19-28 20-32 21-31 23-36 25-33 26-43 27-41 29-39 31-45 32-46 34-49 35-50
d001.s079	Se llegó a la conclusión de que es necesario adoptar un enfoque más global que tenga en cuenta que los usuarios no se sirven de esos servicios de forma aislada , sino como parte de su vida cotidiana .	0-0 1-7 3-19 6-5 8-10 9-11 10-18 14-29 15-33 17-22 18-24 24-12 26-28 26-36
d001.s080	Se tomó nota también de la diversidad de funciones que desempeñan estos servicios	0-2 1-1 2-3 3-1 4-4 5-5 6-6 7-7 9-8 9-10 10-10 13-12
d001.s081	"La Fundación organizó , junto con la Comisión Europea , el Ministerio español de Asuntos Sociales y la Comunidad Autónoma de Galicia , una conferencia europea sobre el tema "" Exclusión social : Un gran reto para los servicios públicos de protección social "" ."	0-0 1-1 2-2 3-3 4-4 5-4 6-5 7-7 8-6 9-8 10-9 11-11 12-10 13-12 14-14 16-15 17-16 18-20 19-17 21-21 22-22 23-24 24-23 25-25 26-30 27-29 28-31 29-32 30-33 31-34 32-35 33-38 35-37 36-43
d001.s082	La Fundación publicó recientemente en el marco del proyecto EPOC un estudio comparativo en el que se evalúa hasta qué punto la participación directa puede humanizar el trabajo e incrementar al mismo tiempo la rentabilidad .	0-0 1-1 2-3 3-2 4-10 5-12 6-11 7-4 8-6 10-7 11-9 12-8 13-15 14-17 15-31 17-18 18-19 19-23 20-22 21-24 22-25 23-27 25-29 26-32 27-33
d001.s083	El estudio se basa en 195 entrevistas personales con altos responsables de los interlocutores sociales , en su calidad de representantes de importantes organizaciones nacionales de 15 países europeos .	0-0 1-1 2-2 3-3 4-4 5-5 6-7 7-6 8-8 9-9 10-10 10-13 11-11 12-12 13-14 14-13 16-20 17-21 18-24 21-23 23-26 24-28 25-27 26-29
d001.s084	La industria del metal y el sector bancario se incluyeron también en atención a su importancia .	1-15 5-0 6-3 7-1 8-4 9-5 10-7 11-6 12-9 13-10 14-9 15-16
d001.s085	Los principales oradores en la conferencia sobre exclusión socialfueron ( de izquierda a derecha ) Cristina Louro , Dirección General de Empleo , Relaciones Laborales y Asuntos Sociales de la Comisión Europea Fernando Gomes , Comité de las Regiones Barbara Weiler , diputada al Parlamento Europeo José María Gil-Robles Gil-Delgado , Vicepresidente , Parlamento Europeo , John Carroll Comité Económico y Social	0-1 1-2 2-3 3-4 4-8 5-7 6-5 7-8 8-9 9-11 10-12 11-13 12-14 13-15 14-16 15-17 16-21 17-22 18-24 19-23 20-25 21-27 23-18 24-22 25-31 26-30 27-32 28-33 29-34 34-35 35-36 36-37 37-38 38-39 39-40 40-41 41-42 43-29 44-45 45-44 46-46 47-47 48-48 49-50 50-51 51-52 52-54 53-53 55-56 56-57 58-59 59-60 60-61 61-58
d001.s086	En cada informe nacional se incluyen las 25 o 30 iniciativas que mejor reflejan prácticas y políticas de mejora de la contratación , la formación y el desarrollo profesional de los trabajadores mayores en el lugar de trabajo y a nivel de la comunidad .	2-1 3-3 4-2 5-5 10-7 11-8 12-9 13-10 14-11 15-12 16-13 17-16 18-15 20-17 21-18 22-23 23-21 24-22 25-24 26-25 27-27 28-29 30-31 31-33 33-34 34-37 35-35 36-38 37-40 38-41 39-42
d001.s087	Se seleccionaron dos o tres iniciativas por cada país , para que fueran objeto de un estudio de caso detallado .	0-6 1-7 2-8 3-9 4-2 5-3 6-4 7-5 8-1 10-1 11-10 13-14 14-19 15-18 16-16 17-20
d001.s088	En estos estudios de caso se han analizado el contexto de esas iniciativas y sus repercusiones en las pautas de empleo y en las organizaciones , y se han evaluado las ventajas y problemas derivados de las mismas .	0-1 1-4 2-2 3-7 4-8 5-9 6-10 8-12 9-13 10-14 11-15 12-16 13-20 14-18 15-21 17-24 18-26 19-29 20-30 21-31 22-32 23-33 27-25 27-38
d001.s089	Se han realizado además visitas y entrevistas a miembros clave del personal .	0-4 1-5 2-6 3-7 4-9 5-11 6-1 7-3 9-12
d001.s090	Estos estudios nacionales constituirán la liase de un informe europeo en el que se resumirán las prácticas generales .	0-0 1-2 2-1 3-3 4-3 5-15 7-6 8-7 9-9 10-8 11-12 12-14 13-17 14-16 14-17 15-18
d001.s091	El informe y un repertorio de iniciativas se publicarán en 1996 , y servirán de telón de fondo a una conferencia que se celebrará el próximo otoño .	0-0 1-1 2-2 3-3 5-4 6-5 7-6 8-8 9-7 10-8 11-9 12-10 13-12 14-13 16-17 18-19 19-20 20-21 24-26 27-27
d001.s092	La Fundación se propone documentar las características de los obstáculos relacionados con la edad en materia de contratación y formación , y analizar sus causas .	0-0 1-1 2-3 4-4 5-5 6-6 7-7 8-13 9-9 10-14 12-17 13-18 14-19 15-21 17-22 18-23 19-24 20-25
d001.s093	Está examinando asimismo los puntos de vista de los interlocutores sociales , prestando especial atención a las propuestas para eliminar dichos obstáculos .	0-3 1-4 2-7 3-8 4-10 5-9 6-0 7-2 9-1 10-11 12-13 13-14 15-15 16-17 17-18 18-19 20-21 21-22
d001.s094	En tercer lugar , el proyecto documenta y evalúa las iniciativas de los sectores público y privado para combatir estas limitaciones , especialmente en relación con los trabajadores mayores .	0-1 0-2 1-3 2-4 3-5 4-6 5-7 6-8 7-10 9-23 11-12 12-14 13-15 14-16 15-13 17-18 19-20 20-21 21-22 22-23 23-26 24-25 25-27
d001.s095	El proyecto , que busca alternativas a la jubilación anticipada y al despido , se ocupa ante todo de la retención , la reintegración y la reconversión profesional de los trabajadores mayores .	0-4 1-5 2-6 3-9 4-8 5-10 7-13 8-0 9-1 10-14 11-16 12-15 13-18 14-19 16-21 17-23 18-24 20-28 21-31 22-30 23-32
d001.s096	Estudia asimismo liasta qué punto influyen el sexo y la raza de los trabajadores en la discriminación por razón de la edad .	0-6 1-7 2-8 4-10 5-11 6-13 8-3 10-5 11-14 12-21 13-16 15-0 16-22
d001.s097	El proyecto tiene en cuenta , por otra paite , las iniciativas para luchar contra esta clase de discriminación en las zonas rurales y en las pequeñas y medianas empresas .	0-0 1-1 3-2 4-10 4-11 5-12 6-13 8-18 9-19 10-22 11-21 12-23 13-24 14-26 15-27 16-28 17-28 18-22 18-29 19-30
d001.s098	Siete Estados miembros se incluyen en el proyecto : Alemania , Bélgica , Francia , Grecia , Italia , Países Bajos y Reino Unido .	0-0 1-2 2-1 3-4 4-4 6-6 7-7 8-8 10-10 11-13 13-9 14-12 15-15 16-14 17-17 18-16 21-20 23-21 24-21 25-22
d001.s099	Resumen del EPAR para el público general En el presente documento se resume el Informe Público Europeo de Evaluación , y se explica cómo la evaluación del Comité de Medicamentos de Uso Veterinario ( CVMP ) , efectuada a partir de los estudios existentes , ha llevado a las recomendaciones sobre las condiciones de uso del medicamento .	0-9 1-10 2-0 3-8 5-1 6-13 7-16 8-15 9-18 10-14 11-19 13-22 14-23 16-27 17-17 19-29 20-3 21-32 22-31 23-33 24-34 25-35 26-25 26-37 28-40 29-37 30-19 31-45 34-47 35-48 38-52 40-54 41-55
d001.s100	¿Qué es Cerenia ?	0-0 1-1 2-2 3-3
d001.s101	Cerenia contiene el principio activo maropitant y se presenta en forma de comprimidos o de solución inyectables .	0-0 1-1 2-2 3-4 5-5 6-6 7-7 8-8 11-13 13-15 14-14 16-17
d001.s102	Los comprimidos son de color naranja claro y tienen una ranura en ambas caras , lo que permite dividirlos por la mitad .	0-0 1-1 2-2 3-5 3-6 4-7 5-8 6-9 8-10 9-11 10-12 11-13 14-18 15-17 17-18 18-22
d001.s103	Cada comprimido va marcado con el logo Pfizer en una cara y las letras MPT y la cantidad de maropitant en la otra .	0-0 1-1 2-2 3-3 4-4 5-5 6-7 7-6 8-8 9-9 10-10 11-11 13-12 14-13 15-14 16-15 17-16 18-17 19-18 20-19 21-20 22-21 23-22 25-23
d001.s104	¿Para qué se utiliza Cerenia ?	2-4 3-3 5-5
