d000.s000.t000 bn:00108977a
d000.s008.t018 bn:00061017n
d000.s008.t019 bn:00116360r
d000.s008.t020 bn:00089246v
d000.s008.t021 bn:00018141n
d000.s008.t022 bn:00031708n
d000.s008.t023 bn:00015180n
d000.s008.t024 bn:00114297r
d000.s008.t025 bn:00015180n
d000.s008.t026 bn:00052343n
d000.s008.t027 bn:00052341n
d000.s008.t028 bn:00054742n
d000.s008.t029 bn:00096528a
d000.s008.t030 bn:00054585n
d000.s008.t031 bn:00116360r
d000.s008.t032 bn:00082426v
d000.s008.t033 bn:00017027n
d000.s009.t000 bn:00082705v
d000.s009.t001 bn:00020872n
d000.s009.t002 bn:00577781n
d000.s009.t003 bn:00061017n
d000.s009.t004 bn:00116360r
d000.s009.t005 bn:00084532v
d000.s009.t006 bn:00114297r
d000.s009.t007 bn:00749648n
d000.s009.t008 bn:00061017n
d000.s009.t009 bn:00084532v
d000.s009.t010 bn:00114297r
d000.s009.t011 bn:00035907n
d000.s009.t012 bn:00018141n
d000.s010.t000 bn:00031708n
d000.s010.t001 bn:00114234r
d000.s010.t002 bn:00082365v
d000.s010.t003 bn:00064195n
d000.s010.t004 bn:00031708n
d000.s010.t005 bn:00106554a
d000.s011.t000 bn:00082705v
d000.s012.t000 bn:00114234r
d000.s012.t001 bn:00082365v
d000.s012.t002 bn:00059908n
d000.s012.t003 bn:00027976n
d000.s012.t004 bn:00092243v
d000.s012.t005 bn:00030627n
d000.s012.t006 bn:00018141n
d000.s012.t007 bn:00015180n
d000.s013.t000 bn:00028320n
d000.s013.t001 bn:00082418v
d000.s013.t002 bn:00054701n
d000.s013.t003 bn:00052501n
d000.s013.t004 bn:00017102n
d000.s013.t005 bn:00111084a
d000.s013.t006 bn:00005518n
d000.s013.t007 bn:03551355n
d000.s013.t008 bn:00098648a
d000.s013.t009 bn:00084373v
d000.s013.t010 bn:00043545n
d000.s013.t011 bn:00011779n
d000.s013.t012 bn:00061017n
d000.s013.t013 bn:00082365v
d000.s013.t014 bn:00019848n
d000.s013.t015 bn:00043484n
d000.s013.t016 bn:00061571n
d000.s013.t017 bn:00102230a
d000.s013.t018 bn:00055094n
d000.s014.t000 bn:00030721n
d000.s014.t001 bn:00082125v
d000.s014.t002 bn:00021961n
d000.s014.t003 bn:00071445n
d000.s014.t004 bn:00110247a
d000.s014.t005 bn:00061017n
d000.s014.t006 bn:00089246v
d000.s014.t007 bn:00001507n
d000.s014.t008 bn:00000902n
d000.s014.t009 bn:00035585n
d000.s014.t010 bn:00035907n
d000.s014.t011 bn:00080147n
d000.s014.t012 bn:00046787n
d000.s014.t013 bn:00080147n
d000.s014.t014 bn:00004712n
d000.s014.t015 bn:00047235n
d000.s015.t000 bn:00082705v
d000.s015.t001 bn:00114766r
d000.s015.t002 bn:00577781n
d000.s015.t003 bn:00082365v
d000.s015.t004 bn:00114134r
d000.s015.t005 bn:00031708n
d000.s015.t006 bn:00004656n
d000.s015.t007 bn:00088454v
d000.s015.t008 bn:00027565n
d000.s015.t009 bn:00051471n
d000.s015.t010 bn:00088454v
d000.s015.t011 bn:00025982n
d000.s015.t012 bn:00028320n
d000.s015.t013 bn:00577781n
d000.s016.t000 bn:00107194a
d000.s016.t001 bn:00083908v
d000.s016.t002 bn:00047235n
d000.s016.t003 bn:00084079v
d000.s016.t004 bn:00028320n
d000.s016.t005 bn:00061017n
d000.s016.t006 bn:00087013v
d000.s016.t007 bn:00003125n
d000.s016.t008 bn:00103595a
d000.s016.t009 bn:00021961n
d000.s016.t010 bn:00071445n
d000.s016.t011 bn:00110247a
d000.s017.t000 bn:00116360r
d000.s017.t001 bn:00082418v
d000.s017.t002 bn:00082365v
d000.s017.t003 bn:00061017n
d000.s017.t004 bn:00002171n
d000.s017.t005 bn:00107226a
d000.s017.t006 bn:00106826a
d000.s017.t007 bn:00100896a
d000.s018.t000 bn:00086682v
d000.s018.t001 bn:00116285r
d000.s018.t002 bn:00046705n
d000.s018.t003 bn:00085686v
d000.s018.t004 bn:00031259n
d000.s018.t005 bn:00017747n
d000.s018.t006 bn:00064584n
d000.s018.t007 bn:00114246r
d000.s018.t008 bn:00085670v
d000.s018.t009 bn:00027912n
d000.s019.t000 bn:00082286v
d000.s020.t000 bn:00377649n
d000.s020.t001 bn:00096382a
d000.s020.t002 bn:00602447n
d000.s020.t003 bn:00031708n
d000.s020.t004 bn:00024920n
d000.s020.t005 bn:00031708n
d000.s020.t006 bn:00086698v
d000.s020.t007 bn:00017027n
d000.s020.t008 bn:00025966n
d000.s020.t009 bn:00027913n
d000.s020.t010 bn:00099180a
d000.s020.t011 bn:00083389v
d000.s020.t012 bn:00041942n
d000.s020.t013 bn:00004691n
d000.s021.t000 bn:00004257n
d000.s021.t001 bn:00602447n
d000.s021.t002 bn:00085761v
d000.s021.t003 bn:00035908n
d000.s021.t004 bn:00096382a
d000.s021.t005 bn:00083629v
d000.s021.t006 bn:00001173n
d000.s021.t007 bn:00031085n
d000.s021.t008 bn:00087628v
d000.s021.t009 bn:00064590n
d000.s021.t010 bn:00008788n
d000.s021.t011 bn:00021396n
d000.s021.t012 bn:00099258a
d000.s021.t013 bn:00026301n
d000.s021.t014 bn:00053801n
d000.s021.t015 bn:00037738n
d000.s021.t016 bn:00103522a
d000.s021.t017 bn:00017027n
d000.s022.t000 bn:00035907n
d000.s022.t001 bn:00030952n
d000.s022.t002 bn:00082225v
d000.s023.t000 bn:00083240v
d000.s023.t001 bn:00047235n
d000.s023.t002 bn:00054512n
d000.s023.t003 bn:00108692a
d000.s023.t004 bn:00106363a
d000.s023.t005 bn:00082720v
d000.s023.t006 bn:00030952n
d000.s023.t007 bn:00098086a
d000.s023.t008 bn:00082225v
d000.s023.t009 bn:00061017n
d000.s023.t010 bn:00116360r
d000.s023.t011 bn:00089246v
d000.s023.t012 bn:00018141n
d000.s023.t013 bn:00114297r
d000.s024.t000 bn:00085450v
d000.s024.t001 bn:00021961n
d000.s024.t002 bn:00020872n
d000.s024.t003 bn:00577781n
d000.s024.t004 bn:00021961n
d000.s024.t005 bn:00577781n
d000.s024.t006 bn:00082365v
d000.s024.t007 bn:00106121a
d000.s025.t000 bn:00047235n
d000.s025.t001 bn:01853831n
d000.s025.t002 bn:08342574n
d000.s025.t003 bn:00015180n
d000.s025.t004 bn:00052343n
d000.s025.t005 bn:00052341n
d000.s025.t006 bn:00054742n
d000.s025.t007 bn:00085450v
d000.s025.t008 bn:00021961n
d000.s025.t009 bn:01537207n
d000.s025.t010 bn:00031708n
d000.s025.t011 bn:00015180n
d000.s025.t012 bn:00030952n
d000.s025.t013 bn:00082225v
d000.s025.t014 bn:00061017n
d000.s025.t015 bn:00002171n
d000.s025.t016 bn:00088478v
d000.s025.t017 bn:00054585n
d000.s025.t018 bn:00089246v
d000.s025.t019 bn:00018141n
d000.s025.t020 bn:00114297r
d000.s026.t000 bn:00114246r
d000.s026.t001 bn:00085450v
d000.s026.t002 bn:00848690n
d000.s026.t003 bn:00031708n
d000.s026.t004 bn:00015180n
d000.s026.t005 bn:00020872n
d000.s026.t006 bn:00577781n
d000.s026.t007 bn:00030952n
d000.s026.t008 bn:00061017n
d000.s026.t009 bn:00089246v
d000.s026.t010 bn:00018141n
d000.s026.t011 bn:00015180n
d000.s026.t012 bn:00052343n
d000.s026.t013 bn:00052341n
d000.s026.t014 bn:00114297r
d000.s027.t000 bn:00030952n
d000.s027.t001 bn:00023853n
d000.s027.t002 bn:00098086a
d000.s027.t003 bn:00005164n
d000.s027.t004 bn:00029876n
d000.s027.t005 bn:00077268n
d000.s027.t006 bn:00030811n
d000.s027.t007 bn:00061017n
d000.s028.t000 bn:00009905n
d000.s028.t001 bn:00086567v
d000.s028.t002 bn:00089240v
d000.s028.t003 bn:00030952n
d000.s029.t000 bn:00087274v
d000.s029.t001 bn:00077268n
d000.s029.t002 bn:00030811n
d000.s029.t003 bn:00061017n
d000.s029.t004 bn:00054512n
d000.s029.t005 bn:00108692a
d000.s029.t006 bn:00106363a
d000.s030.t000 bn:00061017n
d000.s030.t001 bn:00089246v
d000.s030.t002 bn:00577781n
d000.s030.t003 bn:00085382v
d000.s030.t004 bn:00005677n
d000.s030.t005 bn:00055794n
d000.s030.t006 bn:00030811n
d000.s030.t007 bn:00071414n
d000.s030.t008 bn:00084532v
d000.s030.t009 bn:00114234r
d000.s030.t010 bn:00577781n
d000.s030.t011 bn:00055794n
d000.s031.t000 bn:00047235n
d000.s031.t001 bn:00061017n
d000.s031.t002 bn:00015180n
d000.s031.t003 bn:00052343n
d000.s031.t004 bn:00052341n
d000.s031.t005 bn:00054742n
d000.s031.t006 bn:00114354r
d000.s031.t007 bn:00102038a
d000.s031.t008 bn:00031708n
d000.s031.t009 bn:00021297n
d000.s032.t000 bn:00061017n
d000.s032.t001 bn:00089246v
d000.s032.t002 bn:00018141n
d000.s032.t003 bn:00114297r
d000.s032.t004 bn:00077268n
d000.s032.t005 bn:00097854a
d000.s032.t006 bn:00030811n
d000.s032.t007 bn:00055794n
d000.s032.t008 bn:00055794n
d000.s032.t009 bn:01537207n
d000.s033.t000 bn:00061017n
d000.s033.t001 bn:00089246v
d000.s033.t002 bn:00114297r
d000.s033.t003 bn:00018141n
d000.s033.t004 bn:00077267n
d000.s033.t005 bn:00077268n
d000.s033.t006 bn:00097854a
d000.s033.t007 bn:00030811n
d000.s033.t008 bn:00055794n
d000.s033.t009 bn:00041942n
d000.s034.t000 bn:00114216r
d000.s034.t001 bn:00061017n
d000.s034.t002 bn:00030952n
d000.s034.t003 bn:00015180n
d000.s034.t004 bn:00082426v
d000.s034.t005 bn:00017027n
d000.s034.t006 bn:00073708n
d000.s034.t007 bn:00087013v
d000.s034.t008 bn:00098342a
d000.s034.t009 bn:00077268n
d000.s034.t010 bn:00030811n
d000.s034.t011 bn:00089246v
d000.s034.t012 bn:00089246v
d000.s034.t013 bn:00031708n
d000.s034.t014 bn:00021297n
d000.s035.t000 bn:00114842r
d000.s035.t001 bn:00061017n
d000.s035.t002 bn:00015180n
d000.s035.t003 bn:00082426v
d000.s035.t004 bn:00017027n
d000.s035.t005 bn:00073708n
d000.s035.t006 bn:00087013v
d000.s035.t007 bn:00077268n
d000.s035.t008 bn:00030811n
d000.s035.t009 bn:00116284r
d000.s035.t010 bn:00098854a
d000.s035.t011 bn:00084532v
d000.s035.t012 bn:03466887n
d000.s035.t013 bn:00106488a
d000.s035.t014 bn:00083141v
d000.s035.t015 bn:00064652n
d000.s035.t016 bn:00053492n
d000.s036.t000 bn:00114905r
d000.s036.t001 bn:00058218n
d000.s036.t002 bn:00096151a
d000.s036.t003 bn:00082225v
d000.s036.t004 bn:00053826n
d000.s036.t005 bn:00102111a
d000.s036.t006 bn:00097495a
d000.s036.t007 bn:00106117a
d000.s036.t008 bn:00082705v
d000.s036.t009 bn:00089839v
d000.s036.t010 bn:00017904n
d000.s036.t011 bn:00076958n
d000.s036.t012 bn:00027152n
d000.s037.t000 bn:00107182a
d000.s037.t001 bn:00090141v
d000.s037.t002 bn:00082705v
d000.s037.t003 bn:03466887n
d000.s037.t004 bn:02710162n
d000.s037.t005 bn:00103741a
d000.s037.t006 bn:00083141v
d000.s038.t000 bn:00009632n
d000.s038.t001 bn:00091199v
d000.s038.t002 bn:00114119r
d000.s038.t003 bn:00082705v
d000.s038.t004 bn:00023661n
d000.s038.t005 bn:00089240v
d000.s038.t006 bn:00020452n
d000.s038.t007 bn:00106488a
d000.s039.t000 bn:00115639r
d000.s039.t001 bn:00086611v
d000.s039.t002 bn:00081292n
d000.s039.t003 bn:00098086a
d000.s039.t004 bn:00081292n
d000.s039.t005 bn:00098086a
d000.s039.t006 bn:00081292n
d000.s039.t007 bn:00098086a
d000.s039.t008 bn:00085498v
d000.s039.t009 bn:00120018n
d000.s039.t010 bn:00020949n
d000.s039.t011 bn:00017904n
d000.s039.t012 bn:00780722n
d000.s039.t013 bn:00017904n
d000.s039.t014 bn:00076958n
d000.s039.t015 bn:00026967n
d000.s040.t000 bn:00120018n
d000.s040.t001 bn:00082811v
d000.s040.t002 bn:00034274n
d000.s040.t003 bn:00031062n
d000.s040.t004 bn:00087594v
d000.s040.t005 bn:00036821n
d000.s040.t006 bn:00082225v
d000.s040.t007 bn:00014688n
d000.s041.t000 bn:00092443v
d000.s041.t001 bn:00088629v
d000.s041.t002 bn:00082723v
d000.s041.t003 bn:00087594v
d000.s041.t004 bn:00084785v
d000.s041.t005 bn:00107182a
d000.s041.t006 bn:00090141v
d000.s041.t007 bn:03313895n
d000.s042.t000 bn:00083141v
d000.s042.t001 bn:02561609n
d000.s042.t002 bn:00021164n
d000.s042.t003 bn:00021164n
d000.s042.t004 bn:00100090a
d000.s042.t005 bn:00097717a
d000.s043.t000 bn:00114246r
d000.s043.t001 bn:02561609n
d000.s043.t002 bn:00115300r
d000.s043.t003 bn:00096782a
d000.s043.t004 bn:00001296n
d000.s043.t005 bn:00055233n
d000.s043.t006 bn:00056300n
d000.s043.t007 bn:00027919n
d000.s043.t008 bn:00032355n
d000.s043.t009 bn:00082705v
d000.s043.t010 bn:00001965n
d000.s044.t000 bn:00114246r
d000.s044.t001 bn:00082705v
d000.s044.t002 bn:00017752n
d000.s045.t000 bn:00032355n
d000.s045.t001 bn:00114246r
d000.s045.t002 bn:00001965n
d000.s045.t003 bn:00087895v
d000.s045.t004 bn:00068247n
d000.s045.t005 bn:00082536v
d000.s045.t006 bn:00082858v
d000.s045.t007 bn:00079581n
d000.s045.t008 bn:00083798v
d000.s045.t009 bn:00036821n
d000.s045.t010 bn:00082705v
d000.s045.t011 bn:00086464v
d000.s045.t012 bn:00064072n
d000.s045.t013 bn:00060753n
d000.s045.t014 bn:00060753n
d000.s045.t015 bn:00111596a
d000.s045.t016 bn:00082811v
d000.s045.t017 bn:00036821n
d000.s045.t018 bn:00084848v
d000.s045.t019 bn:00059141n
d000.s046.t000 bn:00087116v
d000.s046.t001 bn:00059141n
d000.s046.t002 bn:00087116v
d000.s046.t003 bn:00036821n
d000.s046.t004 bn:00079373n
d000.s046.t005 bn:00082705v
d000.s046.t006 bn:00086464v
d000.s046.t007 bn:00079508n
d000.s046.t008 bn:00079581n
d000.s046.t009 bn:00025928n
d000.s046.t010 bn:00021645n
d000.s046.t011 bn:00036821n
d000.s046.t012 bn:00086466v
d000.s046.t013 bn:03132721n
d000.s047.t000 bn:00082536v
d000.s047.t001 bn:00086464v
d000.s047.t002 bn:00053826n
d000.s047.t003 bn:00100214a
d000.s048.t000 bn:00021645n
d000.s048.t001 bn:00071529n
d000.s048.t002 bn:00082705v
d000.s048.t003 bn:00021645n
d000.s048.t004 bn:00112146a
d000.s048.t005 bn:00082811v
d000.s048.t006 bn:00071529n
d000.s048.t007 bn:00021645n
d000.s048.t008 bn:00085649v
d000.s048.t009 bn:00100203a
d000.s048.t010 bn:00032099n
d000.s048.t011 bn:00082705v
d000.s048.t012 bn:00086466v
d000.s048.t013 bn:03305154n
d000.s049.t000 bn:00115300r
d000.s049.t001 bn:00104094a
d000.s049.t002 bn:00077267n
d000.s049.t003 bn:00095823v
d000.s049.t004 bn:00036821n
d000.s049.t005 bn:00086464v
d000.s049.t006 bn:03132721n
d000.s050.t000 bn:00114424r
d000.s050.t001 bn:00082821v
d000.s050.t002 bn:00079373n
d000.s050.t003 bn:00085522v
d000.s050.t004 bn:00004451n
d000.s050.t005 bn:00101973a
d000.s050.t006 bn:00082225v
d000.s050.t007 bn:00053826n
d000.s050.t008 bn:00036821n
d000.s050.t009 bn:00071709n
d000.s050.t010 bn:00036821n
d000.s050.t011 bn:00019189n
d000.s050.t012 bn:00001296n
d000.s050.t013 bn:00053827n
d000.s051.t000 bn:00085860v
d000.s051.t001 bn:00035907n
d000.s051.t002 bn:03403506n
d000.s051.t003 bn:00036821n
d000.s052.t000 bn:00082705v
d000.s052.t001 bn:00001296n
d000.s052.t002 bn:00053827n
d000.s052.t003 bn:00076924n
d000.s052.t004 bn:00082477v
d000.s052.t005 bn:00059141n
d000.s052.t006 bn:00020949n
d000.s052.t007 bn:00114354r
d000.s052.t008 bn:00104094a
d000.s052.t009 bn:03466887n
d000.s053.t000 bn:00115639r
d000.s053.t001 bn:00088078v
d000.s053.t002 bn:00051508n
d000.s053.t003 bn:00079581n
d000.s054.t000 bn:00019848n
d000.s054.t001 bn:00082691v
d000.s054.t002 bn:00084772v
d000.s054.t003 bn:00079508n
d000.s054.t004 bn:00001965n
d000.s054.t005 bn:00088310v
d000.s055.t000 bn:00087594v
d000.s055.t001 bn:00032395n
d000.s055.t002 bn:00079508n
d000.s055.t003 bn:00079581n
d000.s055.t004 bn:00082553v
d000.s055.t005 bn:00092850v
d000.s055.t006 bn:00105739a
d000.s055.t007 bn:00034520n
d000.s056.t000 bn:00020947n
d000.s056.t001 bn:00056688n
d000.s057.t000 bn:00020947n
d000.s057.t001 bn:00049538n
d000.s058.t000 bn:00087107v
d000.s058.t001 bn:00020945n
d000.s058.t002 bn:00021475n
d000.s058.t003 bn:00001965n
d000.s058.t004 bn:00100306a
d000.s059.t000 bn:00104094a
d000.s059.t001 bn:00086682v
d000.s059.t002 bn:00086466v
d000.s059.t003 bn:00050969n
d000.s059.t004 bn:00092914v
d000.s059.t005 bn:00062309n
d000.s059.t006 bn:00097192a
d000.s060.t000 bn:00020947n
d000.s060.t001 bn:00036962n
d000.s060.t002 bn:00090043v
d000.s061.t000 bn:00090043v
d000.s061.t001 bn:00020945n
d000.s061.t002 bn:00087594v
d000.s061.t003 bn:00083341v
d000.s061.t004 bn:03751534n
d000.s062.t000 bn:00084080v
d000.s062.t001 bn:00021475n
d000.s062.t002 bn:00028018n
d000.s062.t003 bn:00076732n
d000.s062.t004 bn:00082357v
d000.s062.t005 bn:00082705v
d000.s062.t006 bn:00029775n
d000.s062.t007 bn:00076736n
d000.s062.t008 bn:00076732n
d000.s062.t009 bn:00115147r
d000.s063.t000 bn:00020947n
d000.s063.t001 bn:00068673n
d000.s063.t002 bn:00090043v
d000.s064.t000 bn:00090043v
d000.s064.t001 bn:00034520n
d000.s064.t002 bn:00021475n
d000.s064.t003 bn:00045087n
d000.s064.t004 bn:00089639v
d000.s064.t005 bn:00092023v
d000.s065.t000 bn:00020947n
d000.s065.t001 bn:00065472n
d000.s065.t002 bn:03500215n
d000.s066.t000 bn:00085164v
d000.s066.t001 bn:00021492n
d000.s067.t000 bn:00082317v
d000.s067.t001 bn:00103741a
d000.s067.t002 bn:00780722n
d000.s067.t003 bn:00120018n
d000.s067.t004 bn:00103741a
d000.s067.t005 bn:00780722n
d000.s067.t006 bn:00115639r
d000.s067.t007 bn:00120018n
d000.s067.t008 bn:00082317v
d000.s067.t009 bn:00082536v
d000.s067.t010 bn:00082317v
d000.s067.t011 bn:00107270a
d000.s067.t012 bn:00036821n
d000.s068.t000 bn:00086600v
d000.s068.t001 bn:00017904n
d000.s068.t002 bn:00076732n
d000.s068.t003 bn:00031062n
d000.s068.t004 bn:00087594v
d000.s068.t005 bn:00036821n
d000.s069.t000 bn:00086682v
d000.s069.t001 bn:00082705v
d000.s069.t002 bn:00036821n
d000.s069.t003 bn:00036821n
d000.s069.t004 bn:00102148a
d000.s069.t005 bn:00107182a
d000.s069.t006 bn:00086464v
d000.s070.t000 bn:00087594v
d000.s070.t001 bn:00036821n
d000.s070.t002 bn:03843242n
d000.s070.t003 bn:00082199v
d000.s070.t004 bn:00086525v
d000.s070.t005 bn:00017904n
d000.s070.t006 bn:00081292n
d000.s070.t007 bn:00098086a
d000.s071.t000 bn:00108829a
d000.s071.t001 bn:00086525v
d000.s071.t002 bn:00017904n
d000.s071.t003 bn:00110075a
d000.s071.t004 bn:00079985n
d000.s072.t000 bn:00082705v
d000.s072.t001 bn:00114626r
d000.s072.t002 bn:03843242n
d000.s072.t003 bn:00082317v
d000.s072.t004 bn:00086708v
d000.s072.t005 bn:01622345n
d000.s072.t006 bn:00051508n
d000.s073.t000 bn:00082316v
d000.s073.t001 bn:00020726n
d000.s073.t002 bn:00017904n
d000.s074.t000 bn:00036064n
d000.s074.t001 bn:00089817v
d000.s074.t002 bn:00116085r
d000.s074.t003 bn:00059482n
d000.s074.t004 bn:00021721n
d000.s074.t005 bn:00100676a
d000.s074.t006 bn:00017557n
d000.s075.t000 bn:00082907v
d000.s075.t001 bn:00116285r
d000.s075.t002 bn:00060798n
d000.s075.t003 bn:00009652n
d000.s075.t004 bn:00098086a
d000.s075.t005 bn:00041942n
d000.s075.t006 bn:00047082n
d000.s075.t007 bn:00021556n
d000.s075.t008 bn:00086342v
d000.s075.t009 bn:00001734n
d000.s075.t010 bn:00036823n
d000.s075.t011 bn:00098086a
d000.s075.t012 bn:00001973n
d000.s075.t013 bn:00001961n
d000.s075.t014 bn:00109211a
d000.s075.t015 bn:00047116n
d000.s075.t016 bn:01623772n
d000.s075.t017 bn:00110842a
d000.s075.t018 bn:00001423n
d000.s075.t019 bn:00170328n
d000.s075.t020 bn:00100102a
d000.s075.t021 bn:02438777n
d000.s075.t022 bn:00114134r
d000.s075.t023 bn:00096707a
d000.s075.t024 bn:00079373n
d000.s076.t000 bn:00088789v
d000.s076.t001 bn:00021584n
d000.s076.t002 bn:00107194a
d000.s076.t003 bn:00082379v
d000.s076.t004 bn:00005141n
d000.s076.t005 bn:00116284r
d000.s076.t006 bn:00100162a
d000.s076.t007 bn:00083239v
d000.s076.t008 bn:00079373n
d000.s076.t009 bn:00088630v
d000.s076.t010 bn:00070651n
d000.s076.t011 bn:00033729n
d000.s076.t012 bn:00027912n
d000.s076.t013 bn:00051046n
d000.s076.t014 bn:02021819n
d000.s076.t015 bn:00100875a
d000.s077.t000 bn:00085649v
d000.s077.t001 bn:00058145n
d000.s077.t002 bn:00114246r
d000.s077.t003 bn:00027862n
d000.s077.t004 bn:00036823n
d000.s077.t005 bn:00070651n
d000.s078.t000 bn:00036064n
d000.s078.t001 bn:00082779v
d000.s078.t002 bn:00021015n
d000.s078.t003 bn:00102440a
d000.s078.t004 bn:00055180n
d000.s078.t005 bn:00110978a
d000.s078.t006 bn:00001734n
d000.s078.t007 bn:00072541n
d000.s078.t008 bn:00110842a
d000.s078.t009 bn:00021248n
d000.s078.t010 bn:03350497n
d000.s078.t011 bn:00097829a
d000.s078.t012 bn:00021721n
d000.s078.t013 bn:00102440a
d000.s078.t014 bn:00043267n
d000.s078.t015 bn:00053403n
d000.s078.t016 bn:00053403n
d000.s078.t017 bn:00110842a
d000.s078.t018 bn:00098342a
d000.s078.t019 bn:00017557n
d000.s078.t020 bn:00070651n
d000.s078.t021 bn:00065098n
d000.s078.t022 bn:00109211a
d000.s078.t023 bn:00064839n
d000.s078.t024 bn:00072541n
d000.s078.t025 bn:00110842a
d000.s079.t000 bn:00036064n
d000.s079.t001 bn:00084099v
d000.s079.t002 bn:00116085r
d000.s079.t003 bn:00007786n
d000.s079.t004 bn:00064665n
d000.s079.t005 bn:00030952n
d000.s079.t006 bn:00100121a
d000.s079.t007 bn:00082720v
d000.s079.t008 bn:00006383n
d000.s079.t009 bn:00030844n
d000.s079.t010 bn:00101412a
d000.s079.t011 bn:00014138n
d000.s079.t012 bn:00082927v
d000.s079.t013 bn:00114429r
d000.s079.t014 bn:00037027n
d000.s080.t000 bn:00030952n
d000.s080.t001 bn:00083141v
d000.s080.t002 bn:00047238n
d000.s080.t003 bn:00108488a
d000.s080.t004 bn:00102158a
d000.s080.t005 bn:00018319n
d000.s080.t006 bn:00047116n
d000.s080.t007 bn:01623772n
d000.s080.t008 bn:00110842a
d000.s080.t009 bn:00014731n
d000.s080.t010 bn:00026428n
d000.s080.t011 bn:00097799a
d000.s080.t012 bn:00001423n
d000.s080.t013 bn:00107136a
d000.s080.t014 bn:00011771n
d000.s080.t015 bn:00031903n
d000.s080.t016 bn:00102440a
d000.s081.t000 bn:00046575n
d000.s081.t001 bn:00054550n
d000.s081.t002 bn:00008415n
d000.s081.t003 bn:00085499v
d000.s081.t004 bn:00114246r
d000.s081.t005 bn:00007021n
d000.s081.t006 bn:00071554n
d000.s082.t000 bn:00098086a
d000.s082.t001 bn:00059275n
d000.s082.t002 bn:00021721n
d000.s082.t003 bn:00053403n
d000.s082.t004 bn:00050521n
d000.s082.t005 bn:00067808n
d000.s082.t006 bn:00011651n
d000.s082.t007 bn:00030626n
d000.s082.t008 bn:00025569n
d000.s082.t009 bn:03792320n
d000.s082.t010 bn:00001734n
d000.s082.t011 bn:00072541n
d000.s082.t012 bn:00110842a
d000.s082.t013 bn:00021015n
d000.s082.t014 bn:00102440a
d000.s082.t015 bn:00011638n
d000.s082.t016 bn:00060767n
d000.s082.t017 bn:00026427n
d000.s082.t018 bn:01941871n
d000.s082.t019 bn:00060708n
d000.s082.t020 bn:00102440a
d000.s082.t021 bn:00079435n
d000.s082.t022 bn:00060708n
d000.s082.t023 bn:00102440a
d000.s082.t024 bn:00011638n
