Token ID	Token	Lemma	POS	Gold Senses	Silver Senses	Filtered Sense	Gold Gloss	Silver Gloss
d001.s002.t023	scientifici	scientifico	J	bn:00110175a				
d001.s002.t024	effettuati	effettuare	V	bn:00082225v	bn:00087107v	bn:00087107v	Put in effect	Carry out or perform an action
d001.s002.t025	e		X					
d001.s002.t026	ha	avere	V					
d001.s002.t027	formulato	formulare	V	bn:00082799v	bn:00082226v			
d001.s002.t028	le		X					
d001.s002.t029	raccomandazioni	raccomandazione	N	bn:00001592n	bn:00066562n	bn:00066562n	A proposal for an appropriate course of action	Something (as a course of action) that is recommended as advisable
d001.s002.t030	su		X					
d001.s002.t031	come		X					
d001.s002.t032	usare	usare	V	bn:00082705v	bn:00082705v	bn:00082705v		
d001.s002.t033	il		X					
d001.s002.t034	medicinale	medicinale	N	bn:00054128n	bn:00054128n	bn:00054128n		
d001.s002.t035	.		X					
d001.s003.t001	Per		X					
d001.s003.t002	maggiori	maggiore	J	bn:00104887a	bn:00106935a	bn:00106935a	Made greater in size or amount or degree	(comparative of `much' used with mass nouns) a quantifier meaning greater in size or amount or extent or degree
d001.s003.t003	informazioni	informazione	N	bn:00046705n	bn:00025314n	bn:00025314n	Knowledge acquired through study or experience or instruction	A collection of facts from which conclusions may be drawn
d001.s003.t004	riguardanti	riguardare	V	bn:00083240v				
d001.s003.t005	le		X					
d001.s003.t006	proprie	proprio	J	bn:00096707a				
d001.s003.t007	condizioni	condizione	N	bn:00021644n	bn:00021648n	bn:00021648n	A state at a particular time	An illness, disease, or other medical problem
d001.s003.t008	di		X					
d001.s003.t009	salute	salute	N		bn:00106555a			
d001.s003.t010	o		X					
d001.s003.t011	la		X					
d001.s003.t012	terapia	terapia	N	bn:00047235n	bn:00047235n	bn:00047235n		
d001.s003.t013	,		X					
d001.s003.t014	leggere	leggere	V	bn:00092424v	bn:00092424v	bn:00092424v		
d001.s003.t015	il		X					
d001.s003.t016	foglio	foglio	N	bn:02573503n				
d001.s003.t017	illustrativo	illustrativo	J					
d001.s003.t018	(		X					
d001.s003.t019	allegato	allegare	V	bn:00082893v				
d001.s003.t020	all		X					
d001.s003.t021	EPAR	epar	N					
d001.s003.t022	)		X					
d001.s003.t023	oppure		X					
d001.s003.t024	consultare	consultare	V	bn:00085574v	bn:00085696v			
d001.s003.t025	il		X					
d001.s003.t026	medico	medico	N	bn:00027976n	bn:00027976n	bn:00027976n		
d001.s003.t027	o		X					
d001.s003.t028	il		X					
d001.s003.t029	farmacista	farmacista	N	bn:00004992n				
d001.s003.t030	.		X					
d001.s004.t001	Per		X					
d001.s004.t002	maggiori	maggiore	J	bn:00104887a	bn:00106935a	bn:00106935a	Made greater in size or amount or degree	(comparative of `much' used with mass nouns) a quantifier meaning greater in size or amount or extent or degree
d001.s004.t003	informazioni	informazione	N	bn:00046705n	bn:00025314n	bn:00025314n	Knowledge acquired through study or experience or instruction	A collection of facts from which conclusions may be drawn
d001.s004.t004	riguardo	riguardo	N	bn:00066865n				
d001.s004.t005	alle		X					
d001.s004.t006	motivazioni	motivazione	N	bn:00048673n				
d001.s004.t007	delle		X					
d001.s004.t008	raccomandazioni	raccomandazione	N	bn:00001592n	bn:00066562n	bn:00066562n	A proposal for an appropriate course of action	Something (as a course of action) that is recommended as advisable
d001.s004.t009	del		X					
d001.s004.t010	CHMP	chmp	N	bn:00302314n	bn:00302314n	bn:00302314n		
d001.s004.t011	,		X					
d001.s004.t012	leggere	leggere	V	bn:00092424v	bn:00092424v	bn:00092424v		
d001.s004.t013	la		X					
d001.s004.t014	discussione	discussione	N	bn:00005601n	bn:00027523n	bn:00027523n	A discussion in which reasons are advanced for and against some proposition or proposal	An extended communication (often interactive) dealing with some particular topic
d001.s004.t015	scientifica	scientifico	J	bn:00110175a	bn:00110175a	bn:00110175a		
d001.s004.t016	(		X					
d001.s004.t017	anch		X		bn:00114246r			
d001.s004.t018	essa		X					
d001.s004.t019	allegato	allegare	V	bn:00082893v				
d001.s004.t020	all		X					
d001.s004.t021	EPAR	epar	N					
d001.s004.t022	)		X					
d001.s004.t023	.		X					
d001.s005.t001	Che		X					
d001.s005.t002	cos	cosa	N	bn:00076924n				
d001.s005.t003	è	essere	V					
d001.s005.t004	Alimta	alimta	N	bn:00602447n	bn:00602447n	bn:00602447n		
d001.s005.t005	?		X					
d001.s006.t001	Alimta	alimta	N	bn:00602447n	bn:00602447n	bn:00602447n		
d001.s006.t002	è	essere	V					
d001.s006.t003	una		X					
d001.s006.t004	polvere	polvere	N	bn:00029192n	bn:00063926n	bn:00063926n	Fine powdery material such as dry earth or pollen that can be blown about in the air	A solid substance in the form of tiny loose particles; a solid that has been pulverized
d001.s006.t005	da		X					
d001.s006.t006	ricostituire	ricostituire	V	bn:00092532v				
d001.s006.t007	in		X					
d001.s006.t008	soluzione	soluzione	N	bn:00072760n	bn:00072760n	bn:00072760n		
d001.s006.t009	per		X					
d001.s006.t010	infusione	infusione	N	bn:08927651n	bn:00046734n	bn:00046734n		
d001.s006.t011	(		X					
d001.s006.t012	iniezione	iniezione	N	bn:00046787n				
d001.s006.t013	goccia	goccia	N	bn:00548470n				
d001.s006.t014	a		X					
d001.s006.t015	goccia	goccia	N	bn:00548470n				
d001.s006.t016	in		X					
d001.s006.t017	vena	vena	N	bn:00079681n	bn:00079681n	bn:00079681n		
d001.s006.t018	)		X					
d001.s006.t019	.		X					
d001.s007.t001	Contiene	contenere	V	bn:00083225v	bn:00085499v	bn:00085499v	Contain or hold; have within	Include or contain; have as a component
d001.s007.t002	il		X					
d001.s007.t003	principio	principio	N	bn:00377649n	bn:00377649n			
d001.s007.t004	attivo	attivo	J	bn:00096387a	bn:00074986n			
d001.s007.t005	pemetrexed	pemetrexed	N	bn:00602447n	bn:00602447n	bn:00602447n		
d001.s007.t006	.		X					
d001.s008.t001	Per		X					
d001.s008.t002	che		X					
d001.s008.t003	cosa	cosa	N					
d001.s008.t004	si		X					
d001.s008.t005	usa	usare	V	bn:00082705v	bn:00082705v	bn:00082705v		
d001.s008.t006	Alimta	alimta	N	bn:00602447n	bn:00602447n	bn:00602447n		
d001.s008.t007	?		X					
d001.s009.t001	Alimta	alimta	N	bn:00602447n	bn:00602447n	bn:00602447n		
d001.s009.t002	è	essere	V					
d001.s009.t003	indicato	indicare	V	bn:00089682v	bn:00082705v			
d001.s009.t004	nel		X					
d001.s009.t005	trattamento	trattamento	N	bn:00047235n	bn:00084532v			
d001.s009.t006	di		X					
d001.s009.t007	due	due	N	bn:00000075n				
d001.s009.t008	tipi	tipo	N	bn:00035907n	bn:00078798n	bn:00078798n	A category of things distinguished by some common characteristic or quality	A subdivision of a particular kind of thing
d001.s009.t009	di		X					
d001.s009.t010	tumore	tumore	N	bn:00057267n	bn:00015180n			
d001.s009.t011	:		X					
d001.s009.t012	il		X					
d001.s009.t013	mesotelioma	mesotelioma	N	bn:00054512n	bn:00054512n	bn:00054512n		
d001.s009.t014	pleurico	pleurico	J	bn:00108692a	bn:00108692a	bn:00108692a		
d001.s009.t015	(		X					
d001.s009.t016	tumore	tumore	N	bn:00057267n	bn:00015180n			
d001.s009.t017	della		X					
d001.s009.t018	membrana	membrana	N	bn:00054285n				
d001.s009.t019	che		X					
d001.s009.t020	riveste	rivestire	V					
d001.s009.t021	i		X					
d001.s009.t022	polmoni	polmone	N	bn:00052341n				
d001.s009.t023	,		X					
d001.s009.t024	generalmente	generalmente	R	bn:00114778r	bn:00114778r	bn:00114778r		
d001.s009.t025	provocato	provocare	V	bn:00084069v	bn:00084069v	bn:00084069v		
d001.s009.t026	dall		X					
d001.s009.t027	esposizione	esposizione	N	bn:00032375n	bn:00032379n	bn:00032379n	"Vulnerability to the elements; to the action of heat or cold or wind or rain or ""they died from exposure"";"	The state of being vulnerable or exposed
d001.s009.t028	all		X					
d001.s009.t029	amianto	amianto	N	bn:00006236n	bn:00006236n	bn:00006236n		
d001.s009.t030	)		X					
d001.s009.t031	.		X					
d001.s010.t001	Alimta	alimta	N	bn:00602447n	bn:00602447n	bn:00602447n		
d001.s010.t002	è	essere	V					
d001.s010.t003	utilizzato	utilizzare	V	bn:00082705v	bn:00082705v	bn:00082705v		
d001.s010.t004	in		X					
d001.s010.t005	combinazione	combinazione	N	bn:00020872n	bn:00114766r			
d001.s010.t006	con		X					
d001.s010.t007	cisplatino	cisplatino	N	bn:00577781n	bn:00577781n			
d001.s010.t008	(		X					
d001.s010.t009	un		X					
d001.s010.t010	altro	altro	J	bn:00097165a				
d001.s010.t011	farmaco	farmaco	N	bn:00024461n	bn:00054128n	bn:00054128n	A medicine or therapy that cures disease or relieve pain	(medicine) something that treats or prevents or alleviates the symptoms of disease
d001.s010.t012	antitumorale	antitumorale	J		bn:00054128n			
d001.s010.t013	)		X					
d001.s010.t014	quando		X					
d001.s010.t015	il		X					
d001.s010.t016	tumore	tumore	N	bn:00057267n	bn:00015180n			
d001.s010.t017	non		X					
d001.s010.t018	è	essere	V					
d001.s010.t019	asportabile	asportabile	J	bn:00109675a	bn:00092783v			
d001.s010.t020	(		X					
d001.s010.t021	non		X					
d001.s010.t022	può	potere	V					
d001.s010.t023	essere	essere	V					
d001.s010.t024	asportato	asportare	V	bn:00082144v				
d001.s010.t025	con		X					
d001.s010.t026	il		X					
d001.s010.t027	solo	solo	J		bn:00096871a	bn:00096871a		
d001.s010.t028	intervento	intervento	N	bn:00059129n	bn:00059129n	bn:00059129n		
d001.s010.t029	chirurgico	chirurgico	J	bn:00107916a				
d001.s010.t030	)		X					
d001.s010.t031	ed		X					
d001.s010.t032	è	essere	V					
d001.s010.t033	maligno	maligno	J	bn:00106363a	bn:00106363a	bn:00106363a		
d001.s010.t034	(		X					
d001.s010.t035	si		X					
d001.s010.t036	è	essere	V					
d001.s010.t037	diffuso	diffondere	V	bn:00093332v	bn:00092083v	bn:00092083v	Strew or distribute over an area	Become distributed or widespread
d001.s010.t038	,		X					
d001.s010.t039	o		X					
d001.s010.t040	è	essere	V					
d001.s010.t041	probabile	probabile	J	bn:00105981a	bn:00105981a	bn:00105981a		
d001.s010.t042	si		X					
d001.s010.t043	diffonda	diffondere	V	bn:00093332v	bn:00092083v	bn:00092083v	Strew or distribute over an area	Become distributed or widespread
d001.s010.t044	facilmente	facilmente	R	bn:00115155r	bn:00115155r	bn:00115155r		
d001.s010.t045	,		X					
d001.s010.t046	ad		X					
d001.s010.t047	altre		X		bn:00108011a			
d001.s010.t048	parti	parte	N	bn:00011769n	bn:00021395n	bn:00021395n	Any part of an organism such as an organ or extremity	Something determined in relation to something that includes it
d001.s010.t049	del		X					
d001.s010.t050	corpo	corpo	N	bn:00011744n	bn:00011744n	bn:00011744n		
d001.s010.t051	)		X					
d001.s010.t052	,		X					
d001.s010.t053	in		X					
d001.s010.t054	pazienti	paziente	N	bn:00061017n	bn:00061017n	bn:00061017n		
d001.s010.t055	che		X					
d001.s010.t056	non		X		bn:00116360r			
d001.s010.t057	sono	essere	V					
d001.s010.t058	stati	essere	V		bn:00087863v	bn:00087863v		
d001.s010.t059	sottoposti	sottoporre	V					
d001.s010.t060	in		X					
d001.s010.t061	precedenza	precedenza	N	bn:00004489n				
d001.s010.t062	a		X					
d001.s010.t063	chemioterapia	chemioterapia	N	bn:00018141n	bn:00018141n	bn:00018141n		
d001.s010.t064	il		X					
d001.s010.t065	carcinoma	carcinoma	N	bn:00052343n				
d001.s010.t066	polmonare	polmonare	J	bn:00108724a				
d001.s010.t067	non		X					
d001.s010.t068	a		X					
d001.s010.t069	piccole	piccolo	J	bn:00106058a				
d001.s010.t070	cellule	cellula	N	bn:00017027n	bn:00017027n	bn:00017027n		
d001.s010.t071	in		X					
d001.s010.t072	stadio	stadio	N	bn:00025966n				
d001.s010.t073	avanzato	avanzato	J	bn:00096532a	bn:00096528a	bn:00096528a	Far along in time	Comparatively late in a course of development
d001.s010.t074	o		X					
d001.s010.t075	metastatico	metastatico	J	bn:00106664a	bn:00106664a	bn:00106664a		
d001.s010.t076	che		X					
d001.s010.t077	non		X		bn:00116360r			
d001.s010.t078	interessa	interessare	V	bn:00083240v	bn:00082427v			
d001.s010.t079	le		X					
d001.s010.t080	cellule	cellula	N	bn:00073708n				
d001.s010.t081	squamose	squamoso	J		bn:00073708n	bn:00073708n		
d001.s010.t082	.		X					
d001.s011.t001	Alimta	alimta	N	bn:00602447n	bn:00602447n	bn:00602447n		
d001.s011.t002	è	essere	V					
d001.s011.t003	usato	usare	V	bn:00082705v	bn:00082705v	bn:00082705v		
d001.s011.t004	in		X					
d001.s011.t005	associazione	associazione	N	bn:00006541n	bn:00020872n	bn:00020872n	The state of being connected together as in memory or imagination	A collection of things that have been combined; an assemblage of separate parts or qualities
d001.s011.t006	con		X					
d001.s011.t007	cisplatino	cisplatino	N	bn:00577781n	bn:00577781n			
d001.s011.t008	in		X					
d001.s011.t009	pazienti	paziente	N	bn:00061017n	bn:00061017n	bn:00061017n		
d001.s011.t010	non		X		bn:00116360r			
d001.s011.t011	trattati	trattare	V	bn:00084532v	bn:00084532v	bn:00084532v		
d001.s011.t012	in		X					
d001.s011.t013	passato	passato	N	bn:00060927n				
d001.s011.t014	e		X					
d001.s011.t015	da		X					
d001.s011.t016	solo	solo	R	bn:00114234r				
d001.s011.t017	in		X					
d001.s011.t018	pazienti	paziente	N	bn:00061017n	bn:00061017n	bn:00061017n		
d001.s011.t019	che		X					
d001.s011.t020	in		X					
d001.s011.t021	passato	passato	N	bn:00060927n	bn:00060927n	bn:00060927n		
d001.s011.t022	sono	essere	V					
d001.s011.t023	stati	essere	V					
d001.s011.t024	sottoposti	sottoporre	V		bn:00087863v			
d001.s011.t025	ad		X					
d001.s011.t026	un		X					
d001.s011.t027	altro	altro	J	bn:00097165a				
d001.s011.t028	tipo	tipo	N	bn:00035907n	bn:00078798n	bn:00078798n	A category of things distinguished by some common characteristic or quality	A subdivision of a particular kind of thing
d001.s011.t029	di		X					
d001.s011.t030	chemioterapia	chemioterapia	N	bn:00018141n	bn:00018141n	bn:00018141n		
d001.s011.t031	.		X					
d001.s012.t001	Il		X					
d001.s012.t002	medicinale	medicinale	N	bn:00054128n	bn:00054128n	bn:00054128n		
d001.s012.t003	può	potere	V					
d001.s012.t004	essere	essere	V					
d001.s012.t005	ottenuto	ottenere	V	bn:00082276v				
d001.s012.t006	soltanto	soltanto	R	bn:00114234r	bn:00116450r	bn:00116450r	Without any others being included or involved	Never except when
d001.s012.t007	con		X					
d001.s012.t008	prescrizione	prescrizione	N	bn:08939907n	bn:00064195n	bn:00064195n		
d001.s012.t009	medica	medico	J					
d001.s012.t010	.		X					
d001.s013.t001	Come		X					
d001.s013.t002	si		X					
d001.s013.t003	usa	usare	V	bn:00082705v	bn:00082705v	bn:00082705v		
d001.s013.t004	Alimta	alimta	N	bn:00602447n	bn:00602447n	bn:00602447n		
d001.s013.t005	?		X					
d001.s014.t001	Alimta	alimta	N	bn:00602447n	bn:00602447n	bn:00602447n		
d001.s014.t002	deve	dovere	V					
d001.s014.t003	essere	essere	V					
d001.s014.t004	somministrato	somministrare	V	bn:00082365v	bn:00088826v	bn:00088826v	Give or apply (medications)	Give (as medicine)
d001.s014.t005	solamente	solamente	R	bn:00114234r	bn:00116450r	bn:00116450r	Without any others being included or involved	Never except when
d001.s014.t006	sotto		X					
d001.s014.t007	la		X					
d001.s014.t008	supervisione	supervisione	N	bn:00059908n	bn:00059908n	bn:00059908n		
d001.s014.t009	di		X					
d001.s014.t010	un		X					
d001.s014.t011	medico	medico	N	bn:00027976n	bn:00027976n	bn:00027976n		
d001.s014.t012	qualificato	qualificato	J	bn:00110711a				
d001.s014.t013	per		X					
d001.s014.t014	l		X					
d001.s014.t015	uso	uso	N	bn:00030627n	bn:00030627n	bn:00030627n		
d001.s014.t016	della		X					
d001.s014.t017	chemioterapia	chemioterapia	N	bn:00018141n	bn:00018141n	bn:00018141n		
d001.s014.t018	antitumorale	antitumorale	J		bn:00097220a			
d001.s014.t019	.		X					
d001.s015.t001	La		X					
d001.s015.t002	dose	dose	N	bn:00028320n	bn:00028320n	bn:00028320n		
d001.s015.t003	raccomandata	raccomandata	N					
d001.s015.t004	di		X					
d001.s015.t005	Alimta	alimta	N	bn:00602447n	bn:00602447n	bn:00602447n		
d001.s015.t006	è	essere	V					
d001.s015.t007	di		X					
d001.s015.t008	500		X					
d001.s015.t009	mg	mg	N	bn:00054701n	bn:00054701n	bn:00054701n		
d001.s015.t010	per		X					
d001.s015.t011	metro	metro	N	bn:00017102n	bn:00052501n	bn:00052501n	A centare is 1/100th of an are	The basic unit of length adopted under the Systeme International d'Unites (approximately 1.094 yards)
d001.s015.t012	quadrato	quadrato	N		bn:00017102n	bn:00017102n		
d001.s015.t013	di		X					
d001.s015.t014	superficie	superficie	N	bn:03551355n	bn:00005518n	bn:00005518n	In physiology and medicine, the body surface area is the measured or calculated surface area of a human body.	The extent of a 2-dimensional surface enclosed within a boundary
d001.s015.t015	corporea	corporeo	J	bn:00098649a	bn:00005518n			
d001.s015.t016	(		X					
d001.s015.t017	calcolata	calcolare	V	bn:00084373v	bn:00084373v	bn:00084373v		
d001.s015.t018	utilizzando	utilizzare	V	bn:00082705v	bn:00082705v	bn:00082705v		
d001.s015.t019	l		X					
d001.s015.t020	altezza	altezza	N	bn:00043544n	bn:00043545n	bn:00043545n	The vertical dimension of extension; distance from the base of something to the top	(of a standing person) the distance from head to foot
d001.s015.t021	e		X					
d001.s015.t022	il		X					
d001.s015.t023	peso	peso	N	bn:00080831n	bn:00080831n	bn:00080831n		
d001.s015.t024	del		X					
d001.s015.t025	paziente	paziente	N	bn:00061017n	bn:00061017n	bn:00061017n		
d001.s015.t026	)		X					
d001.s015.t027	da		X					
d001.s015.t028	somministrare	somministrare	V	bn:00082365v				
d001.s015.t029	per		X					
d001.s015.t030	infusione	infusione	N	bn:00047280n				
d001.s015.t031	endovenosa	endovenoso	J	bn:00102230a				
d001.s015.t032	in		X					
d001.s015.t033	10		X					
d001.s015.t034	minuti	minuto	N	bn:00055094n				
d001.s015.t035	una		X					
d001.s015.t036	volta	volta	N	bn:00019848n				
d001.s015.t037	ogni	ogni	J	bn:00102466a				
d001.s015.t038	tre	tre	J	bn:00095975a				
d001.s015.t039	settimane	settimana	N	bn:00043484n				
d001.s015.t040	.		X					
d001.s016.t001	Per		X					
d001.s016.t002	ridurre	ridurre	V	bn:00084079v	bn:00084079v	bn:00084079v		
d001.s016.t003	gli		X					
d001.s016.t004	effetti	effetto	N	bn:00021961n	bn:00029874n	bn:00029874n	A phenomenon that follows and is caused by some previous phenomenon	A symptom caused by an illness or a drug
d001.s016.t005	indesiderati	indesiderato	J		bn:00071445n			
d001.s016.t006	,		X					
d001.s016.t007	i		X					
d001.s016.t008	pazienti	paziente	N	bn:00061017n	bn:00061017n	bn:00061017n		
d001.s016.t009	devono	dovere	V					
d001.s016.t010	assumere	assumere	V	bn:00085689v	bn:00085689v	bn:00085689v		
d001.s016.t011	un		X					
d001.s016.t012	corticosteroide	corticosteroide	N	bn:00001507n	bn:00001507n	bn:00001507n		
d001.s016.t013	e		X					
d001.s016.t014	acido	acido	N	bn:00035585n	bn:00000902n	bn:00000902n	A B vitamin that is essential for cell growth and reproduction	Any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt
d001.s016.t015	folico	folico	J		bn:00035585n			
d001.s016.t016	(		X					
d001.s016.t017	un		X					
d001.s016.t018	tipo	tipo	N	bn:00035907n	bn:00078798n	bn:00078798n	A category of things distinguished by some common characteristic or quality	A subdivision of a particular kind of thing
d001.s016.t019	di		X					
d001.s016.t020	vitamina	vitamina	N	bn:00080147n	bn:00080147n	bn:00080147n		
d001.s016.t021	)		X					
d001.s016.t022	e		X					
d001.s016.t023	ricevere	ricevere	V	bn:00089246v				
d001.s016.t024	iniezioni	iniezione	N	bn:00046787n	bn:00046785n	bn:00046785n	The act of putting a liquid into the body by means of a syringe	Any solution that is injected (as into the skin)
d001.s016.t025	di		X					
d001.s016.t026	vitamina	vitamina	N	bn:00004712n	bn:00004712n	bn:00004712n		
d001.s016.t027	B12	b12	N					
d001.s016.t028	durante		X					
d001.s016.t029	il		X					
d001.s016.t030	trattamento	trattamento	N	bn:00047235n	bn:00047235n	bn:00047235n		
d001.s016.t031	con		X					
d001.s016.t032	Alimta	alimta	N	bn:00602447n	bn:00602447n	bn:00602447n		
d001.s016.t033	.		X					
d001.s017.t001	Quando	quando	R					
d001.s017.t002	Alimta	alimta	N	bn:00602447n	bn:00602447n	bn:00602447n		
d001.s017.t003	è	essere	V					
d001.s017.t004	somministrato	somministrare	V	bn:00082365v	bn:00088826v	bn:00088826v	Give or apply (medications)	Give (as medicine)
d001.s017.t005	con		X					
d001.s017.t006	cisplatino	cisplatino	N	bn:00577781n	bn:00577781n			
d001.s017.t007	,		X					
d001.s017.t008	i		X					
d001.s017.t009	pazienti	paziente	N	bn:00061017n				
d001.s017.t010	devono	dovere	V					
d001.s017.t011	assumere	assumere	V	bn:00085689v	bn:00114246r			
d001.s017.t012	un		X					
d001.s017.t013	farmaco	farmaco	N	bn:00004656n	bn:00054128n	bn:00054128n	A drug that prevents or alleviates nausea and vomiting	(medicine) something that treats or prevents or alleviates the symptoms of disease
d001.s017.t014	antiemetico	antiemetico	N	bn:00004656n				
d001.s017.t015	(		X					
d001.s017.t016	per		X					
d001.s017.t017	prevenire	prevenire	V	bn:00082954v	bn:00088454v	bn:00088454v	Prevent the occurrence of; prevent from happening	Keep from happening or arising; make impossible
d001.s017.t018	il		X					
d001.s017.t019	vomito	vomito	N	bn:00027565n				
d001.s017.t020	)		X					
d001.s017.t021	e		X					
d001.s017.t022	ricevere	ricevere	V	bn:00089246v	bn:00088826v			
d001.s017.t023	un		X					
d001.s017.t024	adeguata	adeguato	J	bn:00096446a				
d001.s017.t025	idratazione	idratazione	N	bn:00045347n	bn:00035426n			
d001.s017.t026	(		X					
d001.s017.t027	per		X					
d001.s017.t028	prevenire	prevenire	V	bn:00082954v	bn:00088454v	bn:00088454v	Prevent the occurrence of; prevent from happening	Keep from happening or arising; make impossible
d001.s017.t029	la		X					
d001.s017.t030	disidratazione	disidratazione	N	bn:00025982n				
d001.s017.t031	)		X					
d001.s017.t032	prima	prima	R	bn:00114185r	bn:00114512r	bn:00114512r	Ahead of time; in anticipation	Earlier in time; previously
d001.s017.t033	o		X					
d001.s017.t034	dopo	dopo	R	bn:00114165r	bn:00114165r	bn:00114165r		
d001.s017.t035	l		X					
d001.s017.t036	assunzione	assunzione	N	bn:00022107n	bn:00028320n			
d001.s017.t037	di		X					
d001.s017.t038	cisplatino	cisplatino	N	bn:00577781n	bn:00577781n			
d001.s017.t039	.		X					
d001.s018.t001	Il		X					
d001.s018.t002	trattamento	trattamento	N	bn:00047235n	bn:00047235n	bn:00047235n		
d001.s018.t003	deve	dovere	V					
d001.s018.t004	essere	essere	V					
d001.s018.t005	posticipato	posticipare	V	bn:00086459v	bn:00086514v	bn:00086514v	Hold back to a later time	Cause to be slowed down or delayed
d001.s018.t006	o		X					
d001.s018.t007	interrotto	interrompere	V	bn:00082149v	bn:00083908v	bn:00083908v	Terminate before completion	Prevent completion
d001.s018.t008	,		X					
d001.s018.t009	o		X					
d001.s018.t010	la		X					
d001.s018.t011	dose	dose	N	bn:00028320n	bn:00028320n	bn:00028320n		
d001.s018.t012	deve	dovere	V					
d001.s018.t013	essere	essere	V					
d001.s018.t014	ridotta	ridurre	V	bn:00084079v	bn:00084079v	bn:00084079v		
d001.s018.t015	,		X					
d001.s018.t016	nei		X					
d001.s018.t017	pazienti	paziente	N	bn:00061017n	bn:00061017n	bn:00061017n		
d001.s018.t018	con		X					
d001.s018.t019	alterazioni	alterazione	N	bn:00017653n	bn:00096158a			
d001.s018.t020	nelle		X					
d001.s018.t021	conte	conta	N					
d001.s018.t022	ematiche	ematico	J	bn:00103861a				
d001.s018.t023	o		X					
d001.s018.t024	che		X					
d001.s018.t025	riportano	riportare	V	bn:00082233v	bn:00088745v			
d001.s018.t026	altri		X		bn:00108011a			
d001.s018.t027	effetti	effetto	N	bn:00021961n	bn:00029874n	bn:00029874n	A phenomenon that follows and is caused by some previous phenomenon	A symptom caused by an illness or a drug
d001.s018.t028	indesiderati	indesiderato	J					
d001.s018.t029	.		X					
d001.s019.t001	L		X					
d001.s019.t002	impiego	impiego	N	bn:00030627n	bn:00030627n	bn:00030627n		
d001.s019.t003	di		X					
d001.s019.t004	Alimta	alimta	N	bn:00602447n	bn:00602447n	bn:00602447n		
d001.s019.t005	è	essere	V					
d001.s019.t006	sconsigliato	sconsigliare	J		bn:00082418v			
d001.s019.t007	nei		X					
d001.s019.t008	pazienti	paziente	N	bn:00061017n	bn:00061017n	bn:00061017n		
d001.s019.t009	con		X					
d001.s019.t010	insufficienza	insufficienza	N	bn:00067102n	bn:00048242n			
d001.s019.t011	renale	renale	J		bn:00049083n	bn:00049083n		
d001.s019.t012	grave	grave	J	bn:00100896a	bn:00110473a	bn:00110473a	Causing fear or anxiety by threatening great harm	Very bad in degree or extent
d001.s019.t013	o		X					
d001.s019.t014	moderata	moderato	J	bn:00106826a	bn:00106826a	bn:00106826a		
d001.s019.t015	.		X					
d001.s020.t001	Per		X					
d001.s020.t002	maggiori	maggiore	J	bn:00104887a	bn:00106935a	bn:00106935a	Made greater in size or amount or degree	(comparative of `much' used with mass nouns) a quantifier meaning greater in size or amount or extent or degree
