Token ID	Token	Lemma	POS	BN Synset	Token ID ES	Token ES	Lemma ES	POS ES	Sense ES
d001.s003.t012	contact	contact	VERB	bn:00085696v	d001.s003.t028	pregunte	preguntar	V	bn:00085696v
	your	you	PRON		d001.s003.t030	su		X	
d001.s003.t013	doctor	doctor	NOUN	bn:00027976n	d001.s003.t031	médico	médico	N	bn:00027976n
	or	or	CONJ		d001.s003.t032	o		X	
d001.s003.t014	pharmacist	pharmacist	NOUN	bn:00004992n	d001.s003.t034	farmacéutico	farmacéutico	N	bn:00004992n
	.	.	.		d001.s003.t035	.		X	
	-end-	-end-	-end-						
	If	if	ADP		d001.s004.t001	Si		X	
	you	you	PRON						
d001.s004.t001	want	want	VERB	bn:00086682v	d001.s004.t002	desea	desear	V	bn:00086682v
d001.s004.t002	more	more	ADJ	bn:00106935a	d001.s004.t003	más	más	R	bn:00106935a
d001.s004.t003	information	information	NOUN	bn:00025314n	d001.s004.t004	información	información	N	bn:00025314n
	on	on	ADP		d001.s004.t005	sobre		X	
	the	the	DET		d001.s004.t006	el		X	
d001.s004.t004	basis	basis	NOUN	bn:00008870n	d001.s004.t007	fundamento	fundamento	N	bn:00008870n
	of	of	ADP						
	the	the	DET						
	CHMP	chmp	NOUN		d001.s004.t017	CHMP	chmp	N	
d001.s004.t005	recommendations	recommendation	NOUN	bn:00066562n	d001.s004.t015	recomendaciones	recomendación	N	bn:00066562n
	,	,	.		d001.s004.t018	,		X	
d001.s004.t006	read	read	VERB	bn:00092424v	d001.s004.t022	lea	leer	V	bn:00092424v
	the	the	DET		d001.s004.t023	el		X	
d001.s004.t007	Scientific	scientific	ADJ	bn:00110176a					
d001.s004.t008	Discussion	discussion	NOUN	bn:00027523n	d001.s004.t024	Debate	debate	N	bn:00027523n
	(	(	.		d001.s004.t026	(		X	
d001.s004.t009	also	also	ADV	bn:00114246r	d001.s004.t027	también	también	R	bn:00114246r
d001.s004.t010	part	part	NOUN	bn:00027912n					
	of	of	ADP						
	the	the	DET		d001.s004.t030	el		X	
	EPAR	epar	NOUN		d001.s004.t031	EPAR	epar	N	
	)	)	.		d001.s004.t032	)		X	
	.	.	.		d001.s004.t033	.		X	
	-end-	-end-	-end-						
	What	what	PRON		d001.s005.t001	¿Qué		X	
	is	be	VERB		d001.s005.t002	es	ser	V	
	Alimta	alimta	NOUN		d001.s005.t003	Alimta	alimta	N	
	?	?	.		d001.s005.t004	?		X	
	-end-	-end-	-end-						
	Alimta	alimta	NOUN		d001.s006.t001	Alimta	alimta	N	
	is	be	VERB		d001.s006.t002	es	ser	V	
	a	a	DET		d001.s006.t003	un		X	
d001.s006.t001	powder	powder	NOUN	bn:00063927n					
	that	that	DET		d001.s006.t007	que		X	
	is	be	VERB						
d001.s006.t002	made up	make_up	VERB	bn:00083187v	d001.s006.t009	prepara	preparar	V	bn:00083187v
	into	into	ADP						
	a	a	DET		d001.s006.t010	una		X	
d001.s006.t003	solution	solution	NOUN	bn:00072760n	d001.s006.t011	solución	solución	N	bn:00072760n
	for	for	ADP		d001.s006.t012	para		X	
d001.s006.t004	infusion	infusion	NOUN	bn:00046734n	d001.s006.t013	perfusión	perfusión	N	bn:00046734n
	(	(	.		d001.s006.t014	(		X	
d001.s006.t005	drip	drip	VERB	bn:00087306v	d001.s006.t015	goteo	goteo	N	bn:00087306v
	into	into	ADP		d001.s006.t016	en		X	
	a	a	DET						
d001.s006.t006	vein	vein	NOUN	bn:00079681n	d001.s006.t017	vena	vena	N	bn:00079681n
	)	)	.		d001.s006.t018	)		X	
	.	.	.		d001.s006.t019	.		X	
	-end-	-end-	-end-						
	It	it	PRON						
d001.s007.t001	contains	contain	VERB	bn:00085499v	d001.s007.t001	Contiene	contener	V	bn:00085499v
	the	the	DET		d001.s007.t002	el		X	
d001.s007.t002	active	active	ADJ	bn:00096387a	d001.s007.t004	activo	activo	J	bn:00096387a
d001.s007.t003	substance	substance	NOUN	bn:00074987n					
	pemetrexed	pemetrex	VERB		d001.s007.t005	pemetrexed	pemetrexed	N	
	.	.	.		d001.s007.t006	.		X	
	-end-	-end-	-end-						
	What	what	PRON		d001.s008.t002	qué		X	
	is	be	VERB						
	Alimta	alimta	NOUN		d001.s008.t005	Alimta	alimta	N	
d001.s008.t001	used	use	VERB	bn:00082705v	d001.s008.t004	utiliza	utilizar	V	bn:00082705v
	for	for	ADP						
	?	?	.		d001.s008.t006	?		X	
	-end-	-end-	-end-						
	Alimta	alimta	NOUN		d001.s009.t001	Alimta	alimta	N	
	is	be	VERB		d001.s009.t002	está	estar	V	
d001.s009.t001	used	use	VERB	bn:00082705v	d001.s009.t003	indicado	indicar	V	bn:00082705v
	to	to	PRT		d001.s009.t004	para		X	
d001.s009.t002	treat	treat	VERB	bn:00084532v	d001.s009.t006	tratamiento	tratamiento	N	bn:00084532v
	two	two	NUM		d001.s009.t008	dos		X	
d001.s009.t003	types	type	NOUN	bn:00078798n	d001.s009.t009	tipos	tipo	N	bn:00078798n
	of	of	ADP		d001.s009.t010	de		X	
d001.s009.t004	cancer	cancer	NOUN	bn:00015180n	d001.s009.t011	cáncer	cáncer	N	bn:00015180n
	:	:	.		d001.s009.t012	:		X	
d001.s009.t005	pleural	pleural	ADJ	bn:00108692a	d001.s009.t014	pleural	pleural	J	bn:00108692a
d001.s009.t006	mesothelioma	mesothelioma	NOUN	bn:00054512n	d001.s009.t013	mesotelioma	mesotelioma	N	bn:00054512n
	(	(	.		d001.s009.t015	(		X	
d001.s009.t007	cancer	cancer	NOUN	bn:00015180n	d001.s009.t016	cáncer	cáncer	N	bn:00015180n
	of	of	ADP		d001.s009.t017	del		X	
	the	the	DET						
d001.s009.t008	lining	lining	NOUN	bn:00051366n	d001.s009.t018	revestimiento	revestimiento	N	bn:00051366n
	of	of	ADP		d001.s009.t019	de		X	
	the	the	DET		d001.s009.t020	los		X	
d001.s009.t009	lungs	lung	NOUN	bn:00052341n	d001.s009.t021	pulmones	pulmón	N	bn:00052341n
	that	that	DET						
	is	be	VERB						
d001.s009.t010	usually	usually	ADV	bn:00114778r	d001.s009.t023	generalmente	generalmente	R	bn:00114778r
d001.s009.t011	caused	cause	VERB	bn:00084699v	d001.s009.t022	causado	causar	V	bn:00084699v
	by	by	ADP		d001.s009.t024	por		X	
d001.s009.t012	exposure	exposure	NOUN	bn:00032384n	d001.s009.t026	exposición	exposición	N	bn:00032384n
	to	to	PRT		d001.s009.t027	al		X	
d001.s009.t013	asbestos	asbestos	NOUN	bn:00006236n	d001.s009.t028	amianto	amianto	N	bn:00006236n
	)	)	.		d001.s009.t029	)		X	
	.	.	.		d001.s009.t030	.		X	
	-end-	-end-	-end-						
	Alimta	alimta	NOUN		d001.s010.t001	Alimta	alimta	N	
	is	be	VERB		d001.s010.t002	se		X	
d001.s010.t001	used	use	VERB	bn:00082705v	d001.s010.t003	administra	administrar	V	bn:00082705v
d001.s010.t002	together with	together_with	ADV	bn:00114766r	d001.s010.t005➕d001.s010.t006	combinación➕con	combinación	N➕X	bn:00114766r
	cisplatin	cisplatin	X		d001.s010.t007	cisplatino	cisplatino	N	
	(	(	.		d001.s010.t008	(		X	
	another	another	DET		d001.s010.t009	otro		X	
d001.s010.t003	anticancer	anticancer	ADJ	bn:00097220a	d001.s010.t011	contra		X	bn:00097220a
d001.s010.t004	medicine	medicine	NOUN	bn:00054128n	d001.s010.t010	medicamento	medicamento	N	bn:00054128n
	)	)	.		d001.s010.t014	)		X	
	when	when	ADV		d001.s010.t015	cuando		X	
	the	the	DET		d001.s010.t016	el		X	
d001.s010.t005	cancer	cancer	NOUN	bn:00015180n	d001.s010.t013	cáncer	cáncer	N	bn:00015180n
	is	be	VERB		d001.s010.t020	es	ser	V	
	unresectable	unresectable	ADJ		d001.s010.t021	resecable	resecable	J	
	(	(	.		d001.s010.t023	(		X	
	cannot	cannot	X		d001.s010.t025	puede	poder	V	
	be	be	VERB						
d001.s010.t006	removed	remove	VERB	bn:00092783v					
	by	by	ADP		d001.s010.t028	mediante		X	
d001.s010.t007	surgery	surgery	NOUN	bn:00059129n	d001.s010.t029	cirugía	cirugía	N	bn:00059129n
d001.s010.t008	alone	alone	ADJ	bn:00096871a	d001.s010.t027	sólo	sólo	R	bn:00096871a
	)	)	.		d001.s010.t030	)		X	
	and	and	CONJ		d001.s010.t031	y		X	
d001.s010.t009	malignant	malignant	ADJ	bn:00106363a	d001.s010.t034	maligno	maligno	J	bn:00106363a
	(	(	.		d001.s010.t036	(		X	
	has	have	VERB		d001.s010.t038	ha	haber	V	
d001.s010.t010	spread	spread	VERB	bn:00092083v	d001.s010.t039	extendido	extender	V	bn:00092083v
	,	,	.		d001.s010.t040	,		X	
	or	or	CONJ		d001.s010.t041	o		X	
	is	be	VERB						
d001.s010.t011	likely	likely	ADJ	bn:00105982a	d001.s010.t043	probable	probable	J	bn:00105982a
	to	to	PRT		d001.s010.t044	que		X	
d001.s010.t012	spread	spread	VERB	bn:00092083v					
d001.s010.t013	easily	easily	ADV	bn:00115155r	d001.s010.t047	fácilmente	fácilmente	R	bn:00115155r
	,	,	.		d001.s010.t048	,		X	
	to	to	PRT		d001.s010.t049	a		X	
d001.s010.t014	other	other	ADJ	bn:00108011a	d001.s010.t050	otras		X	bn:00108011a
d001.s010.t015	parts	part	NOUN	bn:00060765n	d001.s010.t051	partes	parte	N	bn:00060765n
	of	of	ADP		d001.s010.t052	del		X	
	the	the	DET						
d001.s010.t016	body	body	NOUN	bn:00011744n	d001.s010.t053	cuerpo	cuerpo	N	bn:00011744n
	)	)	.		d001.s010.t054	)		X	
	,	,	.		d001.s010.t055	,		X	
	in	in	ADP		d001.s010.t056	en		X	
d001.s010.t017	patients	patient	NOUN	bn:00061017n	d001.s010.t057	pacientes	paciente	N	bn:00061017n
	who	who	PRON		d001.s010.t058	que		X	
	have	have	VERB		d001.s010.t060	han	haber	V	
d001.s010.t018	not	not	ADV	bn:00116360r	d001.s010.t059	no	no	R	bn:00116360r
d001.s010.t019	received	receive	VERB	bn:00087863v	d001.s010.t061	recibido	recibir	V	bn:00087863v
d001.s010.t020	chemotherapy	chemotherapy	NOUN	bn:00018141n	d001.s010.t062	quimioterapia	quimioterapia	N	bn:00018141n
	(	(	.		d001.s010.t063	(		X	
d001.s010.t021	medicines	medicine	NOUN	bn:00054128n	d001.s010.t064	medicamentos	medicamento	N	bn:00054128n
	for	for	ADP						
d001.s010.t022	cancer	cancer	NOUN	bn:00015180n					
	)	)	.		d001.s010.t068	)		X	
	before	before	ADP		d001.s010.t069	previamente	previamente	R	
d001.s010.t023	advanced	advanced	ADJ	bn:00096528a	d001.s010.t078	avanzado	avanzado	J	bn:00096528a
	or	or	CONJ		d001.s010.t079	o		X	
d001.s010.t024	metastatic	metastatic	ADJ	bn:00106664a	d001.s010.t080	metastásico	metastásico	N	bn:00106664a
	non-small	non-small	ADJ						
d001.s010.t025	cell	cell	NOUN	bn:00017027n					
d001.s010.t026	lung cancer	lung_cancer	NOUN	bn:00052343n	d001.s010.t071	cáncer	cáncer	N	bn:00052343n
	that	that	DET		d001.s010.t081	que		X	
	is	be	VERB						
d001.s010.t027	not	not	ADV	bn:00116360r	d001.s010.t082	no	no	R	bn:00116360r
d001.s010.t028	affecting	affect	VERB	bn:00082427v	d001.s010.t083	afecte	afectar	V	bn:00082427v
	the	the	DET						
d001.s010.t029	squamous cells	squamous_cell	NOUN	bn:00073708n	d001.s010.t086➕d001.s010.t088	células➕escamosas	célula	N➕J	bn:00073708n
	.	.	.		d001.s010.t090	.		X	
	-end-	-end-	-end-						
	Alimta	alimta	NOUN		d001.s011.t001	Alimta	alimta	N	
	is	be	VERB		d001.s011.t002	se		X	
d001.s011.t001	used	use	VERB	bn:00082705v	d001.s011.t003	utiliza	utilizar	V	bn:00082705v
	in	in	ADP		d001.s011.t004	en		X	
d001.s011.t002	combination	combination	NOUN	bn:00020878n	d001.s011.t005	combinación	combinación	N	bn:00020878n
	with	with	ADP		d001.s011.t006	con		X	
	cisplatin	cisplatin	NOUN		d001.s011.t007	cisplatino	cisplatino	N	
	in	in	ADP		d001.s011.t008	en		X	
d001.s011.t003	patients	patient	NOUN	bn:00061017n	d001.s011.t009	pacientes	paciente	N	bn:00061017n
	who	who	PRON		d001.s011.t010	que		X	
	have	have	VERB		d001.s011.t012	han	haber	V	
d001.s011.t004	not	not	ADV	bn:00116360r	d001.s011.t011	no	no	R	bn:00116360r
	been	be	VERB		d001.s011.t013	sido	ser	V	
d001.s011.t005	treated	treat	VERB	bn:00084532v	d001.s011.t014	tratados	tratar	V	bn:00084532v
	before	before	ADV		d001.s011.t015	previamente	previamente	R	
	,	,	.						
	and	and	CONJ		d001.s011.t016	y		X	
	on	on	ADP						
	its	its	PRON						
	own	own	ADJ						
	in	in	ADP		d001.s011.t019	en		X	
d001.s011.t006	patients	patient	NOUN	bn:00061017n	d001.s011.t020	pacientes	paciente	N	bn:00061017n
	who	who	PRON		d001.s011.t021	que		X	
	have	have	VERB		d001.s011.t022	han	haber	V	
d001.s011.t007	received	receive	VERB	bn:00087863v					
	another	another	DET		d001.s011.t027	otros		X	
d001.s011.t008	type	type	NOUN	bn:00078798n	d001.s011.t028	tipos	tipo	N	bn:00078798n
	of	of	ADP		d001.s011.t029	de		X	
d001.s011.t009	chemotherapy	chemotherapy	NOUN	bn:00018141n	d001.s011.t030	quimioterapia	quimioterapia	N	bn:00018141n
	in	in	ADP						
	the	the	DET						
d001.s011.t010	past	past	NOUN	bn:00060928n					
	.	.	.		d001.s011.t031	.		X	
	-end-	-end-	-end-						
	The	the	DET		d001.s012.t001	Este		X	
d001.s012.t001	medicine	medicine	NOUN	bn:00054128n	d001.s012.t002	medicamento	medicamento	N	bn:00054128n
	can	can	VERB		d001.s012.t004	podrá	poder	V	
d001.s012.t002	only	only	ADV	bn:00116450r	d001.s012.t003	sólo	sólo	R	bn:00116450r
	be	be	VERB		d001.s012.t005	dispensarse	dispensar	V	
d001.s012.t003	obtained	obtain	VERB	bn:00091124v	d001.s012.t005	dispensarse	dispensar	V	bn:00091124v
	with	with	ADP		d001.s012.t006	con		X	
	a	a	DET						
d001.s012.t004	prescription	prescription	NOUN	bn:00064195n	d001.s012.t007	receta	receta	N	bn:00064195n
	.	.	.		d001.s012.t009	.		X	
	-end-	-end-	-end-						
	How	how	ADV		d001.s013.t001	¿Cómo	¿cómo	N	
	is	be	VERB						
	Alimta	alimta	NOUN		d001.s013.t004	Alimta	alimta	N	
d001.s013.t001	used	use	VERB	bn:00082705v	d001.s013.t003	usa	usar	V	bn:00082705v
	?	?	.		d001.s013.t005	?		X	
	-end-	-end-	-end-						
	Alimta	alimta	NOUN		d001.s014.t001	Alimta	alimta	N	
	should	should	VERB		d001.s014.t003	debe	deber	V	
d001.s014.t001	only	only	ADV	bn:00116450r	d001.s014.t002	sólo	sólo	R	bn:00116450r
	be	be	VERB		d001.s014.t004	administrarse	administrar	V	
d001.s014.t002	given	give	VERB	bn:00088826v	d001.s014.t004	administrarse	administrar	V	bn:00088826v
	under	under	ADP		d001.s014.t005	bajo		X	
	the	the	DET		d001.s014.t006	la		X	
d001.s014.t003	supervision	supervision	NOUN	bn:00059908n	d001.s014.t007	supervisión	supervisión	N	bn:00059908n
	of	of	ADP		d001.s014.t008	de		X	
	a	a	DET		d001.s014.t009	un		X	
d001.s014.t004	doctor	doctor	NOUN	bn:00027976n	d001.s014.t010	médico	médico	N	bn:00027976n
	who	who	PRON						
	is	be	VERB		d001.s014.t011	cualificado	cualificar	V	
	qualified	qualify	VERB		d001.s014.t011	cualificado	cualificar	V	
	in	in	ADP		d001.s014.t012	en		X	
	the	the	DET		d001.s014.t013	el		X	
d001.s014.t005	use	use	NOUN	bn:00030627n	d001.s014.t014	uso	uso	N	bn:00030627n
	of	of	ADP		d001.s014.t015	de		X	
d001.s014.t006	anticancer	anticancer	ADJ	bn:00097220a	d001.s014.t017➕d001.s014.t019	contra➕cáncer		X➕N	bn:00097220a
d001.s014.t007	chemotherapy	chemotherapy	NOUN	bn:00018141n	d001.s014.t016	quimioterapia	quimioterapia	N	bn:00018141n
	.	.	.		d001.s014.t020	.		X	
	-end-	-end-	-end-						
	The	the	DET		d001.s015.t001	La		X	
	recommended	recommend	VERB		d001.s015.t003	recomendada	recomendar	V	
d001.s015.t001	dose	dose	NOUN	bn:00028320n	d001.s015.t002	dosis	dosis	N	bn:00028320n
	of	of	ADP		d001.s015.t004	de		X	
	Alimta	alimta	NOUN		d001.s015.t005	Alimta	alimta	N	
	is	be	VERB		d001.s015.t006	es	ser	V	
	500	500	NUM		d001.s015.t008	500		X	
d001.s015.t002	mg	mg	NOUN	bn:00054701n	d001.s015.t009	mg	mg	N	bn:00054701n
	per	per	ADP		d001.s015.t010	por		X	
d001.s015.t003	square metre	square_metre	NOUN	bn:00017102n	d001.s015.t011	metro	metro	N	bn:00017102n
	of	of	ADP		d001.s015.t013	de		X	
d001.s015.t004	body	body	NOUN	bn:00011744n	d001.s015.t015	corporal	corporal	J	bn:00011744n
d001.s015.t005	surface area	surface_area	NOUN	bn:00005518n	d001.s015.t014	superficie	superficie	N	bn:00005518n
	(	(	.		d001.s015.t016	(		X	
d001.s015.t006	calculated	calculate	VERB	bn:00084373v	d001.s015.t017	calculada	calcular	V	bn:00084373v
d001.s015.t007	using	use	VERB	bn:00082705v	d001.s015.t018	a partir de		X	bn:00082705v
	the	the	DET		d001.s015.t024	del		X	
d001.s015.t008	patient	patient	NOUN	bn:00061017n	d001.s015.t025	paciente	paciente	N	bn:00061017n
	s	s	NOUN						
d001.s015.t009	height	height	NOUN	bn:00043545n	d001.s015.t020	estatura	estatura	N	bn:00043545n
	and	and	CONJ		d001.s015.t021	y		X	
d001.s015.t010	weight	weight	NOUN	bn:00080831n	d001.s015.t023	peso	peso	N	bn:00080831n
	)	)	.		d001.s015.t026	)		X	
	.	.	.		d001.s015.t027	.		X	
	It	it	PRON						
	is	be	VERB		d001.s015.t028	Se		X	
d001.s015.t011	given	give	VERB	bn:00088826v	d001.s015.t029	administra	administrar	V	bn:00088826v
d001.s015.t012	once	once	ADV	bn:00115811r	d001.s015.t031	vez	vez	N	bn:00115811r
d001.s015.t013	every	every	ADJ	bn:00102467a	d001.s015.t032	cada		X	bn:00102467a
	three	three	NUM		d001.s015.t033	tres		X	
d001.s015.t014	weeks	week	NOUN	bn:00043484n	d001.s015.t034	semanas	semana	N	bn:00043484n
	as	as	ADP		d001.s015.t035	por		X	
	an	a	DET						
d001.s015.t015	intravenous	intravenous	ADJ	bn:00102230a	d001.s015.t037	intravenosa	intravenoso	J	bn:00102230a
d001.s015.t016	infusion	infusion	NOUN	bn:00046734n	d001.s015.t036	perfusión	perfusión	N	bn:00046734n
d001.s015.t017	lasting	last	VERB	bn:00087620v					
	10	10	NUM		d001.s015.t039	10		X	
d001.s015.t018	minutes	minute	NOUN	bn:00055094n	d001.s015.t040	minutos	minuto	N	bn:00055094n
	.	.	.		d001.s015.t041	.		X	
	-end-	-end-	-end-						
	To	to	PRT		d001.s016.t001	Con		X	
d001.s016.t001	reduce	reduce	VERB	bn:00092595v	d001.s016.t005	reducir	reducir	V	bn:00092595v
d001.s016.t002	side effects	side_effect	NOUN	bn:00071445n	d001.s016.t007	efectos	efecto	N	bn:00071445n
	,	,	.		d001.s016.t009	,		X	
d001.s016.t003	patients	patient	NOUN	bn:00061017n	d001.s016.t011	pacientes	paciente	N	bn:00061017n
	should	should	VERB		d001.s016.t012	deben	deber	V	
d001.s016.t004	take	take	VERB	bn:00085689v					
	a	a	DET		d001.s016.t014	un		X	
d001.s016.t005	corticosteroid	corticosteroid	NOUN	bn:00001507n	d001.s016.t015	corticosteroide	corticosteroide	N	bn:00001507n
	and	and	CONJ		d001.s016.t016	y		X	
d001.s016.t006	folic acid	folic_acid	NOUN	bn:00035585n	d001.s016.t017➕d001.s016.t018	ácido➕fólico	ácido	N➕J	bn:00035585n
	(	(	.		d001.s016.t019	(		X	
	a	a	DET		d001.s016.t020	un		X	
d001.s016.t007	type	type	NOUN	bn:00078798n	d001.s016.t021	tipo	tipo	N	bn:00078798n
	of	of	ADP		d001.s016.t022	de		X	
d001.s016.t008	vitamin	vitamin	NOUN	bn:00080147n	d001.s016.t023	vitamina	vitamina	N	bn:00080147n
	)	)	.		d001.s016.t024	)		X	
	,	,	.		d001.s016.t025	,		X	
	and	and	CONJ						
	receive	receive	VERB		d001.s016.t013	recibir	recibir	V	
d001.s016.t009	injections	injection	NOUN	bn:00046787n	d001.s016.t027	inyecciones	inyección	N	bn:00046787n
	of	of	ADP		d001.s016.t028	de		X	
d001.s016.t010	vitamin B12	vitamin_b12	NOUN	bn:00004712n	d001.s016.t029➕d001.s016.t030	vitamina➕B12	vitamina	N➕X	bn:00004712n
	during	during	ADP		d001.s016.t031	durante		X	
d001.s016.t011	treatment	treatment	NOUN	bn:00047235n	d001.s016.t033	tratamiento	tratamiento	N	bn:00047235n
	with	with	ADP		d001.s016.t034	con		X	
	Alimta	alimta	NOUN		d001.s016.t035	Alimta	alimta	N	
	.	.	.		d001.s016.t036	.		X	
	-end-	-end-	-end-						
	When	when	ADV		d001.s017.t001	Cuando		X	
	Alimta	alimta	NOUN		d001.s017.t002	Alimta	alimta	N	
	is	be	VERB		d001.s017.t003	se		X	
d001.s017.t001	given	give	VERB	bn:00088826v	d001.s017.t004	utiliza	utilizar	V	bn:00088826v
	with	with	ADP		d001.s017.t006	con		X	
	cisplatin	cisplatin	NOUN		d001.s017.t007	cisplatino	cisplatino	N	
	,	,	.		d001.s017.t008	,		X	
	an	a	DET		d001.s017.t012	un		X	
	anti-emetic	anti-emetic	ADJ		d001.s017.t015	antiemético	antiemético	N	
d001.s017.t002	medicine	medicine	NOUN	bn:00054128n	d001.s017.t013	medicamento	medicamento	N	bn:00054128n
	(	(	.		d001.s017.t017	(		X	
	to	to	PRT						
d001.s017.t003	prevent	prevent	VERB	bn:00088454v					
d001.s017.t004	vomiting	vomit	VERB	bn:00083115v	d001.s017.t021	vómitos	vómito	N	bn:00083115v
	)	)	.		d001.s017.t022	)		X	
	and	and	CONJ		d001.s017.t023	y		X	
d001.s017.t005	fluids	fluid	NOUN	bn:00035426n	d001.s017.t024	líquidos	líquido	N	bn:00035426n
	(	(	.		d001.s017.t025	(		X	
	to	to	PRT		d001.s017.t018	para		X	
d001.s017.t006	prevent	prevent	VERB	bn:00088454v	d001.s017.t019	evitar	evitar	V	bn:00088454v
d001.s017.t007	dehydration	dehydration	NOUN	bn:00025983n	d001.s017.t029	deshidratación	deshidratación	N	bn:00025983n
	)	)	.		d001.s017.t030	)		X	
	should	should	VERB		d001.s017.t009	hay que	haber~que	V	
d001.s017.t008	also	also	ADV	bn:00114246r	d001.s017.t011	además	además	R	bn:00114246r
	be	be	VERB						
