Start Sense
f001.s025.t001 bn:00602447n
f001.s025.t004 bn:00082596v
f001.s025.t006 bn:00082596v
f001.s026.t002 bn:00047235n
f001.s026.t003 bn:00054512n
f001.s026.t005 bn:00108692a
f001.s026.t007 bn:00602447n
f001.s026.t010 bn:00074790n
f001.s026.t011 bn:00099598a
f001.s026.t015 bn:00061017n
f001.s026.t017 bn:00114512r
f001.s026.t018 bn:00018141n
f001.s026.t020 bn:00027546n
f001.s026.t022 bn:00087863v
f001.s026.t023 bn:00116360r
f001.s026.t026 bn:00082596v
f001.s026.t028 bn:00082596v
f001.s027.t001 bn:00029874n
f001.s027.t002 bn:00602447n
f001.s027.t004 bn:00020872n
f001.s027.t006 bn:00577781n
f001.s027.t007 bn:00577781n
f001.s027.t009 bn:00577781n
f001.s027.t010 bn:00577781n
f001.s027.t012 bn:00114234r
f001.s027.t013 bn:00085450v
f001.s028.t002 bn:00047235n
f001.s028.t003 bn:00015180n
f001.s028.t004 bn:00052341n
f001.s028.t005 bn:00017027n
f001.s028.t009 bn:00029874n
f001.s028.t010 bn:00602447n
f001.s028.t013 bn:01537207n
f001.s028.t016 bn:00054128n
f001.s028.t017 bn:00097220a
f001.s028.t018 bn:00097220a
f001.s028.t023 bn:00074790n
f001.s028.t024 bn:00089893v
f001.s028.t025 bn:00089893v
f001.s028.t027 bn:00061017n
f001.s028.t030 bn:00027546n
f001.s028.t031 bn:00096528a
f001.s028.t032 bn:00116147r
f001.s028.t034 bn:00106664a
f001.s028.t038 bn:00060927n
f001.s028.t039 bn:00018141n
f001.s028.t040 bn:00087863v
f001.s028.t042 bn:00085450v
f001.s029.t001 bn:00602447n
f001.s029.t002 bn:00114246r
f001.s029.t004 bn:00848690n
f001.s029.t006 bn:00089893v
f001.s029.t009 bn:00054128n
f001.s029.t010 bn:00097220a
f001.s029.t011 bn:00097220a
f001.s029.t017 bn:00020872n
f001.s029.t019 bn:00577781n
f001.s029.t020 bn:00577781n
f001.s029.t023 bn:00074790n
f001.s029.t024 bn:00089893v
f001.s029.t026 bn:00061017n
f001.s029.t029 bn:00060927n
f001.s029.t030 bn:00018141n
f001.s029.t032 bn:00015180n
f001.s029.t033 bn:00052341n
f001.s029.t034 bn:00087863v
f001.s029.t035 bn:00116360r
f001.s029.t037 bn:00085450v
f001.s030.t004 bn:00067181n
f001.s030.t006 bn:00054019n
f001.s030.t007 bn:00099598a
f001.s030.t008 bn:00029876n
f001.s030.t010 bn:00116153r
f001.s030.t011 bn:00085382v
f001.s030.t013 bn:00061017n
f001.s031.t001 bn:00602447n
f001.s031.t004 bn:00074790n
f001.s031.t006 bn:00037022n
f001.s031.t008 bn:00086567v
f001.s032.t001 bn:00602447n
f001.s032.t002 bn:00077268n
f001.s032.t003 bn:00030811n
f001.s032.t004 bn:00061017n
f001.s032.t005 bn:13663133n
f001.s032.t007 bn:00054512n
f001.s032.t008 bn:00106363a
f001.s032.t009 bn:00054512n
f001.s032.t011 bn:00089667v
f001.s033.t001 bn:00061017n
f001.s033.t003 bn:00602447n
f001.s033.t005 bn:00577781n
f001.s033.t006 bn:00577781n
f001.s033.t007 bn:00087863v
f001.s033.t011 bn:00054001n
f001.s033.t015 bn:00055794n
f001.s033.t016 bn:00085382v
f001.s033.t017 bn:00085382v
f001.s033.t020 bn:00085450v
f001.s033.t028 bn:00114235r
f001.s033.t029 bn:00577781n
f001.s033.t030 bn:00577781n
f001.s033.t037 bn:00055794n
f001.s034.t002 bn:00047235n
f001.s034.t003 bn:00061017n
f001.s034.t006 bn:00015180n
f001.s034.t007 bn:00052341n
f001.s034.t008 bn:00017027n
f001.s034.t012 bn:00602447n
f001.s034.t013 bn:00114354r
f001.s034.t014 bn:00114354r
f001.s034.t017 bn:00102038a
f001.s035.t002 bn:00061017n
f001.s035.t005 bn:00060927n
f001.s035.t006 bn:00018141n
f001.s035.t007 bn:00087863v
f001.s035.t010 bn:00097854a
f001.s035.t011 bn:00077268n
f001.s035.t012 bn:00030811n
f001.s035.t014 bn:00602447n
f001.s035.t018 bn:00055794n
f001.s035.t020 bn:00085450v
f001.s035.t025 bn:00055794n
f001.s035.t027 bn:01537207n
f001.s036.t002 bn:00061017n
f001.s036.t005 bn:00060927n
f001.s036.t006 bn:00018141n
f001.s036.t007 bn:00087863v
f001.s036.t008 bn:00116360r
f001.s036.t010 bn:00097854a
f001.s036.t011 bn:00077268n
f001.s036.t012 bn:00030811n
f001.s036.t016 bn:00041942n
f001.s036.t020 bn:00055794n
f001.s037.t003 bn:00114627r
f001.s037.t008 bn:00074790n
f001.s037.t010 bn:00061017n
f001.s037.t012 bn:00015180n
f001.s037.t014 bn:00017027n
f001.s037.t018 bn:00082427v
f001.s037.t020 bn:00116360r
f001.s037.t025 bn:00602447n
f001.s037.t027 bn:00077268n
f001.s037.t028 bn:00030811n
f001.s037.t029 bn:00106124a
f001.s037.t035 bn:00088078v
f001.s038.t002 bn:00022261n
f001.s038.t004 bn:00061017n
f001.s038.t006 bn:00015180n
f001.s038.t008 bn:00017027n
f001.s038.t012 bn:00082427v
f001.s038.t014 bn:00082427v
f001.s038.t019 bn:00602447n
f001.s038.t021 bn:00077268n
f001.s038.t022 bn:00030811n
f001.s038.t023 bn:00110561a
f001.s038.t024 bn:00088078v
f002.s001.t001 bn:14324775n
f002.s001.t003 bn:00946167n
f002.s001.t004 bn:00106488a
f002.s001.t006 bn:00083141v
f002.s001.t007 bn:00053491n
f002.s001.t008 bn:00453494n
f002.s001.t009 bn:00213650n
f002.s001.t010 bn:03313895n
f002.s002.t001 bn:00116382r
f002.s002.t002 bn:00099215a
f002.s002.t004 bn:00090557v
f002.s002.t005 bn:00053826n
f002.s002.t006 bn:03313895n
f002.s002.t007 bn:00102111a
f002.s002.t009 bn:00097495a
f002.s002.t011 bn:00106117a
f002.s002.t014 bn:00027670n
f002.s002.t015 bn:00041412n
f002.s002.t017 bn:00027152n
f002.s002.t019 bn:00000102n
f002.s003.t002 bn:00114118r
f002.s003.t004 bn:00082705v
f002.s003.t006 bn:08534138n
f002.s003.t007 "bn:00026107n "
f002.s003.t009 bn:00085261v
f002.s003.t010 bn:03313895n
f002.s003.t011 bn:00116360r
f002.s004.t001 bn:08534138n
f002.s004.t003 bn:00946167n
f002.s004.t004 bn:00041412n
f002.s004.t005 bn:00083141v
f002.s004.t007 bn:03313895n
f002.s005.t003 bn:00114055r
f002.s005.t005 bn:00091201v
f002.s005.t006 bn:03313895n
f002.s005.t007 bn:00083186v
f002.s005.t009 bn:00114424r
f002.s005.t010 bn:13601970v
f002.s005.t013 bn:00061450n
f002.s005.t015 bn:00020452n
f002.s005.t016 bn:00106058a
f002.s005.t017 bn:00106488a
f002.s005.t019 bn:00082705v
f002.s006.t002 bn:00115639r
f002.s006.t004 bn:01157212n
f002.s006.t007 bn:00081292n
f002.s006.t008 bn:00099598a
f002.s006.t009 bn:08534138n
f002.s006.t010 bn:00087013v
f002.s007.t001 bn:00081292n
f002.s007.t002 bn:00099598a
f002.s007.t003 "bn:14324775n "
f002.s008.t001 bn:00081292n
f002.s008.t002 bn:00099598a
f002.s008.t003 bn:08534138n
f002.s008.t004 bn:00085498v
f002.s008.t006 bn:00120018n
f002.s008.t007 bn:00020949n
f002.s008.t010 bn:00120018n
f002.s008.t011 bn:00041412n
f002.s008.t013 d002.s008.t011
f002.s008.t016 bn:00120018n
f002.s008.t017 bn:00041412n
f002.s008.t018 bn:00000102n
f002.s008.t019 bn:00000102n
f002.s008.t022 bn:00120018n
f002.s008.t023 bn:00026967n
f002.s008.t024 bn:00085498v
f002.s009.t001 bn:00114401r
f002.s009.t002 bn:00114401r
f002.s009.t004 bn:00014688n
f002.s009.t006 bn:00034274n
f002.s009.t007 bn:00046850n
f002.s009.t009 bn:00095295v
f002.s009.t010 bn:00036821n
f002.s009.t012 bn:00087107v
f002.s009.t013 bn:00014688n
f002.s009.t016 "bn:00086708v "
f002.s010.t002 bn:00086682v
f002.s010.t003 bn:00092443v
f002.s010.t007 bn:00088629v
f002.s010.t009 bn:00098274a
f002.s010.t010 bn:00076919n
f002.s010.t012 bn:13601970v
f002.s010.t014 bn:00087107v
f002.s010.t019 bn:00082472v
f002.s010.t020 bn:00046850n
f002.s010.t023 bn:03313895n
f002.s010.t024 bn:00084772v
f002.s010.t025 bn:00084772v
f002.s010.t028 "bn:00026107n "
f002.s010.t030 bn:00085261v
f002.s010.t031 bn:03313895n
f002.s010.t032 bn:00116360r
f002.s011.t002 bn:00114508r
f002.s011.t003 bn:02561609n
f002.s011.t006 bn:00083141v
f002.s011.t007 bn:00021164n
f002.s011.t010 bn:00083141v
f002.s011.t012 bn:00056508n
f002.s011.t014 bn:02268723n
f002.s011.t015 bn:00101358a
f002.s011.t016 bn:00083181v
f002.s012.t002 bn:00114748r
f002.s012.t003 bn:00114748r
f002.s012.t005 bn:03857246n
f002.s012.t007 bn:02561609n
f002.s012.t008 bn:03668936n
f002.s012.t010 bn:00090448v
f002.s012.t014 bn:00116789r
f002.s012.t015 bn:00096782a
f002.s012.t018 bn:00090452v
f002.s013.t001 bn:00031485n
f002.s014.t005 "bn:00032355n "
f002.s014.t007 bn:13601970v
f002.s014.t012 bn:00082705v
f002.s015.t001 bn:00114246r
f002.s015.t002 "bn:00063739n "
f002.s015.t003 bn:00005092n
f002.s015.t005 bn:09438926n
f002.s015.t006 bn:02529895n
f002.s016.t001 bn:00032355n
f002.s016.t002 bn:00114246r
f002.s016.t005 bn:00001965n
f002.s016.t006 "bn:00023654n "
f002.s016.t007 bn:00068247n
f002.s017.t003 bn:00001965n
f002.s017.t005 "bn:00026650n "
f002.s017.t006 bn:00079583n
f002.s017.t007 bn:00102991a
f002.s017.t010 bn:00036821n
f002.s018.t005 "bn:00026650n "
f002.s018.t006 bn:00004489n
f002.s018.t007 bn:00104162a
f002.s018.t009 bn:00082705v
f002.s019.t007 bn:00060753n
f002.s019.t008 bn:00060753n
f002.s019.t010 bn:00036821n
f002.s019.t012 bn:00082811v
f002.s019.t013 bn:00082811v
f002.s019.t015 bn:00082813v
f002.s019.t016 bn:00082813v
f002.s019.t021 bn:00059141n
f002.s019.t024 bn:00057809n
f002.s020.t006 wn:00022585a
f002.s020.t011 bn:00095141v
f002.s020.t014 bn:00116360r
f002.s020.t017 wn:00022585a
f002.s020.t019 bn:00036821n
f002.s020.t020 bn:00079373n
f002.s020.t023 bn:00095141v
f002.s021.t005 "bn:00025928n "
f002.s021.t006 bn:00079508n
f002.s021.t007 bn:14817685n
f002.s021.t009 bn:00082705v
f002.s022.t003 bn:00025928n
f002.s022.t004 bn:00021645n
f002.s022.t005 bn:03132721n
f002.s023.t001 bn:00001965n
f002.s023.t005 bn:13601970v
f002.s023.t006 bn:00053826n
f002.s023.t007 "bn:00100214a "
f002.s023.t010 "bn:14324775n "
f002.s023.t012 bn:00086468v
f002.s024.t002 bn:00021645n
f002.s024.t008 bn:00021645n
f002.s024.t009 bn:00114626r
f002.s024.t011 bn:00116450r
f002.s024.t013 bn:00082705v
f002.s024.t015 bn:00112146a
f002.s024.t021 bn:00086708v
f002.s024.t022 bn:00086708v
f002.s024.t023 bn:00047210n
f002.s024.t026 "bn:00100214a "
f002.s024.t028 bn:00102969a
f002.s024.t029 bn:00016401n
f002.s024.t030 bn:00085363v
f002.s025.t004 bn:03305154n
f002.s025.t005 bn:03313895n
f002.s026.t001 bn:13601970v
f002.s026.t005 "bn:00025928n "
f002.s026.t006 bn:03305154n
f002.s026.t008 bn:00082705v
f002.s027.t001 bn:00114714r
f002.s027.t003 "bn:00007481n "
f002.s027.t005 bn:03132721n
f002.s027.t006 bn:00113455a
f002.s028.t001 bn:00114424r
f002.s028.t002 bn:13601970v
f002.s028.t005 bn:00082821v
f002.s028.t008 bn:00079373n
f002.s028.t009 bn:00056508n
f002.s028.t011 bn:03313895n
f002.s028.t013 bn:00090794v
f002.s029.t001 bn:00101973a
f002.s029.t006 bn:00001127n
f002.s029.t010 bn:00036821n
f002.s029.t012 bn:00022956n
f002.s029.t013 bn:00022956n
f002.s029.t014 bn:00022956n
f002.s029.t016 bn:00071709n
f002.s029.t017 bn:00071709n
f002.s029.t018 bn:00071709n
f002.s029.t021 bn:00036821n
f002.s029.t022 bn:00112111a
f002.s029.t023 bn:00108011a
f002.s029.t025 bn:00001296n
f002.s029.t026 bn:00001296n
f002.s029.t027 bn:00001296n
f002.s029.t029 bn:00053827n
f002.s029.t030 bn:00053827n
f002.s029.t031 bn:00053827n
f002.s029.t033 bn:00085744v
f002.s030.t001 bn:00085860v
f002.s030.t002 bn:00116360r
f002.s030.t004 bn:00035907n
f002.s031.t003 bn:00001296n
f002.s031.t004 bn:00001296n
f002.s031.t005 bn:00001296n
f002.s031.t007 bn:00056300n
f002.s031.t008 bn:00056300n
f002.s031.t009 bn:00056300n
f002.s031.t012 bn:00958448n
f002.s031.t014 bn:00059141n
f002.s031.t017 bn:00088078v
f002.s031.t019 bn:00082705v
f002.s032.t002 bn:08534138n
f002.s032.t004 wn:00022585a
f002.s032.t006 bn:00946167n
f002.s032.t007 bn:00113455a
f002.s033.t002 bn:00114427r
f002.s033.t003 bn:00051508n
f002.s033.t005 bn:00079583n
f002.s033.t006 bn:00101020a
f002.s033.t007 bn:00088078v
f002.s034.t002 bn:00028344n
f002.s034.t004 bn:00019758n
f002.s034.t006 bn:00059835n
f002.s034.t010 bn:00022349n
f002.s034.t011 bn:00084662v
f002.s034.t015 bn:00082536v
f002.s034.t016 bn:00082536v
f002.s034.t017 bn:00079508n
f002.s034.t021 bn:00082553v
f002.s034.t023 bn:00114626r
f002.s034.t024 bn:00001965n
f002.s034.t027 bn:00088310v
f002.s034.t028 bn:00051831n
f002.s035.t002 bn:00019848n
f002.s035.t005 bn:00032395n
f002.s035.t008 bn:00087679v
f002.s035.t010 bn:00079508n
f002.s035.t011 bn:00079583n
f002.s035.t014 bn:00105739a
f002.s035.t015 bn:00034520n
f002.s035.t017 bn:00082553v
f002.s036.t001 bn:00020947n
f002.s036.t002 bn:00056688n
f002.s036.t003 bn:00081292n
f002.s036.t004 bn:00107267a
f002.s037.t004 bn:00088368v
f002.s038.t001 bn:00020947n
f002.s038.t002 bn:00049538n
f002.s038.t003 bn:00090416v
f002.s039.t001 bn:00020945n
f002.s039.t002 bn:00097846a
f002.s039.t005 bn:00021475n
f002.s039.t008 bn:00033729n
f002.s039.t009 bn:00114819r
f002.s039.t010 bn:00082225v
f002.s039.t011 bn:00082225v
f002.s040.t001 bn:00107292a
f002.s040.t004 bn:00086682v
f002.s040.t006 bn:00050969n
f002.s040.t008 bn:00086466v
f002.s040.t010 bn:00081568n
f002.s040.t011 bn:00107791a
f002.s040.t015 bn:00092413v
f002.s041.t001 bn:00020947n
f002.s041.t002 bn:00036962n
f002.s041.t003 bn:00093281v
f002.s042.t001 bn:00020945n
f002.s042.t005 bn:03603649n
f002.s042.t006 bn:00083344v
f002.s042.t007 bn:03751534n
f002.s042.t008 bn:00095295v
f002.s042.t009 bn:00095295v
f002.s042.t010 bn:00093281v
f002.s042.t011 bn:00093281v
f002.s042.t013 "bn:27114873v "
f002.s042.t018 bn:00092558v
f002.s043.t001 bn:00021475n
f002.s043.t002 bn:00076732n
f002.s043.t004 bn:00084080v
f002.s043.t007 bn:00056508n
f002.s043.t009 "bn:00030627n "
f002.s043.t012 bn:00029775n
f002.s043.t013 bn:00076732n
f002.s043.t016 bn:03628723n
f002.s043.t021 "bn:00022324n "
f002.s043.t023 bn:00084308v
f002.s044.t001 bn:00020947n
f002.s044.t002 bn:00068673n
f002.s044.t003 bn:00093281v
f002.s044.t004 bn:00051831n
f002.s045.t001 bn:00051831n
f002.s045.t005 bn:00034520n
f002.s045.t008 bn:00600448n
f002.s045.t009 bn:00045087n
f002.s045.t010 bn:00093281v
f002.s045.t011 bn:00093281v
f002.s045.t013 bn:13601970v
f002.s045.t014 bn:00089639v
f002.s045.t017 bn:00084099v
f002.s046.t001 bn:00020947n
f002.s046.t002 bn:00065472n
f002.s046.t003 bn:00084710v
f002.s047.t001 bn:00021492n
f002.s047.t004 bn:00085164v
f002.s048.t002 "bn:00001296n "
f002.s048.t004 bn:00041412n
f002.s048.t006 bn:00027152n
f002.s048.t007 bn:00107267a
f002.s048.t009 bn:08534138n
f002.s048.t011 bn:00081568n
f002.s048.t015 bn:00087107v
f002.s048.t020 bn:00120018n
f002.s048.t022 bn:00027152n
f002.s048.t023 bn:00041412n
f002.s048.t024 bn:00088912v
f002.s048.t027 bn:00120018n
f002.s048.t028 bn:00082317v
f002.s048.t030 bn:00085114v
f002.s048.t032 bn:00036821n
f002.s048.t033 bn:00107267a
f002.s048.t035 bn:00082317v
f002.s049.t001 bn:00114281r
f002.s049.t002 bn:00007023n
f002.s049.t005 bn:00012528n
f002.s049.t006 bn:00076732n
f002.s049.t007 bn:00046850n
f002.s049.t008 bn:00088912v
f002.s049.t013 bn:00036821n
f002.s049.t017 bn:00095295v
f002.s050.t002 bn:00086682v
f002.s050.t005 bn:00036821n
f002.s050.t006 bn:00112217a
f002.s050.t007 bn:00036821n
f002.s050.t008 bn:00036821n
f002.s050.t009 bn:00036821n
f002.s050.t010 bn:00036821n
f002.s050.t012 bn:00082705v
f002.s050.t014 bn:00107182a
f002.s050.t015 bn:00116360r
f002.s050.t018 bn:00086468v
f002.s050.t019 bn:00086468v
f002.s051.t002 bn:00036821n
f002.s051.t004 bn:00087679v
f002.s051.t005 bn:00087679v
f002.s051.t007 bn:03843242n
f002.s051.t008 bn:00096817a
f002.s051.t010 bn:00085114v
f002.s051.t012 bn:00041412n
f002.s051.t014 bn:00081292n
f002.s051.t015 bn:00099598a
f002.s051.t016 bn:00087013v
f002.s051.t017 bn:00041412n
f002.s052.t002 bn:00110469a
f002.s052.t003 bn:00041412n
f002.s052.t004 bn:00041412n
f002.s052.t007 bn:00079985n
f002.s052.t008 bn:00110075a
f002.s052.t010 bn:00090224v
f002.s053.t001 bn:03603649n
f002.s053.t004 bn:00055444n
f002.s053.t005 bn:00051508n
f002.s053.t007 bn:00114626r
f002.s053.t009 bn:03843242n
f002.s053.t010 bn:00082317v
f002.s053.t012 bn:00082705v
f002.s054.t002 bn:13601970v
f002.s054.t004 bn:00041412n
f002.s054.t006 bn:00020726n
f002.s054.t007 bn:00108295a
f002.s054.t011 bn:00090224v
f003.s002.t002 bn:00036064n
f003.s002.t003 bn:00116085r
f003.s002.t005 bn:00091196v
f003.s002.t006 bn:00021721n
f003.s002.t007 bn:00089893v
f003.s002.t008 bn:13605325v
f003.s002.t012 bn:00017557n
f003.s002.t013 bn:00100676a
f003.s002.t014 bn:00084527v
f003.s003.t001 bn:00106935a
f003.s003.t004 bn:00060798n
f003.s003.t006 bn:00072536n
f003.s003.t007 bn:00047082n
f003.s003.t008 bn:00099598a
f003.s003.t011 bn:00082907v
f003.s003.t012 bn:00082907v
f003.s003.t015 bn:00109650a
f003.s003.t016 bn:00047688n
f003.s003.t018 bn:00036823n
f003.s003.t019 bn:00001177n
f003.s003.t020 bn:00099258a
f003.s003.t022 bn:00089660v
