Token ID	Token	Lemma	POS	Sense	BN Synset
f001.s008.t001	آلیمتا	آلیمتا	NOUN		bn:00602447n
f001.s008.t002	برای	برای	ADP,EZ		
f001.s008.t003	چه	چه	DET		
f001.s008.t004	مواردی	موارد	NOUN		
f001.s008.t005	استفاده	استفاده	NOUN		bn:00082705v
f001.s008.t006	می‌شود	شد#شو	VERB		
f001.s008.t007	؟	؟	PUNCT		
f001.s009.t001	آلیمتا	آلیمتا	NOUN		bn:00602447n
f001.s009.t002	برای	برای	ADP,EZ		
f001.s009.t003	درمان	درمان	NOUN,EZ		bn:00084532v
f001.s009.t004	دو	دو	NUM		
f001.s009.t005	نوع	نوع	NOUN		bn:00078798n
f001.s009.t006	سرطان	سرطان	NOUN		bn:00015180n
f001.s009.t007	استفاده	استفاده	NOUN		bn:00082705v
f001.s009.t008	می‌شود	شد#شو	VERB		
f001.s009.t009	:	:	PUNCT		
f001.s009.t010	مزوتلیومای	مزوتلیومای	NOUN,EZ		bn:00054512n
f001.s009.t011	پلور	پلور	NOUN		bn:00108692a
f001.s009.t012	(	(	PUNCT		
f001.s009.t013	سرطان	سرطان	NOUN,EZ		bn:00015180n
f001.s009.t014	پوشش	پوشش	NOUN,EZ		bn:00051366n
f001.s009.t015	ریه	ریه	NOUN		bn:00052341n
f001.s009.t016	که	که	SCONJ		
f001.s009.t017	معمولا	معمولا	ADV		bn:00114778r
f001.s009.t018	در	در	ADP		
f001.s009.t019	اثر	اثر	NOUN,EZ		
f001.s009.t020	قرار	قرار	NOUN		
f001.s009.t021	گرفتن	گرفتن	NOUN		
f001.s009.t022	در	در	ADP		
f001.s009.t023	معرض	معرض	NOUN,EZ		bn:00032379n
f001.s009.t024	آزبست	آزبست	NOUN		bn:00006236n
f001.s009.t025	ایجاد	ایجاد	NOUN		bn:00084069v
f001.s009.t026	می‌شود	شد#شو	VERB		
f001.s009.t027	)	)	PUNCT		
f001.s009.t028	.	.	PUNCT		
f001.s010.t001	آلیمتا	آلیمتا	NOUN		bn:00602447n
f001.s010.t002	همراه	همراه	NOUN		
f001.s010.t003	با	با	ADP		
f001.s010.t004	سیس	سیس	NOUN		bn:00577781n
f001.s010.t005	پلاتین	پلاتین	NOUN		bn:00577781n
f001.s010.t006	(	(	PUNCT		
f001.s010.t007	یکی	یکی	NUM		
f001.s010.t008	دیگر	دیگر	PRON		
f001.s010.t009	از	از	ADP		
f001.s010.t010	داروهای	دارو	NOUN,EZ		bn:00054128n
f001.s010.t011	ضد	ضد	NOUN,EZ		bn:00097220a
f001.s010.t012	سرطان	سرطان	NOUN		bn:00097220a
f001.s010.t013	)	)	PUNCT		
f001.s010.t014	زمانی	زمانی	NOUN		
f001.s010.t015	که	که	SCONJ		
f001.s010.t016	سرطان	سرطان	NOUN,EZ		bn:00015180n
f001.s010.t017	غیرقابل	غیرقابل	ADJ		
f001.s010.t018	برداشت	برداشت	VERB		
f001.s010.t019	(	(	PUNCT		
f001.s010.t020	به	به	ADP		
f001.s010.t021	تنهایی	تنهایی	NOUN		bn:00096871a
f001.s010.t022	با	با	ADP		
f001.s010.t023	جراحی	جراحی	NOUN,EZ		bn:00059129n
f001.s010.t024	قابل	قابل	ADJ,EZ		
f001.s010.t025	برداشتن	برداشتن	NOUN		bn:00092783v
f001.s010.t026	نیست	نیست	VERB		
f001.s010.t027	)	)	PUNCT		
f001.s010.t028	و	و	CCONJ		
f001.s010.t029	بدخیم	بدخیم	ADJ		bn:00106363a
f001.s010.t030	(	(	PUNCT		
f001.s010.t031	به	به	ADP		
f001.s010.t032	سایر	سایر	NOUN,EZ		bn:00108011a
f001.s010.t033	نقاط	نقاط	NOUN,EZ		bn:00021395n
f001.s010.t034	بدن	بدن	NOUN,EZ		bn:00011744n
f001.s010.t035	گسترش‌یافته	گسترش‌یافته	ADJ		bn:00092083v
f001.s010.t036	یا	یا	CCONJ		
f001.s010.t037	احتمالا	احتمالا	ADV		bn:00105981a
f001.s010.t038	به	به	ADP		
f001.s010.t039	راحتی	راحتی	NOUN		bn:00115155r
f001.s010.t040	منتشر	منتشر	ADJ		bn:00092083v
f001.s010.t041	شده_است	شد#شو	VERB		
f001.s010.t042	)	)	PUNCT		
f001.s010.t043	استفاده	استفاده	NOUN		bn:00082705v
f001.s010.t044	می‌شود	شد#شو	VERB		
f001.s010.t045	.	.	PUNCT		
f001.s010.t046	شیمی‌درمانی	شیمی‌درمانی	NOUN		bn:00018141n
f001.s010.t047	(	(	PUNCT		
f001.s010.t048	داروهای	دارو	NOUN,EZ		bn:00054128n
f001.s010.t049	سرطان	سرطان	NOUN		bn:00015180n
f001.s010.t050	)	)	PUNCT		
f001.s010.t051	را	را	ADP		
f001.s010.t052	قبل	قبل	ADP		
f001.s010.t053	از	از	ADP		
f001.s010.t054	سرطان	سرطان	NOUN,EZ		bn:00015180n
f001.s010.t055	ریه	ریه	NOUN,EZ		bn:00052341n
f001.s010.t056	سلول	سلول	NOUN,EZ		bn:00017027n
f001.s010.t057	غیر	غیر	NOUN,EZ		
f001.s010.t058	کوچک	کوچک	ADJ,EZ		
f001.s010.t059	پیشرفته	پیشرفته	ADJ		bn:00096528a
f001.s010.t060	یا	یا	CCONJ		
f001.s010.t061	متاستاتیک	متاستاتیک	ADJ		bn:00106664a
f001.s010.t062	دریافت	دریافت	NOUN		bn:00087863v
f001.s010.t063	کرد	کرد#کن	VERB		
f001.s010.t064	که	که	SCONJ		
f001.s010.t065	بر	بر	ADP		
f001.s010.t066	سلول‌های	سلول	NOUN,EZ		bn:00017027n
f001.s010.t067	سنگفرشی	سنگفرش	ADJ		
f001.s010.t068	تأثیر	تأثیر	NOUN		bn:00082427v
f001.s010.t069	نمی‌گذارد	گذارد#گذار	VERB		bn:00082427v
f001.s010.t070	.	.	PUNCT		
f001.s011.t001	آلیمتا	آلیمتا	NOUN		bn:00602447n
f001.s011.t002	در	در	ADP		
f001.s011.t003	ترکیب	ترکیب	NOUN		bn:00020872n
f001.s011.t004	با	با	ADP		
f001.s011.t005	سیس	سیس	NOUN		bn:00577781n
f001.s011.t006	پلاتین	پلاتین	NOUN		bn:00577781n
f001.s011.t007	در	در	ADP		
f001.s011.t008	بیمارانی	بیمارانی	NOUN		bn:00061017n
f001.s011.t009	که	که	SCONJ		
f001.s011.t010	قبلا	قبلا	ADV		
f001.s011.t011	تحت	تحت	ADP,EZ		
f001.s011.t012	درمان	درمان	NOUN		bn:00084532v
f001.s011.t013	قرار	قرار	NOUN		
f001.s011.t014	نگرفته‌اند	گرفت#گیر	VERB		bn:00116360r
f001.s011.t015	و	و	CCONJ		
f001.s011.t016	به	به	ADP		
f001.s011.t017	تنهایی	تنهایی	NOUN		
f001.s011.t018	در	در	ADP		
f001.s011.t019	بیمارانی	بیمارانی	NOUN		bn:00061017n
f001.s011.t020	که	که	SCONJ		
f001.s011.t021	در	در	ADP		
f001.s011.t022	گذشته	گذشته	ADV		bn:00060927n
f001.s011.t023	نوع	نوع	NOUN,EZ		bn:00078798n
f001.s011.t024	دیگری	دیگری	PRON		
f001.s011.t025	از	از	ADP		
f001.s011.t026	شیمی‌درمانی	شیمی‌درمانی	NOUN		bn:00018141n
f001.s011.t027	را	را	ADP		
f001.s011.t028	دریافت	دریافت	NOUN		bn:00087863v
f001.s011.t029	کرده‌اند	کرد#کن	VERB		
f001.s011.t030	استفاده	استفاده	NOUN		bn:00082705v
f001.s011.t031	می‌شود	شد#شو	VERB		
f001.s011.t032	.	.	PUNCT		
f001.s012.t001	دارو	دارو	NOUN		bn:00054128n
f001.s012.t002	فقط	فقط	ADV		bn:00116450r
f001.s012.t003	با	با	ADP		
f001.s012.t004	نسخه	نسخه	NOUN,EZ		bn:00064195n
f001.s012.t005	قابل	قابل	ADJ,EZ		bn:00082276v
f001.s012.t006	تهیه	تهیه	NOUN		bn:00082276v
f001.s012.t007	است	است	VERB		
f001.s012.t008	.	.	PUNCT		
f001.s013.t001	آلیمتا	آلیمتا	NOUN		bn:00602447n
f001.s013.t002	چگونه	چگونه	ADV		
f001.s013.t003	استفاده	استفاده	NOUN		bn:00082705v
f001.s013.t004	می‌شود	شد#شو	VERB		
f001.s013.t005	؟	؟	PUNCT		
f001.s014.t001	آلیمتا	آلیمتا	NOUN		bn:00602447n
f001.s014.t002	فقط	فقط	ADV		bn:00116450r
f001.s014.t003	باید	باید	VERB		
f001.s014.t004	تحت	تحت	ADP,EZ		
f001.s014.t005	نظر	نظر	NOUN,EZ		bn:00059908n
f001.s014.t006	پزشک	پزشک	NOUN,EZ		bn:00027976n
f001.s014.t007	متخصص	متخصص	ADJ		
f001.s014.t008	در	در	ADP		
f001.s014.t009	استفاده	استفاده	NOUN		bn:00030627n
f001.s014.t010	از	از	ADP		
f001.s014.t011	شیمی‌درمانی	شیمی‌درمانی	NOUN,EZ		bn:00018141n
f001.s014.t012	ضد	ضد	NOUN,EZ		bn:00097220a
f001.s014.t013	سرطان	سرطان	NOUN		bn:00097220a
f001.s014.t014	تجویز	تجویز	NOUN		bn:00088826v
f001.s014.t015	شود	شد#شو	VERB		
f001.s014.t016	.	.	PUNCT		
f001.s015.t001	دوز	دوز	NOUN,EZ		bn:00028320n
f001.s015.t002	توصیه‌شده	توصیه‌شده	ADJ,EZ		bn:00084373v
f001.s015.t003	آلیمتا	آلیمتا	NOUN		bn:00602447n
f001.s015.t004	۵۰۰	۵۰۰	NUM		
f001.s015.t005	میلی‌گرم	میلی‌گرم	NOUN		bn:00054701n
f001.s015.t006	به	به	ADP		
f001.s015.t007	ازای	ازا	NOUN,EZ		
f001.s015.t008	هر	هر	DET		
f001.s015.t009	متر	متر	NOUN		bn:00052501n
f001.s015.t010	مربع	مربع	NOUN		bn:00070132n
f001.s015.t011	از	از	ADP		
f001.s015.t012	سطح	سطح	NOUN,EZ		bn:00075374n
f001.s015.t013	بدن	بدن	NOUN		bn:00011744n
f001.s015.t014	(	(	PUNCT		
f001.s015.t015	محاسبه	محاسبه	NOUN		bn:00084373v
f001.s015.t016	با	با	ADP		bn:00114629r
f001.s015.t017	قد	قد	NOUN		bn:00043545n
f001.s015.t018	و	و	CCONJ		
f001.s015.t019	وزن	وزن	NOUN,EZ		bn:00080831n
f001.s015.t020	بیمار	بیمار	NOUN		bn:00061017n
f001.s015.t021	)	)	PUNCT		
f001.s015.t022	است	است	VERB		
f001.s015.t023	.	.	PUNCT		
f001.s016.t001	هر	هر	DET		bn:00102467a
f001.s016.t002	سه	سه	NUM		
f001.s016.t003	هفته	هفته	NOUN,EZ		bn:00043484n
f001.s016.t004	یک‌بار	یک‌بار	ADJ		bn:00115811r
f001.s016.t005	به	به	ADP		
f001.s016.t006	صورت	صورت	NOUN,EZ		
f001.s016.t007	انفوزیون	انفوزیون	NOUN,EZ		bn:00046734n
f001.s016.t008	داخل	داخل	ADP,EZ		
f001.s016.t009	وریدی	وریدی	ADJ		bn:00087620v
f001.s016.t010	به	به	ADP		
f001.s016.t011	مدت	مدت	NOUN,EZ		bn:00087620v
f001.s016.t012	۱۰	۱۰	NUM		
f001.s016.t013	دقیقه	دقیقه	NOUN		bn:00055094n
f001.s016.t014	تجویز	تجویز	NOUN		bn:00088826v
f001.s016.t015	می‌شود	شد#شو	VERB		
f001.s016.t016	.	.	PUNCT		
f001.s017.t001	برای	برای	ADP,EZ		
f001.s017.t002	کاهش	کاهش	NOUN,EZ		bn:00084079v
f001.s017.t003	عوارض	عوارض	NOUN,EZ		bn:00029874n
f001.s017.t004	جانبی	جانبی	ADJ		
f001.s017.t005	،	،	PUNCT		
f001.s017.t006	بیماران	بیمار	NOUN		bn:00061017n
f001.s017.t007	باید	باید	VERB		
f001.s017.t008	کورتیکواستروئید	کورتیکواستروئید	NOUN		bn:00001507n
f001.s017.t009	و	و	CCONJ		
f001.s017.t010	اسید	اسید	NOUN		bn:00000902n
f001.s017.t011	فولیک	فولیک	NOUN		
f001.s017.t012	(	(	PUNCT		
f001.s017.t013	نوعی	نوعی	NOUN		bn:00078798n
f001.s017.t014	ویتامین	ویتامین	NOUN		bn:00080147n
f001.s017.t015	)	)	PUNCT		
f001.s017.t016	مصرف	مصرف	NOUN		bn:00085689v
f001.s017.t017	کنند	کرد#کن	VERB		
f001.s017.t018	و	و	CCONJ		
f001.s017.t019	در	در	ADP		
f001.s017.t020	طول	طول	NOUN,EZ		
f001.s017.t021	درمان	درمان	NOUN		bn:00047235n
f001.s017.t022	با	با	ADP		
f001.s017.t023	آلیمتا	آلیمتا	NOUN		bn:00602447n
f001.s017.t024	،	،	PUNCT		
f001.s017.t025	ویتامین	ویتامین	NOUN,EZ		bn:00080147n
f001.s017.t026	B	B	NOUN		
f001.s017.t027	۱۲	۱۲	NUM		
f001.s017.t028	را	را	ADP		
f001.s017.t029	تزریق	تزریق	NOUN		bn:00046785n
f001.s017.t030	کنند	کرد#کن	VERB		
f001.s017.t031	.	.	PUNCT		
f001.s018.t001	هنگامی‌که	هنگامی‌که	CCONJ		
f001.s018.t002	آلیمتا	آلیمتا	NOUN		bn:00602447n
f001.s018.t003	با	با	ADP		
f001.s018.t004	سیس	سیس	NOUN		bn:00577781n
f001.s018.t005	پلاتین	پلاتین	NOUN		bn:00577781n
f001.s018.t006	تجویز	تجویز	NOUN		bn:00088826v
f001.s018.t007	می‌شود	شد#شو	VERB		
f001.s018.t008	،	،	PUNCT		
f001.s018.t009	داروی	دارو	NOUN,EZ		bn:00054128n
f001.s018.t010	ضد	ضد	NOUN,EZ		
f001.s018.t011	استفراغ	استفراغ	NOUN		
f001.s018.t012	(	(	PUNCT		
f001.s018.t013	برای	برای	ADP,EZ		
f001.s018.t014	جلوگیری	جلوگیری	NOUN		bn:00088454v
f001.s018.t015	از	از	ADP		
f001.s018.t016	استفراغ	استفراغ	NOUN		bn:00083115v
f001.s018.t017	)	)	PUNCT		
f001.s018.t018	و	و	CCONJ		
f001.s018.t019	مایعات	مایعات	NOUN		bn:00035426n
f001.s018.t020	(	(	PUNCT		
f001.s018.t021	برای	برای	ADP,EZ		
f001.s018.t022	جلوگیری	جلوگیری	NOUN		bn:00088454v
f001.s018.t023	از	از	ADP		
f001.s018.t024	کم	کم	NOUN,EZ		bn:00025983n
f001.s018.t025	آبی	آبی	ADJ,EZ		bn:00025983n
f001.s018.t026	بدن	بدن	NOUN		bn:00025983n
f001.s018.t027	)	)	PUNCT		
f001.s018.t028	نیز	نیز	CCONJ		bn:00114246r
f001.s018.t029	باید	باید	VERB		
f001.s018.t030	قبل	قبل	ADP		bn:00114512r
f001.s018.t031	یا	یا	CCONJ		
f001.s018.t032	بعد	بعد	ADP		bn:00114165r
f001.s018.t033	از	از	ADP		
f001.s018.t034	دوز	دوز	NOUN,EZ		bn:00028320n
f001.s018.t035	سیس	سیس	NOUN		bn:00577781n
f001.s018.t036	پلاتین	پلاتین	NOUN		bn:00577781n
f001.s018.t037	تجویز	تجویز	NOUN		bn:00088826v
f001.s018.t038	شود	شد#شو	VERB		
f001.s018.t039	.	.	PUNCT		
f001.s019.t001	در	در	ADP		
f001.s019.t002	بیمارانی	بیمارانی	NOUN		bn:00061017n
f001.s019.t003	که	که	SCONJ		
f001.s019.t004	شمارش	شمارش	NOUN,EZ		bn:00023139n
f001.s019.t005	خون	خون	NOUN,EZ		bn:00011346n
f001.s019.t006	آنها	آنها	PRON		
f001.s019.t007	غیرطبیعی	غیرطبیعی	ADJ		bn:00096158a
f001.s019.t008	است	است	VERB		
f001.s019.t009	یا	یا	CCONJ		
f001.s019.t010	عوارض	عوارض	NOUN,EZ		bn:00029874n
f001.s019.t011	جانبی	جانبی	ADJ,EZ		bn:00023139n
f001.s019.t012	خاصی	خاصی	ADJ		bn:00099474a
f001.s019.t013	دارند	داشت#دار	VERB		bn:00088745v
f001.s019.t014	،	،	PUNCT		
f001.s019.t015	درمان	درمان	NOUN		bn:00047235n
f001.s019.t016	باید	باید	VERB		
f001.s019.t017	به	به	ADP		
f001.s019.t018	تعویق	تعویق	NOUN		bn:00086514v
f001.s019.t019	بیفتد	بیفتد	VERB		
f001.s019.t020	یا	یا	CCONJ		
f001.s019.t021	قطع	قطع	NOUN		bn:00083908v
f001.s019.t022	شود	شد#شو	VERB		
f001.s019.t023	یا	یا	CCONJ		
f001.s019.t024	دوز	دوز	NOUN		bn:00028320n
f001.s019.t025	کاهش	کاهش	NOUN		bn:00084079v
f001.s019.t026	یابد	یابید#یاب	VERB		
f001.s019.t027	.	.	PUNCT		
f001.s020.t001	استفاده	استفاده	NOUN		bn:00030627n
f001.s020.t002	از	از	ADP		
f001.s020.t003	Alimta	Alimta	NOUN		bn:00602447n
f001.s020.t004	در	در	ADP		
f001.s020.t005	بیماران	بیمار	NOUN,EZ		bn:00061017n
f001.s020.t006	مبتلا	مبتلا	ADJ		
f001.s020.t007	به	به	ADP		bn:00106826a
f001.s020.t008	مشکلات	مشکلات	NOUN,EZ		bn:00048242n
f001.s020.t009	کلیوی	کلیوی	ADJ,EZ		bn:00049083n
f001.s020.t010	متوسط	متوسط	ADJ		bn:00106826a
f001.s020.t011	یا	یا	CCONJ		
f001.s020.t012	شدید	شدید	ADJ		bn:00110473a
f001.s020.t013	توصیه	توصیه	NOUN		bn:00082418v
f001.s020.t014	نمی‌شود	شد#شو	VERB		bn:00116360r
f001.s020.t015	.	.	PUNCT		
f001.s021.t001	برای	برای	ADP,EZ		
f001.s021.t002	اطلاعات	اطلاعات	NOUN,EZ		bn:00025314n
f001.s021.t003	بیشتر	بیشتر	ADJ		bn:00106935a
f001.s021.t004	،	،	PUNCT		
f001.s021.t005	به	به	ADP		
f001.s021.t006	خلاصه	خلاصه	NOUN,EZ		bn:00075142n
f001.s021.t007	ویژگی‌های	ویژگی	NOUN,EZ		
f001.s021.t008	محصول	محصول	NOUN		bn:00064584n
f001.s021.t009	(	(	PUNCT		
f001.s021.t010	همچنین	همچنین	CCONJ		bn:00114246r
f001.s021.t011	بخشی	بخشی	NOUN		bn:00021395n
f001.s021.t012	از	از	ADP		
f001.s021.t013	EPAR	EPAR	NOUN		
f001.s021.t014	)	)	PUNCT		
f001.s021.t015	مراجعه	مراجعه	NOUN		
f001.s021.t016	کنید	کرد#کن	VERB		bn:00087787v
f001.s021.t017	.	.	PUNCT		
f001.s022.t001	آلیمتا	آلیمتا	NOUN		bn:00602447n
f001.s022.t002	چگونه	چگونه	ADV		
f001.s022.t003	کار	کار	NOUN		
f001.s022.t004	می‌کند	کرد#کن	VERB		
f001.s022.t005	؟	؟	PUNCT		
f001.s023.t001	ماده	ماده	NOUN,EZ		bn:00074986n
f001.s023.t002	فعال	فعال	ADJ,EZ		bn:00096387a
f001.s023.t003	آلیمتا	آلیمتا	NOUN		bn:00602447n
f001.s023.t004	،	،	PUNCT		
f001.s023.t005	پمترکسد	پمترکسد	NOUN		bn:00602447n
f001.s023.t006	،	،	PUNCT		
f001.s023.t007	یک	یک	NUM		
f001.s023.t008	داروی	دارو	NOUN,EZ		bn:00054128n
f001.s023.t009	سیتوتوکسیک	سیتوتوکسیک	ADJ		bn:00100866a
f001.s023.t010	(	(	PUNCT		
f001.s023.t011	دارویی	دارویی	NOUN		bn:00054128n
f001.s023.t012	که	که	SCONJ		
f001.s023.t013	سلول‌های	سلول	NOUN,EZ		bn:00017027n
f001.s023.t014	در	در	ADP		
f001.s023.t015	حال	حال	NOUN,EZ		
f001.s023.t016	تقسیم	تقسیم	NOUN		bn:00087100v
f001.s023.t017	مانند	مانند	ADV,EZ		
f001.s023.t018	سلول‌های	سلول	NOUN,EZ		bn:00017027n
f001.s023.t019	سرطانی	سرطانی	ADJ		bn:00015180n
f001.s023.t020	را	را	ADP		
f001.s023.t021	از	از	ADP		
f001.s023.t022	بین	بین	NOUN		bn:00090098v
f001.s023.t023	می‌برد	برد#بر	VERB		bn:00090098v
f001.s023.t024	)	)	PUNCT		
f001.s023.t025	است	است	VERB		
f001.s023.t026	که	که	SCONJ		
f001.s023.t027	به	به	ADP		
f001.s023.t028	گروه	گروه	NOUN,EZ		bn:00018111n
f001.s023.t029	آنتی‌متابولیت‌ها	آنتی‌متابولیت‌ها	NOUN		bn:00004691n
f001.s023.t030	تعلق	تعلق	NOUN		bn:00083389v
f001.s023.t031	دارد	داشت#دار	VERB		bn:00083389v
f001.s023.t032	.	.	PUNCT		
f001.s024.t001	در	در	ADP		
f001.s024.t002	بدن	بدن	NOUN		bn:00011744n
f001.s024.t003	،	،	PUNCT		
f001.s024.t004	پمترکسد	پمترکسد	NOUN		bn:00602447n
f001.s024.t005	به	به	ADP		
f001.s024.t006	شکل	شکل	NOUN,EZ		bn:00035913n
f001.s024.t007	فعالی	فعالی	ADJ		bn:00096382a
f001.s024.t008	تبدیل	تبدیل	NOUN		bn:00085761v
f001.s024.t009	می‌شود	شد#شو	VERB		bn:00085761v
f001.s024.t010	که	که	SCONJ		
f001.s024.t011	فعالیت	فعالیت	NOUN,EZ		bn:00001130n
f001.s024.t012	آنزیم‌هایی	آنزیم	NOUN		bn:00031085n
f001.s024.t013	را	را	ADP		
