Token ID	Token	Lemma	POS	Sense
d001.s010.t004	سیس	سیس	NOUN	
d001.s010.t005	پلاتین	پلاتین	NOUN	
d001.s010.t006	(	(	PUNCT	
d001.s010.t007	یکی	یکی	NUM	
d001.s010.t008	دیگر	دیگر	PRON	
d001.s010.t009	از	از	ADP	
d001.s010.t010	داروهای	دارو	NOUN,EZ	
d001.s010.t011	ضد	ضد	NOUN,EZ	
d001.s010.t012	سرطان	سرطان	NOUN	
d001.s010.t013	)	)	PUNCT	
d001.s010.t014	زمانی	زمانی	NOUN	
d001.s010.t015	که	که	SCONJ	
d001.s010.t016	سرطان	سرطان	NOUN,EZ	
d001.s010.t017	غیرقابل	غیرقابل	ADJ	
d001.s010.t018	برداشت	برداشت	VERB	
d001.s010.t019	(	(	PUNCT	
d001.s010.t020	به	به	ADP	
d001.s010.t021	تنهایی	تنهایی	NOUN	
d001.s010.t022	با	با	ADP	
d001.s010.t023	جراحی	جراحی	NOUN,EZ	
d001.s010.t024	قابل	قابل	ADJ,EZ	
d001.s010.t025	برداشتن	برداشتن	NOUN	
d001.s010.t026	نیست	نیست	VERB	
d001.s010.t027	)	)	PUNCT	
d001.s010.t028	و	و	CCONJ	
d001.s010.t029	بدخیم	بدخیم	ADJ	
d001.s010.t030	(	(	PUNCT	
d001.s010.t031	به	به	ADP	
d001.s010.t032	سایر	سایر	NOUN,EZ	
d001.s010.t033	نقاط	نقاط	NOUN,EZ	
d001.s010.t034	بدن	بدن	NOUN,EZ	
d001.s010.t035	گسترش‌یافته	گسترش‌یافته	ADJ	
d001.s010.t036	یا	یا	CCONJ	
d001.s010.t037	احتمالا	احتمالا	ADV	
d001.s010.t038	به	به	ADP	
d001.s010.t039	راحتی	راحتی	NOUN	
d001.s010.t040	منتشر	منتشر	ADJ	
d001.s010.t041	شده_است	شد#شو	VERB	
d001.s010.t042	)	)	PUNCT	
d001.s010.t043	استفاده	استفاده	NOUN	
d001.s010.t044	می‌شود	شد#شو	VERB	
d001.s010.t045	.	.	PUNCT	
d001.s010.t046	شیمی‌درمانی	شیمی‌درمانی	NOUN	
d001.s010.t047	(	(	PUNCT	
d001.s010.t048	داروهای	دارو	NOUN,EZ	
d001.s010.t049	سرطان	سرطان	NOUN	
d001.s010.t050	)	)	PUNCT	
d001.s010.t051	را	را	ADP	
d001.s010.t052	قبل	قبل	ADP	
d001.s010.t053	از	از	ADP	
d001.s010.t054	سرطان	سرطان	NOUN,EZ	
d001.s010.t055	ریه	ریه	NOUN,EZ	
d001.s010.t056	سلول	سلول	NOUN,EZ	
d001.s010.t057	غیر	غیر	NOUN,EZ	
d001.s010.t058	کوچک	کوچک	ADJ,EZ	
d001.s010.t059	پیشرفته	پیشرفته	ADJ	
d001.s010.t060	یا	یا	CCONJ	
d001.s010.t061	متاستاتیک	متاستاتیک	ADJ	
d001.s010.t062	دریافت	دریافت	NOUN	
d001.s010.t063	کرد	کرد#کن	VERB	
d001.s010.t064	که	که	SCONJ	
d001.s010.t065	بر	بر	ADP	
d001.s010.t066	سلول‌های	سلول	NOUN,EZ	
d001.s010.t067	سنگفرشی	سنگفرش	ADJ	
d001.s010.t068	تأثیر	تأثیر	NOUN	
d001.s010.t069	نمی‌گذارد	گذارد#گذار	VERB	
d001.s010.t070	.	.	PUNCT	
d001.s011.t001	آلیمتا	آلیمتا	NOUN	
d001.s011.t002	در	در	ADP	
d001.s011.t003	ترکیب	ترکیب	NOUN	
d001.s011.t004	با	با	ADP	
d001.s011.t005	سیس	سیس	NOUN	
d001.s011.t006	پلاتین	پلاتین	NOUN	
d001.s011.t007	در	در	ADP	
d001.s011.t008	بیمارانی	بیمارانی	NOUN	
d001.s011.t009	که	که	SCONJ	
d001.s011.t010	قبلا	قبلا	ADV	
d001.s011.t011	تحت	تحت	ADP,EZ	
d001.s011.t012	درمان	درمان	NOUN	
d001.s011.t013	قرار	قرار	NOUN	
d001.s011.t014	نگرفته‌اند	گرفت#گیر	VERB	
d001.s011.t015	و	و	CCONJ	
d001.s011.t016	به	به	ADP	
d001.s011.t017	تنهایی	تنهایی	NOUN	
d001.s011.t018	در	در	ADP	
d001.s011.t019	بیمارانی	بیمارانی	NOUN	
d001.s011.t020	که	که	SCONJ	
d001.s011.t021	در	در	ADP	
d001.s011.t022	گذشته	گذشته	ADV	
d001.s011.t023	نوع	نوع	NOUN,EZ	
d001.s011.t024	دیگری	دیگری	PRON	
d001.s011.t025	از	از	ADP	
d001.s011.t026	شیمی‌درمانی	شیمی‌درمانی	NOUN	
d001.s011.t027	را	را	ADP	
d001.s011.t028	دریافت	دریافت	NOUN	
d001.s011.t029	کرده‌اند	کرد#کن	VERB	
d001.s011.t030	استفاده	استفاده	NOUN	
d001.s011.t031	می‌شود	شد#شو	VERB	
d001.s011.t032	.	.	PUNCT	
d001.s012.t001	دارو	دارو	NOUN	
d001.s012.t002	فقط	فقط	ADV	
d001.s012.t003	با	با	ADP	
d001.s012.t004	نسخه	نسخه	NOUN,EZ	
d001.s012.t005	قابل	قابل	ADJ,EZ	
d001.s012.t006	تهیه	تهیه	NOUN	
d001.s012.t007	است	است	VERB	
d001.s012.t008	.	.	PUNCT	
d001.s013.t001	آلیمتا	آلیمتا	NOUN	
d001.s013.t002	چگونه	چگونه	ADV	
d001.s013.t003	استفاده	استفاده	NOUN	
d001.s013.t004	می‌شود	شد#شو	VERB	
d001.s013.t005	؟	؟	PUNCT	
d001.s014.t001	آلیمتا	آلیمتا	NOUN	
d001.s014.t002	فقط	فقط	ADV	
d001.s014.t003	باید	باید	VERB	
d001.s014.t004	تحت	تحت	ADP,EZ	
d001.s014.t005	نظر	نظر	NOUN,EZ	
d001.s014.t006	پزشک	پزشک	NOUN,EZ	
d001.s014.t007	متخصص	متخصص	ADJ	
d001.s014.t008	در	در	ADP	
d001.s014.t009	استفاده	استفاده	NOUN	
d001.s014.t010	از	از	ADP	
d001.s014.t011	شیمی‌درمانی	شیمی‌درمانی	NOUN,EZ	
d001.s014.t012	ضد	ضد	NOUN,EZ	
d001.s014.t013	سرطان	سرطان	NOUN	
d001.s014.t014	تجویز	تجویز	NOUN	
d001.s014.t015	شود	شد#شو	VERB	
d001.s014.t016	.	.	PUNCT	
d001.s015.t001	دوز	دوز	NOUN,EZ	
d001.s015.t002	توصیه‌شده	توصیه‌شده	ADJ,EZ	
d001.s015.t003	آلیمتا	آلیمتا	NOUN	
d001.s015.t004	۵۰۰	۵۰۰	NUM	
d001.s015.t005	میلی‌گرم	میلی‌گرم	NOUN	
d001.s015.t006	به	به	ADP	
d001.s015.t007	ازای	ازا	NOUN,EZ	
d001.s015.t008	هر	هر	DET	
d001.s015.t009	متر	متر	NOUN	
d001.s015.t010	مربع	مربع	NOUN	
d001.s015.t011	از	از	ADP	
d001.s015.t012	سطح	سطح	NOUN,EZ	
d001.s015.t013	بدن	بدن	NOUN	
d001.s015.t014	(	(	PUNCT	
d001.s015.t015	محاسبه	محاسبه	NOUN	
d001.s015.t016	با	با	ADP	
d001.s015.t017	قد	قد	NOUN	
d001.s015.t018	و	و	CCONJ	
d001.s015.t019	وزن	وزن	NOUN,EZ	
d001.s015.t020	بیمار	بیمار	NOUN	
d001.s015.t021	)	)	PUNCT	
d001.s015.t022	است	است	VERB	
d001.s015.t023	.	.	PUNCT	
d001.s016.t001	هر	هر	DET	
d001.s016.t002	سه	سه	NUM	
d001.s016.t003	هفته	هفته	NOUN,EZ	
d001.s016.t004	یک‌بار	یک‌بار	ADJ	
d001.s016.t005	به	به	ADP	
d001.s016.t006	صورت	صورت	NOUN,EZ	
d001.s016.t007	انفوزیون	انفوزیون	NOUN,EZ	
d001.s016.t008	داخل	داخل	ADP,EZ	
d001.s016.t009	وریدی	وریدی	ADJ	
d001.s016.t010	به	به	ADP	
d001.s016.t011	مدت	مدت	NOUN,EZ	
d001.s016.t012	۱۰	۱۰	NUM	
d001.s016.t013	دقیقه	دقیقه	NOUN	
d001.s016.t014	تجویز	تجویز	NOUN	
d001.s016.t015	می‌شود	شد#شو	VERB	
d001.s016.t016	.	.	PUNCT	
d001.s017.t001	برای	برای	ADP,EZ	
d001.s017.t002	کاهش	کاهش	NOUN,EZ	
d001.s017.t003	عوارض	عوارض	NOUN,EZ	
d001.s017.t004	جانبی	جانبی	ADJ	
d001.s017.t005	،	،	PUNCT	
d001.s017.t006	بیماران	بیمار	NOUN	
d001.s017.t007	باید	باید	VERB	
d001.s017.t008	کورتیکواستروئید	کورتیکواستروئید	NOUN	
d001.s017.t009	و	و	CCONJ	
d001.s017.t010	اسید	اسید	NOUN	
d001.s017.t011	فولیک	فولیک	NOUN	
d001.s017.t012	(	(	PUNCT	
d001.s017.t013	نوعی	نوعی	NOUN	
d001.s017.t014	ویتامین	ویتامین	NOUN	
d001.s017.t015	)	)	PUNCT	
d001.s017.t016	مصرف	مصرف	NOUN	
d001.s017.t017	کنند	کرد#کن	VERB	
d001.s017.t018	و	و	CCONJ	
d001.s017.t019	در	در	ADP	
d001.s017.t020	طول	طول	NOUN,EZ	
d001.s017.t021	درمان	درمان	NOUN	
d001.s017.t022	با	با	ADP	
d001.s017.t023	آلیمتا	آلیمتا	NOUN	
d001.s017.t024	،	،	PUNCT	
d001.s017.t025	ویتامین	ویتامین	NOUN,EZ	
d001.s017.t026	B	B	NOUN	
d001.s017.t027	۱۲	۱۲	NUM	
d001.s017.t028	را	را	ADP	
d001.s017.t029	تزریق	تزریق	NOUN	
d001.s017.t030	کنند	کرد#کن	VERB	
d001.s017.t031	.	.	PUNCT	
d001.s018.t001	هنگامی‌که	هنگامی‌که	CCONJ	
d001.s018.t002	آلیمتا	آلیمتا	NOUN	
d001.s018.t003	با	با	ADP	
d001.s018.t004	سیس	سیس	NOUN	
d001.s018.t005	پلاتین	پلاتین	NOUN	
d001.s018.t006	تجویز	تجویز	NOUN	
d001.s018.t007	می‌شود	شد#شو	VERB	
d001.s018.t008	،	،	PUNCT	
d001.s018.t009	داروی	دارو	NOUN,EZ	
d001.s018.t010	ضد	ضد	NOUN,EZ	
d001.s018.t011	استفراغ	استفراغ	NOUN	
d001.s018.t012	(	(	PUNCT	
d001.s018.t013	برای	برای	ADP,EZ	
d001.s018.t014	جلوگیری	جلوگیری	NOUN	
d001.s018.t015	از	از	ADP	
d001.s018.t016	استفراغ	استفراغ	NOUN	
d001.s018.t017	)	)	PUNCT	
d001.s018.t018	و	و	CCONJ	
d001.s018.t019	مایعات	مایعات	NOUN	
d001.s018.t020	(	(	PUNCT	
d001.s018.t021	برای	برای	ADP,EZ	
d001.s018.t022	جلوگیری	جلوگیری	NOUN	
d001.s018.t023	از	از	ADP	
d001.s018.t024	کم	کم	NOUN,EZ	
d001.s018.t025	آبی	آبی	ADJ,EZ	
d001.s018.t026	بدن	بدن	NOUN	
d001.s018.t027	)	)	PUNCT	
d001.s018.t028	نیز	نیز	CCONJ	
d001.s018.t029	باید	باید	VERB	
d001.s018.t030	قبل	قبل	ADP	
d001.s018.t031	یا	یا	CCONJ	
d001.s018.t032	بعد	بعد	ADP	
d001.s018.t033	از	از	ADP	
d001.s018.t034	دوز	دوز	NOUN,EZ	
d001.s018.t035	سیس	سیس	NOUN	
d001.s018.t036	پلاتین	پلاتین	NOUN	
d001.s018.t037	تجویز	تجویز	NOUN	
d001.s018.t038	شود	شد#شو	VERB	
d001.s018.t039	.	.	PUNCT	
d001.s019.t001	در	در	ADP	
d001.s019.t002	بیمارانی	بیمارانی	NOUN	
d001.s019.t003	که	که	SCONJ	
d001.s019.t004	شمارش	شمارش	NOUN,EZ	
d001.s019.t005	خون	خون	NOUN,EZ	
d001.s019.t006	آنها	آنها	PRON	
d001.s019.t007	غیرطبیعی	غیرطبیعی	ADJ	
d001.s019.t008	است	است	VERB	
d001.s019.t009	یا	یا	CCONJ	
d001.s019.t010	عوارض	عوارض	NOUN,EZ	
d001.s019.t011	جانبی	جانبی	ADJ,EZ	
d001.s019.t012	خاصی	خاصی	ADJ	
d001.s019.t013	دارند	داشت#دار	VERB	
d001.s019.t014	،	،	PUNCT	
d001.s019.t015	درمان	درمان	NOUN	
d001.s019.t016	باید	باید	VERB	
d001.s019.t017	به	به	ADP	
d001.s019.t018	تعویق	تعویق	NOUN	
d001.s019.t019	بیفتد	بیفتد	VERB	
d001.s019.t020	یا	یا	CCONJ	
d001.s019.t021	قطع	قطع	NOUN	
d001.s019.t022	شود	شد#شو	VERB	
d001.s019.t023	یا	یا	CCONJ	
d001.s019.t024	دوز	دوز	NOUN	
d001.s019.t025	کاهش	کاهش	NOUN	
d001.s019.t026	یابد	یابید#یاب	VERB	
d001.s019.t027	.	.	PUNCT	
d001.s020.t001	استفاده	استفاده	NOUN	
d001.s020.t002	از	از	ADP	
d001.s020.t003	Alimta	Alimta	NOUN	
d001.s020.t004	در	در	ADP	
d001.s020.t005	بیماران	بیمار	NOUN,EZ	
d001.s020.t006	مبتلا	مبتلا	ADJ	
d001.s020.t007	به	به	ADP	
d001.s020.t008	مشکلات	مشکلات	NOUN,EZ	
d001.s020.t009	کلیوی	کلیوی	ADJ,EZ	
d001.s020.t010	متوسط	متوسط	ADJ	
d001.s020.t011	یا	یا	CCONJ	
d001.s020.t012	شدید	شدید	ADJ	
d001.s020.t013	توصیه	توصیه	NOUN	
d001.s020.t014	نمی‌شود	شد#شو	VERB	
d001.s020.t015	.	.	PUNCT	
d001.s021.t001	برای	برای	ADP,EZ	
d001.s021.t002	اطلاعات	اطلاعات	NOUN,EZ	
d001.s021.t003	بیشتر	بیشتر	ADJ	
d001.s021.t004	،	،	PUNCT	
d001.s021.t005	به	به	ADP	
d001.s021.t006	خلاصه	خلاصه	NOUN,EZ	
d001.s021.t007	ویژگی‌های	ویژگی	NOUN,EZ	
d001.s021.t008	محصول	محصول	NOUN	
d001.s021.t009	(	(	PUNCT	
d001.s021.t010	همچنین	همچنین	CCONJ	
d001.s021.t011	بخشی	بخشی	NOUN	
d001.s021.t012	از	از	ADP	
d001.s021.t013	EPAR	EPAR	NOUN	
d001.s021.t014	)	)	PUNCT	
d001.s021.t015	مراجعه	مراجعه	NOUN	
d001.s021.t016	کنید	کرد#کن	VERB	
d001.s021.t017	.	.	PUNCT	
d001.s022.t001	آلیمتا	آلیمتا	NOUN	
d001.s022.t002	چگونه	چگونه	ADV	
d001.s022.t003	کار	کار	NOUN	
d001.s022.t004	می‌کند	کرد#کن	VERB	
d001.s022.t005	؟	؟	PUNCT	
d001.s023.t001	ماده	ماده	NOUN,EZ	
d001.s023.t002	فعال	فعال	ADJ,EZ	
d001.s023.t003	آلیمتا	آلیمتا	NOUN	
d001.s023.t004	،	،	PUNCT	
d001.s023.t005	پمترکسد	پمترکسد	NOUN	
d001.s023.t006	،	،	PUNCT	
d001.s023.t007	یک	یک	NUM	
d001.s023.t008	داروی	دارو	NOUN,EZ	
d001.s023.t009	سیتوتوکسیک	سیتوتوکسیک	ADJ	
d001.s023.t010	(	(	PUNCT	
d001.s023.t011	دارویی	دارویی	NOUN	
d001.s023.t012	که	که	SCONJ	
d001.s023.t013	سلول‌های	سلول	NOUN,EZ	
d001.s023.t014	در	در	ADP	
d001.s023.t015	حال	حال	NOUN,EZ	
d001.s023.t016	تقسیم	تقسیم	NOUN	
d001.s023.t017	مانند	مانند	ADV,EZ	
d001.s023.t018	سلول‌های	سلول	NOUN,EZ	
d001.s023.t019	سرطانی	سرطانی	ADJ	
d001.s023.t020	را	را	ADP	
d001.s023.t021	از	از	ADP	
d001.s023.t022	بین	بین	NOUN	
d001.s023.t023	می‌برد	برد#بر	VERB	
d001.s023.t024	)	)	PUNCT	
d001.s023.t025	است	است	VERB	
d001.s023.t026	که	که	SCONJ	
d001.s023.t027	به	به	ADP	
d001.s023.t028	گروه	گروه	NOUN,EZ	
d001.s023.t029	آنتی‌متابولیت‌ها	آنتی‌متابولیت‌ها	NOUN	
d001.s023.t030	تعلق	تعلق	NOUN	
d001.s023.t031	دارد	داشت#دار	VERB	
d001.s023.t032	.	.	PUNCT	
d001.s024.t001	در	در	ADP	
d001.s024.t002	بدن	بدن	NOUN	
d001.s024.t003	،	،	PUNCT	
d001.s024.t004	پمترکسد	پمترکسد	NOUN	
d001.s024.t005	به	به	ADP	
d001.s024.t006	شکل	شکل	NOUN,EZ	
d001.s024.t007	فعالی	فعالی	ADJ	
d001.s024.t008	تبدیل	تبدیل	NOUN	
d001.s024.t009	می‌شود	شد#شو	VERB	
d001.s024.t010	که	که	SCONJ	
d001.s024.t011	فعالیت	فعالیت	NOUN,EZ	
d001.s024.t012	آنزیم‌هایی	آنزیم	NOUN	
d001.s024.t013	را	را	ADP	
d001.s024.t014	که	که	SCONJ	
d001.s024.t015	در	در	ADP	
d001.s024.t016	تولید	تولید	NOUN,EZ	
d001.s024.t017	نوکلئوتیدها	نوکلئوتید	NOUN	
d001.s024.t018	نقش	نقش	NOUN	
d001.s024.t019	دارند	داشت#دار	VERB	
d001.s024.t020	(	(	PUNCT	
d001.s024.t021	بلوک‌های	بلوک	NOUN,EZ	
d001.s024.t022	سازنده	سازنده	ADJ,EZ	
d001.s024.t023	DNA	DNA	NOUN	
d001.s024.t024	و	و	CCONJ	
d001.s024.t025	RNA	RNA	NOUN	
d001.s024.t026	،	،	PUNCT	
d001.s024.t027	ماده	ماده	NOUN,EZ	
d001.s024.t028	ژنتیکی	ژنتیک	ADJ,EZ	
d001.s024.t029	سلول‌ها	سلول	NOUN	
d001.s024.t030	)	)	PUNCT	
d001.s024.t031	را	را	ADP	
d001.s024.t032	مسدود	مسدود	ADJ	
d001.s024.t033	می‌کند	کرد#کن	VERB	
d001.s024.t034	.	.	PUNCT	
d001.s025.t001	آلیمتا	آلیمتا	NOUN	
d001.s025.t002	چگونه	چگونه	ADV	
d001.s025.t003	مورد	مورد	NOUN,EZ	
d001.s025.t004	مطالعه	مطالعه	NOUN	
d001.s025.t005	قرار	قرار	NOUN	
d001.s025.t006	گرفته_است	گرفت#گیر	VERB	
d001.s025.t007	؟	؟	PUNCT	
d001.s026.t001	برای	برای	ADP,EZ	
d001.s026.t002	درمان	درمان	NOUN,EZ	
d001.s026.t003	مزوتلیومای	مزوتلیومای	NOUN,EZ	
d001.s026.t004	بدخیم	بدخیم	ADJ,EZ	
d001.s026.t005	پلور	پلور	NOUN	
d001.s026.t006	،	،	PUNCT	
d001.s026.t007	آلیمتا	آلیمتا	NOUN	
d001.s026.t008	در	در	ADP	
d001.s026.t009	یک	یک	NUM	
d001.s026.t010	مطالعه	مطالعه	NOUN,EZ	
d001.s026.t011	اصلی	اصلی	ADJ	
d001.s026.t012	بر	بر	ADP	
d001.s026.t013	روی	روی	NOUN,EZ	
d001.s026.t014	۴۵۶	۴۵۶	NUM	
d001.s026.t015	بیمار	بیمار	NOUN	
d001.s026.t016	که	که	SCONJ	
d001.s026.t017	قبلا	قبلا	ADV	
d001.s026.t018	شیمی‌درمانی	شیمی‌درمانی	NOUN	
d001.s026.t019	برای	برای	ADP,EZ	
d001.s026.t020	بیماری	بیماری	NOUN,EZ	
d001.s026.t021	خود	خود	PRON	
d001.s026.t022	دریافت	دریافت	NOUN	
d001.s026.t023	نکرده_بودند	کرد#کن	VERB	
d001.s026.t024	،	،	PUNCT	
d001.s026.t025	مورد	مورد	NOUN,EZ	
d001.s026.t026	بررسی	بررسی	NOUN	
d001.s026.t027	قرار	قرار	NOUN	
d001.s026.t028	گرفت	گرفت#گیر	VERB	
d001.s026.t029	.	.	PUNCT	
d001.s027.t001	اثرات	اثرات	NOUN,EZ	
d001.s027.t002	آلیمتا	آلیمتا	NOUN	
d001.s027.t003	در	در	ADP	
d001.s027.t004	ترکیب	ترکیب	NOUN	
d001.s027.t005	با	با	ADP	
d001.s027.t006	سیس	سیس	NOUN	
d001.s027.t007	پلاتین	پلاتین	NOUN	
d001.s027.t008	با	با	ADP	
d001.s027.t009	سیس	سیس	NOUN	
d001.s027.t010	پلاتین	پلاتین	NOUN	
d001.s027.t011	به	به	ADP	
d001.s027.t012	تنهایی	تنهایی	NOUN	
d001.s027.t013	مقایسه	مقایسه	NOUN	
