ID,English,Farsi Translation,English-Farsi Alignment
d001.s020,Alimta is not recommended for use in patients with moderate or severe kidney problems.,استفاده از Alimta در بیماران مبتلا به مشکلات کلیوی متوسط یا شدید توصیه نمی‌شود .,0-2 1-13 2-13 3-12 4-1 5-0 6-3 7-4 8-5 9-6 9-9 10-10 11-11 12-8 13-7 14-14
d001.s021,"For more information, see the Summary of Product Characteristics (also part of the EPAR).",برای اطلاعات بیشتر ، به خلاصه ویژگی‌های محصول ( همچنین بخشی از EPAR ) مراجعه کنید .,0-0 1-2 2-1 3-3 3-16 4-15 5-4 6-5 7-6 8-7 9-6 10-8 11-9 12-10 13-11 15-12 16-13 17-16
d001.s022,How does Alimta work?,آلیمتا چگونه کار می‌کند ؟,0-1 1-3 2-0 3-2 4-4
d001.s023,"The active substance in Alimta, pemetrexed, is a cytotoxic medicine (a medicine that kills cells that are dividing, such as cancer cells), which belongs to the group antimetabolites.",ماده فعال آلیمتا ، پمترکسد ، یک داروی سیتوتوکسیک ( دارویی که سلول‌های در حال تقسیم مانند سلول‌های سرطانی را از بین می‌برد ) است که به گروه آنتی‌متابولیت‌ها تعلق دارد .,1-1 2-0 4-2 5-3 6-4 7-5 8-24 9-6 10-8 11-7 12-9 13-7 14-10 15-11 16-21 16-22 17-12 18-18 20-15 22-16 23-18 24-17 25-23 26-31 27-25 28-29 28-30 29-26 30-28 31-27 32-28 33-31
d001.s024,"In the body, pemetrexed is converted into an active form that blocks the activity of the enzymes that are involved in producing nucleotides (the building blocks of DNA and RNA, the genetic material of cells).",در بدن ، پمترکسد به شکل فعالی تبدیل می‌شود که فعالیت آنزیم‌هایی را که در تولید نوکلئوتیدها نقش دارند ( بلوک‌های سازنده DNA و RNA ، ماده ژنتیکی سلول‌ها ) را مسدود می‌کند .,0-0 2-1 3-2 4-3 5-8 6-7 6-8 7-4 9-6 10-5 11-9 12-31 12-32 14-10 16-11 17-11 18-13 19-18 20-17 21-14 22-15 23-16 24-19 25-20 26-20 26-21 28-22 29-23 30-24 31-25 33-27 34-26 35-27 36-28 37-29 38-33
d001.s025,How has Alimta been studied?,آلیمتا چگونه مورد مطالعه قرار گرفته_است ؟,0-1 1-5 2-0 3-4 4-3 4-5 5-6
d001.s026,"For the treatment of malignant pleural mesothelioma, Alimta has been studied in one main study in 456 patients who had not received chemotherapy for their disease before.",برای درمان مزوتلیومای بدخیم پلور ، آلیمتا در یک مطالعه اصلی بر روی ۴۵۶ بیمار که قبلا شیمی‌درمانی برای بیماری خود دریافت نکرده_بودند ، مورد بررسی قرار گرفت .,0-0 2-1 4-4 5-4 6-2 7-5 7-28 8-6 10-26 11-25 11-27 12-7 13-8 14-10 15-9 16-12 17-13 18-14 19-15 20-22 21-22 22-21 23-17 24-18 25-20 26-19 27-16 28-23 28-28
d001.s027,The effects of Alimta in combination with cisplatin were compared with those of cisplatin alone.,اثرات آلیمتا در ترکیب با سیس پلاتین با سیس پلاتین به تنهایی مقایسه شد .,0-10 1-0 3-1 4-2 5-3 6-4 7-5 7-6 8-13 9-12 10-7 13-8 13-9 14-11 15-14
d001.s028,"For the treatment of non-small cell lung cancer, the effects of Alimta were compared with those of docetaxel (another anticancer medicine) in one study involving 571 patients with locally advanced or metastatic disease who had received chemotherapy in the past.",برای درمان سرطان ریه سلول غیر کوچک ، اثرات آلیمتا با اثرات دوستاکسل ( یک داروی ضد سرطان دیگر ) در یک مطالعه که شامل ۵۷۱ بیمار مبتلا به بیماری پیشرفته موضعی یا متاستاتیک بود که در گذشته شیمی‌درمانی شده_بودند ، مقایسه شد .,0-0 1-28 2-1 4-3 4-5 4-6 5-4 6-3 7-2 8-7 8-40 10-8 11-11 12-9 12-12 13-42 14-41 15-10 18-12 19-13 20-14 21-16 21-17 22-15 23-19 24-20 25-21 26-22 27-23 27-24 28-25 29-26 30-27 31-31 32-30 33-32 34-33 35-29 36-35 37-39 38-39 39-38 40-36 42-37 43-43
d001.s029,"Alimta was also compared with gemcitabine (another anticancer medicine), both in combination with cisplatin, in a study involving 1,725 patients who had not received chemotherapy for lung cancer in the past.",آلیمتا همچنین با جمسیتابین ( یکی دیگر از داروهای ضد سرطان ) ، هر دو در ترکیب با سیس پلاتین ، در مطالعه‌ای شامل ۱۷۲۵ بیمار که در گذشته شیمی‌درمانی برای سرطان ریه دریافت نکرده_بودند ، مقایسه شد .,0-0 1-37 2-1 3-36 4-2 5-3 5-19 6-4 7-6 8-9 8-10 9-8 10-11 11-12 12-14 13-15 14-16 15-17 16-3 16-18 16-19 17-20 17-35 18-21 19-22 20-22 21-5 21-23 22-24 23-25 24-26 25-34 26-34 27-33 28-29 29-30 30-32 31-31 32-27 34-28 35-38
d001.s030,"In all three studies, the main measure of effectiveness was how long the patients survived.",در هر سه مطالعه ، معیار اصلی اثربخشی ، مدت زنده ماندن بیماران بود .,0-0 1-1 2-2 3-3 4-4 4-8 6-6 7-5 8-7 9-7 10-13 12-9 14-12 15-10 16-14
d001.s031,What benefit has Alimta shown during the studies?,آلیمتا در طول مطالعات چه فوایدی را نشان داده_است ؟,0-4 1-5 2-8 3-0 4-7 5-2 6-1 7-3 8-9
d001.s032,Alimta increased the survival time of patients with malignant pleural mesothelioma.,آلیمتا زمان بقای بیماران مبتلا به مزوتلیومای بدخیم پلور را افزایش داد .,0-0 1-10 2-2 3-2 4-1 6-3 7-5 8-4 8-7 9-6 9-8 10-6 10-8 11-12
d001.s033,"Patients receiving Alimta and cisplatin survived for an average of 12.1 months, compared with 9.3 months in those receiving cisplatin alone.",بیمارانی که آلیمتا و سیس پلاتین دریافت کردند به طور متوسط ۱۲ ٫ ۱ ماه زنده ماندند ، در حالی که این رقم در بیمارانی که به تنهایی سیس پلاتین دریافت می‌کردند ، ۹ ٫ ۳ ماه بود .,0-0 1-6 2-2 3-3 4-4 4-5 5-16 6-7 7-8 8-10 10-11 10-13 11-14 12-12 12-17 13-19 14-20 15-33 15-35 16-36 17-23 18-24 19-30 20-28 20-29 21-27 22-38
d001.s034,"In the treatment of patients with non-small cell lung cancer, Alimta was as effective as the comparators.",در درمان بیماران مبتلا به سرطان ریه سلول غیر کوچک ، Alimta به اندازه مقایسه کننده‌ها موثر بود .,0-0 2-1 3-4 4-2 5-3 6-6 6-8 6-9 7-7 8-6 9-5 10-10 11-11 12-17 13-12 14-16 15-13 16-15 17-14 17-15 18-18
d001.s035,"In patients who had received chemotherapy in the past, the average survival time was 8.3 months with Alimta, compared with 7.9 months with docetaxel.",در بیمارانی که در گذشته شیمی‌درمانی دریافت کرده_بودند ، میانگین زمان بقا با آلیمتا ۸ ٫ ۳ ماه در مقایسه با ۷ ٫ ۹ ماه با دوستاکسل بود .,0-0 1-1 2-2 3-7 4-6 5-5 6-3 8-4 9-8 11-9 12-11 13-10 14-27 15-14 15-16 16-17 17-12 18-13 19-15 19-18 20-19 21-20 22-21 22-23 23-24 24-25 25-26 26-28
d001.s036,"In patients who had not received chemotherapy in the past, the average survival time was 10.3 months in both groups.",در بیمارانی که در گذشته شیمی‌درمانی دریافت نکرده_بودند ، میانگین زمان بقا در هر دو گروه ۱۰ ٫ ۳ ماه بود .,0-0 1-1 2-2 3-7 4-7 5-6 6-5 7-3 9-4 10-8 10-17 11-1 12-9 13-11 14-10 15-20 16-16 16-18 17-19 18-12 19-14 20-15 21-21
d001.s037,"However, in both studies, patients whose cancer was not affecting squamous cells had longer survival times if they received Alimta than if they received the comparator.",با این حال ، در هر دو مطالعه ، بیمارانی که سرطان آنها سلول‌های سنگفرشی را تحت تأثیر قرار نداده_بود ، در صورت دریافت Alimta ، زمان بقای طولانی‌تری نسبت به دریافت داروی مقایسه‌کننده داشتند .,0-2 1-3 1-20 2-4 3-5 4-7 5-8 5-25 6-9 7-10 8-11 9-19 10-19 11-17 12-14 13-13 14-34 15-28 16-27 17-26 18-22 19-12 20-23 21-24 22-29 25-31 26-32 27-33 28-35
d001.s038,"In contrast, patients whose cancer was affecting squamous cells had shorter survival times if they received Alimta.",در مقابل ، بیمارانی که سرطان آنها سلول‌های سنگفرشی را تحت تأثیر قرار داده_بود ، در صورت دریافت Alimta ، زمان بقای کوتاه‌تری داشتند .,0-0 1-1 2-2 2-19 3-3 4-4 5-5 6-13 7-11 7-13 8-8 9-7 10-23 11-22 12-21 13-20 14-16 15-6 16-17 17-18 18-24
d002.s001,kalgebra is a mathematical calculator based on content markup MathML language.,kalgebra یک ماشین‌حساب ریاضی بر اساس نشانه‌گذاری محتوا زبان MathML است .,0-0 1-10 2-1 3-3 4-2 5-5 6-4 7-7 8-6 9-9 10-8 11-11
d002.s002,Nowadays it is capable to make simple MathML operations (arithmetic and logical) and to representate 2D and 3D graphs.,امروزه قادر به انجام عملیات MathML ساده ( حسابی و منطقی ) و نمایش نمودارهای دو بعدی و سه‌بعدی است .,0-0 2-19 3-1 4-2 5-3 6-6 7-5 8-4 9-7 10-8 11-9 12-8 12-10 13-11 14-12 16-13 17-15 17-16 18-17 19-18 20-14 21-20
d002.s003,It is actually not necessary to know MathML to use kalgebra.,در واقع برای استفاده از کلجبرا نیازی به دانستن MathML نیست .,0-0 2-1 3-10 4-6 5-7 6-8 7-9 8-2 9-3 10-5 11-11
d002.s004,kalgebra is a MathML based graph calculator.,kalgebra یک ماشین‌حساب گراف مبتنی بر MathML است .,0-0 1-7 2-1 3-6 4-4 5-3 6-2 7-8
d002.s005,Although it was initially MathML oriented it can now be used by everyone with little mathematical knowledge.,اگرچه در ابتدا مبتنی بر MathML بود ، اکنون می‌تواند توسط همه افراد با دانش کمی ریاضی استفاده شود .,0-0 2-6 3-1 3-2 4-5 5-4 6-7 7-9 8-8 9-18 10-17 11-10 12-12 13-13 14-15 15-16 16-14 17-19
d002.s006,Here's a screenshot of kalgebra main window,در اینجا یک اسکرین شات از پنجره اصلی کلجبرا آمده_است,0-1 2-2 3-3 4-5 5-8 7-6
d002.s007,kalgebra main window,پنجره اصلی کالجبرا,0-2 1-1 2-2
d002.s008,"kalgebra main window consists in a Console tab, a 2D Graph tab, a 3D Graph tab and a Dictionary tab.",پنجره اصلی kalgebra شامل یک تب Console ، یک زبانه Graph ۲ D ، یک Tab Graph ۳ D و یک زبانه Dictionary است .,0-2 1-1 2-0 3-3 3-23 5-4 6-6 7-5 8-7 9-8 10-11 10-12 11-10 12-15 13-13 14-14 15-17 15-18 16-16 18-19 19-20 20-22 22-24
d002.s009,Below these tabs you will find an input field to type your functions or do your calculations.,در زیر این برگه‌ها یک فیلد ورودی برای تایپ توابع یا انجام محاسبات خود پیدا خواهید_کرد .,0-0 0-1 1-2 2-3 4-15 5-14 6-4 7-6 8-5 9-7 10-8 11-13 12-9 13-10 14-11 16-3 16-12 17-16
d002.s010,"If we want to understand how it works, the best thing we can do is to realize that our input is being converted into MathML although it is not necessary to know MathML.",اگر می‌خواهیم بفهمیم که چگونه کار می‌کند ، بهترین کاری که می‌توانیم انجام دهیم این است که متوجه شویم ورودی ما به MathML تبدیل می‌شود ، اگرچه نیازی به دانستن MathML نیست .,0-0 1-2 2-1 3-2 4-2 5-4 7-5 8-7 8-25 10-8 11-9 12-13 13-11 14-12 15-14 16-16 17-17 18-3 19-20 20-19 21-24 23-23 23-24 24-21 25-22 26-26 29-31 30-27 31-29 32-29 33-30 34-32
d002.s011,"I have based the syntax basically on common sense, it should not be hard for anyone.",من اساسا نحو را بر اساس عقل سلیم قرار داده‌ام ، نباید برای کسی سخت باشد .,0-0 1-9 2-5 4-2 5-1 6-4 7-6 8-7 9-10 11-11 13-15 14-14 15-12 16-13 17-16
d002.s012,I've looked closely to maxima and maple's syntax so they look very similar.,من از نزدیک به ماکسیما و سینتکس maple نگاه کرده‌ام ، بنابراین آنها بسیار شبیه به نظر می‌رسند .,0-0 1-9 2-8 3-1 3-2 4-3 5-4 6-5 7-7 9-6 10-11 11-12 12-17 13-13 14-14 15-18
d002.s013,#ERROR!,#خطا !,0-0 0-1
d002.s014,"^, **: Power, you can use them both.",^ ، ** : قدرت ، می‌توانید از هر دو استفاده کنید .,0-0 1-1 2-2 3-3 4-4 5-5 6-11 7-6 8-10 9-8 10-9 11-12
d002.s015,Also it is possible to use the unicode² characters.,همچنین امکان استفاده از کاراکترهای unicode² وجود دارد .,0-0 1-6 2-7 3-1 4-3 5-2 7-5 8-5 9-4 10-8
d002.s016,Powers are one way to make roots too.,قدرت‌ها نیز یکی از راه‌های ایجاد ریشه هستند .,0-0 1-7 2-2 3-4 4-4 5-5 6-6 7-1 8-8
d002.s017,-gt: It's the way to specify the bounded variable in a function.,-gt : راهی برای تعیین متغیر محدود در یک تابع است .,0-0 1-1 2-10 5-2 6-3 7-4 9-6 10-5 11-7 12-8 13-9 14-11
d002.s018,(): It is used to specify a higher priority.,( ) : برای تعیین اولویت بالاتر استفاده می‌شود .,0-0 1-1 2-2 3-8 4-8 5-7 6-3 7-4 9-6 10-5 11-9
d002.s019,"abc(params): When the parser finds a function, it checks if abc is an operator.",abc ( params ) : وقتی تجزیه کننده یک تابع را پیدا می‌کند ، بررسی می‌کند که آیا abc یک عملگر است یا خیر .,0-0 0-1 0-2 0-3 1-4 2-5 3-12 4-6 4-7 5-11 5-12 6-8 7-9 8-13 9-15 10-14 10-15 11-17 12-18 13-21 14-19 15-20 16-24
d002.s020,"If it is, it will be treated as an operator, if it is not, it will be treated as a user function.",اگر اینطور باشد ، به عنوان یک اپراتور در نظر گرفته_می‌شود ، اگر نباشد ، به عنوان یک تابع کاربر در نظر گرفته_می‌شود .,0-0 1-1 2-2 3-3 3-7 5-10 6-4 7-10 8-5 9-6 10-7 11-11 12-12 15-13 16-14 18-22 19-15 20-22 21-16 22-17 23-19 24-18 25-23
d002.s021,:=: It is used to define a variable value.,: = : برای تعریف مقدار متغیر استفاده می‌شود .,0-0 1-1 2-2 3-8 4-8 5-7 6-3 7-4 9-6 10-5 11-9
d002.s022,?: Piecewise condition definition.,? : تعریف شرط تکه‌ای .,0-0 1-1 2-4 3-3 4-2 5-5
d002.s023,Piecewise is the way we can define conditional operations in kalgebra.,روشی است که ما می‌توانیم عملیات شرطی را در کلجبرا تعریف کنیم .,0-9 1-1 2-2 3-0 4-3 5-4 6-10 7-6 7-9 8-5 8-6 9-8 10-9 11-12
d002.s024,"If we introduce the condition before the? it will use this condition only if it is true, if it finds a? without any condition, it will enter in the last instance.",اگر شرط را قبل از از این شرط فقط در صورتی استفاده می‌کند که درست باشد ، اگر a را پیدا کند ؟ بدون هیچ شرطی در آخرین مرحله وارد می‌شود .,0-0 4-1 5-3 6-5 8-12 9-12 10-11 11-6 12-7 13-8 14-13 16-15 17-14 18-16 19-17 21-20 21-21 22-18 23-22 24-23 25-24 26-25 27-30 29-30 30-29 31-26 32-9 33-27 34-28 35-31
d002.s025,{}: MathML container.,{ } : ظرف MathML .,0-0 1-1 2-2 3-4 4-3 5-5
d002.s026,It can be used to define a container.,می‌توان از آن برای تعریف ظرف استفاده کرد .,0-2 1-0 2-7 3-6 4-3 5-4 6-1 7-5 8-8
d002.s027,Mainly useful for working with piecewise.,عمدتا برای کار با تکه‌ای مفید است .,0-0 1-5 2-1 3-2 4-3 5-4 6-7
d002.s028,"Now you could ask me, why should the user mind about MathML?",حالا می‌توانید از من بپرسید ، چرا کاربر باید به MathML توجه کند ؟,0-0 1-4 2-1 3-4 4-3 5-5 6-6 7-8 8-12 9-7 10-11 11-9 12-10 13-13
d002.s029,"That's easy. With this, we can operate with functions like cos(), sin(), any other trigonometric functions, sum() or product().",آسان است . با این کار ، می‌توانیم با توابعی مانند cos ( ) ، sin ( ) ، هر توابع مثلثاتی دیگر ، sum ( ) یا product ( ) کار کنیم .,0-1 2-0 3-2 4-3 5-4 6-6 7-7 8-7 9-31 10-8 11-9 12-10 13-11 13-12 13-13 14-14 15-15 15-16 15-17 16-18 17-19 18-22 20-20 21-23 22-24 22-25 22-26 23-27 24-28 24-29 24-30 25-33
d002.s030,It does not matter what kind it is.,فرقی نمی‌کند چه نوع باشد .,0-0 1-1 2-1 3-0 4-2 5-3 7-4 8-5
d002.s031,"We can use plus(), times() and everything which has its operator.",می‌توانیم از plus ( ) ، times ( ) و هر چیزی که عملگر خود را دارد استفاده کنیم .,0-0 1-0 2-17 3-2 3-3 3-4 4-5 4-11 5-6 5-7 5-8 6-9 7-10 8-12 9-16 10-14 11-13 12-19
d002.s032,kalgebra's console is useful as a calculator.,کنسول kalgebra به عنوان یک ماشین‌حساب مفید است .,0-1 1-0 2-0 3-7 4-6 5-3 6-4 7-5 8-8
d002.s033,There you have a list of the declared variables.,در آنجا لیستی از متغیرهای اعلام‌شده دارید .,0-1 1-6 3-2 4-2 5-3 6-0 7-5 8-4 9-7
d002.s034,By double clicking on them you will see a dialog that lets you change their values (just a way to trick the log).,با دوبار کلیک کردن بر روی آنها ، یک گفتگو خواهید_دید که به شما امکان می‌دهد مقادیر آنها را تغییر دهید ( فقط راهی برای فریب دادن گزارش ) .,0-0 1-1 2-2 2-3 3-5 4-6 5-7 6-10 7-10 8-8 9-9 10-11 11-14 11-15 12-13 13-19 14-17 15-16 16-21 17-22 19-23 20-24 21-25 22-26 23-27 24-28 25-29
d002.s035,"Every time you enter an expression, the "" ans "" variable value will be changed to the last result.",هر بار که یک عبارت را وارد می‌کنید ، مقدار متغیر &quot;ans&quot; به آخرین نتیجه تغییر می‌کند .,0-0 1-1 2-7 3-6 4-3 5-4 6-8 8-11 9-11 10-11 11-10 12-9 13-16 14-16 15-15 16-12 17-2 18-13 19-14 20-17
d002.s036,Ctrl N New Window,Ctrl N پنجره جدید,0-0 1-1 2-3 3-2
d002.s037,Flushes the log.,سیاهه را شستشو می‌دهد .,0-0 0-2 1-0 3-4
d002.s038,Ctrl L Load Script,Ctrl L Load Script,0-0 1-1 2-2 3-3
d002.s039,Executes the instructions in a file sequentially.,دستورالعمل‌های موجود در یک فایل را به صورت متوالی اجرا می‌کند .,0-9 0-10 1-0 2-0 3-2 4-3 5-4 6-8 7-11
d002.s040,Nice if you want to define some libraries or resume some previous work.,خوب است اگر می‌خواهید چند کتابخانه تعریف کنید یا کارهای قبلی را از سر بگیرید .,0-0 1-2 2-7 3-3 4-3 5-6 6-4 7-5 8-8 10-14 11-10 12-9 13-15
d002.s041,Ctrl G Save Script,Ctrl G ذخیره اسکریپت,0-0 1-1 2-2 3-3
d002.s042,Saves the instructions you have typed since the session began to be able to reuse.,دستورالعمل‌هایی را که از زمان شروع جلسه تایپ کرده‌اید ذخیره می‌کند تا بتواند دوباره از آن استفاده کند .,0-9 0-10 1-0 2-0 3-2 4-8 5-7 5-8 6-4 8-6 9-5 10-11 11-17 12-12 13-14 14-16 15-18
d002.s043,"Generates text files so it should be easy to fix using any text editor, like Kate.",فایل‌های متنی تولید می‌کند ، بنابراین باید با استفاده از هر ویرایشگر متنی ، مانند Kate ، آن را به راحتی برطرف کنید .,0-2 0-3 1-1 2-0 3-5 4-17 5-6 6-22 7-20 8-19 9-21 10-8 11-10 12-12 13-11 14-4 14-13 15-14 16-15 17-23
d002.s044,Ctrl S Save Log,Ctrl S ذخیره گزارش,0-0 1-1 2-2 3-3
d002.s045,Saves the log with all results into an HTML file to be able to print or publish.,گزارش را با تمام نتایج در یک فایل HTML ذخیره می‌کند تا بتواند چاپ یا منتشر کند .,0-9 0-10 1-1 2-0 3-2 4-3 5-4 6-5 7-6 8-8 9-7 10-11 12-12 13-16 14-13 15-14 16-15 17-17
d002.s046,Ctrl Q Quit,Ctrl Q خروج,0-0 1-1 2-2
d002.s047,Shuts the program down.,برنامه را خاموش می‌کند .,1-3 2-0 3-2 4-4
