Token ID FAR,Farsi Token,Farsi Lemma,POS FAR,ENG Tokens,ENG Token ID,BN Synset,Add Annotation,Correct?,Synonyms?,BN Gloss,Annotator notes,Farsi Synsets,Farsi Glosses,Eng WN Synsets,Eng WN Glosses,Eng BN Synsets,Eng BN Glosses
f001.s006.t011,قطره,قطره,NOUN,vein,d001.s006.t017,bn:00028709n,,2,,A blood vessel that carries blood from the capillaries toward the heart,Shoul've aligned with row 120,bn:00032519n;bn:00055160n;bn:00011305n;bn:00008127n;bn:00028709n;bn:00548470n;bn:00040866n;bn:01807271n,"A method of irrigating the eye used by ophthalmologists ;A British imperial capacity measure (liquid or dry) equal to 1/60th fluid dram or 0.059194 cubic centimeters ;An indistinct shapeless form ;A compact mass ;A small indefinite quantity (especially of a liquid)--Kipling ;The drop is an approximated unit of measure of volume, the amount dispensed as one drop from a dropper or drip chamber. ;A lump or chunk of raw meat ;A drop in popular music, especially electronic dance music styles, is a point in a music track where a switch of rhythm or bass line occurs and usually follows a recognizable build section and break.",wn:05418717n; wn:07089622n; wn:13098186n; wn:09470222n; wn:02468735n,a blood vessel that carries blood from the capillaries toward the heart; a distinctive style or manner; any of the vascular bundles or ribs that form the branching framework of conducting and supporting tissues in a leaf or other plant organ; a layer of ore between layers of rock; one of the horny ribs that stiffen and support the wing of an insect,,
f001.s006.t012,در,در,ADP,into,d001.s006.t015,,,,,,,,,,,,
f001.s006.t013,رگ,رگ,"NOUN,EZ",drip,d001.s006.t014,bn:00011396n,,2,,Let or cause to fall in drops,Shoul've aligned with row 123,bn:00079862n;bn:00079863n;bn:00011396n;bn:02920462n,"A craft designed for water transportation ;An object used as a container (especially for liquids) ;A vessel in which blood circulates ;Reg is a village in Qaleh Zari Rural District, Jolgeh-e Mazhan District, Khusf County, South Khorasan Province, Iran.",wn:02071142v; wn:01611516v,fall in drops; let or cause to fall in drops,,
f001.s006.t014,),),PUNCT,),d001.s006.t018,,,,,,,,,,,,
f001.s006.t015,ساخته_می‌شود,ساخت#ساز,VERB,is made up,"d001.s006.t006, d001.s006.t007",bn:00083187v,,1,,Form or compose,,,,,,,
f001.s006.t016,.,.,PUNCT,.,d001.s006.t019,,,,,,,,,,,,
f001.s007.t001,حاوی,حاوی,"ADJ,EZ",contains,d001.s007.t002,bn:00085499v,,1,,Include or contain; have as a component,,,,,,,
f001.s007.t002,ماده,ماده,"NOUN,EZ",substance,d001.s007.t005,bn:00074986n,,1,,Material of a particular kind or constitution,,,,,,,
f001.s007.t003,فعال,فعال,"ADJ,EZ",active,d001.s007.t004,bn:00096387a,,1,,Exerting influence or producing a change or effect,,,,,,,
f001.s007.t004,پمترکسد,پمترکسد,NOUN,pemetrexed,d001.s007.t006,bn:00602447n,,1,,Pemetrexed is a chemotherapy drug manufactured and marketed by Eli Lilly and Company.,,,,,,,
f001.s007.t005,است,است,VERB,contains,d001.s007.t002,bn:00085499v,,1,,Include or contain; have as a component,,,,,,,
f001.s007.t006,.,.,PUNCT,.,d001.s007.t007,,,,,,,,,,,,
f001.s008.t001,آلیمتا,آلیمتا,NOUN,Alimta,d001.s008.t003,bn:00602447n,,1,,Pemetrexed is a chemotherapy drug manufactured and marketed by Eli Lilly and Company.,,,,,,,
f001.s008.t002,برای,برای,"ADP,EZ",for,d001.s008.t005,,,,,,,,,,,,
f001.s008.t003,چه,چه,DET,What,d001.s008.t001,,,,,,,,,,,,
f001.s008.t004,مواردی,موارد,NOUN,,,,1,1,,,,bn:00058539n,Something you have to do,,,,
f001.s008.t005,استفاده,استفاده,NOUN,used,d001.s008.t004,bn:00082705v,,1,,Put into service; make work or employ for a particular purpose or for its inherent or natural purpose,,,,,,,
f001.s008.t006,می‌شود,شد#شو,VERB,is,d001.s008.t002,,1,1,,,,,,,,,
f001.s008.t007,؟,؟,PUNCT,?,d001.s008.t006,,,,,,,,,,,,
f001.s009.t001,آلیمتا,آلیمتا,NOUN,Alimta,d001.s009.t001,bn:00602447n,,1,,Pemetrexed is a chemotherapy drug manufactured and marketed by Eli Lilly and Company.,,,,,,,
f001.s009.t002,برای,برای,"ADP,EZ",to,d001.s009.t004,,,,,,,,,,,,
f001.s009.t003,درمان,درمان,"NOUN,EZ",treat,d001.s009.t005,bn:00084532v,,1,,Provide treatment for,,,,,,,
f001.s009.t004,دو,دو,NUM,two,d001.s009.t006,,,,,,,,,,,,
f001.s009.t005,نوع,نوع,NOUN,types,d001.s009.t007,bn:00078798n,,1,,A subdivision of a particular kind of thing,,,,,,,
f001.s009.t006,سرطان,سرطان,NOUN,cancer,d001.s009.t009,bn:00015180n,,1,,Any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream,,,,,,,
f001.s009.t007,استفاده,استفاده,NOUN,used,d001.s009.t003,bn:00082705v,,1,,Put into service; make work or employ for a particular purpose or for its inherent or natural purpose,,,,,,,
f001.s009.t008,می‌شود,شد#شو,VERB,is,d001.s009.t002,,1,1,,,,,,,,,
f001.s009.t009,:,:,PUNCT,:,d001.s009.t010,,,,,,,,,,,,
f001.s009.t010,مزوتلیومای,مزوتلیومای,"NOUN,EZ",mesothelioma,d001.s009.t012,bn:00054512n,,1,,A form of carcinoma of the mesothelium lining lungs or abdomen or heart; usually associated with exposure to asbestos dust,exact translation. But not a real word in FA.,,,,,,
f001.s009.t011,پلور,پلور,NOUN,pleural,d001.s009.t011,bn:00108692a,,1,,Of or relating to the pleura or the walls of the thorax,,,,,,,
f001.s009.t012,(,(,PUNCT,(,d001.s009.t013,,,,,,,,,,,,
f001.s009.t013,سرطان,سرطان,"NOUN,EZ",cancer,d001.s009.t014,bn:00015180n,,1,,Any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream,,,,,,,
f001.s009.t014,پوشش,پوشش,"NOUN,EZ",lining,d001.s009.t017,bn:00051366n,,1,,A protective covering that protects an inside surface,,,,,,,
f001.s009.t015,ریه,ریه,NOUN,lungs,d001.s009.t020,bn:00052341n,,1,,Either of two saclike respiratory organs in the chest of vertebrates; serves to remove carbon dioxide and provide oxygen to the blood,,,,,,,
f001.s009.t016,که,که,SCONJ,that,d001.s009.t021,,,,,,,,,,,,
f001.s009.t017,معمولا,معمولا,ADV,usually,d001.s009.t023,bn:00114778r,,1,,Under normal conditions,,,,,,,
f001.s009.t018,در,در,ADP,,,,,,,,,,,,,,
f001.s009.t019,اثر,اثر,"NOUN,EZ",by,d001.s009.t025,,1,1,,,,bn:00067033n;bn:00001740n;bn:00070832n;bn:15338434n;bn:00021408n;bn:00029888n;bn:00062309n;bn:00046168n;bn:00048886n;bn:00029871n;bn:00029872n;bn:00087491v;bn:00021961n;bn:03179899n;bn:00021962n,"An antiquity that has survived from the distant past	;The conscious subjective aspect of feeling or emotion	;An indication that something has been present	;Distinct intellectual or artistic creation	;A musical work that has been created	;Capacity or power to produce a desired effect	;A product produced or accomplished through the effort or activity or agency of a person or thing	;The act of coercing someone into government service	;Something of sentimental value	;An outward appearance	;An impression (especially one that is artificial or contrived)	;Produce	;A phenomenon that follows and is caused by some previous phenomenon	;In linear algebra, the trace of an n-by-n square matrix A is defined to be the sum of the elements on the main diagonal of A, i.e., tr	;Having important effects or influence",,,,
f001.s009.t020,قرار,قرار,NOUN,,,,1,0,,,It is a part of name for exposure.,bn:00041948n;bn:09102595n,A formally arranged gathering	;n/a,,,,
f001.s009.t021,گرفتن,گرفتن,NOUN,to,d001.s009.t027,,1,0,,,It is a part of name for exposure.,bn:00032460n;bn:03284416n;bn:00088762v;bn:00089389v;bn:00089246v;bn:00079017n;bn:00062249n;bn:00082131v;bn:00001004n;bn:00016701n;bn:00161293n;bn:00084654v;bn:00084710v;bn:00084711v;bn:00041821n;bn:00019475n;bn:00082739v;bn:00090675v,"The felonious act of extorting money (as by threats of violence)	;Grips are devices that are worn on the hands of artistic gymnasts when performing on various apparatus.	;Get into one's hands, take physically	;Be valid, applicable, or true	;Get something; come into possession of	;A statement that is restrained in ironic contrast to what might have been said	;The act of someone who picks up or takes something	;Take away to an undisclosed location against their will and usually in order to extract a ransom	;The act of acquiring something	;A person regarded as a good matrimonial prospect	;Caught is a method of dismissing a batsman in the sport of cricket.	;Take hold of so as to seize or restrain or stop the motion of	;Put an end to a state or an activity	;Have an end, in a temporal, spatial, or quantitative sense; either spatial or metaphorical	;Worker who moves the camera around while a film or television show is being made	;The act of grasping	;Take possession of by force, as after an invasion	;Perform a marriage ceremony",,,,
f001.s009.t022,در,در,ADP,the,d001.s009.t016,,,,,,,,,,,,
f001.s009.t023,معرض,معرض,"NOUN,EZ",exposure,d001.s009.t026,bn:00032379n,,1,,The state of being vulnerable or exposed,,,,wn:05043973n; wn:00157463n; wn:07215377n; wn:05934123n; wn:14543931n; wn:13640206n; wn:03925226n; wn:00907340n; wn:00522537n; wn:00204659n,vulnerability to the elements; to the action of heat or cold or wind or rain; or; the act of subjecting someone to an influencing experience; the disclosure of something secret; aspect resulting from the direction a building or window faces; the state of being vulnerable or exposed; the intensity of light falling on a photographic film or plate; a representation of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material; the act of exposing film to light; presentation to view in an open or public manner; abandoning without shelter or protection (as by leaving as infant out in the open),,
f001.s009.t024,آزبست,آزبست,NOUN,asbestos,d001.s009.t028,bn:00006236n,,1,,A fibrous amphibole; used for making fireproof articles; inhaling fibers can cause asbestosis or lung cancer,,,,,,,
