f001.s001.t002 bn:00028015n
f003.s003.t001 bn:00098342a
f003.s003.t004 bn:00041948n
f003.s003.t006 bn:00073699n
f003.s003.t007 bn:00009896n
f003.s003.t008 bn:00107593a
f003.s003.t011 bn:00021286n
f003.s003.t012 bn:00091451v
f003.s003.t015 bn:00032099n
f003.s003.t016 bn:00047690n
f003.s003.t018 bn:00068130n
f003.s003.t019 bn:00001177n
f003.s003.t020 bn:00099258a
f003.s003.t022 bn:00021628n
f003.s003.t023 bn:00027103n
f003.s003.t024 bn:00096474a
f003.s003.t026 bn:00020592n
f003.s003.t027 bn:00110842a
f003.s003.t029 bn:00059480n
f003.s003.t030 bn:00113672a
f003.s003.t034 bn:00114246r
f003.s003.t035 bn:00079373n
f003.s003.t036 bn:00029239n
f003.s003.t037 bn:00005601n
f003.s004.t001 bn:00016401n
f003.s004.t002 bn:00115216r
f003.s004.t003 bn:00102920a
f003.s004.t005 bn:00007011n
f003.s004.t007 bn:00030844n
f003.s004.t008 bn:00040561n
f003.s004.t009 bn:00079373n
f003.s004.t011 bn:00062795n
f003.s004.t012 bn:00029239n
f003.s004.t013 bn:00106070a
f003.s004.t020 bn:00032224n
f003.s004.t022 bn:00100790a
f003.s005.t001 bn:00114246r
f003.s005.t003 bn:00027862n
f003.s005.t004 bn:00068130n
f003.s005.t005 bn:00111001a
f003.s005.t006 bn:00080860n
f003.s005.t007 bn:00109211a
f003.s005.t008 bn:00007020n
f003.s005.t009 bn:00084733v
f003.s006.t002 bn:00008870n
f003.s006.t004 bn:00006532n
f003.s006.t010 bn:00110842a
f003.s006.t018 bn:00050487n
f003.s006.t019 bn:00031898n
f003.s006.t021 bn:00032099n
f003.s006.t022 bn:00017096n
f003.s006.t026 bn:00084758v
f003.s006.t027 bn:00098342a
f003.s006.t029 bn:00029239n
f003.s006.t030 bn:00080860n
f003.s006.t031 bn:00109211a
f003.s006.t033 bn:00107973a
f003.s006.t034 bn:00087732v
f003.s007.t002 bn:00008870n
f003.s007.t003 bn:00109521a
f003.s007.t005 bn:00061758n
f003.s007.t006 bn:00100121a
f003.s007.t009 bn:00035925n
f003.s007.t010 bn:00060633n
f003.s007.t012 bn:00049573n
f003.s007.t014 bn:00027051n
f003.s007.t017 bn:00008465n
f003.s007.t018 bn:00030844n
f003.s007.t019 bn:00101411a
f003.s007.t020 bn:00082844v
f003.s007.t021 bn:00014839n
f003.s007.t024 bn:00021961n
f003.s007.t025 bn:00007148n
f003.s007.t026 bn:00029415n
f003.s007.t027 bn:00046516n
f003.s007.t028 bn:00082573v
f003.s007.t030 bn:00031973n
f003.s007.t031 bn:00082844v
f003.s008.t002 bn:00061758n
f003.s008.t004 bn:00008786n
f003.s008.t006 bn:00047238n
f003.s008.t007 bn:00108488a
f003.s008.t009 bn:00027103n
f003.s008.t010 bn:00044104n
f003.s008.t011 bn:00020592n
f003.s008.t012 bn:00110842a
f003.s008.t014 bn:00035925n
f003.s008.t015 bn:00021019n
f003.s008.t016 bn:00059480n
f003.s008.t017 bn:00000942n
f003.s008.t018 bn:00075250n
f003.s008.t019 bn:00107137a
f003.s008.t022 bn:00023235n
f003.s008.t023 bn:00031898n
f003.s009.t002 bn:00035925n
f003.s009.t003 bn:00023251n
f003.s009.t004 bn:00098485a
f003.s009.t005 bn:00097537a
f003.s009.t007 bn:00046576n
f003.s009.t008 bn:00106649a
f003.s009.t010 bn:00067046n
f003.s009.t011 bn:00102971a
f003.s009.t012 bn:00114246r
f003.s009.t013 bn:00104728a
f003.s009.t014 bn:00082346v
f003.s010.t001 bn:00073526n
f003.s010.t002 bn:00099258a
f003.s010.t004 bn:00050487n
f003.s010.t005 bn:00017096n
f003.s010.t006 bn:00110842a
f003.s010.t007 bn:00032395n
f003.s010.t012 bn:00050538n
f003.s010.t014 bn:00067808n
f003.s010.t019 bn:00001961n
f003.s010.t020 bn:00030616n
f003.s010.t022 bn:00022117n
f003.s010.t023 bn:00097536a
f003.s010.t025 bn:00001735n
f003.s010.t034 bn:00041240n
f003.s010.t035 bn:00103938a
f003.s010.t037 bn:00021015n
f003.s010.t038 bn:00051754n
f003.s010.t042 bn:00059458n
f003.s010.t050 bn:00006523n
f003.s010.t058 bn:00102001a
f003.s011.t001 bn:00061758n
f003.s011.t002 bn:00032099n
f003.s011.t004 bn:00067181n
f003.s011.t005 bn:00107137a
f003.s011.t006 bn:00104728a
f003.s011.t007 bn:00070697n
f003.s011.t009 bn:00000086n
f003.s011.t013 bn:00047330n
f003.s011.t017 bn:00104728a
f003.s011.t018 bn:00045201n
f003.s011.t019 bn:00063351n
f003.s011.t021 bn:00076341n
f003.s011.t024 bn:00010162n
f003.s011.t025 bn:00030933n
f003.s011.t027 bn:00026980n
f003.s011.t029 bn:00059801n
f003.s011.t030 bn:00064681n
f003.s011.t031 bn:00096644a
f003.s011.t033 bn:00051760n
f003.s011.t034 bn:00014839n
f003.s011.t036 bn:00072566n
f003.s011.t037 bn:00027670n
f003.s011.t038 bn:00085337v
f003.s012.t003 bn:00023235n
f003.s012.t008 bn:00049573n
f003.s012.t010 bn:00061758n
f003.s012.t011 bn:00032099n
f003.s012.t012 bn:00101045a
f003.s012.t013 bn:00108011a
f003.s013.t002 bn:00061758n
f003.s013.t003 bn:00032099n
f003.s013.t004 bn:00044267n
f003.s013.t005 bn:00059522n
f003.s013.t007 bn:00035907n
f003.s013.t010 bn:00069576n
f003.s013.t011 bn:00064164n
f003.s013.t013 bn:00059480n
f003.s013.t014 bn:00024521n
f003.s013.t016 bn:00027730n
f003.s013.t018 bn:00022873n
f003.s013.t019 bn:00085686v
f003.s013.t021 bn:00001561n
f003.s013.t023 bn:00064527n
f003.s013.t024 bn:00059522n
f003.s013.t026 bn:00031973n
f003.s013.t027 bn:00091011v
f003.s014.t001 bn:00046920n
f003.s014.t003 bn:00047238n
f003.s014.t005 bn:00035770n
f003.s014.t006 bn:00099258a
f003.s014.t007 bn:00114246r
f003.s014.t008 bn:00029881n
f003.s014.t009 bn:00082907v
f003.s015.t002 bn:00061758n
f003.s015.t003 bn:00107137a
f003.s015.t004 bn:00008786n
f003.s015.t006 bn:00067181n
f003.s015.t007 bn:00031898n
f003.s015.t009 bn:00035771n
f003.s015.t012 bn:00076341n
f003.s015.t013 bn:00079141n
f003.s015.t015 bn:00020877n
f003.s015.t016 bn:00085337v
f003.s016.t001 bn:00067181n
f003.s016.t003 bn:00012059n
f003.s016.t004 bn:00032099n
f003.s016.t006 bn:00047330n
f003.s016.t008 bn:00078738n
f003.s016.t009 bn:00000058n
f003.s016.t010 bn:00027051n
f003.s016.t011 bn:00082907v
f003.s016.t013 bn:00022168n
f003.s016.t014 bn:00022328n
f003.s016.t015 bn:00050487n
f003.s016.t017 bn:00109650a
f003.s016.t018 bn:00082844v
f003.s016.t021 bn:00007406n
f003.s016.t022 bn:00062086n
f003.s016.t023 bn:00016984n
f003.s017.t001 bn:00002178n
f003.s017.t003 bn:00008870n
f003.s017.t004 bn:00021341n
f003.s017.t005 bn:00077930n
f003.s017.t006 bn:00058511n
f003.s017.t007 bn:00075215n
f003.s017.t009 bn:00030616n
f003.s017.t011 bn:00026980n
f003.s017.t013 bn:00022873n
f003.s017.t014 bn:00027546n
f003.s018.t001 bn:00063237n
f003.s018.t002 bn:00020592n
f003.s018.t003 bn:00110842a
f003.s018.t004 bn:00114246r
f003.s018.t006 bn:00007020n
f003.s018.t007 bn:00060807n
f003.s018.t009 bn:00064777n
f003.s018.t011 bn:00015178n
f003.s018.t012 bn:00058511n
f003.s018.t013 bn:00075215n
f003.s018.t015 bn:00042823n
f003.s018.t016 bn:00080504n
f003.s018.t017 bn:00083240v
f003.s019.t001 bn:00000100n
f003.s019.t003 bn:00049573n
f003.s019.t004 bn:00047330n
f003.s019.t009 bn:00027810n
f003.s019.t010 bn:00096474a
f003.s019.t012 bn:00109026a
f003.s019.t015 bn:00058511n
f003.s019.t016 bn:00075215n
f003.s019.t019 bn:00060807n
f003.s019.t021 bn:00064681n
f003.s019.t022 bn:00096644a
f003.s019.t023 bn:00009079n
f003.s019.t024 bn:00082844v
f003.s019.t026 bn:00101659a
f003.s019.t028 bn:00031973n
f003.s019.t029 bn:00084848v
f003.s020.t002 bn:00065332n
f003.s020.t003 bn:00021259n
f003.s020.t005 bn:00067457n
f003.s020.t008 bn:00050555n
f003.s020.t010 bn:00026372n
f003.s020.t013 bn:00049573n
f003.s020.t015 bn:00025968n
f003.s020.t016 bn:00046779n
f003.s020.t018 bn:00021038n
f003.s020.t020 bn:00003203n
f003.s020.t021 bn:00110647a
f003.s020.t023 bn:00067463n
f003.s020.t024 bn:00064681n
f003.s020.t025 bn:00096644a
f003.s020.t026 bn:00082844v
f003.s021.t001 bn:00051758n
f003.s021.t002 bn:00052974n
f003.s021.t004 bn:00100762a
f003.s021.t005 bn:00064681n
f003.s021.t007 bn:00047690n
f003.s021.t008 bn:00021901n
f003.s021.t011 bn:00027538n
f003.s021.t012 bn:00075215n
f003.s021.t014 bn:00042823n
f003.s021.t015 bn:00080504n
f003.s021.t016 bn:00083240v
f003.s022.t002 bn:00049573n
f003.s022.t003 bn:00114246r
f003.s022.t004 bn:00047330n
f003.s022.t007 bn:00009079n
f003.s022.t009 bn:00027538n
f003.s022.t010 bn:00075215n
f003.s022.t012 bn:00051754n
f003.s022.t013 bn:00109997a
f003.s022.t016 bn:00021286n
f003.s022.t017 bn:00098029a
f003.s022.t019 bn:00106548a
f003.s022.t021 bn:00063237n
f003.s022.t022 bn:00083240v
f003.s023.t002 bn:00023235n
f003.s023.t003 bn:00059458n
f003.s023.t005 bn:00023360n
f003.s023.t007 bn:00049573n
f004.s001.t002 bn:00028015n
f004.s001.t003 bn:00067409n
f004.s001.t005 bn:00067181n
f004.s001.t006 bn:00031973n
f004.s001.t007 bn:00109211a
f004.s002.t002 bn:00032328n
f004.s002.t003 bn:00082276v
f004.s002.t005 bn:00115235r
f004.s002.t006 bn:00021015n
f004.s002.t007 bn:00037326n
f004.s002.t008 bn:00108519a
f004.s002.t010 bn:00030627n
f004.s002.t011 bn:00079888n
f004.s002.t015 bn:00061758n
f004.s002.t016 bn:00096397a
f004.s002.t018 bn:00031973n
f004.s002.t019 bn:00082596v
f004.s002.t022 bn:00066562n
f004.s002.t025 bn:00032099n
f004.s002.t026 bn:00032286n
f004.s002.t029 bn:00028872n
f004.s002.t030 bn:00082788v
f004.s003.t001 bn:00033729n
f004.s004.t001 bn:00024457n
f004.s004.t002 bn:00109650a
f004.s004.t003 bn:00053867n
f004.s004.t004 bn:00096392a
f004.s004.t005 bn:00075785n
f004.s004.t009 bn:00032600n
f004.s004.t010 bn:00052222n
f004.s004.t012 bn:00072760n
f004.s004.t013 bn:00046787n
f004.s004.t014 bn:00102542a
f004.s005.t002 bn:00052222n
f004.s005.t004 bn:00020726n
f004.s005.t005 bn:00107945a
f004.s005.t006 bn:00100914a
f004.s005.t012 bn:00042602n
f004.s005.t013 bn:00109650a
f004.s005.t015 bn:00008281n
f004.s005.t016 bn:00041241n
f004.s005.t022 bn:00042601n
f004.s005.t023 bn:00087878v
f004.s006.t002 bn:00075830n
f004.s006.t004 bn:00042601n
f004.s006.t006 bn:00025766n
f004.s006.t007 bn:00079165n
f004.s006.t010 bn:00042602n
f004.s006.t011 bn:00108011a
f004.s006.t013 bn:00003057n
f004.s006.t016 bn:00079508n
f004.s006.t018 bn:00098342a
f004.s007.t004 bn:00016401n
f004.s007.t005 bn:00030627n
f004.s007.t006 bn:00082907v
f004.s008.t001 bn:00024457n
f004.s008.t003 bn:00027565n
f004.s008.t008 bn:00021928n
f004.s008.t012 bn:00074813n
f004.s008.t013 bn:00085337v
f004.s009.t002 bn:00015267n
f004.s009.t004 bn:00008467n
f004.s009.t006 bn:00027565n
f004.s009.t009 bn:00024952n
f004.s009.t011 bn:00018141n
f004.s009.t013 bn:00028872n
f004.s009.t016 bn:00024461n
f004.s009.t017 bn:00015180n
f004.s009.t018 bn:00030627n
f004.s009.t019 bn:00085337v
f004.s009.t022 bn:00046516n
f004.s009.t025 bn:00084700v
f004.s009.t030 bn:00084595v
f004.s010.t002 bn:00075743n
f004.s010.t004 bn:00050563n
f004.s010.t005 bn:00111492a
f004.s010.t007 bn:00059826n
f004.s010.t008 bn:00076843n
f004.s010.t009 bn:00079883n
f004.s010.t011 bn:00066879n
f004.s010.t012 bn:00096783a
f004.s010.t013 bn:00111001a
f004.s010.t015 bn:00024457n
f004.s010.t016 bn:00082477v
f004.s010.t018 bn:00024461n
f004.s010.t019 bn:00027565n
f004.s010.t020 bn:00114246r
f004.s010.t021 bn:00030627n
f004.s010.t022 bn:00085337v
f004.s010.t024 bn:00114302r
f004.s010.t026 bn:00032600n
f004.s010.t027 bn:00046787n
f004.s010.t035 bn:00065332n
f004.s010.t037 bn:00052222n
f004.s011.t003 bn:00047046n
f004.s011.t006 bn:00091131v
f004.s011.t009 bn:00000086n
f004.s012.t002 bn:00116360r
f004.s012.t003 bn:00058568n
f004.s012.t004 bn:00082907v
f004.s013.t002 bn:00066514n
f004.s013.t004 bn:00000005n
f004.s013.t012 bn:00075760n
f004.s013.t013 bn:00054365n
f004.s013.t014 bn:00099258a
f004.s013.t015 bn:00037163n
f004.s013.t016 bn:00084069v
f004.s013.t017 bn:00047957n
f004.s014.t002 bn:00114790r
f004.s014.t004 bn:00061758n
f004.s014.t005 bn:00080504n
f004.s015.t001 bn:00058285n
f004.s015.t002 bn:00106408a
f004.s015.t004 bn:00061758n
f004.s015.t008 bn:00067970n
f004.s015.t009 bn:00015267n
f004.s015.t010 bn:00108567a
f004.s015.t013 bn:00001742n
f004.s015.t014 bn:00004222n
f004.s015.t016 bn:00054844n
f004.s015.t017 bn:00079888n
f004.s015.t020 bn:00023235n
f004.s015.t021 bn:00031898n
f004.s015.t024 bn:00003341n
f004.s015.t025 bn:00029881n
f004.s015.t026 bn:00082477v
f004.s016.t003 bn:00050662n
f004.s016.t004 bn:00061758n
f004.s016.t006 bn:00079396n
f004.s016.t008 bn:00025766n
f004.s017.t001 bn:00004452n
f004.s017.t002 bn:00061758n
f004.s017.t003 bn:00025766n
f004.s017.t004 bn:00082276v
f004.s017.t007 bn:00102039a
f004.s017.t009 bn:00044896n
f004.s017.t013 bn:00015267n
f004.s017.t015 bn:00028872n
f004.s017.t017 bn:00066489n
f004.s017.t018 bn:00082907v
f004.s017.t020 bn:00027565n
f004.s017.t021 bn:00106685a
f004.s017.t030 bn:00058728n
f004.s017.t032 bn:00024461n
f004.s017.t036 bn:00008467n
f004.s017.t039 bn:00058495n
f004.s017.t040 bn:00085337v
f004.s018.t002 bn:00015267n
f004.s018.t003 bn:00100679a
f004.s018.t004 bn:00027565n
f004.s018.t007 bn:00046787n
f004.s018.t008 bn:00046275n
f004.s018.t009 bn:00085337v
f004.s018.t012 bn:00004222n
f004.s018.t014 bn:00106058a
f004.s018.t016 bn:00095375v
f004.s018.t017 bn:00052222n
f004.s018.t019 bn:00012366n
f004.s018.t020 bn:00056029n
f004.s018.t021 bn:00085337v
f004.s018.t026 bn:00114171r
f004.s018.t028 bn:00112923a
f004.s018.t031 bn:00077608n
f004.s018.t032 bn:00035244n
f004.s018.t033 bn:00082920v
f004.s019.t002 bn:00024461n
f004.s019.t003 bn:00111392a
f004.s019.t005 bn:00059953n
f004.s019.t006 bn:00004222n
f004.s019.t007 bn:00085337v
f004.s019.t008 bn:00052222n
f004.s019.t011 bn:00015267n
f004.s019.t012 bn:00085689v
f004.s020.t001 bn:00114246r
f004.s020.t003 bn:00024461n
f004.s020.t004 bn:00027565n
f004.s020.t005 bn:00114234r
f004.s020.t007 bn:00096273a
f004.s020.t009 bn:00054113n
f004.s020.t010 bn:00050563n
f004.s020.t011 bn:00111492a
f004.s020.t014 bn:00076843n
f004.s020.t015 bn:00079888n
f004.s020.t019 bn:00021961n
f004.s020.t020 bn:00029935n
f004.s020.t022 bn:00027546n
f004.s020.t023 bn:00022168n
f004.s020.t025 bn:00042823n
f004.s020.t026 bn:00085337v
f004.s021.t001 bn:00030747n
f004.s021.t002 bn:00100499a
f004.s021.t004 bn:00073165n
f004.s022.t001 bn:00024457n
f004.s022.t003 bn:00078738n
f004.s022.t004 bn:00079141n
f004.s022.t005 bn:00060099n
f004.s022.t007 bn:00114917r
f004.s022.t009 bn:00028320n
f004.s022.t010 bn:00053933n
f004.s022.t012 bn:00020888n
f004.s022.t013 bn:00028320n
f004.s022.t014 bn:00099838a
f004.s022.t016 bn:00029170n
f004.s022.t017 bn:00060065n
f004.s022.t018 bn:00106124a
f004.s022.t027 bn:00024461n
f004.s022.t029 bn:00076647n
f004.s022.t030 bn:00085337v
f004.s022.t033 bn:00043358n
f004.s022.t034 bn:00000653n
f004.s023.t002 bn:00046516n
f004.s023.t004 bn:00028872n
f004.s023.t006 bn:00091493v
f004.s023.t009 bn:00004222n
f004.s023.t010 bn:00026265n
f004.s023.t011 bn:00085337v
f004.s023.t013 bn:00064070n
f004.s023.t014 bn:00107183a
f004.s024.t002 bn:00030747n
f004.s024.t003 bn:00111001a
f004.s024.t006 bn:00061450n
f004.s024.t007 bn:00025766n
f004.s024.t008 bn:00090143v
