Token ID	Token	Lemma	POS	BN Synset	Gloss
d001.s003.t004	অবস্থা	অবস্থা	N	bn:00021644n	A state at a particular time
d001.s003.t005	অথবা	অথবা	X		
d001.s003.t006	আপনার	আপনার			
d001.s003.t007	চিকিৎসার	চিকিৎসা	N	bn:00047235n	Care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury)
d001.s003.t008	বিষয়ে	বিষয়	N		
d001.s003.t009	যদি	যদি	X		
d001.s003.t010	আরও	আরও	A	bn:00106935a	(comparative of `much' used with mass nouns) a quantifier meaning greater in size or amount or extent or degree
d001.s003.t011	তথ্যের	তথ্য	N	bn:00025314n	A collection of facts from which conclusions may be drawn
d001.s003.t012	প্রয়োজন	প্রয়োজন	V	bn:00091028v	Have need of
d001.s003.t013	হয়	হয়	X		
d001.s003.t014	,	,	X		
d001.s003.t015	তা	তা			
d001.s003.t016	হলে	হলে	V	bn:00085337v	Come to pass
d001.s003.t017	প্যাকেজ	প্যাকেজ	N	bn:00013882n	A collection of things wrapped or boxed together
d001.s003.t018	লিফলেট	লিফলেট	N	bn:00012133n	A small book usually having a paper cover
d001.s003.t019	(	(	X		
d001.s003.t020	ইপিএআর-এর	ইপিএআর-এর	N		
d001.s003.t021	অংশ	অংশ	N	bn:00021395n	Something determined in relation to something that includes it
d001.s003.t022	)	)	X		
d001.s003.t023	অথবা	অথবা	X		
d001.s003.t024	আপনার	আপনার	X		
d001.s003.t025	ডাক্তার	ডাক্তার	N	bn:00027976n	A licensed medical practitioner
d001.s003.t026	বা	বা	X		
d001.s003.t027	ফার্মাসিস্টের	ফার্মাসিস্ট	N	bn:00004992n	A health professional trained in the art of preparing and dispensing drugs
d001.s003.t028	সঙ্গে	সঙ্গে			
d001.s003.t029	যোগাযোগ	যোগাযোগ	V	bn:00085696v	Be in or establish communication with
d001.s003.t030	করুন	করুন	V	bn:00087107v	Carry out or perform an action
d001.s003.t031	।	।			
d001.s004.t001	যদি	যদি	X		
d001.s004.t002	আপনি	আপনি	X		
d001.s004.t003	সিএইচএমপির	সিএইচএমপির	N		
d001.s004.t004	সুপারিশের	সুপারিশ	N		
d001.s004.t005	ভিত্তিতে	ভিত্তি	N		
d001.s004.t006	আরো	আরো	A	bn:00106935a	(comparative of `much' used with mass nouns) a quantifier meaning greater in size or amount or extent or degree
d001.s004.t007	তথ্য	তথ্য	N	bn:00025314n	A collection of facts from which conclusions may be drawn
d001.s004.t008	চান	চান	V	bn:00086682v	Feel or have a desire for; want strongly
d001.s004.t009	,	,	X		
d001.s004.t010	তাহলে	তাহলে	X		
d001.s004.t011	বৈজ্ঞানিক	বৈজ্ঞানিক	A		
d001.s004.t012	আলোচনা	আলোচনা	N	bn:00027523n	An extended communication (often interactive) dealing with some particular topic
d001.s004.t013	(	(	X		
d001.s004.t014	ইপারেরও	ইপারেরও	R	bn:00114246r	In addition
d001.s004.t015	অংশ	অংশ	N	bn:00021395n	Something determined in relation to something that includes it
d001.s004.t016	)	)	X		
d001.s004.t017	পড়ুন	পড়ুন	V	bn:00092424v	Interpret something that is written or printed
d001.s004.t018	।	।	X		
d001.s005.t001	আলিমতা	আলিমতা	N		
d001.s005.t002	কি	কি	X		
d001.s005.t003	?	?	X		
d001.s006.t001	আলিমতা	আলিমতা	N	bn:00602447n	Pemetrexed, sold under the brand name Alimta among others, is a chemotherapy medication for the treatment of pleural mesothelioma and non-small cell lung cancer.
d001.s006.t002	হচ্ছে	হচ্ছে	V		
d001.s006.t003	এমন	এমন			
d001.s006.t004	এক	এক	A		
d001.s006.t005	পাউডার	পাউডার	N	bn:00063926n	A solid substance in the form of tiny loose particles; a solid that has been pulverized
d001.s006.t006	,	,	X		
d001.s006.t007	যা	যা	X		
d001.s006.t008	ইনফিউশনের	ইনফিউশন	N	bn:00046734n	(medicine) the passive introduction of a substance (a fluid or drug or electrolyte) into a vein or between tissues (as by gravitational force)
d001.s006.t009	(	(	X		
d001.s006.t010	শিরায়	শিরা	N		
d001.s006.t011	ডুবিয়ে	ডুব	V	bn:00087306v	Let or cause to fall in drops
d001.s006.t012	)	)			
d001.s006.t013	জন্য	জন্য	X		
d001.s006.t014	এক	এক	A		
d001.s006.t015	দ্রবণে	দ্রবণ	N	bn:00072760n	A homogeneous mixture of two or more substances; frequently (but not necessarily) a liquid solution
d001.s006.t016	তৈরি	তৈরি	V	bn:00083187v	Form or compose
d001.s006.t017	করা	করা			
d001.s006.t018	হয়	হয়	X		
d001.s006.t019	।	।	X		
d001.s007.t001	এতে	এতে	X		
d001.s007.t002	রয়েছে	রয়েছে	V	bn:00085499v	Include or contain; have as a component
d001.s007.t003	সক্রিয়	সক্রিয়	N	bn:00001155n	Chemical agent capable of activity 
d001.s007.t004	পদার্থ	পদার্থ	N	bn:00074986n	Material of a particular kind or constitution
d001.s007.t005	পেমিরেক্সড	পেমিরেক্সড	N	bn:00602447n	Pemetrexed, sold under the brand name Alimta among others, is a chemotherapy medication for the treatment of pleural mesothelioma and non-small cell lung cancer.
d001.s007.t006	।	।	X		
d001.s008.t001	আলিম্তা	আলিম্তা	N	bn:00602447n	Pemetrexed, sold under the brand name Alimta among others, is a chemotherapy medication for the treatment of pleural mesothelioma and non-small cell lung cancer.
d001.s008.t002	কিসের	কিসের	N		
d001.s008.t003	জন্য	জন্য	X		
d001.s008.t004	ব্যবহৃত	ব্যবহৃত	V	bn:00082705v	Put into service; make work or employ for a particular purpose or for its inherent or natural purpose
d001.s008.t005	হয়	হয়	X		
d001.s008.t006	?	?	X		
d001.s009.t001	আলিমটা	আলিমটা	N	bn:00602447n	Pemetrexed, sold under the brand name Alimta among others, is a chemotherapy medication for the treatment of pleural mesothelioma and non-small cell lung cancer.
d001.s009.t002	দুই	দুই	A		
d001.s009.t003	ধরনের	ধরন	N	bn:00078798n	A subdivision of a particular kind of thing
d001.s009.t004	ক্যান্সারের	ক্যান্সার	N		
d001.s009.t005	চিকিৎসায়	চিকিৎসা	N		
d001.s009.t006	ব্যবহৃত	ব্যবহৃত	A		
d001.s009.t007	হয়	হয়	X		
d001.s009.t008	:	:	X		
d001.s009.t009	প্লুরাল	প্লুরাল	A	bn:00108692a	Of or relating to the pleura or the walls of the thorax
d001.s009.t010	মেসোথেলিওমা	মেসোথেলিওমা	N	bn:00054512n	A form of carcinoma of the mesothelium lining lungs or abdomen or heart; usually associated with exposure to asbestos dust
d001.s009.t011	(	(	X		
d001.s009.t012	অ্যাসবেস্টোসের	অ্যাসবেস্টোসের	N		
d001.s009.t013	সংস্পর্শে	সংস্পর্শ	N	bn:00032379n	The state of being vulnerable or exposed
d001.s009.t014	আসার	আসার			
d001.s009.t015	কারণে	কারণ	V	bn:00084069v	Cause to happen, occur or exist
d001.s009.t016	সাধারণত	সাধারণত	R	bn:00114778r	Under normal conditions
d001.s009.t017	ফুসফুসের	ফুসফুস	N		
d001.s009.t018	আস্তরণের	আস্তরণ	N		
d001.s009.t019	ক্যান্সার	ক্যান্সার	N	bn:00015180n	Any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream
d001.s009.t020	)	)	X		
d001.s009.t021	।	।	X		
d001.s010.t001	অ্যালিমটা	অ্যালিমটা	N	bn:00602447n	Pemetrexed, sold under the brand name Alimta among others, is a chemotherapy medication for the treatment of pleural mesothelioma and non-small cell lung cancer.
d001.s010.t002	সিসপ্লাটিন	সিসপ্লাটিন	N	bn:00577781n	Cisplatin is a chemotherapy medication used to treat a number of cancers.
d001.s010.t003	(	(	X		
d001.s010.t004	একটি	একটি	A		
d001.s010.t005	ক্যান্সার	ক্যান্সার	A	bn:00097220a	Used in the treatment of cancer
d001.s010.t006	প্রতিরোধী	প্রতিরোধী	A	bn:00097220a	Used in the treatment of cancer
d001.s010.t007	ঔষধ	ঔষধ	N	bn:00054128n	(medicine) something that treats or prevents or alleviates the symptoms of disease
d001.s010.t008	)	)	X		
d001.s010.t009	এর	এর	X		
d001.s010.t010	সাথে	সাথে	N		
d001.s010.t011	একত্রে	একত্রে	R		
d001.s010.t012	ব্যবহার	ব্যবহার	V	bn:00082705v	Put into service; make work or employ for a particular purpose or for its inherent or natural purpose
d001.s010.t013	করা	করা	N		
d001.s010.t014	হয়	হয়	X		
d001.s010.t015	যখন	যখন	R		
d001.s010.t016	ক্যান্সারটি	ক্যান্সার	N	bn:00015180n	Any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream
d001.s010.t017	অসংশোধনযোগ্য	অসংশোধনযোগ্য	A		
d001.s010.t018	(	(			
d001.s010.t019	শুধুমাত্র	শুধুমাত্র	A	bn:00096871a	Exclusive of anyone or anything else
d001.s010.t020	অস্ত্রোপচারের	অস্ত্রোপচার	N	bn:00059129n	A medical procedure involving an incision with instruments; performed to repair damage or arrest disease in a living body
d001.s010.t021	মাধ্যমে	মাধ্যম	N		
d001.s010.t022	অপসারণ	অপসারণ	V	bn:00092783v	Remove something concrete, as by lifting, pushing, or taking off, or remove something abstract
d001.s010.t023	করা	করা	N		
d001.s010.t024	যাবে	যাবে	V		
d001.s010.t025	না	না	X		
d001.s010.t026	)	)	X		
d001.s010.t027	এবং	এবং	X		
d001.s010.t028	ম্যালিগন্যান্ট	ম্যালিগন্যান্ট	A	bn:00106363a	Dangerous to health; characterized by progressive and uncontrolled growth (especially of a tumor)
d001.s010.t029	(	(	X		
d001.s010.t030	শরীরের	শরীর	N		
d001.s010.t031	অন্যান্য	অন্যান্য	A	bn:00108011a	Not the same one or ones already mentioned or implied- the White Queen
d001.s010.t032	অংশে	অংশ	N	bn:00021395n	Something determined in relation to something that includes it
d001.s010.t033	ছড়িয়ে	ছড়িয়ে	V	bn:00092083v	Become distributed or widespread
d001.s010.t034	পড়েছে	পড়েছে	V		
d001.s010.t035	বা	বা	X		
d001.s010.t036	খুব	খুব			
d001.s010.t037	সহজেই	সহজ	R	bn:00115155r	With ease (`easy' is sometimes used informally for `easily')
d001.s010.t038	ছড়িয়ে	ছড়িয়ে			
d001.s010.t039	পড়েছে	পড়েছে			
d001.s010.t040	)	)	X		
d001.s010.t041	।	।	N		
d001.s011.t001	পূর্বে	পূর্বে	N		
d001.s011.t002	চিকিত্সা	চিকিত্সা			
d001.s011.t003	করা	করা			
d001.s011.t004	হয়নি	হয়নি	R	bn:00116360r	Negation of a word or group of words
d001.s011.t005	এমন	এমন	X		
d001.s011.t006	রোগীদের	রোগী	N	bn:00061017n	A person who requires medical care
d001.s011.t007	মধ্যে	মধ্যে	N		
d001.s011.t008	সিস্প্লাটিনের	সিস্প্লাটিনের	N	bn:00602447n	Pemetrexed, sold under the brand name Alimta among others, is a chemotherapy medication for the treatment of pleural mesothelioma and non-small cell lung cancer.
d001.s011.t009	সাথে	সাথে	N	bn:00020872n	A collection of things that have been combined; an assemblage of separate parts or qualities
d001.s011.t010	আলিমতা	আলিমতা	N	bn:00602447n	Pemetrexed, sold under the brand name Alimta among others, is a chemotherapy medication for the treatment of pleural mesothelioma and non-small cell lung cancer.
d001.s011.t011	ব্যবহার	ব্যবহার	V	bn:00082705v	Put into service; make work or employ for a particular purpose or for its inherent or natural purpose
d001.s011.t012	করা	করা	N		
d001.s011.t013	হয়	হয়	X		
d001.s011.t014	এবং	এবং	X		
d001.s011.t015	অতীতে	অতীতে	N		
d001.s011.t016	অন্য	অন্য	A		
d001.s011.t017	ধরনের	ধরন	N	bn:00078798n	A subdivision of a particular kind of thing
d001.s011.t018	কেমোথেরাপি	কেমোথেরাপি	N	bn:00018141n	The use of chemical agents to treat or control disease (or mental illness)
d001.s011.t019	পেয়েছে	পেয়েছে	V		
d001.s011.t020	এমন	এমন	A	bn:00111411a	Of so extreme a degree or extent
d001.s011.t021	রোগীদের	রোগীদের			
d001.s011.t022	মধ্যে	মধ্যে	N		
d001.s011.t023	এটি	এটি	X		
d001.s011.t024	নিজেই	নিজে	X		
d001.s011.t025	ব্যবহার	ব্যবহার			
d001.s011.t026	করা	করা	N		
d001.s011.t027	হয়	হয়	X		
d001.s011.t028	।	।	X		
d001.s012.t001	ওষুধটি	ওষুধটি	X		
d001.s012.t002	শুধুমাত্র	শুধুমাত্র	R	bn:00116450r	Never except when
d001.s012.t003	একটি	একটি	A		
d001.s012.t004	প্রেসক্রিপশন	প্রেসক্রিপশন	N	bn:00064195n	Written instructions from a physician or dentist to a druggist concerning the form and dosage of a drug to be issued to a given patient
d001.s012.t005	দিয়েই	দিয়ে	X		
d001.s012.t006	পাওয়া	পাওয়া	V	bn:00082276v	Come into the possession of something concrete or abstract
d001.s012.t007	যায়	যায়	X		
d001.s012.t008	।	।	X		
d001.s013.t001	কীভাবে	কীভাবে	R		
d001.s013.t002	আলিমতা	আলিমতা	N	bn:00602447n	Pemetrexed, sold under the brand name Alimta among others, is a chemotherapy medication for the treatment of pleural mesothelioma and non-small cell lung cancer.
d001.s013.t003	ব্যবহার	ব্যবহার	V	bn:00082705v	Put into service; make work or employ for a particular purpose or for its inherent or natural purpose
d001.s013.t004	করা	করা			
d001.s013.t005	হয়	হয়	X		
d001.s013.t006	?	?	X		
d001.s014.t001	অ্যান্টিক্যানসার	অ্যান্টিক্যানসার	A	bn:00097220a	Used in the treatment of cancer
d001.s014.t002	কেমোথেরাপি	কেমোথেরাপি	N	bn:00018141n	The use of chemical agents to treat or control disease (or mental illness)
d001.s014.t003	ব্যবহারে	ব্যবহার	N		
d001.s014.t004	যোগ্যতাসম্পন্ন	যোগ্যতাসম্পন্ন	A		
d001.s014.t005	একজন	একজন	A		
d001.s014.t006	ডাক্তারের	ডাক্তার	N	bn:00027976n	A licensed medical practitioner
d001.s014.t007	তত্ত্বাবধানে	তত্ত্বাবধান	R		
d001.s014.t008	আলিমতা	আলিমতা	N	bn:00602447n	Pemetrexed, sold under the brand name Alimta among others, is a chemotherapy medication for the treatment of pleural mesothelioma and non-small cell lung cancer.
d001.s014.t009	দেওয়া	দেওয়া	V	bn:00088826v	Give (as medicine)
d001.s014.t010	উচিত	উচিত	A		
d001.s014.t011	।	।	X		
d001.s015.t001	আলিমতার	আলিমতার	N	bn:00602447n	Pemetrexed, sold under the brand name Alimta among others, is a chemotherapy medication for the treatment of pleural mesothelioma and non-small cell lung cancer .. 
d001.s015.t002	সুপারিশকৃত	সুপারিশকৃত	A		
d001.s015.t003	ডোজ	ডোজ	N	bn:00028320n	A measured portion of medicine taken at any one time
d001.s015.t004	প্রতি	প্রতি	A		
d001.s015.t005	বর্গ	বর্গ	N		
d001.s015.t006	মিটারে	মিটার	N		
d001.s015.t007	500	500	X		
d001.s015.t008	মিলিগ্রাম	মিলিগ্রাম	N	bn:00054701n	One thousandth (1/1,000) gram
d001.s015.t009	(	(	X		
d001.s015.t010	রোগীর	রোগী	N	bn:00061017n	A person who requires medical care
d001.s015.t011	উচ্চতা	উচ্চতা	N		
d001.s015.t012	ও	ও	X		
d001.s015.t013	ওজন	ওজন	N	bn:00080831n	The vertical force exerted by a mass as a result of gravity
d001.s015.t014	ব্যবহার	ব্যবহার	V	bn:00082705v	Put into service; make work or employ for a particular purpose or for its inherent or natural purpose
d001.s015.t015	করে	করে			
d001.s015.t016	গণনা	গণনা	V	bn:00084373v	Make a mathematical calculation or computation
d001.s015.t017	করা	করা	V	bn:00087107v	Carry out or perform an action
d001.s015.t018	হয়	হয়			
d001.s015.t019	)	)	X		
d001.s015.t020	।	।			
d001.s016.t001	এটা	এটা	X		
d001.s016.t002	প্রতি	প্রতি	A	bn:00102467a	Each and all of a series of entities or intervals as specified
d001.s016.t003	তিন	তিন	A		
d001.s016.t004	সপ্তাহে	সপ্তাহ	N	bn:00043484n	Any period of seven consecutive days
d001.s016.t005	একবার	একবার	R	bn:00115811r	On one occasion
d001.s016.t006	করে	করে	V		
d001.s016.t007	দেওয়া	দেওয়া	V	bn:00088826v	Give (as medicine)
d001.s016.t008	হয়	হয়	X		
d001.s016.t009	,	,	X		
d001.s016.t010	যা	যা	X		
d001.s016.t011	10	10	X		
d001.s016.t012	মিনিট	মিনিট	N	bn:00055094n	A unit of time equal to 60 seconds or 1/60th of an hour
d001.s016.t013	ধরে	ধরে	V	bn:00087620v	Persist for a specified period of time
d001.s016.t014	শরীরে	শরীর	N	bn:00011744n	The entire structure of an organism (an animal, plant, or human being)
d001.s016.t015	প্রবেশ	প্রবেশ	V	bn:00085363v	To come or go into
d001.s016.t016	করে	করে			
d001.s016.t017	।	।	X		
d001.s017.t001	পার্শ্বপ্রতিক্রিয়া	পার্শ্বপ্রতিক্রিয়া	N		
d001.s017.t002	কমাতে	কমা	X		
d001.s017.t003	রোগীদের	রোগী	N		
d001.s017.t004	একটি	একটি	A		
d001.s017.t005	কর্টিকোস্টেরয়েড	কর্টিকোস্টেরয়েড	N	bn:00001507n	A steroid hormone produced by the adrenal cortex or synthesized; administered as drugs they reduce swelling and decrease the body's immune response
d001.s017.t006	এবং	এবং	X		
d001.s017.t007	ফলিক	ফলিক	A		
d001.s017.t008	এসিড	এসিড	N	bn:00000902n	Any of various water-soluble compounds having a sour taste and capable of turning litmus red and reacting with a base to form a salt
d001.s017.t009	(	(	X		
d001.s017.t010	এক	এক	A		
d001.s017.t011	ধরণের	ধরণের	N	bn:00078798n	A subdivision of a particular kind of thing
d001.s017.t012	ভিটামিন	ভিটামিন	N		
d001.s017.t013	)	)	X		
d001.s017.t014	গ্রহণ	গ্রহণ	N		
d001.s017.t015	করতে	করতে	V		
d001.s017.t016	হবে	হবে	V		
d001.s017.t017	এবং	এবং			
d001.s017.t018	চিকিৎসাকালে	চিকিৎসাকালে	N		
d001.s017.t019	ভিটামিন	ভিটামিন			
d001.s017.t020	বি১২	বি১২	N		
d001.s017.t021	ইনজেকশন	ইনজেকশন	N	bn:00046785n	Any solution that is injected (as into the skin)
d001.s017.t022	নিতে	নিতে	V	bn:00085689v	Serve oneself to, or consume regularly
d001.s017.t023	হবে	হবে	V		
d001.s017.t024	।	।	X		
d001.s018.t001	সিস্প্লাটিনের	সিস্প্লাটিন	N	bn:00602447n	Pemetrexed, sold under the brand name Alimta among others, is a chemotherapy medication for the treatment of pleural mesothelioma and non-small cell lung cancer.
d001.s018.t002	সাথে	সাথে	N		
d001.s018.t003	আলিমতা	আলিমতা	N	bn:00602447n	Pemetrexed, sold under the brand name Alimta among others, is a chemotherapy medication for the treatment of pleural mesothelioma and non-small cell lung cancer.
d001.s018.t004	দেওয়া	দেওয়া	V	bn:00088826v	Give (as medicine)
d001.s018.t005	হলে	হলে	X		
d001.s018.t006	,	,	X		
d001.s018.t007	একটি	একটি	A		
d001.s018.t008	এন্টি-ইমেটিক	এন্টি-ইমেটিক	N		
d001.s018.t009	ওষুধ	ওষুধ	N	bn:00054128n	(medicine) something that treats or prevents or alleviates the symptoms of disease
d001.s018.t010	(	(	X		
d001.s018.t011	বমি	বমি	V	bn:00083115v	Eject the contents of the stomach through the mouth
d001.s018.t012	প্রতিরোধ	প্রতিরোধ	V	bn:00088454v	Keep from happening or arising; make impossible
d001.s018.t013	করার	করা	V	bn:00087107v	Carry out or perform an action
d001.s018.t014	জন্য	জন্য	X		
d001.s018.t015	)	)	X		
d001.s018.t016	এবং	এবং	X		
d001.s018.t017	তরল	তরল	N	bn:00035426n	A substance that is fluid at room temperature and pressure
d001.s018.t018	(	(			
d001.s018.t019	ডিহাইড্রেশন	ডিহাইড্রেশন	N	bn:00025983n	Depletion of bodily fluids
d001.s018.t020	প্রতিরোধ	প্রতিরোধ			
d001.s018.t021	করার	করার			
d001.s018.t022	জন্য	জন্য	R	bn:27114566r	On account (of), for sake (of). 
d001.s018.t023	)	)			
d001.s018.t024	সিস্প্লাটিন	সিস্প্লাটিন	N	bn:00577781n	Cisplatin is a chemotherapy medication used to treat a number of cancers.
d001.s018.t025	ডোজের	ডোজের	N		
d001.s018.t026	আগে	আগে	R	bn:00114512r	Earlier in time; previously
d001.s018.t027	বা	বা	X		
d001.s018.t028	পরে	পরে	R	bn:00114165r	Happening at a time subsequent to a reference time
d001.s018.t029	দেওয়া	দেওয়া			
d001.s018.t030	উচিত	উচিত	A		
d001.s018.t031	।	।	X		
d001.s019.t001	যে-রোগীদের	যে-রোগী	X		
d001.s019.t002	রক্ত	রক্ত	N	bn:00011346n	The fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood cells, and platelets
d001.s019.t003	গণনা	গণনা	N	bn:00023139n	The total number counted
d001.s019.t004	অস্বাভাবিক	অস্বাভাবিক	A		
d001.s019.t005	অথবা	অথবা			
d001.s019.t006	যাদের	যাদের	X		
d001.s019.t007	অন্য	অন্য	A	bn:00108011a	Not the same one or ones already mentioned or implied- the White Queen
d001.s019.t008	কোনো	কোনো	A	bn:00099474a	Definite but not specified or identified
d001.s019.t009	পার্শ্বপ্রতিক্রিয়া	পার্শ্বপ্রতিক্রিয়া	N		
d001.s019.t010	রয়েছে	রয়েছে	V		
d001.s019.t011	,	,	X		
d001.s019.t012	তাদের	তাদের	X		
d001.s019.t013	চিকিৎসা	চিকিৎসা	N	bn:00047235n	Care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury)
d001.s019.t014	বিলম্বিত	বিলম্বিত	V	bn:00086514v	Cause to be slowed down or delayed
d001.s019.t015	অথবা	অথবা	X		
d001.s019.t016	বন্ধ	বন্ধ	V	bn:00083908v	Prevent completion
d001.s019.t017	করা	করা	N		
d001.s019.t018	উচিত	উচিত			
d001.s019.t019	অথবা	অথবা			
d001.s019.t020	মাত্রা	মাত্রা	N	bn:00028320n	A measured portion of medicine taken at any one time
d001.s019.t021	হ্রাস		V	bn:00084079v	Cut down on; make a reduction in
d001.s019.t022	করা	করা			
d001.s019.t023	উচিত	উচিত	A		
d001.s019.t024	।	।	X		
d001.s020.t001	মাঝারি	মাঝারি	A	bn:00106827a	Not extreme
d001.s020.t002	বা	বা	X		
d001.s020.t003	গুরুতর	গুরুতর	A	bn:00106826a	Being within reasonable or average limits; not excessive or extreme
d001.s020.t004	কিডনি	কিডনি	N	bn:00049083n	Either of two bean-shaped excretory organs that filter wastes (especially urea) from the blood and excrete them and water in urine
d001.s020.t005	সমস্যা	সমস্যা	N	bn:00048242n	A state of difficulty that needs to be resolved
d001.s020.t006	রয়েছে	রয়েছে	V		
d001.s020.t007	এমন	এমন			
d001.s020.t008	রোগীদের	রোগী	N	bn:00061017n	A person who requires medical care
d001.s020.t009	ক্ষেত্রে	ক্ষেত্র	N		
d001.s020.t010	আলিমতা	আলিমতা	N	bn:00602447n	Pemetrexed, sold under the brand name Alimta among others, is a chemotherapy medication for the treatment of pleural mesothelioma and non-small cell lung cancer.
d001.s020.t011	ব্যবহারের	ব্যবহার	N	bn:00030627n	The act of using
d001.s020.t012	জন্য	জন্য	X		
d001.s020.t013	সুপারিশ	সুপারিশ	V	bn:00082418v	Push for something
d001.s020.t014	করা	করা			
d001.s020.t015	হয়	হয়	X		
d001.s020.t016	না	না	R	bn:00116360r	Negation of a word or group of words
d001.s020.t017	।	।	X		
d001.s021.t001	আরও	আরও	A	bn:00106935a	(comparative of `much' used with mass nouns) a quantifier meaning greater in size or amount or extent or degree
d001.s021.t002	তথ্যের	তথ্য	N	bn:00025314n	A collection of facts from which conclusions may be drawn
d001.s021.t003	জন্য	জন্য	X		
d001.s021.t004	,		X		
d001.s021.t005	প্রোডাক্ট	প্রোডাক্ট	N	bn:00054416n	Commodities offered for sale
d001.s021.t006	ক্যারেক্টারিস্টিকের	ক্যারেক্টারিস্টিকের	N		
d001.s021.t007	সারসংক্ষেপ	সারসংক্ষেপ	N		
d001.s021.t008	দেখুন	দেখুন	V	bn:00087787v	Observe, check out, and look over carefully or inspect
d001.s021.t009	(	(	X		
d001.s021.t010	ইপারের	ইপারের	N		
d001.s021.t011	অংশও	অংশও	R	bn:00114246r	In addition
d001.s021.t012	)	)	X		
d001.s021.t013	।	।	X		
d001.s022.t001	আলিমতা	আলিমতা	N	bn:00602447n	Pemetrexed, sold under the brand name Alimta among others, is a chemotherapy medication for the treatment of pleural mesothelioma and non-small cell lung cancer.
d001.s022.t002	কিভাবে	কিভাবে	R		
d001.s022.t003	কাজ	কাজ	N		
d001.s022.t004	করে	করে	V		
d001.s022.t005	?	?	X		
d001.s023.t001	লিমটা	লিমটা	N		
d001.s023.t002	,	,	X		
d001.s023.t003	পেমিটারেক্সড	পেমিটারেক্সড	N	bn:00602447n	Pemetrexed, sold under the brand name Alimta among others, is a chemotherapy medication for the treatment of pleural mesothelioma and non-small cell lung cancer.
d001.s023.t004	এর	এর	X		
d001.s023.t005	সক্রিয়	সক্রিয়	A	bn:00096387a	Exerting influence or producing a change or effect
d001.s023.t006	পদার্থ	পদার্থ	N	bn:00074986n	Material of a particular kind or constitution
d001.s023.t007	হল	হল	V		
d001.s023.t008	সাইটোক্সিক	সাইটোক্সিক	A	bn:00100866a	Of or relating to substances that are toxic to cells
