ID	English	Bengali Translation
d001.s019	Treatment should be delayed or discontinued , or the dose reduced , in patients whose blood counts are abnormal or who have certain other side effects .	যাদের রক্তের সংখ্যা অস্বাভাবিক বা যাদের কিছু অন্য পার্শ্বপ্রতিক্রিয়া আছে তাদের ক্ষেত্রে চিকিৎসা বিলম্বিত বা বন্ধ করা উচিত বা ডোজ কমানো উচিত।
d001.s020	Alimta is not recommended for use in patients with moderate or severe kidney problems .	মাঝারি বা গুরুতর কিডনি সমস্যাযুক্ত রোগীদের ক্ষেত্রে Alimta ব্যবহার করার জন্য সুপারিশ করা হয় না।
d001.s021	For more information , see the Summary of Product Characteristics ( also part of the EPAR ) .	আরও তথ্যের জন্য, পণ্যের বৈশিষ্ট্যের সারাংশ দেখুন (এছাড়াও EPAR-এর অংশ)।
d001.s022	How does Alimta work ?	আলিমতা কিভাবে কাজ করে?
d001.s023	The active substance in Alimta , pemetrexed , is a cytotoxic medicine ( a medicine that kills cells that are dividing , such as cancer cells ) , which belongs to the group antimetabolites .	অ্যালিমটাতে সক্রিয় পদার্থ, পেমেট্রেক্সড, একটি সাইটোটক্সিক ওষুধ (একটি ওষুধ যা বিভাজিত কোষগুলিকে হত্যা করে, যেমন ক্যান্সার কোষ), যা অ্যান্টিমেটাবোলাইটস গ্রুপের অন্তর্গত।
d001.s024	In the body , pemetrexed is converted into an active form that blocks the activity of the enzymes that are involved in producing nucleotides ( the building blocks of DNA and RNA , the genetic material of cells ) .	শরীরে, পেমেট্রেক্সড একটি সক্রিয় আকারে রূপান্তরিত হয় যা নিউক্লিওটাইড (ডিএনএ এবং আরএনএর বিল্ডিং ব্লক, কোষের জেনেটিক উপাদান) উৎপাদনে জড়িত এনজাইমের কার্যকলাপকে ব্লক করে।
d001.s025	How has Alimta been studied ?	কিভাবে আলিমতা অধ্যয়ন করা হয়েছে?
d001.s026	For the treatment of malignant pleural mesothelioma , Alimta has been studied in one main study in 456 patients who had not received chemotherapy for their disease before .	ম্যালিগন্যান্ট প্লুরাল মেসোথেলিওমার চিকিৎসার জন্য, আলিমতা 456 জন রোগীর মধ্যে একটি প্রধান গবেষণায় অধ্যয়ন করা হয়েছে যারা আগে তাদের রোগের জন্য কেমোথেরাপি পাননি।
d001.s027	The effects of Alimta in combination with cisplatin were compared with those of cisplatin alone .	সিসপ্ল্যাটিনের সংমিশ্রণে আলিমতার প্রভাবগুলি একা সিসপ্ল্যাটিনের সাথে তুলনা করা হয়েছিল।
d001.s028	For the treatment of non-small cell lung cancer , the effects of Alimta were compared with those of docetaxel ( another anticancer medicine ) in one study involving 571 patients with locally advanced or metastatic disease who had received chemotherapy in the past .	নন-স্মল সেল ফুসফুসের ক্যান্সারের চিকিৎসার জন্য, আলিমতার প্রভাবকে ডসেট্যাক্সেল (অন্য একটি অ্যান্টিক্যান্সার মেডিসিন) এর সাথে তুলনা করা হয়েছে।
d001.s029	Alimta was also compared with gemcitabine ( another anticancer medicine ) , both in combination with cisplatin , in a study involving 1,725 patients who had not received chemotherapy for lung cancer in the past .	1,725 জন রোগী যারা অতীতে ফুসফুসের ক্যান্সারের জন্য কেমোথেরাপি পাননি তাদের সম্পৃক্ত একটি সমীক্ষায় সিসপ্ল্যাটিনের সংমিশ্রণে আলিমতাকে জেমসিটাবাইন (অন্য একটি ক্যানসারের ওষুধ) এর সাথে তুলনা করা হয়েছিল।
d001.s030	In all three studies , the main measure of effectiveness was how long the patients survived .	তিনটি গবেষণায়, কার্যকারিতার প্রধান পরিমাপ ছিল রোগীরা কতক্ষণ বেঁচে ছিলেন।
d001.s031	What benefit has Alimta shown during the studies ?	অধ্যয়নের সময় আলিমটা কী সুবিধা দেখিয়েছে?
d001.s032	Alimta increased the survival time of patients with malignant pleural mesothelioma .	অ্যালিমটা ম্যালিগন্যান্ট প্লুরাল মেসোথেলিওমা রোগীদের বেঁচে থাকার সময় বাড়িয়েছে।
d001.s033	Patients receiving Alimta and cisplatin survived for an average of 12.1 months , compared with 9.3 months in those receiving cisplatin alone .	আলিমটা এবং সিসপ্ল্যাটিন গ্রহণকারী রোগীরা গড়ে 12.1 মাস বেঁচে ছিলেন, যারা একা সিসপ্ল্যাটিন গ্রহণ করেন তাদের 9.3 মাসের তুলনায়।
d001.s034	In the treatment of patients with non-small cell lung cancer , Alimta was as effective as the comparators .	নন-স্মল সেল ফুসফুসের ক্যান্সারে আক্রান্ত রোগীদের চিকিৎসায় আলিমতা তুলনাকারীদের মতোই কার্যকর ছিল।
d001.s035	In patients who had received chemotherapy in the past , the average survival time was 8.3 months with Alimta , compared with 7.9 months with docetaxel .	অতীতে কেমোথেরাপি নেওয়া রোগীদের মধ্যে, আলিমতার সাথে বেঁচে থাকার গড় সময় ছিল 8.3 মাস, ডোসেট্যাক্সেলের সাথে 7.9 মাসের তুলনায়।
d001.s036	In patients who had not received chemotherapy in the past , the average survival time was 10.3 months in both groups .	যে রোগীরা অতীতে কেমোথেরাপি পাননি, তাদের উভয় গ্রুপেই বেঁচে থাকার গড় সময় ছিল 10.3 মাস।
d001.s037	However , in both studies , patients whose cancer was not affecting squamous cells had longer survival times if they received Alimta than if they received the comparator .	যাইহোক, উভয় গবেষণায়, যেসব রোগীর ক্যান্সার স্কোয়ামাস কোষকে প্রভাবিত করছে না তারা তুলনাকারীর তুলনায় আলিমটা গ্রহণ করলে তাদের বেঁচে থাকার সময় বেশি ছিল।
d001.s038	In contrast , patients whose cancer was affecting squamous cells had shorter survival times if they received Alimta .	বিপরীতে, যেসব রোগীদের ক্যান্সার স্কোয়ামাস কোষকে প্রভাবিত করছে তাদের বেঁচে থাকার সময় কম ছিল যদি তারা আলিমটা গ্রহণ করে।
d002.s001	kalgebra is a mathematical calculator based on content markup MathML language .	কালজেবরা হল একটি গাণিতিক ক্যালকুলেটর যা বিষয়বস্তু মার্কআপ ম্যাথএমএল ভাষার উপর ভিত্তি করে।
d002.s002	Nowadays it is capable to make simple MathML operations ( arithmetic and logical ) and to representate 2D and 3D graphs .	আজকাল এটি সহজ ম্যাথএমএল অপারেশন (পাটিগণিত এবং যৌক্তিক) করতে এবং 2D এবং 3D গ্রাফ উপস্থাপন করতে সক্ষম।
d002.s003	It is actually not necessary to know MathML to use kalgebra .	কালজেব্রা ব্যবহার করার জন্য ম্যাথএমএল জানার আসলে প্রয়োজন নেই।
d002.s004	kalgebra is a MathML based graph calculator .	কালজেবরা একটি ম্যাথএমএল ভিত্তিক গ্রাফ ক্যালকুলেটর।
d002.s005	Although it was initially MathML oriented it can now be used by everyone with little mathematical knowledge .	যদিও এটি প্রথমে ম্যাথএমএল ভিত্তিক ছিল এটি এখন অল্প গাণিতিক জ্ঞানের সাথে সবাই ব্যবহার করতে পারে।
d002.s006	Here 's a screenshot of kalgebra main window	এখানে কালজেবরা প্রধান উইন্ডোর একটি স্ক্রিনশট আছে
d002.s007	kalgebra main window	কালজেব্রার প্রধান জানালা
d002.s008	kalgebra main window consists in a Console tab , a 2D Graph tab , a 3D Graph tab and a Dictionary tab .	কালজেব্রা প্রধান উইন্ডোতে একটি কনসোল ট্যাব, একটি 2D গ্রাফ ট্যাব, একটি 3D গ্রাফ ট্যাব এবং একটি অভিধান ট্যাব রয়েছে।
d002.s009	Below these tabs you will find an input field to type your functions or do your calculations .	এই ট্যাবগুলির নীচে আপনি আপনার ফাংশন টাইপ করতে বা আপনার গণনা করার জন্য একটি ইনপুট ক্ষেত্র পাবেন।
d002.s010	If we want to understand how it works , the best thing we can do is to realize that our input is being converted into MathML although it is not necessary to know MathML .	আমরা যদি বুঝতে চাই যে এটি কীভাবে কাজ করে, তাহলে সবচেয়ে ভালো জিনিসটি আমরা বুঝতে পারি যে আমাদের ইনপুটটি MathML-এ রূপান্তরিত হচ্ছে যদিও MathML জানার প্রয়োজন নেই।
d002.s011	I have based the syntax basically on common sense , it should not be hard for anyone .	আমি সিনট্যাক্সটি মূলত সাধারণ জ্ঞানের উপর ভিত্তি করে তৈরি করেছি, এটি কারও পক্ষে কঠিন হওয়া উচিত নয়।
d002.s012	I ve looked closely to maxima and maple s syntax so they look very similar .	আমি ম্যাক্সিমা এবং ম্যাপেলের সিনট্যাক্স ঘনিষ্ঠভাবে দেখেছি তাই তারা দেখতে খুব একই রকম।
d002.s013	+ - * / : Addition , subtraction , multiplication and division .	+ - * / : যোগ, বিয়োগ, গুণ এবং ভাগ।
d002.s014	^ , ** : Power , you can use them both .	^, ** : পাওয়ার, আপনি উভয়ই ব্যবহার করতে পারেন।
d002.s015	Also it is possible to use the unicode ² characters .	এছাড়াও ইউনিকোড ² অক্ষর ব্যবহার করা সম্ভব।
d002.s016	Powers are one way to make roots too .	ক্ষমতাও শিকড় তৈরির এক উপায়।
d002.s017	-gt : It s the way to specify the bounded variable in a function .	-gt : এটি একটি ফাংশনে আবদ্ধ ভেরিয়েবল নির্দিষ্ট করার উপায়।
d002.s018	( ) : It is used to specify a higher priority .	() : এটি একটি উচ্চ অগ্রাধিকার নির্দিষ্ট করতে ব্যবহৃত হয়।
d002.s019	abc(params) : When the parser finds a function , it checks if abc is an operator .	abc(params): যখন পার্সার একটি ফাংশন খুঁজে পায়, তখন এটি পরীক্ষা করে যে abc একটি অপারেটর কিনা।
d002.s020	If it is , it will be treated as an operator , if it is not , it will be treated as a user function .	যদি এটি হয় তবে এটি একটি অপারেটর হিসাবে বিবেচিত হবে, যদি এটি না হয় তবে এটি একটি ব্যবহারকারী ফাংশন হিসাবে বিবেচিত হবে।
d002.s021	: = : It is used to define a variable value .	: = : এটি একটি পরিবর্তনশীল মান নির্ধারণ করতে ব্যবহৃত হয়।
d002.s022	? : Piecewise condition definition .	? : পিসওয়াইজ অবস্থার সংজ্ঞা।
d002.s023	Piecewise is the way we can define conditional operations in kalgebra .	Piecewise হল যেভাবে আমরা কালজেবরায় শর্তসাপেক্ষ ক্রিয়াকলাপকে সংজ্ঞায়িত করতে পারি।
d002.s024	If we introduce the condition before the ? it will use this condition only if it is true , if it finds a ? without any condition , it will enter in the last instance .	আমরা যদি আগে শর্ত পরিচয় করিয়ে দিই? এটি এই শর্তটি ব্যবহার করবে শুধুমাত্র যদি এটি সত্য হয়, যদি এটি একটি খুঁজে পায়? কোন শর্ত ছাড়াই, এটি শেষ উদাহরণে প্রবেশ করবে।
d002.s025	{ } : MathML container .	{ } : MathML ধারক।
d002.s026	It can be used to define a container .	এটি একটি ধারক সংজ্ঞায়িত করতে ব্যবহার করা যেতে পারে।
d002.s027	Mainly useful for working with piecewise .	piecewise সঙ্গে কাজ করার জন্য প্রধানত দরকারী.
d002.s028	Now you could ask me , why should the user mind about MathML ?	এখন আপনি আমাকে জিজ্ঞাসা করতে পারেন, ম্যাথএমএল সম্পর্কে ব্যবহারকারীর মন কেন?
d002.s029	That s easy . With this , we can operate with functions like cos() , sin() , any other trigonometric functions , sum() or product() .	এটা সহজ। এর সাহায্যে, আমরা cos() , sin() , অন্য কোন ত্রিকোণমিতিক ফাংশন , sum() বা product() এর মত ফাংশন দিয়ে কাজ করতে পারি।
d002.s030	It does not matter what kind it is .	এটা কি ধরনের এটা কোন ব্যাপার না.
d002.s031	We can use plus() , times() and everything which has its operator .	আমরা plus() , times() এবং এর অপারেটর আছে এমন সবকিছু ব্যবহার করতে পারি।
d002.s032	kalgebra 's console is useful as a calculator .	কালজেব্রার কনসোল একটি ক্যালকুলেটর হিসাবে দরকারী।
d002.s033	There you have a list of the declared variables .	সেখানে আপনার ঘোষিত ভেরিয়েবলের একটি তালিকা রয়েছে।
d002.s034	By double clicking on them you will see a dialog that lets you change their values ( just a way to trick the log ) .	তাদের উপর ডাবল ক্লিক করলে আপনি একটি ডায়ালগ দেখতে পাবেন যা আপনাকে তাদের মান পরিবর্তন করতে দেয় (লগটি ট্রিক করার একটি উপায়)।
d002.s035	"Every time you enter an expression , the "" ans "" variable value will be changed to the last result ."	প্রতিবার আপনি একটি অভিব্যক্তি লিখলে, &quot;উত্তর&quot; ভেরিয়েবলের মান শেষ ফলাফলে পরিবর্তিত হবে।
d002.s036	Ctrl N New Window	Ctrl N নতুন উইন্ডো
d002.s037	Flushes the log .	লগ ফ্লাশ করে
d002.s038	Ctrl L Load Script	Ctrl L লোড স্ক্রিপ্ট
d002.s039	Executes the instructions in a file sequentially .	ক্রমানুসারে একটি ফাইলে নির্দেশাবলী কার্যকর করে।
d002.s040	Nice if you want to define some libraries or resume some previous work .	আপনি যদি কিছু লাইব্রেরি সংজ্ঞায়িত করতে চান বা কিছু পূর্ববর্তী কাজ পুনরায় শুরু করতে চান তবে চমৎকার।
d002.s041	Ctrl G Save Script	Ctrl G সেভ স্ক্রিপ্ট
d002.s042	Saves the instructions you have typed since the session began to be able to reuse .	সেশন পুনরায় ব্যবহার করতে সক্ষম হওয়ার পর থেকে আপনি যে নির্দেশাবলী টাইপ করেছেন সেগুলি সংরক্ষণ করে।
d002.s043	Generates text files so it should be easy to fix using any text editor , like Kate .	টেক্সট ফাইল তৈরি করে তাই কেট এর মত যেকোনো টেক্সট এডিটর ব্যবহার করে ঠিক করা সহজ হওয়া উচিত।
d002.s044	Ctrl S Save Log	Ctrl S সেভ লগ
d002.s045	Saves the log with all results into an HTML file to be able to print or publish .	মুদ্রণ বা প্রকাশ করতে সক্ষম হওয়ার জন্য একটি HTML ফাইলে সমস্ত ফলাফল সহ লগ সংরক্ষণ করে৷
d002.s046	Ctrl Q Quit	Ctrl Q প্রস্থান করুন
d002.s047	Shuts the program down .	প্রোগ্রাম বন্ধ করে দেয়।
d002.s048	To add a new 2D graph on kalgebra , what you have to do is to go to the 2D Graph tab and click in the Add tab to add the new function .	কালজেবরায় একটি নতুন 2D গ্রাফ যুক্ত করতে, আপনাকে যা করতে হবে তা হল 2D গ্রাফ ট্যাবে যেতে হবে এবং নতুন ফাংশন যোগ করতে Add ট্যাবে ক্লিক করতে হবে।
d002.s049	Then your focus will go to an input text box where you can type your function .	তারপর আপনার ফোকাস একটি ইনপুট টেক্সট বক্সে যাবে যেখানে আপনি আপনার ফাংশন টাইপ করতে পারবেন।
d002.s050	If you want to use a typical f(x) function it is not necessary to specify it .	আপনি যদি একটি সাধারণ f(x) ফাংশন ব্যবহার করতে চান তবে এটি নির্দিষ্ট করার প্রয়োজন নেই।
d002.s051	If you have entered the function click on the OK button to display the graph in the main window .	আপনি যদি ফাংশনটি প্রবেশ করে থাকেন তবে মূল উইন্ডোতে গ্রাফটি প্রদর্শন করতে ওকে বোতামে ক্লিক করুন।
d002.s052	You can set several graphs on the same view .	আপনি একই ভিউতে বেশ কয়েকটি গ্রাফ সেট করতে পারেন।
d002.s053	Just use the Add button when you are in List mode .	আপনি যখন তালিকা মোডে থাকবেন তখন শুধু যোগ বোতামটি ব্যবহার করুন।
d002.s054	You can set each graph its own color .	আপনি প্রতিটি গ্রাফের নিজস্ব রঙ সেট করতে পারেন।
d003.s002	The Foundation has recently been involved in organising a conference which dealt with this critical challenge .	ফাউন্ডেশন সম্প্রতি একটি সম্মেলনের আয়োজনে জড়িত ছিল যা এই সমালোচনামূলক চ্যালেঞ্জ মোকাবেলা করেছে।
d003.s003	Over 100 participants from the main interest groups attended and debated issues such as the role of key actors including public authorities , social partners , voluntary and community organisations as well as service users .	প্রধান স্বার্থ গোষ্ঠী থেকে 100 টিরও বেশি অংশগ্রহণকারী উপস্থিত ছিলেন এবং সরকারী কর্তৃপক্ষ, সামাজিক অংশীদার, স্বেচ্ছাসেবী এবং সম্প্রদায়ের সংস্থাগুলির পাশাপাশি পরিষেবা ব্যবহারকারীদের সহ মূল অভিনেতাদের ভূমিকার মতো বিষয় নিয়ে বিতর্ক করেছেন৷
d003.s004	There were relatively few cases reported of attempts to involve users in service planning but their involvement in service provision was found to be more common .	পরিষেবা পরিকল্পনায় ব্যবহারকারীদের সম্পৃক্ত করার প্রচেষ্টার বিষয়ে তুলনামূলকভাবে খুব কম ক্ষেত্রে রিপোর্ট করা হয়েছে কিন্তু পরিষেবার বিধানে তাদের জড়িত থাকার বিষয়টি বেশি দেখা গেছে।
d003.s005	Note was also taken of the variety of different roles played by public welfare	জনকল্যাণে বিভিন্ন ধরনের ভূমিকাও নোট করা হয়েছিল
d003.s006	The Foundation organised , together with the European Commission , the Spanish Ministry of Social Affairs and the Galician regional government , a European conference on social exclusion : a major challenge for public welfare services .	ফাউন্ডেশন ইউরোপীয় কমিশন, স্প্যানিশ সামাজিক বিষয়ক মন্ত্রণালয় এবং গ্যালিসিয়ান আঞ্চলিক সরকারের সাথে একত্রে সামাজিক বর্জন বিষয়ে একটি ইউরোপীয় সম্মেলনের আয়োজন করেছে: জনকল্যাণমূলক পরিষেবার জন্য একটি বড় চ্যালেঞ্জ।
d003.s007	The Foundation recently published a comparative study as part of the EPOC project which assesses the extent to which direct participation can humanise work while increasing profitability .	ফাউন্ডেশন সম্প্রতি ইপিওসি প্রকল্পের অংশ হিসাবে একটি তুলনামূলক গবেষণা প্রকাশ করেছে যা মুনাফা বৃদ্ধির সাথে সাথে সরাসরি অংশগ্রহণ কতটা মানবিক কাজ করতে পারে তা মূল্যায়ন করে।
d003.s008	The study is based on 195 personal interviews with senior officials of the social partners as representatives of national level peak organisations in fifteen European countries .	পনেরটি ইউরোপীয় দেশে জাতীয় পর্যায়ের শীর্ষ সংস্থার প্রতিনিধি হিসাবে সামাজিক অংশীদারদের সিনিয়র কর্মকর্তাদের সাথে 195টি ব্যক্তিগত সাক্ষাত্কারের উপর ভিত্তি করে গবেষণাটি করা হয়েছে।
d003.s009	As important industrial sectors , the metal industry and the banking sector were also included .	গুরুত্বপূর্ণ শিল্প খাত হিসেবে ধাতু শিল্প এবং ব্যাংকিং খাতও অন্তর্ভুক্ত ছিল।
d003.s010	Key speakers at the social exclusion conference were ( left to right ) Cristina Louro , Employment , Industrial Relations and Social Affairs Directorate , European Commission Fernando Gomes , a high degree of Committee of the Regions Barbara Weiler , Member of the European Parliament José Maria Gil-Robles , Vice-President , European Parliament and John Carroll , Economic and Social Committee .	সামাজিক বর্জন সম্মেলনের প্রধান বক্তারা ছিলেন (বাম থেকে ডানে) ক্রিস্টিনা লুরো, কর্মসংস্থান, শিল্প সম্পর্ক এবং সামাজিক বিষয়ক অধিদপ্তর, ইউরোপীয় কমিশন ফার্নান্দো গোমেস, অঞ্চলের উচ্চ স্তরের কমিটির বারবারা ওয়েইলার, ইউরোপীয় সংসদের সদস্য জোসে মারিয়া গিল- রোবলস, ভাইস-প্রেসিডেন্ট, ইউরোপিয়ান পার্লামেন্ট এবং জন ক্যারল, অর্থনৈতিক ও সামাজিক কমিটি।
d003.s011	Case Studies Each national report contains a portfolio of between 25 and 30 initiatives which best present policies and practices to improve the recruitment , training and development of ageing workers in both the work place and the community .	কেস স্টাডিজ প্রতিটি জাতীয় প্রতিবেদনে 25 থেকে 30টি উদ্যোগের একটি পোর্টফোলিও রয়েছে যা কর্মক্ষেত্র এবং সম্প্রদায় উভয় ক্ষেত্রেই বার্ধক্যজনিত কর্মীদের নিয়োগ, প্রশিক্ষণ এবং উন্নয়নের উন্নতির জন্য সর্বোত্তম নীতি ও অনুশীলনগুলি উপস্থাপন করে।
d003.s012	For each country , two or three initiatives have been selected for further in depth case study .	প্রতিটি দেশের জন্য, আরও গভীর কেস স্টাডির জন্য দুই বা তিনটি উদ্যোগ নির্বাচন করা হয়েছে।
d003.s013	These case studies analysed the background of the initiatives , their impact on employment patterns and work organisations and assessed the benefits and problems of the initiative .	এই কেস স্টাডিগুলি উদ্যোগের পটভূমি, কর্মসংস্থানের ধরণ এবং কর্ম সংস্থাগুলির উপর তাদের প্রভাব বিশ্লেষণ করেছে এবং উদ্যোগের সুবিধা এবং সমস্যাগুলি মূল্যায়ন করেছে।
d003.s014	Visits and interviews with key personnel were also undertaken .	প্রধান কর্মীদের সাথে পরিদর্শন এবং সাক্ষাত্কারও নেওয়া হয়েছিল।
d003.s015	These national studies will form the basis of a European report which synthesises overall practices .	এই জাতীয় গবেষণাগুলি একটি ইউরোপীয় প্রতিবেদনের ভিত্তি তৈরি করবে যা সামগ্রিক অনুশীলনগুলিকে সংশ্লেষ করে।
d003.s016	The report and a case book of initiatives will be published in 1996 and provide the backdrop for a conference to be staged in Autumn , 1996 .	প্রতিবেদনটি এবং উদ্যোগের একটি কেস বুক 1996 সালে প্রকাশিত হবে এবং 1996 সালের শরতে মঞ্চস্থ একটি সম্মেলনের পটভূমি প্রদান করবে।
d003.s017	The Foundation aims to document the characteristics of age barriers in job recruitment and training and to analyse their causes .	ফাউন্ডেশনের লক্ষ্য চাকরি নিয়োগ এবং প্রশিক্ষণে বয়সের বাধাগুলির বৈশিষ্ট্যগুলি নথিভুক্ত করা এবং তাদের কারণগুলি বিশ্লেষণ করা৷
d003.s018	The perspectives of the social partners is also being examined , with particular attention paid to proposals for removing age barriers .	সামাজিক অংশীদারদের দৃষ্টিভঙ্গিও পরীক্ষা করা হচ্ছে, বয়সের বাধা অপসারণের প্রস্তাবগুলিতে বিশেষ মনোযোগ দিয়ে।
d003.s019	Thirdly , the project documents and assesses initiatives , in both the public and private sectors which combat age barriers , especially for older workers .	তৃতীয়ত, প্রকল্প নথিপত্র এবং উদ্যোগ মূল্যায়ন করে, সরকারী ও বেসরকারী উভয় ক্ষেত্রেই যা বয়সের বাধা মোকাবেলা করে, বিশেষ করে বয়স্ক কর্মীদের জন্য।
d003.s020	Seeking alternatives to early retirement and redundancy , the project is primarily concerned with the retention , reintegration and retraining of older workers .	প্রারম্ভিক অবসর এবং অপ্রয়োজনীয়তার বিকল্প খুঁজতে, প্রকল্পটি প্রাথমিকভাবে বয়স্ক কর্মীদের ধারণ, পুনঃএকত্রীকরণ এবং পুনরায় প্রশিক্ষণের সাথে সম্পর্কিত।
d003.s021	The gender and ethnic backgrounds of workers and how these relate to age discrimination are examined .	কর্মীদের লিঙ্গ এবং জাতিগত পটভূমি এবং কীভাবে এগুলি বয়স বৈষম্যের সাথে সম্পর্কিত তা পরীক্ষা করা হয়।
