Token ID	Token	Lemma	POS	Bengali Token	Bengali Lemma	POS BEN	BN Synset	Correct? 	Synonyms?	BN Gloss	Token ID BEN	Annotator notes	English Lemma - WN Glosses	English Lemma - WN Glosses	English Lemma - BN Synsets	English Lemma - BN Glosses
d001.s002.t022	their		X	তাদের	তাদের	PPR	n/a			n/a	d001.s002.t021					
d001.s002.t023	recommendations	recommendation	N	সুপারিশে	সুপারিশ	NC	bn:00066562n	1	1	Something (as a course of action) that is recommended as advisable	d001.s002.t022					
d001.s002.t024	on		X	সম্পর্কে	সম্পর্ক	NC	n/a			n/a	d001.s002.t020					
d001.s002.t025	how		X	জন্য	জন্য	PP	n/a			n/a	d001.s002.t024					
d001.s002.t026	to		X	করতে	করতে	VM	n/a			n/a	d001.s002.t017					
d001.s002.t027	use	use	V	ব্যবহার	ব্যবহার	NC	bn:00082705v	1	1	Put into service; make work or employ for a particular purpose or for its inherent or natural purpose	d001.s002.t016					
d001.s002.t028	the		X	ঔষধ	ঔষধ	NC	n/a			n/a	d001.s002.t015					
d001.s002.t029	medicine	medicine	N	ঔষধ	ঔষধ	NC	bn:00054128n	1	1	(medicine) something that treats or prevents or alleviates the symptoms of disease	d001.s002.t015					
d001.s002.t030	.		X	সে+।	সে+।	PPR+PU	n/a			n/a	d001.s002.t019+d001.s002.t025					
d001.s003.t001	If		X	যদি	যদি	CSB	n/a			n/a	d001.s003.t009					
d001.s003.t002	you		X	হয়	হয়	PU	n/a			n/a	d001.s003.t013					
d001.s003.t003	need	need	V	প্রয়োজন	প্রয়োজন	NC	bn:00091028v	1	1	Have need of	d001.s003.t012					
d001.s003.t004	more	more	J	আরও	আরও	JQ	bn:00106935a	1	1	(comparative of `much' used with mass nouns) a quantifier meaning greater in size or amount or extent or degree	d001.s003.t010					
d001.s003.t005	information	information	N	তথ্যের	তথ্য	NC	bn:00025314n	1	1	A collection of facts from which conclusions may be drawn	d001.s003.t011					
d001.s003.t006	about		X	বিষয়ে	বিষয়	NC	n/a			n/a	d001.s003.t008					
d001.s003.t007	your		X	আপনার	আপনার	PPR	n/a			n/a	d001.s003.t001					
d001.s003.t008	medical	medical	J	চিকিৎসার	চিকিৎসা	NC	bn:00106555a	0	1	Requiring or amenable to treatment by medicine especially as opposed to surgery	d001.s003.t007	POS mismatch	Relating to the study or practice of medicine; Requiring or amenable to treatment by medicine especially as opposed to surgery; Of or belonging to Aesculapius or the healing art	relating to the study or practice of medicine; requiring or amenable to treatment by medicine especially as opposed to surgery; of or belonging to Aesculapius or the healing art	bn:00106554a; bn:00106555a; bn:00096582a	Relating to the study or practice of medicine; Requiring or amenable to treatment by medicine especially as opposed to surgery; Of or belonging to Aesculapius or the healing art
d001.s003.t009	condition	condition	N	অবস্থা	অবস্থা	NC	bn:00021648n	1	1	An illness, disease, or other medical problem	d001.s003.t004					
d001.s003.t010	or		X	অথবা	অথবা	CSB	n/a			n/a	d001.s003.t005					
d001.s003.t011	your		X	আপনার	আপনার	PPR	n/a			n/a	d001.s003.t001					
d001.s003.t012	treatment	treatment	N	চিকিৎসা	চিকিৎসা	NC	bn:00047235n	1	1	Care provided to improve a situation (especially medical procedures or applications that are intended to relieve illness or injury)	d001.s003.t007					
d001.s003.t013	,		X	,	,		n/a			n/a	d001.s003.t014					
d001.s003.t014	read	read	V	করুন	করুন	VM	bn:00092424v	0	0	Interpret something that is written or printed	d001.s003.t030		Interpret something that is written or printed; Have or contain a certain wording or form; Look at, interpret, and say out loud something that is written or printed; Obtain data from magnetic tapes; Interpret the significance of, as of palms, tea leaves, intestines, the sky; also of human behavior; Interpret something in a certain way; convey a particular meaning or impression; Be a student of a certain subject; Indicate a certain reading; of gauges and instruments; Audition for a stage role by reading parts of a role; To hear and understand; Make sense of a language	interpret something that is written or printed; have or contain a certain wording or form; look at, interpret, and say out loud something that is written or printed; obtain data from magnetic tapes; interpret the significance of, as of palms, tea leaves, intestines, the sky; also of human behavior; interpret something in a certain way; convey a particular meaning or impression; be a student of a certain subject; indicate a certain reading; of gauges and instruments; audition for a stage role by reading parts of a role; to hear and understand; make sense of a language	bn:00092424v; bn:00092425v; bn:00092426v; bn:00092427v; bn:00092428v; bn:00092429v; bn:00090266v; bn:00092430v; bn:00092431v; bn:00092432v; bn:00089841v	Interpret something that is written or printed; Have or contain a certain wording or form; Look at, interpret, and say out loud something that is written or printed; Obtain data from magnetic tapes; Interpret the significance of, as of palms, tea leaves, intestines, the sky; also of human behavior; Interpret something in a certain way; convey a particular meaning or impression; Be a student of a certain subject; Indicate a certain reading; of gauges and instruments; Audition for a stage role by reading parts of a role; To hear and understand; Make sense of a language
d001.s003.t015	the		X	চিকিৎসার	চিকিৎসা	NC	n/a			n/a	d001.s003.t007					
d001.s003.t016	Package	package	N	প্যাকেজ	প্যাকেজ	NP	bn:00013882n	1	1	A collection of things wrapped or boxed together	d001.s003.t017					
d001.s003.t017	Leaflet	leaflet	N	লিফলেট	লিফলেট	NC	bn:00012133n	1	1	A small book usually having a paper cover	d001.s003.t018					
d001.s003.t018	(		X	(	(	RDS	n/a			n/a	d001.s003.t019					
d001.s003.t019	also	also	R	হলে	হলে	LC	bn:00114246r	0	0	In addition	d001.s003.t016		In addition	in addition	bn:00114246r	In addition
d001.s003.t020	part	part	N	অংশ	অংশ	NC	bn:00021395n	1	1	Something determined in relation to something that includes it	d001.s003.t021					
d001.s003.t021	of		X	প্যাকেজ	প্যাকেজ	NP	n/a			n/a	d001.s003.t017					
d001.s003.t022	the		X	ইপিএআর-এর	ইপিএআর-এর	NP	n/a			n/a	d001.s003.t020					
d001.s003.t023	EPAR	epar	N	ইপিএআর-এর	ইপিএআর-এর	NP	n/a			n/a	d001.s003.t020					
d001.s003.t024	)		X	)	)	RDS	n/a			n/a	d001.s003.t022					
d001.s003.t025	or		X	অথবা	অথবা	CSB	n/a			n/a	d001.s003.t023					
d001.s003.t026	contact	contact	V	যোগাযোগ	যোগাযোগ	NC	bn:00085696v	1	1	Be in or establish communication with	d001.s003.t029					
d001.s003.t027	your		X	আপনার	আপনার	PPR	n/a			n/a	d001.s003.t024					
d001.s003.t028	doctor	doctor	N	ডাক্তার	ডাক্তার	NC	bn:00027976n	1	1	A licensed medical practitioner	d001.s003.t025					
d001.s003.t029	or		X	বা	বা	CCD	n/a			n/a	d001.s003.t026					
d001.s003.t030	pharmacist	pharmacist	N	ফার্মাসিস্টের	ফার্মাসিস্ট	NC	bn:00004992n	1	1	A health professional trained in the art of preparing and dispensing drugs	d001.s003.t027					
d001.s003.t031	.		X	ইপিএআর-এর+।	ইপিএআর-এর+।	NP	n/a			n/a	d001.s003.t020					
d001.s004.t001	If		X	যদি	যদি	CSB	n/a			n/a	d001.s004.t001					
d001.s004.t002	you		X	আপনি	আপনি	PPR	n/a			n/a	d001.s004.t002					
d001.s004.t003	want	want	V	চান	চান	NC	bn:00086682v	1	1	Feel or have a desire for; want strongly	d001.s004.t008					
d001.s004.t004	more	more	J	আরো	আরো	JQ	bn:00106935a	1	1	(comparative of `much' used with mass nouns) a quantifier meaning greater in size or amount or extent or degree	d001.s004.t006					
d001.s004.t005	information	information	N	তথ্য	তথ্য	NC	bn:00025314n	1	1	A collection of facts from which conclusions may be drawn	d001.s004.t007					
d001.s004.t006	on		X	ভিত্তিতে	ভিত্তি	NC	n/a			n/a	d001.s004.t005					
d001.s004.t007	the		X	সুপারিশের	সুপারিশ	NC	n/a			n/a	d001.s004.t004					
d001.s004.t008	basis	basis	N	ভিত্তিতে	ভিত্তি	NC	bn:00008786n	1	1	The fundamental assumptions from which something is begun or developed or calculated or explained	d001.s004.t005					
d001.s004.t009	of		X	সুপারিশের	সুপারিশ	NC	n/a			n/a	d001.s004.t004					
d001.s004.t010	the		X	সিএইচএমপির	সিএইচএমপির	NC	n/a			n/a	d001.s004.t003					
d001.s004.t011	CHMP	chmp	N	সিএইচএমপির	সিএইচএমপির	NC	bn:00302314n	1	1	The Committee for Medicinal Products for Human Use, formerly known as Committee for Proprietary Medicinal Products, is the European Medicines Agency's committee responsible for elaborating the agency's opinions on all issues regarding medicinal products for human use.	d001.s004.t003					
d001.s004.t012	recommendations	recommendation	N	সুপারিশের	সুপারিশ	NC	bn:00066562n	1	1	Something (as a course of action) that is recommended as advisable	d001.s004.t004					
d001.s004.t013	,		X	,	,		n/a			n/a	d001.s004.t009					
d001.s004.t014	read	read	V	পড়ুন	পড়ুন	NP	bn:00092424v	1	1	Interpret something that is written or printed	d001.s004.t017					
d001.s004.t015	the		X	বৈজ্ঞানিক	বৈজ্ঞানিক	JJ	n/a			n/a	d001.s004.t011					
d001.s004.t016	Scientific	scientific	J	বৈজ্ঞানিক	বৈজ্ঞানিক	JJ	bn:00110175a	1	1	Of or relating to the practice of science	d001.s004.t011					
d001.s004.t017	Discussion	discussion	N	বৈজ্ঞানিক+আলোচনা	বৈজ্ঞানিক+আলোচনা	JJ+NC	bn:00027523n	1	1	An extended communication (often interactive) dealing with some particular topic	d001.s004.t011+d001.s004.t012	Second word matches				
d001.s004.t018	(		X	(	(	RDS	n/a			n/a	d001.s004.t013					
d001.s004.t019	also	also	R	ইপারেরও	ইপারেরও	PU	bn:00114246r	1	0	In addition	d001.s004.t014	POS mismatch, the English word doesn't have any Bengali synonyms				
d001.s004.t020	part	part	N	অংশ	অংশ	NC	bn:00021395n	1	1	Something determined in relation to something that includes it	d001.s004.t015					
d001.s004.t021	of		X	ইপারেরও	ইপারেরও	PU	n/a			n/a	d001.s004.t014					
d001.s004.t022	the		X	ইপারেরও	ইপারেরও	PU	n/a			n/a	d001.s004.t014					
d001.s004.t023	EPAR	epar	N	সিএইচএমপির+ইপারেরও	সিএইচএমপির+ইপারেরও	NC+PU	n/a			n/a	d001.s004.t003+d001.s004.t014					
d001.s004.t024	)		X	)	)	RDS	n/a			n/a	d001.s004.t016					
d001.s004.t025	.		X	তাহলে+।	তাহলে+।	CSB+PU	n/a			n/a	d001.s004.t010+d001.s004.t018					
d001.s005.t001	What		X	কি	কি	PWH	n/a			n/a	d001.s005.t002					
d001.s005.t002	is	be	V	আলিমতা	আলিমতা	NC	n/a			n/a	d001.s005.t001					
d001.s005.t003	Alimta	alimta	N	আলিমতা	আলিমতা	NC	bn:00602447n	1	1	Pemetrexed is a chemotherapy drug manufactured and marketed by Eli Lilly and Company.	d001.s005.t001					
d001.s005.t004	?		X	?	?	PU	n/a			n/a	d001.s005.t003					
d001.s006.t001	Alimta	alimta	N	আলিমতা	আলিমতা	NC	bn:00602447n	1	1	Pemetrexed is a chemotherapy drug manufactured and marketed by Eli Lilly and Company.	d001.s006.t001					
d001.s006.t002	is	be	V	হচ্ছে	হচ্ছে	VM	n/a			n/a	d001.s006.t002					
d001.s006.t003	a		X	এক	এক	JQ	n/a			n/a	d001.s006.t004					
d001.s006.t004	powder	powder	N	পাউডার	পাউডার	NC	bn:00063926n	1	1	A solid substance in the form of tiny loose particles; a solid that has been pulverized	d001.s006.t005					
d001.s006.t005	that		X	,	,		n/a			n/a	d001.s006.t006					
d001.s006.t006	is	be	V	হয়	হয়	PU	n/a			n/a	d001.s006.t018					
d001.s006.t007	made up	make up	V	তৈরি	তৈরি	NC	bn:00083187v	1	1	Form or compose	d001.s006.t016					
d001.s006.t008	into		X	পাউডার	পাউডার	NC	n/a			n/a	d001.s006.t005					
d001.s006.t009	a		X	যা	যা	PRL	n/a			n/a	d001.s006.t007					
d001.s006.t010	solution	solution	N	দ্রবণে	দ্রবণ	NC	bn:00072760n	1	1	A homogeneous mixture of two or more substances; frequently (but not necessarily) a liquid solution	d001.s006.t015					
d001.s006.t011	for		X	জন্য	জন্য	PP	n/a			n/a	d001.s006.t013					
d001.s006.t012	infusion	infusion	N	ইনফিউশনের	ইনফিউশন	NP	bn:00046734n	1	1	(medicine) the passive introduction of a substance (a fluid or drug or electrolyte) into a vein or between tissues (as by gravitational force)	d001.s006.t008					
d001.s006.t013	(		X	(	(	RDS	n/a			n/a	d001.s006.t009					
d001.s006.t014	drip	drip	V	ডুবিয়ে	ডুব	NC	bn:00087306v	0	1	Let or cause to fall in drops	d001.s006.t011	POS mismatch, incorrect sense 	Fall in drops; Let or cause to fall in drops	fall in drops; let or cause to fall in drops	bn:00087325v; bn:00087306v	Fall in drops; Let or cause to fall in drops
d001.s006.t015	into		X	শিরায়	শিরা	NC	n/a			n/a	d001.s006.t010					
d001.s006.t016	a		X	এক	এক	JQ	n/a			n/a	d001.s006.t014					
d001.s006.t017	vein	vein	N	শিরায়	শিরা	NC	bn:00079681n	1	1	A blood vessel that carries blood from the capillaries toward the heart	d001.s006.t010					
d001.s006.t018	)		X	)	)	RDS	n/a			n/a	d001.s006.t009					
d001.s006.t019	.		X	,+।	,+।	PU	n/a			n/a	d001.s006.t006+d001.s006.t019					
d001.s007.t001	It		X	এতে	এতে	PPR	n/a			n/a	d001.s007.t001					
d001.s007.t002	contains	contain	V	রয়েছে+সক্রিয়	রয়েছে+সক্রিয়	VM+PU	bn:00085499v	1	1	Include or contain; have as a component	d001.s007.t002+d001.s007.t003	First word matches				
d001.s007.t003	the		X	সক্রিয়	সক্রিয়	PU	n/a			n/a	d001.s007.t003					
d001.s007.t004	active	active	J	পদার্থ	পদার্থ	PU	bn:00096387a	0	0	Exerting influence or producing a change or effect	d001.s007.t003		Tending to become more severe or wider in scope; Disposed to take action or effectuate change; Characterized by energetic activity; Exerting influence or producing a change or effect; Full of activity or engaged in continuous activity; (of the sun) characterized by an increased occurrence of sunspots and flares and radio emissions; Expressing that the subject of the sentence has the semantic function of actor: "Hemingway favors active constructions"; (used of verbs (e.g. `to run') and participial adjectives (e.g. `running' in `running water')) expressing action rather than a state of being; (of e.g. volcanos) capable of erupting; (of e.g. volcanos) erupting or liable to erupt; Engaged in full-time work	tending to become more severe or wider in scope; engaged in or ready for military or naval operations; disposed to take action or effectuate change; taking part in an activity; characterized by energetic activity; exerting influence or producing a change or effect; full of activity or engaged in continuous activity; in operation; (of the sun) characterized by an increased occurrence of sunspots and flares and radio emissions; expressing that the subject of the sentence has the semantic function of actor:; (used of verbs (e.g. `to run') and participial adjectives (e.g. `running' in `running water')) expressing action rather than a state of being; (of e.g. volcanos) capable of erupting; (of e.g. volcanos) erupting or liable to erupt; engaged in full-time work	bn:00096382a; bn:00096384a; bn:00096386a; bn:00096387a; bn:00096388a; bn:00096390a; bn:00096391a; bn:00096392a; bn:00096393a; bn:00096394a; bn:00096395a	Tending to become more severe or wider in scope; Disposed to take action or effectuate change; Characterized by energetic activity; Exerting influence or producing a change or effect; Full of activity or engaged in continuous activity; (of the sun) characterized by an increased occurrence of sunspots and flares and radio emissions; Expressing that the subject of the sentence has the semantic function of actor: "Hemingway favors active constructions"; (used of verbs (e.g. `to run') and participial adjectives (e.g. `running' in `running water')) expressing action rather than a state of being; (of e.g. volcanos) capable of erupting; (of e.g. volcanos) erupting or liable to erupt; Engaged in full-time work
d001.s007.t005	substance	substance	N	পদার্থ	পদার্থ	NC	bn:00074986n	1	1	Material of a particular kind or constitution	d001.s007.t004					
d001.s007.t006	pemetrexed	pemetrexed	N	পেমিরেক্সড	পেমিরেক্সড	PU	bn:00602447n	1	1	Pemetrexed is a chemotherapy drug manufactured and marketed by Eli Lilly and Company.	d001.s007.t005					
d001.s007.t007	.		X	পেমিরেক্সড+।	পেমিরেক্সড+।	NP+PU	n/a			n/a	d001.s007.t005+d001.s007.t006					
d001.s008.t001	What		X	কিসের	কিসের	NC	n/a			n/a	d001.s008.t002					
d001.s008.t002	is	be	V	হয়	হয়	PU	n/a			n/a	d001.s008.t005					
d001.s008.t003	Alimta	alimta	N	আলিম্তা	আলিম্তা	NC	bn:00602447n	1	1	Pemetrexed is a chemotherapy drug manufactured and marketed by Eli Lilly and Company.	d001.s008.t001					
d001.s008.t004	used	use	V	ব্যবহৃত	ব্যবহৃত	JJ	bn:00082705v	1	1	Put into service; make work or employ for a particular purpose or for its inherent or natural purpose	d001.s008.t004					
d001.s008.t005	for		X	জন্য	জন্য	PP	n/a			n/a	d001.s008.t003					
d001.s008.t006	?		X	?	?	PU	n/a			n/a	d001.s008.t006					
d001.s009.t001	Alimta	alimta	N	আলিমটা	আলিমটা	NC	bn:00602447n	1	1	Pemetrexed is a chemotherapy drug manufactured and marketed by Eli Lilly and Company.	d001.s009.t001					
d001.s009.t002	is	be	V	ব্যবহৃত	ব্যবহৃত	JJ	n/a			n/a	d001.s009.t006					
d001.s009.t003	used	use	V	ব্যবহৃত	ব্যবহৃত	JJ	bn:00082705v	1	1	Put into service; make work or employ for a particular purpose or for its inherent or natural purpose	d001.s009.t006					
d001.s009.t004	to		X	চিকিৎসায়	চিকিৎসা	NC	n/a			n/a	d001.s009.t005					
d001.s009.t005	treat	treat	V	চিকিৎসায়	চিকিৎসা	NC	bn:00084532v	1	1	Provide treatment for	d001.s009.t005					
d001.s009.t006	two		X	দুই	দুই	JQ	n/a			n/a	d001.s009.t002					
d001.s009.t007	types	type	N	ধরনের	ধরন	NC	bn:00078798n	1	1	A subdivision of a particular kind of thing	d001.s009.t003					
d001.s009.t008	of		X	ক্যান্সারের	ক্যান্সার	NC	n/a			n/a	d001.s009.t004					
d001.s009.t009	cancer	cancer	N	ক্যান্সারের	ক্যান্সার	NC	bn:00015180n	1	1	Any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream	d001.s009.t004					
d001.s009.t010	:		X	:	:	PU	n/a			n/a	d001.s009.t008					
d001.s009.t011	pleural	pleural	J	প্লুরাল	প্লুরাল	NC	bn:00108692a	1	1	Of or relating to the pleura or the walls of the thorax	d001.s009.t009					
d001.s009.t012	mesothelioma	mesothelioma	N	প্লুরাল+মেসোথেলিওমা	প্লুরাল+মেসোথেলিওমা	NP+NP	bn:00054512n	1	1	A form of carcinoma of the mesothelium lining lungs or abdomen or heart; usually associated with exposure to asbestos dust	d001.s009.t009+d001.s009.t010	Second word matches				
d001.s009.t013	(		X	(	(	RDS	n/a			n/a	d001.s009.t011					
d001.s009.t014	cancer	cancer	N	ক্যান্সার	ক্যান্সার	NC	bn:00015180n	1	1	Any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream	d001.s009.t019					
d001.s009.t015	of		X	ফুসফুসের	ফুসফুস	NC	n/a			n/a	d001.s009.t017					
d001.s009.t016	the		X	আস্তরণের	আস্তরণ	NC	n/a			n/a	d001.s009.t018					
d001.s009.t017	lining	lining	N	আস্তরণের	আস্তরণ	NC	bn:00051366n	1	1	A protective covering that protects an inside surface	d001.s009.t018					
d001.s009.t018	of		X	আস্তরণের	আস্তরণ	NC	n/a			n/a	d001.s009.t018					
d001.s009.t019	the		X	ফুসফুসের	ফুসফুস	NC	n/a			n/a	d001.s009.t017					
d001.s009.t020	lungs	lung	N	মেসোথেলিওমা+ফুসফুসের	মেসোথেলিওমা+ফুসফুস	NP+NP	bn:00052341n	1	1	Either of two saclike respiratory organs in the chest of vertebrates; serves to remove carbon dioxide and provide oxygen to the blood	d001.s009.t010+d001.s009.t017	Second word matches				
d001.s009.t021	that		X	মেসোথেলিওমা	মেসোথেলিওমা	NP	n/a			n/a	d001.s009.t010					
d001.s009.t022	is	be	V	হয়	হয়	PU	n/a			n/a	d001.s009.t007					
d001.s009.t023	usually	usually	R	সাধারণত	সাধারণত	AMN	bn:00114778r	1	1	Under normal conditions	d001.s009.t016					
d001.s009.t024	caused	cause	V	আসার	আসার	NC	bn:00084069v	0	0	Cause to happen, occur or exist	d001.s009.t015	POS mismatch, wrong alignment	Give rise to; cause to happen or occur, not always intentionally; Cause to do; cause to act in a specified manner	give rise to; cause to happen or occur, not always intentionally; cause to do; cause to act in a specified manner	bn:00084699v; bn:00084700v	Give rise to; cause to happen or occur, not always intentionally; Cause to do; cause to act in a specified manner
d001.s009.t025	by		X	কারণে	কারণে	NC	n/a			n/a	d001.s009.t015					
d001.s009.t026	exposure	exposure	N	সংস্পর্শে	সংস্পর্শ	NC	bn:00032379n	1	1	The state of being vulnerable or exposed	d001.s009.t013					
d001.s009.t027	to		X	অ্যাসবেস্টোসের	অ্যাসবেস্টোসের	NC	n/a			n/a	d001.s009.t012					
d001.s009.t028	asbestos	asbestos	N	অ্যাসবেস্টোসের	অ্যাসবেস্টোস	NC	bn:00006236n	1	1	A fibrous amphibole; used for making fireproof articles; inhaling fibers can cause asbestosis or lung cancer	d001.s009.t012					
d001.s009.t029	)		X	)	)	RDS	n/a			n/a	d001.s009.t020					
d001.s009.t030	.		X	প্লুরাল+।	প্লুরাল+।	NP+PU	n/a			n/a	d001.s009.t009+d001.s009.t021					
d001.s010.t001	Alimta	alimta	N	অ্যালিমটা	অ্যালিমটা	NC	bn:00602447n	1	1	Pemetrexed is a chemotherapy drug manufactured and marketed by Eli Lilly and Company.	d001.s010.t001					
d001.s010.t002	is	be	V	করা	করা	NV	n/a			n/a	d001.s010.t013					
d001.s010.t003	used	use	V	ব্যবহার	ব্যবহার	NC	bn:00082705v	1	1	Put into service; make work or employ for a particular purpose or for its inherent or natural purpose	d001.s010.t012					
d001.s010.t004	together	together	R	একত্রে	একত্রে	AMN	n/a			n/a	d001.s010.t011					
d001.s010.t005	with		X	সাথে	সাথে	NC	n/a			n/a	d001.s010.t010					
d001.s010.t006	cisplatin	cisplatin	N	সিসপ্লাটিন	সিসপ্লাটিন	NC	bn:00577781n	1	1	Cisplatin is a chemotherapy medication used to treat a number of cancers.	d001.s010.t002					
d001.s010.t007	(		X	(	(	RDS	n/a			n/a	d001.s010.t003					
d001.s010.t008	another		X	একটি	একটি	JQ	n/a			n/a	d001.s010.t004					
d001.s010.t009	anticancer	anticancer	J	ক্যান্সার+প্রতিরোধী	ক্যান্সার+প্রতিরোধী	NC+NC	bn:00097220a	1	1	Used in the treatment of cancer	d001.s010.t005+d001.s010.t006	Both words together match				
d001.s010.t010	medicine	medicine	N	ঔষধ	ঔষধ	NC	bn:00054128n	1	1	(medicine) something that treats or prevents or alleviates the symptoms of disease	d001.s010.t007					
d001.s010.t011	)		X	)	)	RDS	n/a			n/a	d001.s010.t008					
d001.s010.t012	when		X	যখন	যখন	ALC	n/a			n/a	d001.s010.t015					
d001.s010.t013	the		X	এর	এর	PPR	n/a			n/a	d001.s010.t009					
