New ID	Token	Lemma	POS	Old ID
d001.s004.t007	Scientific	scientific	ADJ	d001.s004.t007
d001.s004.t008	Discussion	discussion	NOUN	d001.s004.t008
	(	(	.	
d001.s004.t009	also	also	ADV	d001.s004.t009
d001.s004.t010	part	part	NOUN	d001.s004.t010
	of	of	ADP	
	the	the	DET	
	EPAR	epar	NOUN	
	)	)	.	
	.	.	.	
	What	what	PRON	
	is	be	VERB	
	Alimta	alimta	NOUN	
	?	?	.	
	Alimta	alimta	NOUN	
	is	be	VERB	
	a	a	DET	
d001.s006.t001	powder	powder	NOUN	d001.s006.t001
	that	that	DET	
	is	be	VERB	
d001.s006.t002	made up	make_up	VERB	d001.s006.t002
	into	into	ADP	
	a	a	DET	
d001.s006.t003	solution	solution	NOUN	d001.s006.t003
	for	for	ADP	
d001.s006.t004	infusion	infusion	NOUN	d001.s006.t004
	(	(	.	
d001.s006.t005	drip	drip	VERB	d001.s006.t005
	into	into	ADP	
	a	a	DET	
d001.s006.t006	vein	vein	NOUN	d001.s006.t006
	)	)	.	
	.	.	.	
	It	it	PRON	
d001.s007.t001	contains	contain	VERB	d001.s007.t001
	the	the	DET	
d001.s007.t002	active	active	ADJ	d001.s007.t002
d001.s007.t003	substance	substance	NOUN	d001.s007.t003
	pemetrexed	pemetrex	VERB	
	.	.	.	
	What	what	PRON	
	is	be	VERB	
	Alimta	alimta	NOUN	
d001.s008.t001	used	use	VERB	d001.s008.t001
	for	for	ADP	
	?	?	.	
	Alimta	alimta	NOUN	
	is	be	VERB	
d001.s009.t001	used	use	VERB	d001.s009.t001
	to	to	PRT	
d001.s009.t002	treat	treat	VERB	d001.s009.t002
	two	two	NUM	
d001.s009.t003	types	type	NOUN	d001.s009.t003
	of	of	ADP	
d001.s009.t004	cancer	cancer	NOUN	d001.s009.t004
	:	:	.	
d001.s009.t005	pleural	pleural	ADJ	d001.s009.t005
d001.s009.t006	mesothelioma	mesothelioma	NOUN	d001.s009.t006
	(	(	.	
d001.s009.t007	cancer	cancer	NOUN	d001.s009.t007
	of	of	ADP	
	the	the	DET	
d001.s009.t008	lining	lining	NOUN	d001.s009.t008
	of	of	ADP	
	the	the	DET	
d001.s009.t009	lungs	lung	NOUN	d001.s009.t009
	that	that	DET	
	is	be	VERB	
d001.s009.t010	usually	usually	ADV	d001.s009.t010
d001.s009.t011	caused	cause	VERB	d001.s009.t011
	by	by	ADP	
d001.s009.t012	exposure	exposure	NOUN	d001.s009.t012
	to	to	PRT	
d001.s009.t013	asbestos	asbestos	NOUN	d001.s009.t013
	)	)	.	
	.	.	.	
	Alimta	alimta	NOUN	
	is	be	VERB	
d001.s010.t001	used	use	VERB	d001.s010.t001
d001.s010.t002	together with	together_with	ADV	d001.s010.t002
	cisplatin	cisplatin	X	
	(	(	.	
	another	another	DET	
d001.s010.t003	anticancer	anticancer	ADJ	d001.s010.t003
d001.s010.t004	medicine	medicine	NOUN	d001.s010.t004
	)	)	.	
	when	when	ADV	
	the	the	DET	
d001.s010.t005	cancer	cancer	NOUN	d001.s010.t005
	is	be	VERB	
	unresectable	unresectable	ADJ	
	(	(	.	
	cannot	cannot	X	
	be	be	VERB	
d001.s010.t006	removed	remove	VERB	d001.s010.t006
	by	by	ADP	
d001.s010.t007	surgery	surgery	NOUN	d001.s010.t007
d001.s010.t008	alone	alone	ADJ	d001.s010.t008
	)	)	.	
	and	and	CONJ	
d001.s010.t009	malignant	malignant	ADJ	d001.s010.t009
	(	(	.	
	has	have	VERB	
d001.s010.t010	spread	spread	VERB	d001.s010.t010
	,	,	.	
	or	or	CONJ	
	is	be	VERB	
d001.s010.t011	likely	likely	ADJ	d001.s010.t011
	to	to	PRT	
d001.s010.t012	spread	spread	VERB	d001.s010.t012
d001.s010.t013	easily	easily	ADV	d001.s010.t013
	,	,	.	
	to	to	PRT	
d001.s010.t014	other	other	ADJ	d001.s010.t014
d001.s010.t015	parts	part	NOUN	d001.s010.t015
	of	of	ADP	
	the	the	DET	
d001.s010.t016	body	body	NOUN	d001.s010.t016
	)	)	.	
	,	,	.	
	in	in	ADP	
d001.s010.t017	patients	patient	NOUN	d001.s010.t017
	who	who	PRON	
	have	have	VERB	
d001.s010.t018	not	not	ADV	d001.s010.t018
d001.s010.t019	received	receive	VERB	d001.s010.t019
d001.s010.t020	chemotherapy	chemotherapy	NOUN	d001.s010.t020
	(	(	.	
d001.s010.t021	medicines	medicine	NOUN	d001.s010.t021
	for	for	ADP	
d001.s010.t022	cancer	cancer	NOUN	d001.s010.t022
	)	)	.	
	before	before	ADP	
d001.s010.t023	advanced	advanced	ADJ	d001.s010.t023
	or	or	CONJ	
d001.s010.t024	metastatic	metastatic	ADJ	d001.s010.t024
	non-small	non-small	ADJ	
d001.s010.t025	cell	cell	NOUN	d001.s010.t025
d001.s010.t026	lung cancer	lung_cancer	NOUN	d001.s010.t026
	that	that	DET	
	is	be	VERB	
d001.s010.t027	not	not	ADV	d001.s010.t027
d001.s010.t028	affecting	affect	VERB	d001.s010.t028
	the	the	DET	
d001.s010.t029	squamous cells	squamous_cell	NOUN	d001.s010.t029
	.	.	.	
	Alimta	alimta	NOUN	
	is	be	VERB	
d001.s011.t001	used	use	VERB	d001.s011.t001
	in	in	ADP	
d001.s011.t002	combination	combination	NOUN	d001.s011.t002
	with	with	ADP	
	cisplatin	cisplatin	NOUN	
	in	in	ADP	
d001.s011.t003	patients	patient	NOUN	d001.s011.t003
	who	who	PRON	
	have	have	VERB	
d001.s011.t004	not	not	ADV	d001.s011.t004
	been	be	VERB	
d001.s011.t005	treated	treat	VERB	d001.s011.t005
	before	before	ADV	
	,	,	.	
	and	and	CONJ	
	on	on	ADP	
	its	its	PRON	
	own	own	ADJ	
	in	in	ADP	
d001.s011.t006	patients	patient	NOUN	d001.s011.t006
	who	who	PRON	
	have	have	VERB	
d001.s011.t007	received	receive	VERB	d001.s011.t007
	another	another	DET	
d001.s011.t008	type	type	NOUN	d001.s011.t008
	of	of	ADP	
d001.s011.t009	chemotherapy	chemotherapy	NOUN	d001.s011.t009
	in	in	ADP	
	the	the	DET	
d001.s011.t010	past	past	NOUN	d001.s011.t010
	.	.	.	
	The	the	DET	
d001.s012.t001	medicine	medicine	NOUN	d001.s012.t001
	can	can	VERB	
d001.s012.t002	only	only	ADV	d001.s012.t002
	be	be	VERB	
d001.s012.t003	obtained	obtain	VERB	d001.s012.t003
	with	with	ADP	
	a	a	DET	
d001.s012.t004	prescription	prescription	NOUN	d001.s012.t004
	.	.	.	
	How	how	ADV	
	is	be	VERB	
	Alimta	alimta	NOUN	
d001.s013.t001	used	use	VERB	d001.s013.t001
	?	?	.	
	Alimta	alimta	NOUN	
	should	should	VERB	
d001.s014.t001	only	only	ADV	d001.s014.t001
	be	be	VERB	
d001.s014.t002	given	give	VERB	d001.s014.t002
	under	under	ADP	
	the	the	DET	
d001.s014.t003	supervision	supervision	NOUN	d001.s014.t003
	of	of	ADP	
	a	a	DET	
d001.s014.t004	doctor	doctor	NOUN	d001.s014.t004
	who	who	PRON	
	is	be	VERB	
	qualified	qualify	VERB	
	in	in	ADP	
	the	the	DET	
d001.s014.t005	use	use	NOUN	d001.s014.t005
	of	of	ADP	
d001.s014.t006	anticancer	anticancer	ADJ	d001.s014.t006
d001.s014.t007	chemotherapy	chemotherapy	NOUN	d001.s014.t007
	.	.	.	
	The	the	DET	
	recommended	recommend	VERB	
d001.s015.t001	dose	dose	NOUN	d001.s015.t001
	of	of	ADP	
	Alimta	alimta	NOUN	
	is	be	VERB	
	500	500	NUM	
d001.s015.t002	mg	mg	NOUN	d001.s015.t002
	per	per	ADP	
d001.s015.t003	square metre	square_metre	NOUN	d001.s015.t003
	of	of	ADP	
d001.s015.t004	body	body	NOUN	d001.s015.t004
d001.s015.t005	surface area	surface_area	NOUN	d001.s015.t005
	(	(	.	
d001.s015.t006	calculated	calculate	VERB	d001.s015.t006
d001.s015.t007	using	use	VERB	d001.s015.t007
	the	the	DET	
d001.s015.t008	patient	patient	NOUN	d001.s015.t008
	s	s	NOUN	
d001.s015.t009	height	height	NOUN	d001.s015.t009
	and	and	CONJ	
d001.s015.t010	weight	weight	NOUN	d001.s015.t010
	)	)	.	
	.	.	.	
	It	it	PRON	
	is	be	VERB	
d001.s015.t011	given	give	VERB	d001.s016.t001
d001.s015.t012	once	once	ADV	d001.s016.t002
d001.s015.t013	every	every	ADJ	d001.s016.t003
	three	three	NUM	
d001.s015.t014	weeks	week	NOUN	d001.s016.t004
	as	as	ADP	
	an	a	DET	
d001.s015.t015	intravenous	intravenous	ADJ	d001.s016.t005
d001.s015.t016	infusion	infusion	NOUN	d001.s016.t006
d001.s015.t017	lasting	last	VERB	d001.s016.t007
	10	10	NUM	
d001.s015.t018	minutes	minute	NOUN	d001.s016.t008
	.	.	.	
	To	to	PRT	
d001.s016.t001	reduce	reduce	VERB	d001.s017.t001
d001.s016.t002	side effects	side_effect	NOUN	d001.s017.t002
	,	,	.	
d001.s016.t003	patients	patient	NOUN	d001.s017.t003
	should	should	VERB	
d001.s016.t004	take	take	VERB	d001.s017.t004
	a	a	DET	
d001.s016.t005	corticosteroid	corticosteroid	NOUN	d001.s017.t005
	and	and	CONJ	
d001.s016.t006	folic acid	folic_acid	NOUN	d001.s017.t006
	(	(	.	
	a	a	DET	
d001.s016.t007	type	type	NOUN	d001.s017.t007
	of	of	ADP	
d001.s016.t008	vitamin	vitamin	NOUN	d001.s017.t008
	)	)	.	
	,	,	.	
	and	and	CONJ	
	receive	receive	VERB	
d001.s016.t009	injections	injection	NOUN	d001.s017.t009
	of	of	ADP	
d001.s016.t010	vitamin B12	vitamin_b12	NOUN	d001.s017.t010
	during	during	ADP	
d001.s016.t011	treatment	treatment	NOUN	d001.s017.t011
	with	with	ADP	
	Alimta	alimta	NOUN	
	.	.	.	
	When	when	ADV	
	Alimta	alimta	NOUN	
	is	be	VERB	
d001.s017.t001	given	give	VERB	d001.s018.t001
	with	with	ADP	
	cisplatin	cisplatin	NOUN	
	,	,	.	
	an	a	DET	
	anti-emetic	anti-emetic	ADJ	
d001.s017.t002	medicine	medicine	NOUN	d001.s018.t002
	(	(	.	
	to	to	PRT	
d001.s017.t003	prevent	prevent	VERB	d001.s018.t003
d001.s017.t004	vomiting	vomit	VERB	d001.s018.t004
	)	)	.	
	and	and	CONJ	
d001.s017.t005	fluids	fluid	NOUN	d001.s018.t005
	(	(	.	
	to	to	PRT	
d001.s017.t006	prevent	prevent	VERB	d001.s018.t006
d001.s017.t007	dehydration	dehydration	NOUN	d001.s018.t007
	)	)	.	
	should	should	VERB	
d001.s017.t008	also	also	ADV	d001.s018.t008
	be	be	VERB	
d001.s017.t009	given	give	VERB	d001.s018.t009
d001.s017.t010	before	before	ADV	d001.s018.t010
	or	or	CONJ	
d001.s017.t011	after	after	ADV	d001.s018.t011
	the	the	DET	
	cisplatin	cisplatin	NOUN	
d001.s017.t012	dose	dose	NOUN	d001.s018.t012
	.	.	.	
d001.s018.t001	Treatment	treatment	NOUN	d001.s019.t001
	should	should	VERB	
	be	be	VERB	
d001.s018.t002	delayed	delay	VERB	d001.s019.t002
	or	or	CONJ	
d001.s018.t003	discontinued	discontinue	VERB	d001.s019.t003
	,	,	.	
	or	or	CONJ	
	the	the	DET	
d001.s018.t004	dose	dose	NOUN	d001.s019.t004
d001.s018.t005	reduced	reduce	VERB	d001.s019.t005
	,	,	.	
	in	in	ADP	
d001.s018.t006	patients	patient	NOUN	d001.s019.t006
	whose	whose	PRON	
d001.s018.t007	blood counts	blood_count	NOUN	d001.s019.t007
	are	be	VERB	
d001.s018.t008	abnormal	abnormal	ADJ	d001.s019.t008
	or	or	CONJ	
	who	who	PRON	
d001.s018.t009	have	have	VERB	d001.s019.t009
d001.s018.t010	certain	certain	ADJ	d001.s019.t010
d001.s018.t011	other	other	ADJ	d001.s019.t011
d001.s018.t012	side effects	side_effect	NOUN	d001.s019.t012
	.	.	.	
	Alimta	alimta	NOUN	
	is	be	VERB	
d001.s019.t001	not	not	ADV	d001.s020.t001
d001.s019.t002	recommended	recommend	VERB	d001.s020.t002
	for	for	ADP	
d001.s019.t003	use	use	NOUN	d001.s020.t003
	in	in	ADP	
d001.s019.t004	patients	patient	NOUN	d001.s020.t004
	with	with	ADP	
d001.s019.t005	moderate	moderate	ADJ	d001.s020.t005
	or	or	CONJ	
d001.s019.t006	severe	severe	ADJ	d001.s020.t006
d001.s019.t007	kidney	kidney	NOUN	d001.s020.t007
d001.s019.t008	problems	problem	NOUN	d001.s020.t008
	.	.	.	
	For	for	ADP	
d001.s020.t001	more	more	ADJ	d001.s021.t001
d001.s020.t002	information	information	NOUN	d001.s021.t002
	,	,	.	
d001.s020.t003	see	see	VERB	d001.s021.t003
	the	the	DET	
d001.s020.t004	Summary	summary	NOUN	d001.s021.t004
	of	of	ADP	
d001.s020.t005	Product	product	NOUN	d001.s021.t005
	Characteristics	characteristic	NOUN	
	(	(	.	
d001.s020.t006	also	also	ADV	d001.s021.t006
d001.s020.t007	part	part	NOUN	d001.s021.t007
	of	of	ADP	
	the	the	DET	
	EPAR	epar	NOUN	
	)	)	.	
	.	.	.	
	How	how	ADV	
	does	do	VERB	
	Alimta	alimta	NOUN	
	work	work	VERB	
	?	?	.	
	The	the	DET	
d001.s022.t001	active	active	ADJ	d001.s023.t001
d001.s022.t002	substance	substance	NOUN	d001.s023.t002
	in	in	ADP	
	Alimta	alimta	NOUN	
	,	,	.	
	pemetrexed	pemetrex	VERB	
	,	,	.	
	is	be	VERB	
	a	a	DET	
d001.s022.t003	cytotoxic	cytotoxic	ADJ	d001.s023.t003
d001.s022.t004	medicine	medicine	NOUN	d001.s023.t004
	(	(	.	
	a	a	DET	
d001.s022.t005	medicine	medicine	NOUN	d001.s023.t005
	that	that	DET	
d001.s022.t006	kills	kill	VERB	d001.s023.t006
d001.s022.t007	cells	cell	NOUN	d001.s023.t007
	that	that	DET	
	are	be	VERB	
d001.s022.t008	dividing	divide	VERB	d001.s023.t008
	,	,	.	
	such	such	ADJ	
	as	as	ADP	
d001.s022.t009	cancer cells	cancer_cell	NOUN	d001.s023.t009
	)	)	.	
	,	,	.	
	which	which	DET	
d001.s022.t010	belongs to	belong_to	VERB	d001.s023.t010
	the	the	DET	
d001.s022.t011	group	group	NOUN	d001.s023.t011
d001.s022.t012	antimetabolites	antimetabolite	NOUN	d001.s023.t012
	.	.	.	
	In	in	ADP	
	the	the	DET	
d001.s023.t001	body	body	NOUN	d001.s024.t001
	,	,	.	
	pemetrexed	pemetrex	VERB	
	is	be	VERB	
d001.s023.t002	converted	convert	VERB	d001.s024.t002
	into	into	ADP	
	an	a	DET	
d001.s023.t003	active	active	ADJ	d001.s024.t003
d001.s023.t004	form	form	NOUN	d001.s024.t004
	that	that	DET	
d001.s023.t005	blocks	block	VERB	d001.s024.t005
	the	the	DET	
d001.s023.t006	activity	activity	NOUN	d001.s024.t006
	of	of	ADP	
	the	the	DET	
d001.s023.t007	enzymes	enzyme	NOUN	d001.s024.t007
	that	that	DET	
	are	be	VERB	
d001.s023.t008	involved	involve	VERB	d001.s024.t008
	in	in	ADP	
d001.s023.t009	producing	produce	VERB	d001.s024.t009
d001.s023.t010	nucleotides	nucleotide	NOUN	d001.s024.t010
	(	(	.	
	the	the	DET	
d001.s023.t011	building blocks	building_block	NOUN	d001.s024.t011
	of	of	ADP	
d001.s023.t012	DNA	dna	NOUN	d001.s024.t012
	and	and	CONJ	
d001.s023.t013	RNA	rna	NOUN	d001.s024.t013
	,	,	.	
	the	the	DET	
d001.s023.t014	genetic	genetic	ADJ	d001.s024.t014
d001.s023.t015	material	material	NOUN	d001.s024.t015
	of	of	ADP	
d001.s023.t016	cells	cell	NOUN	d001.s024.t016
	)	)	.	
	.	.	.	
	How	how	ADV	
	has	have	VERB	
	Alimta	alimta	NOUN	
	been	be	VERB	
d001.s024.t001	studied	study	VERB	d001.s025.t001
	?	?	.	
	For	for	ADP	
	the	the	DET	
d001.s025.t001	treatment	treatment	NOUN	d001.s026.t001
	of	of	ADP	
d001.s025.t002	malignant	malignant	ADJ	d001.s026.t002
d001.s025.t003	pleural	pleural	ADJ	d001.s026.t003
d001.s025.t004	mesothelioma	mesothelioma	NOUN	d001.s026.t004
	,	,	.	
	Alimta	alimta	NOUN	
	has	have	VERB	
	been	be	VERB	
d001.s025.t005	studied	study	VERB	d001.s026.t005
	in	in	ADP	
	one	one	NUM	
d001.s025.t006	main	main	ADJ	d001.s026.t006
d001.s025.t007	study	study	NOUN	d001.s026.t007
	in	in	ADP	
	456	456	NUM	
d001.s025.t008	patients	patient	NOUN	d001.s026.t008
	who	who	PRON	
	had	have	VERB	
d001.s025.t009	not	not	ADV	d001.s026.t009
d001.s025.t010	received	receive	VERB	d001.s026.t010
d001.s025.t011	chemotherapy	chemotherapy	NOUN	d001.s026.t011
	for	for	ADP	
	their	they	PRON	
d001.s025.t012	disease	disease	NOUN	d001.s026.t012
d001.s025.t013	before	before	ADV	d001.s026.t013
	.	.	.	
	The	the	DET	
d001.s026.t001	effects	effect	NOUN	d001.s027.t001
	of	of	ADP	
	Alimta	alimta	X	
	in	in	X	
d001.s026.t002	combination	combination	NOUN	d001.s027.t002
	with	with	ADP	
	cisplatin	cisplatin	NOUN	
	were	be	VERB	
d001.s026.t003	compared	compare	VERB	d001.s027.t003
	with	with	ADP	
	those	those	DET	
	of	of	ADP	
	cisplatin	cisplatin	NOUN	
d001.s026.t004	alone	alone	ADV	d001.s027.t004
	.	.	.	
	For	for	ADP	
	the	the	DET	
d001.s027.t001	treatment	treatment	NOUN	d001.s028.t001
	of	of	ADP	
	non-small	non-small	ADJ	
d001.s027.t002	cell	cell	NOUN	d001.s028.t002
d001.s027.t003	lung cancer	lung_cancer	NOUN	d001.s028.t003
	,	,	.	
	the	the	DET	
d001.s027.t004	effects	effect	NOUN	d001.s028.t004
	of	of	ADP	
	Alimta	alimta	NOUN	
	were	be	VERB	
d001.s027.t005	compared	compare	VERB	d001.s028.t005
	with	with	ADP	
	those	those	DET	
	of	of	ADP	
	docetaxel	docetaxel	X	
	(	(	.	
	another	another	DET	
d001.s027.t006	anticancer	anticancer	ADJ	d001.s028.t006
d001.s027.t007	medicine	medicine	NOUN	d001.s028.t007
	)	)	.	
	in	in	ADP	
	one	one	NUM	
d001.s027.t008	study	study	NOUN	d001.s028.t008
d001.s027.t009	involving	involve	VERB	d001.s028.t009
	571	571	NUM	
d001.s027.t010	patients	patient	NOUN	d001.s028.t010
	with	with	ADP	
d001.s027.t011	locally	locally	ADV	d001.s028.t011
d001.s027.t012	advanced	advanced	ADJ	d001.s028.t012
	or	or	CONJ	
d001.s027.t013	metastatic	metastatic	ADJ	d001.s028.t013
d001.s027.t014	disease	disease	NOUN	d001.s028.t014
	who	who	PRON	
	had	have	VERB	
d001.s027.t015	received	receive	VERB	d001.s028.t015
d001.s027.t016	chemotherapy	chemotherapy	NOUN	d001.s028.t016
	in	in	ADP	
	the	the	DET	
d001.s027.t017	past	past	NOUN	d001.s028.t017
	.	.	.	
	Alimta	alimta	NOUN	
	was	be	VERB	
d001.s028.t001	also	also	ADV	d001.s029.t001
d001.s028.t002	compared	compare	VERB	d001.s029.t002
	with	with	ADP	
	gemcitabine	gemcitabine	X	
	(	(	.	
	another	another	DET	
d001.s028.t003	anticancer	anticancer	ADJ	d001.s029.t003
d001.s028.t004	medicine	medicine	NOUN	d001.s029.t004
	)	)	.	
	,	,	.	
	both	both	CONJ	
	in	in	ADP	
d001.s028.t005	combination	combination	NOUN	d001.s029.t005
	with	with	ADP	
	cisplatin	cisplatin	NOUN	
	,	,	.	
	in	in	ADP	
	a	a	DET	
d001.s028.t006	study	study	NOUN	d001.s029.t006
d001.s028.t007	involving	involve	VERB	d001.s029.t007
	1,725	1,725	NUM	
d001.s028.t008	patients	patient	NOUN	d001.s029.t008
	who	who	PRON	
	had	have	VERB	
d001.s028.t009	not	not	ADV	d001.s029.t009
d001.s028.t010	received	receive	VERB	d001.s029.t010
d001.s028.t011	chemotherapy	chemotherapy	NOUN	d001.s029.t011
	for	for	ADP	
d001.s028.t012	lung cancer	lung_cancer	NOUN	d001.s029.t012
	in	in	ADP	
	the	the	DET	
d001.s028.t013	past	past	NOUN	d001.s029.t013
	.	.	.	
	In	in	ADP	
	all	all	DET	
	three	three	NUM	
d001.s029.t001	studies	study	NOUN	d001.s030.t001
	,	,	.	
	the	the	DET	
d001.s029.t002	main	main	ADJ	d001.s030.t002
d001.s029.t003	measure	measure	NOUN	d001.s030.t003
	of	of	ADP	
d001.s029.t004	effectiveness	effectiveness	NOUN	d001.s030.t004
	was	be	VERB	
	how	how	ADV	
d001.s029.t005	long	long	ADV	d001.s030.t005
	the	the	DET	
d001.s029.t006	patients	patient	NOUN	d001.s030.t006
d001.s029.t007	survived	survive	VERB	d001.s030.t007
	.	.	.	
	What	what	DET	
d001.s030.t001	benefit	benefit	NOUN	d001.s031.t001
	has	have	VERB	
	Alimta	alimta	NOUN	
d001.s030.t002	shown	show	VERB	d001.s031.t002
	during	during	ADP	
	the	the	DET	
d001.s030.t003	studies	study	NOUN	d001.s031.t003
	?	?	.	
	Alimta	alimta	NOUN	
d001.s031.t001	increased	increase	VERB	d001.s032.t001
	the	the	DET	
d001.s031.t002	survival	survival	NOUN	d001.s032.t002
d001.s031.t003	time	time	NOUN	d001.s032.t003
	of	of	ADP	
d001.s031.t004	patients	patient	NOUN	d001.s032.t004
	with	with	ADP	
d001.s031.t005	malignant	malignant	ADJ	d001.s032.t005
d001.s031.t006	pleural	pleural	ADJ	d001.s032.t006
d001.s031.t007	mesothelioma	mesothelioma	NOUN	d001.s032.t007
	.	.	.	
d001.s032.t001	Patients	patient	NOUN	d001.s033.t001
d001.s032.t002	receiving	receive	VERB	d001.s033.t002
	Alimta	alimta	NOUN	
	and	and	CONJ	
	cisplatin	cisplatin	NOUN	
d001.s032.t003	survived	survive	VERB	d001.s033.t003
	for	for	ADP	
	an	a	DET	
d001.s032.t004	average	average	NOUN	d001.s033.t004
	of	of	ADP	
	12.1	12.1	NUM	
d001.s032.t005	months	month	NOUN	d001.s033.t005
	,	,	.	
d001.s032.t006	compared	compare	VERB	d001.s033.t006
	with	with	ADP	
	9.3	9.3	NUM	
d001.s032.t007	months	month	NOUN	d001.s033.t007
	in	in	ADP	
	those	those	DET	
	receiving	receive	VERB	
	cisplatin	cisplatin	NOUN	
d001.s032.t008	alone	alone	ADV	d001.s033.t008
	.	.	.	
	In	in	ADP	
	the	the	DET	
d001.s033.t001	treatment	treatment	NOUN	d001.s034.t001
	of	of	ADP	
d001.s033.t002	patients	patient	NOUN	d001.s034.t002
	with	with	ADP	
	non-small	non-small	ADJ	
d001.s033.t003	cell	cell	NOUN	d001.s034.t003
d001.s033.t004	lung cancer	lung_cancer	NOUN	d001.s034.t004
	,	,	.	
	Alimta	alimta	NOUN	
	was	be	VERB	
d001.s033.t005	as	as	ADV	d001.s034.t005
d001.s033.t006	effective	effective	ADJ	d001.s034.t006
d001.s033.t007	as	as	ADV	d001.s034.t007
	the	the	DET	
	comparators	comparator	NOUN	
	.	.	.	
	In	in	ADP	
d001.s034.t001	patients	patient	NOUN	d001.s035.t001
	who	who	PRON	
	had	have	VERB	
d001.s034.t002	received	receive	VERB	d001.s035.t002
d001.s034.t003	chemotherapy	chemotherapy	NOUN	d001.s035.t003
	in	in	ADP	
	the	the	DET	
d001.s034.t004	past	past	NOUN	d001.s035.t004
	,	,	.	
	the	the	DET	
d001.s034.t005	average	average	ADJ	d001.s035.t005
d001.s034.t006	survival	survival	NOUN	d001.s035.t006
d001.s034.t007	time	time	NOUN	d001.s035.t007
	was	be	VERB	
	8.3	8.3	NUM	
d001.s034.t008	months	month	NOUN	d001.s035.t008
	with	with	ADP	
	Alimta	alimta	NOUN	
	,	,	.	
d001.s034.t009	compared	compare	VERB	d001.s035.t009
	with	with	ADP	
	7.9	7.9	NUM	
d001.s034.t010	months	month	NOUN	d001.s035.t010
	with	with	ADP	
	docetaxel	docetaxel	NOUN	
	.	.	.	
	In	in	ADP	
d001.s035.t001	patients	patient	NOUN	d001.s036.t001
	who	who	PRON	
	had	have	VERB	
d001.s035.t002	not	not	ADV	d001.s036.t002
d001.s035.t003	received	receive	VERB	d001.s036.t003
d001.s035.t004	chemotherapy	chemotherapy	NOUN	d001.s036.t004
	in	in	ADP	
	the	the	DET	
d001.s035.t005	past	past	NOUN	d001.s036.t005
	,	,	.	
	the	the	DET	
