Token ID	Token	Lemma	POS	Sense	Token ID ES	Token ES	Lemma ES	POS ES	Sense ES
d001.s003.t017	Leaflet	leaflet	N	bn:00012133n					
d001.s003.t018	(		X		es001.s003.t016	(	(	PUNCT	
d001.s003.t019	also	also	R	bn:00114246r	es001.s003.t017	también	también	ADV	bn:00114246r
d001.s003.t020	part	part	N	bn:00021395n	es001.s003.t018	parte	parte	NOUN	bn:00021395n
d001.s003.t021	of		X						
d001.s003.t022	the		X		es001.s003.t019	del	del	ADP	
d001.s003.t023	EPAR	epar	N		es001.s003.t020	EPAR	EPAR	PROPN	
d001.s003.t024	)		X		es001.s003.t021	)	)	PUNCT	
d001.s003.t025	or		X		es001.s003.t022	o	o	CCONJ	
d001.s003.t026	contact	contact	V	bn:00085696v	es001.s003.t023	comuníquese	comuníquese	VERB	bn:00085696v
d001.s003.t027	your		X		es001.s003.t025	su	su	DET	
d001.s003.t028	doctor	doctor	N	bn:00027976n	es001.s003.t026	médico	médico	NOUN	bn:00027976n
d001.s003.t029	or		X		es001.s003.t027	o	o	CCONJ	
d001.s003.t030	pharmacist	pharmacist	N	bn:00004992n	es001.s003.t024➕es001.s003.t028	con➕farmacéutico	con	ADP➕ADJ	bn:00004992n
d001.s003.t031	.		X		es001.s003.t029	.	.	PUNCT	
d001.s004.t001	If		X		es001.s004.t001	Si	si	SCONJ	
d001.s004.t002	you		X						
d001.s004.t003	want	want	V	bn:00086682v	es001.s004.t002	desea	desear	VERB	bn:00086682v
d001.s004.t004	more	more	J	bn:00106935a	es001.s004.t004	más	más	ADV	bn:00106935a
d001.s004.t005	information	information	N	bn:00025314n	es001.s004.t005	información	información	NOUN	bn:00025314n
d001.s004.t006	on		X		es001.s004.t006	sobre	sobre	ADP	
d001.s004.t007	the		X		es001.s004.t007	la	el	DET	
d001.s004.t008	basis	basis	N	bn:00008786n	es001.s004.t008	base	base	NOUN	bn:00008786n
d001.s004.t009	of		X		es001.s004.t009	de	de	ADP	
d001.s004.t010	the		X		es001.s004.t010	las	el	DET	
d001.s004.t011	CHMP	chmp	N	bn:00302314n	es001.s004.t013	CHMP	CHMP	PROPN	bn:00302314n
d001.s004.t012	recommendations	recommendation	N	bn:00066562n	es001.s004.t011	recomendaciones	recomendación	NOUN	bn:00066562n
d001.s004.t013	,		X		es001.s004.t014	,	,	PUNCT	
d001.s004.t014	read	read	V	bn:00092424v	es001.s004.t015	lea	lea	VERB	bn:00092424v
d001.s004.t015	the		X		es001.s004.t016	el	el	DET	
d001.s004.t016	Scientific	scientific	J	bn:00110175a	es001.s004.t018	científico	científico	ADJ	bn:00110175a
d001.s004.t017	Discussion	discussion	N	bn:00027523n	es001.s004.t017	debate	debate	NOUN	bn:00027523n
d001.s004.t018	(		X		es001.s004.t019	(	(	PUNCT	
d001.s004.t019	also	also	R	bn:00114246r	es001.s004.t020	también	también	ADV	bn:00114246r
d001.s004.t020	part	part	N	bn:00021395n	es001.s004.t021	parte	parte	NOUN	bn:00021395n
d001.s004.t021	of		X		es001.s004.t022	del	del	ADP	
d001.s004.t022	the		X						
d001.s004.t023	EPAR	epar	N		es001.s004.t023	EPAR	EPAR	PROPN	
d001.s004.t024	)		X		es001.s004.t024	)	)	PUNCT	
d001.s004.t025	.		X		es001.s004.t025	.	.	PUNCT	
d001.s005.t001	What		X		es001.s005.t002	Qué	qué	PRON	
d001.s005.t002	is	be	V		es001.s005.t003	es	ser	AUX	
d001.s005.t003	Alimta	alimta	N	bn:00602447n	es001.s005.t004	Alimta	Alimta	PROPN	bn:00602447n
d001.s005.t004	?		X		es001.s005.t005	?	?	PUNCT	
d001.s006.t001	Alimta	alimta	N	bn:00602447n	es001.s006.t001	Alimta	Alimta	PROPN	bn:00602447n
d001.s006.t002	is	be	V		es001.s006.t002	es	ser	AUX	
d001.s006.t003	a		X		es001.s006.t003	un	uno	DET	
d001.s006.t004	powder	powder	N	bn:00063926n	es001.s006.t004	polvo	polvo	NOUN	bn:00063926n
d001.s006.t005	that		X		es001.s006.t005	que	que	PRON	
d001.s006.t006	is	be	V		es001.s006.t006	se	él	PRON	
d001.s006.t007	made up	make up	V	bn:00083187v	es001.s006.t007	convierte	convertir	VERB	bn:00083187v
d001.s006.t008	into		X		es001.s006.t008	en	en	ADP	
d001.s006.t009	a		X		es001.s006.t009	una	uno	DET	
d001.s006.t010	solution	solution	N	bn:00072760n	es001.s006.t010	solución	solución	NOUN	bn:00072760n
d001.s006.t011	for		X		es001.s006.t011	para	para	ADP	
d001.s006.t012	infusion	infusion	N	bn:00046734n	es001.s006.t012	perfusión	perfusión	NOUN	bn:00046734n
d001.s006.t013	(		X		es001.s006.t013	(	(	PUNCT	
d001.s006.t014	drip	drip	V	bn:00087306v	es001.s006.t014	goteo	goteo	NOUN	bn:00087306v
d001.s006.t015	into		X		es001.s006.t015	en	en	ADP	
d001.s006.t016	a		X		es001.s006.t016	una	uno	DET	
d001.s006.t017	vein	vein	N	bn:00079681n	es001.s006.t017	vena	vena	NOUN	bn:00079681n
d001.s006.t018	)		X		es001.s006.t018	)	)	PUNCT	
d001.s006.t019	.		X		es001.s006.t019	.	.	PUNCT	
d001.s007.t001	It		X		es001.s007.t001	Contiene	contener	VERB	
d001.s007.t002	contains	contain	V	bn:00085499v	es001.s007.t001	Contiene	contener	VERB	bn:00085499v
d001.s007.t003	the		X		es001.s007.t002	el	el	DET	
d001.s007.t004	active	active	J	bn:00096387a	es001.s007.t004	activo	activo	ADJ	bn:00096387a
d001.s007.t005	substance	substance	N	bn:00074986n	es001.s007.t003	principio	principio	NOUN	bn:00074986n
d001.s007.t006	pemetrexed	pemetrexed	N	bn:00602447n	es001.s007.t005	pemetrexed	pemetrexed	ADJ	bn:00602447n
d001.s007.t007	.		X		es001.s007.t006	.	.	PUNCT	
d001.s008.t001	What		X		es001.s008.t003	qué	qué	PRON	
d001.s008.t002	is	be	V		es001.s008.t004	se	él	PRON	
d001.s008.t003	Alimta	alimta	N	bn:00602447n	es001.s008.t006	Alimta	Alimta	PROPN	bn:00602447n
d001.s008.t004	used	use	V	bn:00082705v	es001.s008.t005	utiliza	utilizar	VERB	bn:00082705v
d001.s008.t005	for		X		es001.s008.t002	Para	Para	ADP	
d001.s008.t006	?		X		es001.s008.t007	?	?	PUNCT	
d001.s009.t001	Alimta	alimta	N	bn:00602447n	es001.s009.t001	Alimta	Alimta	PROPN	bn:00602447n
d001.s009.t002	is	be	V		es001.s009.t002	se	él	PRON	
d001.s009.t003	used	use	V	bn:00082705v	es001.s009.t003	utiliza	utilizar	VERB	bn:00082705v
d001.s009.t004	to		X		es001.s009.t004	para	para	ADP	
d001.s009.t005	treat	treat	V	bn:00084532v	es001.s009.t005	tratar	tratar	VERB	bn:00084532v
d001.s009.t006	two		X		es001.s009.t006	dos	dos	NUM	
d001.s009.t007	types	type	N	bn:00078798n	es001.s009.t007	tipos	tipo	NOUN	bn:00078798n
d001.s009.t008	of		X		es001.s009.t008	de	de	ADP	
d001.s009.t009	cancer	cancer	N	bn:00015180n	es001.s009.t009	cáncer	cáncer	NOUN	bn:00015180n
d001.s009.t010	:		X		es001.s009.t010	:	:	PUNCT	
d001.s009.t011	pleural	pleural	J	bn:00108692a	es001.s009.t012	pleural	pleural	ADJ	bn:00108692a
d001.s009.t012	mesothelioma	mesothelioma	N	bn:00054512n	es001.s009.t011	mesotelioma	mesotelioma	NOUN	bn:00054512n
d001.s009.t013	(		X		es001.s009.t013	(	(	PUNCT	
d001.s009.t014	cancer	cancer	N	bn:00015180n	es001.s009.t014	cáncer	cáncer	NOUN	bn:00015180n
d001.s009.t015	of		X		es001.s009.t015	del	del	ADP	
d001.s009.t016	the		X						
d001.s009.t017	lining	lining	N	bn:00051366n	es001.s009.t016	revestimiento	revestimiento	NOUN	bn:00051366n
d001.s009.t018	of		X		es001.s009.t017	de	de	ADP	
d001.s009.t019	the		X		es001.s009.t018	los	el	DET	
d001.s009.t020	lungs	lung	N	bn:00052341n	es001.s009.t019	pulmones	pulmón	NOUN	bn:00052341n
d001.s009.t021	that		X		es001.s009.t020	que	que	PRON	
d001.s009.t022	is	be	V		es001.s009.t022	es	ser	AUX	
d001.s009.t023	usually	usually	R	bn:00114778r	es001.s009.t021	generalmente	generalmente	ADV	bn:00114778r
d001.s009.t024	caused	cause	V	bn:00084069v	es001.s009.t023	causado	causar	VERB	bn:00084069v
d001.s009.t025	by		X		es001.s009.t024	por	por	ADP	
d001.s009.t026	exposure	exposure	N	bn:00032379n	es001.s009.t026	exposición	exposición	NOUN	bn:00032379n
d001.s009.t027	to		X		es001.s009.t027	al	al	ADP	
d001.s009.t028	asbestos	asbestos	N	bn:00006236n	es001.s009.t028	asbesto	asbesto	NOUN	bn:00006236n
d001.s009.t029	)		X		es001.s009.t029	)	)	PUNCT	
d001.s009.t030	.		X		es001.s009.t030	.	.	PUNCT	
d001.s010.t001	Alimta	alimta	N	bn:00602447n	es001.s010.t001	Alimta	Alimta	PROPN	bn:00602447n
d001.s010.t002	is	be	V		es001.s010.t002	se	él	PRON	
d001.s010.t003	used	use	V	bn:00082705v	es001.s010.t003	utiliza	utilizar	VERB	bn:00082705v
d001.s010.t004	together	together	R		es001.s010.t004	junto	junto	ADJ	
d001.s010.t005	with		X		es001.s010.t005	con	con	ADP	
d001.s010.t006	cisplatin	cisplatin	N	bn:00577781n	es001.s010.t006	cisplatino	cisplatino	NOUN	bn:00577781n
d001.s010.t007	(		X		es001.s010.t007	(	(	PUNCT	
d001.s010.t008	another		X		es001.s010.t008	otro	otro	DET	
d001.s010.t009	anticancer	anticancer	J	bn:00097220a	es001.s010.t010	anticancerígeno	anticancerígeno	ADJ	bn:00097220a
d001.s010.t010	medicine	medicine	N	bn:00054128n	es001.s010.t009	medicamento	medicamento	NOUN	bn:00054128n
d001.s010.t011	)		X		es001.s010.t011	)	)	PUNCT	
d001.s010.t012	when		X		es001.s010.t012	cuando	cuando	SCONJ	
d001.s010.t013	the		X		es001.s010.t013	el	el	DET	
d001.s010.t014	cancer	cancer	N	bn:00015180n	es001.s010.t014	cáncer	cáncer	NOUN	bn:00015180n
d001.s010.t015	is	be	V		es001.s010.t015	es	ser	AUX	
d001.s010.t016	unresectable	unresectable	J		es001.s010.t016	irresecable	irresecable	ADJ	
d001.s010.t017	(		X		es001.s010.t017	(	(	PUNCT	
d001.s010.t018	cannot		X		es001.s010.t019	puede	poder	AUX	
d001.s010.t019	be	be	V		es001.s010.t020	extirparse	extirpar él	VERB	
d001.s010.t020	removed	remove	V	bn:00092783v	es001.s010.t020	extirparse	extirpar él	VERB	bn:00092783v
d001.s010.t021	by		X		es001.s010.t022	mediante	mediante	ADP	
d001.s010.t022	surgery	surgery	N	bn:00059129n	es001.s010.t023	cirugía	cirugía	NOUN	bn:00059129n
d001.s010.t023	alone	alone	J	bn:00096871a	es001.s010.t021	únicamente	únicamente	ADV	bn:00096871a
d001.s010.t024	)		X		es001.s010.t024	)	)	PUNCT	
d001.s010.t025	and		X		es001.s010.t025	y	y	CCONJ	
d001.s010.t026	malignant	malignant	J	bn:00106363a	es001.s010.t026	maligno	maligno	ADJ	bn:00106363a
d001.s010.t027	(		X		es001.s010.t027	(	(	PUNCT	
d001.s010.t028	has	have	V		es001.s010.t029	ha	haber	AUX	
d001.s010.t029	spread	spread	V	bn:00092083v	es001.s010.t030	extendido	extender	VERB	bn:00092083v
d001.s010.t030	,		X						
d001.s010.t031	or		X		es001.s010.t031	o	o	CCONJ	
d001.s010.t032	is	be	V		es001.s010.t032	es	ser	AUX	
d001.s010.t033	likely	likely	J	bn:00105981a	es001.s010.t033	probable	probable	ADJ	bn:00105981a
d001.s010.t034	to		X		es001.s010.t034	que	que	SCONJ	
d001.s010.t035	spread	spread	V	bn:00092083v	es001.s010.t036	extienda	extiendar	VERB	bn:00092083v
d001.s010.t036	easily	easily	R	bn:00115155r	es001.s010.t037	fácilmente	fácilmente	ADV	bn:00115155r
d001.s010.t037	,		X		es001.s010.t077	.	.	PUNCT	
d001.s010.t038	to		X		es001.s010.t038	a	a	ADP	
d001.s010.t039	other	other	J	bn:00108011a	es001.s010.t039	otras	otro	DET	bn:00108011a
d001.s010.t040	parts	part	N	bn:00021395n	es001.s010.t040	partes	parte	NOUN	bn:00021395n
d001.s010.t041	of		X		es001.s010.t041	del	del	ADP	
d001.s010.t042	the		X		es001.s010.t054	el	el	DET	
d001.s010.t043	body	body	N	bn:00011744n	es001.s010.t042	cuerpo	cuerpo	NOUN	bn:00011744n
d001.s010.t044	)		X		es001.s010.t043	)	)	PUNCT	
d001.s010.t045	,		X		es001.s010.t044	,	,	PUNCT	
d001.s010.t046	in		X		es001.s010.t045	en	en	ADP	
d001.s010.t047	patients	patient	N	bn:00061017n	es001.s010.t046	pacientes	paciente	NOUN	bn:00061017n
d001.s010.t048	who		X		es001.s010.t047	que	que	PRON	
d001.s010.t049	have	have	V						
d001.s010.t050	not	not	R	bn:00116360r	es001.s010.t048	no	no	ADV	bn:00116360r
d001.s010.t051	received	receive	V	bn:00087863v	es001.s010.t049	recibió	recibir	VERB	bn:00087863v
d001.s010.t052	chemotherapy	chemotherapy	N	bn:00018141n	es001.s010.t050	quimioterapia	quimioterapia	NOUN	bn:00018141n
d001.s010.t053	(		X		es001.s010.t051	(	(	PUNCT	
d001.s010.t054	medicines	medicine	N	bn:00054128n	es001.s010.t009➕es001.s010.t052	medicamento➕medicamentos	medicamento	NOUN	bn:00054128n
d001.s010.t055	for		X		es001.s010.t053	para	para	ADP	
d001.s010.t056	cancer	cancer	N	bn:00015180n	es001.s010.t055	cáncer	cáncer	NOUN	bn:00015180n
d001.s010.t057	)		X		es001.s010.t056	)	)	PUNCT	
d001.s010.t058	before		X		es001.s010.t057	antes	antes	ADV	
d001.s010.t059	advanced	advanced	J	bn:00096528a	es001.s010.t067	avanzado	avanzado	ADJ	bn:00096528a
d001.s010.t060	or		X		es001.s010.t068	o	o	CCONJ	
d001.s010.t061	metastatic	metastatic	J	bn:00106664a	es001.s010.t069	metastásico	metastásico	ADJ	bn:00106664a
d001.s010.t062	non-small	non-small	J		es001.s010.t065➕es001.s010.t066	no➕pequeñas	no	ADV➕ADJ	
d001.s010.t063	cell	cell	N	bn:00017027n	es001.s010.t064	células	célula	NOUN	bn:00017027n
d001.s010.t064	lung	lung	N	bn:00052341n					
d001.s010.t065	cancer	cancer	N	bn:00015180n	es001.s010.t060	cáncer	cáncer	NOUN	bn:00015180n
d001.s010.t066	that		X		es001.s010.t070	que	que	PRON	
d001.s010.t067	is	be	V						
d001.s010.t068	not	not	R	bn:00116360r	es001.s010.t071	no	no	ADV	bn:00116360r
d001.s010.t069	affecting	affect	V	bn:00082427v	es001.s010.t067➕es001.s010.t072	avanzado➕afecta	avanzado	ADJ➕VERB	bn:00082427v
d001.s010.t070	the		X		es001.s010.t074	las	el	DET	
d001.s010.t071	squamous	squamous	J		es001.s010.t076	escamosas	escamosa	ADJ	
d001.s010.t072	cells	cell	N	bn:00017027n	es001.s010.t075➕es001.s010.t076	células➕escamosas	célula	NOUN➕ADJ	bn:00017027n
d001.s010.t073	.		X		es001.s010.t077	.	.	PUNCT	
d001.s011.t001	Alimta	alimta	N	bn:00602447n	es001.s011.t001	Alimta	Alimta	PROPN	bn:00602447n
d001.s011.t002	is	be	V		es001.s011.t002	se	él	PRON	
d001.s011.t003	used	use	V	bn:00082705v	es001.s011.t003	utiliza	utilizar	VERB	bn:00082705v
d001.s011.t004	in		X		es001.s011.t004	en	en	ADP	
d001.s011.t005	combination	combination	N	bn:00020872n	es001.s011.t005	combinación	combinación	NOUN	bn:00020872n
d001.s011.t006	with		X		es001.s011.t006	con	con	ADP	
d001.s011.t007	cisplatin	cisplatin	N	bn:00577781n	es001.s011.t007	cisplatino	cisplatino	NOUN	bn:00577781n
d001.s011.t008	in		X		es001.s011.t008	en	en	ADP	
d001.s011.t009	patients	patient	N	bn:00061017n	es001.s011.t009	pacientes	paciente	NOUN	bn:00061017n
d001.s011.t010	who		X		es001.s011.t010	que	que	PRON	
d001.s011.t011	have	have	V		es001.s011.t012	han	haber	AUX	
d001.s011.t012	not	not	R	bn:00116360r	es001.s011.t011	no	no	ADV	bn:00116360r
d001.s011.t013	been	be	V		es001.s011.t013	sido	ser	AUX	
d001.s011.t014	treated	treat	V	bn:00084532v	es001.s011.t014	tratados	tratar	VERB	bn:00084532v
d001.s011.t015	before		X		es001.s011.t015	antes	antes	ADV	
d001.s011.t016	,		X		es001.s011.t016	,	,	PUNCT	
d001.s011.t017	and		X		es001.s011.t017	y	y	CCONJ	
d001.s011.t018	on		X		es001.s011.t018	solo	solo	NOUN	
d001.s011.t019	its		X						
d001.s011.t020	own	own	J						
d001.s011.t021	in		X		es001.s011.t019	en	en	ADP	
d001.s011.t022	patients	patient	N	bn:00061017n	es001.s011.t020	pacientes	paciente	NOUN	bn:00061017n
d001.s011.t023	who		X		es001.s011.t021	que	que	PRON	
d001.s011.t024	have	have	V		es001.s011.t022	han	haber	AUX	
d001.s011.t025	received	receive	V	bn:00087863v	es001.s011.t023	recibido	recibir	VERB	bn:00087863v
d001.s011.t026	another		X		es001.s011.t024	otro	otro	DET	
d001.s011.t027	type	type	N	bn:00078798n	es001.s011.t025	tipo	tipo	NOUN	bn:00078798n
d001.s011.t028	of		X		es001.s011.t026	de	de	ADP	
d001.s011.t029	chemotherapy	chemotherapy	N	bn:00018141n	es001.s011.t027	quimioterapia	quimioterapia	NOUN	bn:00018141n
d001.s011.t030	in		X		es001.s011.t028	en	en	ADP	
d001.s011.t031	the		X		es001.s011.t029	el	el	DET	
d001.s011.t032	past	past	N	bn:00060927n	es001.s011.t030	pasado	pasado	NOUN	bn:00060927n
d001.s011.t033	.		X		es001.s011.t031	.	.	PUNCT	
d001.s012.t001	The		X		es001.s012.t001	El	el	DET	
d001.s012.t002	medicine	medicine	N	bn:00054128n	es001.s012.t002	medicamento	medicamento	NOUN	bn:00054128n
d001.s012.t003	can		X		es001.s012.t004	podrá	poder	AUX	
d001.s012.t004	only	only	R	bn:00116450r	es001.s012.t003	sólo	sólo	ADV	bn:00116450r
d001.s012.t005	be	be	V		es001.s012.t005	dispensarse	dispensar él	VERB	
d001.s012.t006	obtained	obtain	V	bn:00082276v	es001.s012.t002➕es001.s012.t005	medicamento➕dispensarse	medicamento	NOUN➕VERB	bn:00082276v
d001.s012.t007	with		X		es001.s012.t006	con	con	ADP	
d001.s012.t008	a		X						
d001.s012.t009	prescription	prescription	N	bn:00064195n	es001.s012.t007➕es001.s012.t008	receta➕médica	receta	NOUN➕ADJ	bn:00064195n
d001.s012.t010	.		X		es001.s012.t009	.	.	PUNCT	
d001.s013.t001	How		X		es001.s013.t002	Cómo	cómo	PRON	
d001.s013.t002	is	be	V		es001.s013.t003	se	él	PRON	
d001.s013.t003	Alimta	alimta	N	bn:00602447n	es001.s013.t005	Alimta	Alimta	PROPN	bn:00602447n
d001.s013.t004	used	use	V	bn:00082705v	es001.s013.t004	utiliza	utilizar	VERB	bn:00082705v
d001.s013.t005	?		X		es001.s013.t006	?	?	PUNCT	
d001.s014.t001	Alimta	alimta	N	bn:00602447n	es001.s014.t001	Alimta	Alimta	PROPN	bn:00602447n
d001.s014.t002	should		X		es001.s014.t003	debe	deber	AUX	
d001.s014.t003	only	only	R	bn:00116450r	es001.s014.t002	sólo	sólo	ADV	bn:00116450r
d001.s014.t004	be	be	V		es001.s014.t004	administrarse	administrar él	VERB	
d001.s014.t005	given	give	V	bn:00088826v	es001.s014.t004	administrarse	administrar él	VERB	bn:00088826v
d001.s014.t006	under		X		es001.s014.t005	bajo	bajo	ADP	
d001.s014.t007	the		X		es001.s014.t006	la	el	DET	
d001.s014.t008	supervision	supervision	N	bn:00059908n	es001.s014.t007	supervisión	supervisión	NOUN	bn:00059908n
d001.s014.t009	of		X		es001.s014.t008	de	de	ADP	
d001.s014.t010	a		X		es001.s014.t009	un	uno	DET	
d001.s014.t011	doctor	doctor	N	bn:00027976n	es001.s014.t010	médico	médico	NOUN	bn:00027976n
d001.s014.t012	who		X		es001.s014.t017	anticancerígena	anticancerígén	ADJ	
d001.s014.t013	is	be	V		es001.s014.t011	cualificado	cualificado	ADJ	
d001.s014.t014	qualified	qualify	V		es001.s014.t011	cualificado	cualificado	ADJ	
d001.s014.t015	in		X		es001.s014.t012	en	en	ADP	
d001.s014.t016	the		X		es001.s014.t013	el	el	DET	
d001.s014.t017	use	use	N	bn:00030627n	es001.s014.t014	uso	uso	NOUN	bn:00030627n
d001.s014.t018	of		X		es001.s014.t015	de	de	ADP	
d001.s014.t019	anticancer	anticancer	J	bn:00097220a	es001.s014.t017	anticancerígena	anticancerígén	ADJ	bn:00097220a
d001.s014.t020	chemotherapy	chemotherapy	N	bn:00018141n	es001.s014.t016	quimioterapia	quimioterapia	NOUN	bn:00018141n
d001.s014.t021	.		X		es001.s014.t018	.	.	PUNCT	
d001.s015.t001	The		X		es001.s015.t001	La	el	DET	
d001.s015.t002	recommended	recommended	J		es001.s015.t003	recomendada	recomendado	ADJ	
d001.s015.t003	dose	dose	N	bn:00028320n	es001.s015.t002	dosis	dosis	NOUN	bn:00028320n
d001.s015.t004	of		X		es001.s015.t004	de	de	ADP	
d001.s015.t005	Alimta	alimta	N	bn:00602447n	es001.s015.t005	Alimta	Alimta	PROPN	bn:00602447n
d001.s015.t006	is	be	V		es001.s015.t006	es	ser	AUX	
d001.s015.t007	500		X		es001.s015.t008	500	500	NUM	
d001.s015.t008	mg	mg	N	bn:00054701n	es001.s015.t009	mg	mg	NUM	bn:00054701n
d001.s015.t009	per		X		es001.s015.t010	por	por	ADP	
d001.s015.t010	square	square	J		es001.s015.t012	cuadrado	cuadrado	NOUN	
d001.s015.t011	metre	metre	N	bn:00052501n	es001.s015.t011	metro	metro	NOUN	bn:00052501n
d001.s015.t012	of		X		es001.s015.t013	de	de	ADP	
d001.s015.t013	body	body	N	bn:00011744n	es001.s015.t015	corporal	corporal	ADJ	bn:00011744n
d001.s015.t014	surface	surface	N	bn:00075374n	es001.s015.t014	superficie	superficie	NOUN	bn:00075374n
d001.s015.t015	area	area	N	bn:00005518n					
d001.s015.t016	(		X		es001.s015.t016	(	(	PUNCT	
d001.s015.t017	calculated	calculate	V	bn:00084373v	es001.s015.t017	calculada	calculado	ADJ	bn:00084373v
d001.s015.t018	using	use	V	bn:00082705v	es001.s015.t018	utilizando	utilizar	VERB	bn:00082705v
