ID	Sentence
d000.s040	Aquí se muestra una captura de la ventana principal de kalgebra . Ventana principal de kalgebra La ventana principal de kalgebra consta de cuatro pestañas : Consola , Gráfica 2D , Gráfica 3D y Diccionario .
d000.s041	Bajo estas pestañas encontrará un campo de entrada donde podrá introducir sus funciones o realizar sus cálculos .
d000.s042	Para entender cómo funciona , conviene comprender que lo que introducimos está siendo convertido a MathML , aunque no es necesario conocer MathML .
d000.s043	He basado la sintaxis en el sentido común , por lo que debería ser asequible para todos .
d000.s044	He tenido también en cuenta las sintaxis de Maxima y Maple , por lo que es muy similar a estas . + - * / : suma , resta , multiplicación y división . ^ , ** : potencia , puede usar cualquiera de las dos formas .
d000.s045	Asimismo , puede usar los caracteres unicode ² .
d000.s046	Las potencias son también una forma de expresar raíces . -gt : Permite especificar la variable limitada en una función . ( ) : se usa para especificar una prioridad mayor . abc(parámetros) : Cuando el analizador sintáctico encuentra una función , comprueba si « abc » es un operador .
d000.s047	Si lo es , lo trata como un operador si no lo es , lo trata como una función de usuario . : = : Se usa para definir el valor de una variable . ? : definición de condiciones en funciones definidas a trozos ( « piecewise » ) .
d000.s048	Permite definir operaciones condicionales en kalgebra .
d000.s049	Cuando introducimos la condición antes del símbolo « ? » , kalgebra utiliza esta condición solo si es verdadera en cambio , si encuentra un símbolo « ? » sin ninguna condición , toma en cuenta el último caso . { } : Puede usarse para definir un contenedor .
d000.s050	Es muy útil a la hora de trabajar con funciones definidas a trozos .
d000.s051	Ahora puede preguntarme por qué debería el usuario preocuparse por MathML . La respuesta es fácil . Con esto podremos realizar operaciones con funciones como cos() , sin() ( o cualquier otra función trigonométrica ) , sum() o product() .
d000.s052	No importa el tipo de función que sea .
d000.s053	Podremos usar plus() , times() y cualquier cosa a la que le corresponda un operador . La consola de kalgebra es tan útil como una calculadora .
d000.s054	Aquí tiene una lista de las variables declaradas .
d000.s055	Si pulsa dos veces sobre una de ellas , le aparecerá un diálogo con el que podrá cambiar su valor ( es una forma de engañar al registro ) .
d000.s056	Cada vez que introduzca una expresión , el valor de la variable « ans » cambiará para reproducir el último resultado .
d000.s057	Ctrl N Nuevo
d000.s058	Refresca el registro .
d000.s059	Ctrl L Cargar un guión
d000.s060	Ejecuta las instrucciones en una archivo de forma secuencial .
d000.s061	Es útil si lo que desea es definir una biblioteca o reanudar un trabajo anterior .
d000.s062	Ctrl G Guardar el guión
d000.s063	Guarda las intrucciones que ha introducido desde que comenzó la sesión , con lo que podrá reutilizarlas .
d000.s064	Genera un archivo de texto que podrá corregir usando cualquier editor de texto , por ejemplo Kate .
d000.s065	Ctrl S Guardar el registro
d000.s066	Guarda el registro con todos los resultados en un archivo HTML que podrá imprimir o publicar .
d000.s067	Ctrl Q Salir
d000.s068	Cierra el programa .
d000.s069	Para añadir un gráfica 2D en kalgebra , lo que tiene que hacer es ir a la pestaña Gráfica 2D y aquí pulsar la pestaña Añadir , que le permitirá añadir una nueva función .
d000.s070	A continuación tendrá dirigirse al cuadro de texto de entrada , donde podrá introducir su función .
d000.s071	Si quiere usar una función f(x) típica , no es necesario que la especifique .
d000.s072	Después de haber introducido la función , pulse el botón Aceptar para dibujar la gráfica en la ventana principal .
d000.s073	Es posible dibujar varias gráficas en la misma vista .
d000.s074	Para esto use simplemente el botón Añadir cuando se encuentre en el modo Lista .
d000.s075	Puede ajustar el color de cada gráfica .
d000.s076	La Fundación ha intervenido recientemente en la organización de una conferencia sobre este decisivo reto .
d000.s077	Asistieron más de 100 participantes en representación de los principales grupos de interés , los cuales discutieron cuestiones tales como el papel de los principales agentes , entre ellos , las autoridades públicas , los interlocutores sociales y las organizaciones comunitarias y de voluntarios , además de los propios usuarios .
d000.s078	Se llegó a la conclusión de que es necesario adoptar un enfoque más global que tenga en cuenta que los usuarios no se sirven de esos servicios de forma aislada , sino como parte de su vida cotidiana .
d000.s079	Se tomó nota también de la diversidad de funciones que desempeñan estos servicios
d000.s080	"La Fundación organizó , junto con la Comisión Europea , el Ministerio español de Asuntos Sociales y la Comunidad Autónoma de Galicia , una conferencia europea sobre el tema "" Exclusión social : Un gran reto para los servicios públicos de protección social "" ."
d000.s081	La Fundación publicó recientemente en el marco del proyecto EPOC un estudio comparativo en el que se evalúa hasta qué punto la participación directa puede humanizar el trabajo e incrementar al mismo tiempo la rentabilidad .
d000.s082	El estudio se basa en 195 entrevistas personales con altos responsables de los interlocutores sociales , en su calidad de representantes de importantes organizaciones nacionales de 15 países europeos .
d000.s083	La industria del metal y el sector bancario se incluyeron también en atención a su importancia .
d000.s084	Los principales oradores en la conferencia sobre exclusión socialfueron ( de izquierda a derecha ) Cristina Louro , Dirección General de Empleo , Relaciones Laborales y Asuntos Sociales de la Comisión Europea Fernando Gomes , Comité de las Regiones Barbara Weiler , diputada al Parlamento Europeo José María Gil-Robles Gil-Delgado , Vicepresidente , Parlamento Europeo , John Carroll Comité Económico y Social
d000.s085	En cada informe nacional se incluyen las 25 o 30 iniciativas que mejor reflejan prácticas y políticas de mejora de la contratación , la formación y el desarrollo profesional de los trabajadores mayores en el lugar de trabajo y a nivel de la comunidad .
d000.s086	Se seleccionaron dos o tres iniciativas por cada país , para que fueran objeto de un estudio de caso detallado .
d000.s087	En estos estudios de caso se han analizado el contexto de esas iniciativas y sus repercusiones en las pautas de empleo y en las organizaciones , y se han evaluado las ventajas y problemas derivados de las mismas .
d000.s088	Se han realizado además visitas y entrevistas a miembros clave del personal .
d000.s089	Estos estudios nacionales constituirán la liase de un informe europeo en el que se resumirán las prácticas generales .
d000.s090	El informe y un repertorio de iniciativas se publicarán en 1996 , y servirán de telón de fondo a una conferencia que se celebrará el próximo otoño .
d000.s091	La Fundación se propone documentar las características de los obstáculos relacionados con la edad en materia de contratación y formación , y analizar sus causas .
d000.s092	Está examinando asimismo los puntos de vista de los interlocutores sociales , prestando especial atención a las propuestas para eliminar dichos obstáculos .
d000.s093	En tercer lugar , el proyecto documenta y evalúa las iniciativas de los sectores público y privado para combatir estas limitaciones , especialmente en relación con los trabajadores mayores .
d000.s094	El proyecto , que busca alternativas a la jubilación anticipada y al despido , se ocupa ante todo de la retención , la reintegración y la reconversión profesional de los trabajadores mayores .
d000.s095	Estudia asimismo liasta qué punto influyen el sexo y la raza de los trabajadores en la discriminación por razón de la edad .
d000.s096	El proyecto tiene en cuenta , por otra paite , las iniciativas para luchar contra esta clase de discriminación en las zonas rurales y en las pequeñas y medianas empresas .
d000.s097	Siete Estados miembros se incluyen en el proyecto : Alemania , Bélgica , Francia , Grecia , Italia , Países Bajos y Reino Unido .
d000.s098	Resumen del EPAR para el público general En el presente documento se resume el Informe Público Europeo de Evaluación , y se explica cómo la evaluación del Comité de Medicamentos de Uso Veterinario ( CVMP ) , efectuada a partir de los estudios existentes , ha llevado a las recomendaciones sobre las condiciones de uso del medicamento .
d000.s099	¿Qué es Cerenia ?
d000.s100	Cerenia contiene el principio activo maropitant y se presenta en forma de comprimidos o de solución inyectables .
d000.s101	Los comprimidos son de color naranja claro y tienen una ranura en ambas caras , lo que permite dividirlos por la mitad .
d000.s102	Cada comprimido va marcado con el logo Pfizer en una cara y las letras MPT y la cantidad de maropitant en la otra .
d000.s103	¿Para qué se utiliza Cerenia ?
d000.s104	Cerenia es un antiemético ( ataja los vómitos ) .
d000.s105	Se utiliza en perros para la prevención de los vómitos , por ejemplo los causados por la quimioterapia ( fármacos utilizados para el tratamiento del cáncer , algunos de los cuales producen vómitos ) .
d000.s106	Combinado con otras medidas complementarias , como otros tratamientos veterinarios o una dieta especial , Cerenia se utiliza también como tratamiento del vómito ( como inyección o como inyección seguida de comprimidos ) .
d000.s107	A estos efectos , Cerenia se puede administrar durante un período de hasta cinco días .
d000.s108	¿Cómo actúa Cerenia ?
d000.s109	Cerenia bloquea los receptores de neurocinina 1 ( NK1 ) en el sistema nervioso central .
d000.s110	¿Qué tipo de estudios se han realizado sobre Cerenia ?
d000.s111	Se han realizado una gran cantidad de estudios con Cerenia en perros de laboratorio y en perros pacientes de clínicas veterinarias de varios países europeos y de EE.UU.
d000.s112	¿Qué beneficios ha demostrado Cerenia durante dichos estudios ?
d000.s113	Los resultados de los estudios demostraron que Cerenia fue más eficaz que el placebo : se observaron menos vómitos en los perros que recibieron el medicamento que en los perros que recibieron placebo , bien como tratamiento , bien como prevención del vómito .
d000.s114	El tratamiento de un perro con vómitos debe iniciarse en forma inyectable puesto que los animales con vómitos podrían no retener el comprimido ( podrían vomitar el comprimido intacto ) .
d000.s115	Para la continuación del tratamiento , el propietario puede administrar el medicamento al animal en forma de comprimidos .
d000.s116	El tratamiento del vómito debe realizarse siempre en asociación con otras medidas de apoyo u otros tratamientos veterinarios para combatir también la causa subyacente del vómito .
d000.s117	¿Cuáles son los efectos secundarios de Cerenia ?
d000.s118	En general , Cerenia fue bien tolerado cuando se administró diariamente a dosis de hasta 5 veces la dosis recomendada durante un período de tiempo prolongado ( hasta 3 veces la duración máxima recomendada del tratamiento ) .
d000.s119	¿Qué precauciones debe adoptar la persona que administre el medicamento o esté en contacto con el animal ?
d000.s120	Cerenia no presenta ningún riesgo especial para el ser humano .
