ID	English	Spanish	English-Spanish Alignment
d001.s018	When Alimta is given with cisplatin, an anti-emetic medicine (to prevent vomiting) and fluids (to prevent dehydration) should also be given before or after the cisplatin dose.	Cuando Alimta se utiliza conjuntamente con cisplatino , hay que administrar además un medicamento « antiemético » ( para evitar los vómitos ) y líquidos ( para evitar la deshidratación ) antes o después de la dosis de cisplatino .	0-0 1-1 2-2 3-3 4-5 5-6 6-7 7-11 8-14 9-12 10-16 11-25 12-26 13-20 14-21 15-22 16-23 17-24 18-17 19-18 20-28 21-29 22-8 23-10 24-9 25-9 26-30 27-31 28-32 29-33 30-36 31-34 32-37
d001.s019	Treatment should be delayed or discontinued, or the dose reduced, in patients whose blood counts are abnormal or who have certain other side effects.	Será necesario retrasar o suspender el tratamiento , o reducir la dosis , en pacientes que presenten alteraciones en los recuentos sanguíneos o determinados efectos secundarios .	0-6 1-1 2-0 3-2 4-3 5-4 6-7 7-8 8-10 9-11 10-9 11-12 12-13 13-14 14-15 15-21 16-21 17-16 18-17 19-22 21-16 22-23 24-25 25-24 26-26
d001.s020	Alimta is not recommended for use in patients with moderate or severe kidney problems.	No se recomienda administrar Alimta a pacientes con problemas renales moderados o graves .	0-4 1-3 2-0 3-2 5-3 6-5 7-6 8-7 9-9 9-10 10-11 11-12 12-9 12-10 13-8 14-13
d001.s021	For more information, see the Summary of Product Characteristics (also part of the EPAR).	Si desea más información , consulte el Resumen de las Características del Producto , que también forma parte del EPAR .	0-0 1-2 2-3 3-4 4-5 5-6 6-7 7-8 8-12 9-10 10-13 11-15 12-17 13-11 14-18 15-19 16-13 17-20
d001.s022	How does Alimta work?	¿Cómo actúa Alimta ?	0-0 1-1 2-2 3-1 4-3
d001.s023	The active substance in Alimta, pemetrexed, is a cytotoxic medicine (a medicine that kills cells that are dividing, such as cancer cells), which belongs to the group antimetabolites.	El principio activo de Alimta , el pemetrexed , es un medicamento citotóxico ( un medicamento que destruye las células que están en fase de división , como las cancerosas ) que pertenece al grupo de los « antimetabolitos » .	0-0 1-2 2-1 3-3 4-4 5-5 6-7 7-8 8-9 9-10 10-12 11-11 12-13 13-14 14-15 15-16 16-17 17-18 17-19 18-20 19-21 20-25 21-26 22-27 23-29 24-15 25-30 26-40 27-31 28-32 29-33 30-36 31-34 32-38 33-40
d001.s024	In the body, pemetrexed is converted into an active form that blocks the activity of the enzymes that are involved in producing nucleotides (the building blocks of DNA and RNA, the genetic material of cells).	En el organismo , el pemetrexed se convierte en una forma activa que bloquea la actividad de las enzimas que participan en la producción de « nucleótidos » ( elementos esenciales del ADN y el ARN , el material genético de las células ) .	0-0 1-1 2-2 3-3 4-5 5-6 6-4 6-7 7-8 8-9 9-11 10-10 11-12 12-13 13-14 14-15 15-16 16-17 17-18 18-19 20-20 21-21 22-23 22-24 23-26 24-28 25-34 26-29 26-30 27-31 28-32 29-33 30-35 31-36 32-37 33-39 34-38 35-40 36-41 36-42 37-43 38-44
d001.s025	How has Alimta been studied?	¿Qué tipo de estudios se han realizado con Alimta ?	0-0 1-5 2-8 4-3 4-6 5-9
d001.s026	For the treatment of malignant pleural mesothelioma, Alimta has been studied in one main study in 456 patients who had not received chemotherapy for their disease before.	Por lo que se refiere al tratamiento del mesotelioma pleural maligno , Alimta ha sido evaluado en un estudio principal realizado en 456 pacientes que no habían recibido quimioterapia anteriormente .	0-0 1-5 2-6 3-7 4-10 5-9 6-8 7-11 8-12 9-13 10-14 11-15 12-16 13-17 14-19 15-18 16-21 17-22 18-23 19-24 20-26 21-25 22-27 23-28 27-29 28-30
d001.s027	The effects of Alimta in combination with cisplatin were compared with those of cisplatin alone.	Se compararon los efectos de Alimta en combinación con cisplatino con los efectos del cisplatino administrado en solitario .	0-2 1-3 2-4 3-5 4-6 5-7 6-8 7-9 8-1 9-1 10-10 11-12 12-13 13-14 14-17 15-18
d001.s028	For the treatment of non-small cell lung cancer, the effects of Alimta were compared with those of docetaxel (another anticancer medicine) in one study involving 571 patients with locally advanced or metastatic disease who had received chemotherapy in the past.	En cuanto al tratamiento del cáncer de pulmón no microcítico , se compararon los efectos de Alimta con los del docetaxel ( otro medicamento contra el cáncer ) en un estudio realizado en 571 pacientes con enfermedad localmente avanzada o metastásica que habían recibido quimioterapia previamente .	0-0 1-2 2-3 3-4 4-8 4-9 6-7 7-5 8-10 9-13 10-14 11-15 12-16 13-12 14-12 15-17 16-18 17-19 18-20 19-21 20-22 21-24 21-26 22-23 23-27 24-28 25-29 26-30 27-32 28-33 29-34 30-35 31-37 32-38 33-39 34-40 35-36 36-41 37-42 38-43 39-44 41-25 42-45 43-46
d001.s029	Alimta was also compared with gemcitabine (another anticancer medicine), both in combination with cisplatin, in a study involving 1,725 patients who had not received chemotherapy for lung cancer in the past.	Alimta también se comparó con gemcitabina ( otro medicamento contra el cáncer ) , ambos en combinación con cisplatino , en un estudio con 1.725 pacientes que no habían recibido quimioterapia contra el cáncer de pulmón previamente .	0-0 1-3 2-1 3-3 4-4 5-5 6-6 7-7 8-9 8-11 9-8 10-12 11-13 12-14 13-15 14-16 15-17 16-18 17-19 18-20 19-21 20-22 21-8 21-23 22-24 23-25 24-26 25-28 26-27 27-29 28-30 29-31 30-35 31-33 32-34 33-32 34-36 35-37
d001.s030	In all three studies, the main measure of effectiveness was how long the patients survived.	En los tres estudios , el criterio principal de valoración de la eficacia fue el tiempo de supervivencia de los pacientes .	0-0 1-1 2-2 3-3 4-4 5-5 6-7 7-6 8-8 9-12 9-17 10-13 11-14 13-19 14-20 15-17 16-21
d001.s031	What benefit has Alimta shown during the studies?	¿Qué beneficio ha demostrado tener Alimta durante los estudios ?	0-0 1-1 2-2 3-5 4-3 5-6 6-7 7-8 8-9
d001.s032	Alimta increased the survival time of patients with malignant pleural mesothelioma.	Alimta prolongó el tiempo de supervivencia de los pacientes con mesotelioma pleural maligno .	0-0 1-1 2-2 3-5 4-3 5-6 6-8 7-9 8-12 9-11 10-10 11-13
d001.s033	Patients receiving Alimta and cisplatin survived for an average of 12.1 months, compared with 9.3 months in those receiving cisplatin alone.	Los pacientes que recibieron Alimta y cisplatino sobrevivieron una media de 12,1 meses , mientras que la supervivencia de los enfermos tratados sólo con cisplatino fue de 9,3 meses .	0-1 0-19 1-3 2-4 3-5 4-6 5-7 7-8 8-9 9-10 10-11 11-12 12-13 13-14 14-14 15-26 16-27 17-19 18-18 19-20 20-23 21-21 22-28
d001.s034	In the treatment of patients with non-small cell lung cancer, Alimta was as effective as the comparators.	En el tratamiento de pacientes con cáncer de pulmón no microcítico , Alimta fue tan efectivo como los medicamentos de comparación .	0-0 1-1 2-2 3-3 4-4 5-5 6-8 6-9 8-8 9-6 10-11 11-12 12-13 13-14 14-15 15-16 16-17 17-18 17-20 18-21
d001.s035	In patients who had received chemotherapy in the past, the average survival time was 8.3 months with Alimta, compared with 7.9 months with docetaxel.	En los pacientes que habían recibido quimioterapia previamente , el tiempo medio de supervivencia fue de 8,3 meses con Alimta frente a 7,9 meses con docetaxel .	0-0 1-2 2-3 3-4 4-5 5-6 6-12 7-1 8-7 9-8 10-9 11-11 12-13 13-10 14-14 15-16 16-17 17-18 18-19 19-13 19-25 20-20 21-20 22-21 23-22 24-23 25-24 26-25
d001.s036	In patients who had not received chemotherapy in the past, the average survival time was 10.3 months in both groups.	En pacientes que no habían recibido previamente quimioterapia , el tiempo medio de supervivencia fue de 10,3 meses en ambos grupos .	0-0 1-1 2-2 3-4 4-3 5-5 6-7 8-12 9-6 10-8 11-9 12-11 13-13 14-10 15-14 16-16 17-17 18-18 19-19 20-20 21-21
d001.s037	However, in both studies, patients whose cancer was not affecting squamous cells had longer survival times if they received Alimta than if they received the comparator.	No obstante , los pacientes de ambos estudios cuyo cáncer no afectaba a las células escamosas presentaban un mayor tiempo de supervivencia cuando recibían Alimta que cuando recibían el medicamento de comparación .	0-0 1-0 1-1 2-2 3-5 4-6 5-1 6-3 7-7 8-8 9-10 10-9 11-10 11-11 12-14 13-13 13-14 14-15 15-17 16-20 17-18 18-21 19-22 20-22 21-23 22-24 23-25 24-26 25-26 26-27 27-28 27-30 28-31
d002.s001	kalgebra is a mathematical calculator based on content markup MathML language.	kalgebra es una calculadora matemática basada en el lenguaje de marcado MathML .	0-0 1-1 2-2 3-3 3-4 4-3 5-5 6-6 8-10 9-11 10-8 11-12
d002.s002	Nowadays it is capable to make simple MathML operations (arithmetic and logical) and to representate 2D and 3D graphs.	Hoy en día es capaz de realizar operaciones simples ( aritméticas y lógicas ) usando MathML y de representarlas en gráficas de dos y tres dimensiones .	0-0 0-2 2-3 3-4 4-5 5-6 6-8 7-15 8-7 8-10 9-9 10-10 11-11 12-12 13-13 14-16 15-17 16-18 16-19 18-23 19-24 20-12 20-20 21-26
d002.s003	It is actually not necessary to know MathML to use kalgebra.	No es necesario conocer MathML para usar kalgebra .	1-1 3-0 4-2 6-3 7-4 8-5 9-6 10-7 11-8
d002.s004	kalgebra is a MathML based graph calculator.	kalgebra es una calculadora gráfica basada en MathML .	0-0 1-1 2-2 3-7 4-5 5-3 5-4 6-3 7-8
d002.s005	Although it was initially MathML oriented it can now be used by everyone with little mathematical knowledge.	Aunque en un principio estuvo orientado a MathML , actualmente puede ser usado por cualquier persona , aunque posea pocos conocimientos matemáticos .	0-0 1-6 2-4 3-2 3-3 4-7 5-5 6-8 7-10 8-9 9-11 10-12 11-13 12-15 13-16 14-19 15-21 16-20 17-16 17-22
d002.s006	Here's a screenshot of kalgebra main window	Aquí se muestra una captura de la ventana principal de kalgebra .	0-0 1-1 2-3 3-4 4-5 5-10 6-8 7-7
d002.s007	kalgebra main window	Ventana principal de kalgebra	0-3 1-1 2-0
d002.s008	kalgebra main window consists in a Console tab, a 2D Graph tab, a 3D Graph tab and a Dictionary tab.	La ventana principal de kalgebra consta de cuatro pestañas : Consola , Gráfica 2D , Gráfica 3D y Diccionario .	0-4 1-2 2-1 3-5 4-6 5-7 6-10 7-8 8-11 10-13 11-12 13-14 15-16 16-15 18-17 20-18 21-18 22-19
d002.s009	Below these tabs you will find an input field to type your functions or do your calculations.	Bajo estas pestañas encontrará un campo de entrada donde podrá introducir sus funciones o realizar sus cálculos .	0-0 1-1 2-2 4-9 5-3 6-4 7-7 8-5 9-8 10-10 11-11 12-12 12-16 13-13 14-14 15-15 16-16 17-17
d002.s010	If we want to understand how it works, the best thing we can do is to realize that our input is being converted into MathML although it is not necessary to know MathML.	Para entender cómo funciona , conviene comprender que lo que introducimos está siendo convertido a MathML , aunque no es necesario conocer MathML .	0-0 2-5 3-9 4-1 5-2 7-3 8-4 11-8 17-6 18-7 19-10 20-10 21-11 22-12 23-13 24-14 25-15 26-17 27-16 28-19 29-18 30-20 32-21 33-22 34-23
d002.s011	I have based the syntax basically on common sense, it should not be hard for anyone.	He basado la sintaxis en el sentido común , por lo que debería ser asequible para todos .	0-0 1-1 2-1 3-2 4-3 6-4 7-7 8-6 9-8 10-14 11-12 13-13 14-14 15-15 16-16 17-17
d002.s012	I've looked closely to maxima and maple's syntax so they look very similar.	He tenido también en cuenta las sintaxis de Maxima y Maple , por lo que es muy similar a estas .	0-0 1-2 2-1 3-5 4-18 5-8 6-9 7-8 7-10 9-6 10-13 11-19 12-15 13-16 14-17 15-11 15-20
d002.s013	#ERROR!	+ - * / : suma , resta , multiplicación y división .	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-11 8-8 9-9 10-10 11-11 12-12
d002.s014	^, **: Power, you can use them both.	^ , ** : potencia , puede usar cualquiera de las dos formas .	0-0 1-1 2-2 3-3 4-4 5-5 7-6 8-7 9-8 10-11 11-13
d002.s015	Also it is possible to use the unicode² characters.	Asimismo , puede usar los caracteres unicode ² .	0-0 1-1 3-2 5-3 6-4 7-6 8-7 9-5 10-8
d002.s016	Powers are one way to make roots too.	Las potencias son también una forma de expresar raíces .	0-1 1-2 2-4 3-5 4-6 5-7 6-8 7-3 8-9
d002.s017	-gt: It's the way to specify the bounded variable in a function.	-gt : Permite especificar la variable limitada en una función .	0-0 1-1 2-2 7-3 8-4 9-6 10-5 11-7 12-8 13-9 14-10
d002.s018	(): It is used to specify a higher priority.	( ) : se usa para especificar una prioridad mayor .	0-0 1-1 2-2 4-6 5-4 6-5 7-6 8-7 9-9 10-8 11-10
d002.s019	abc(params): When the parser finds a function, it checks if abc is an operator.	abc(parámetros) : Cuando el analizador sintáctico encuentra una función , comprueba si « abc » es un operador .	0-0 1-1 2-2 3-3 4-4 5-6 5-10 6-7 7-8 8-9 10-10 11-11 12-13 13-15 14-16 15-17 16-18
d002.s020	If it is, it will be treated as an operator, if it is not, it will be treated as a user function.	Si lo es , lo trata como un operador si no lo es , lo trata como una función de usuario .	0-0 1-1 2-2 3-3 4-4 7-5 8-6 9-7 10-8 11-13 12-9 13-11 14-12 15-10 16-13 17-14 19-19 20-15 21-16 22-17 23-20 24-18 25-21
d002.s021	:=: It is used to define a variable value.	: = : Se usa para definir el valor de una variable .	0-0 1-1 2-2 3-3 4-7 5-4 6-5 7-6 8-10 9-11 10-8 11-12
d002.s022	?: Piecewise condition definition.	? : definición de condiciones en funciones definidas a trozos ( « piecewise » ) .	0-0 1-1 2-9 2-12 3-4 4-2 5-15
d002.s023	Piecewise is the way we can define conditional operations in kalgebra.	Permite definir operaciones condicionales en kalgebra .	0-0 6-1 7-3 8-2 8-3 9-4 10-5 11-6
d002.s024	If we introduce the condition before the? it will use this condition only if it is true, if it finds a? without any condition, it will enter in the last instance.	Cuando introducimos la condición antes del símbolo « ? » , kalgebra utiliza esta condición solo si es verdadera en cambio , si encuentra un símbolo « ? » sin ninguna condición , toma en cuenta el último caso .	0-0 1-1 2-1 3-2 4-3 5-4 6-5 7-8 8-10 10-12 11-13 12-14 13-15 14-16 16-17 17-18 18-20 19-21 21-22 22-23 23-26 24-28 25-29 26-30 27-31 29-32 31-19 32-35 33-36 34-37 35-38
d002.s025	{}: MathML container.	{ } : Puede usarse para definir un contenedor .	0-0 1-1 2-2 3-6 4-8 5-9
d002.s026	It can be used to define a container.	Es muy útil a la hora de trabajar con funciones definidas a trozos .	0-0 1-1 2-4 3-2 4-3 5-10 6-11 7-9 8-13
d002.s027	Now you could ask me, why should the user mind about MathML?	Ahora puede preguntarme por qué debería el usuario preocuparse por MathML .	0-0 0-5 1-2 2-3 3-6 4-8 5-9 6-10
d002.s028	That's easy. With this, we can operate with functions like cos(), sin(), any other trigonometric functions, sum() or product().	La respuesta es fácil . Con esto podremos realizar operaciones con funciones como cos() , sin() ( o cualquier otra función trigonométrica ) , sum() o product() .	0-6 1-2 2-7 3-8 5-4 8-0 9-20 11-10 12-9 12-13 13-27
d002.s029	It does not matter what kind it is.	No importa el tipo de función que sea .	0-0 5-7 6-8 9-3 11-2 11-5 25-8
d002.s030	We can use plus(), times() and everything which has its operator.	Podremos usar plus() , times() y cualquier cosa a la que le corresponda un operador .	0-0 1-0 3-1 4-11 5-12 7-10 8-13
d002.s031	kalgebra's console is useful as a calculator.	La consola de kalgebra es tan útil como una calculadora .	0-3 2-6 6-4 11-1 12-10
d002.s032	There you have a list of the declared variables.	Aquí tiene una lista de las variables declaradas .	1-6 2-3 3-1 4-7 6-2 7-6 8-8
d002.s033	By double clicking on them you will see a dialog that lets you change their values (just a way to trick the log).	Si pulsa dos veces sobre una de ellas , le aparecerá un diálogo con el que podrá cambiar su valor ( es una forma de engañar al registro ) .	0-0 1-21 3-22 4-12 5-24 6-14 7-25 7-27 8-18 8-19 9-8 9-29
d002.s034	"Every time you enter an expression, the "" ans "" variable value will be changed to the last result."	Cada vez que introduzca una expresión , el valor de la variable « ans » cambiará para reproducir el último resultado .	0-0 1-1 2-0 5-4 6-13 8-5 9-3 11-15 13-13 15-6 16-10 18-2 20-14 22-16 23-18 24-12 25-19
d002.s035	Ctrl N New Window	Ctrl N Nuevo	5-0 9-2 20-1
d002.s036	Flushes the log.	Refresca el registro .	0-3 3-2
d002.s037	Ctrl L Load Script	Ctrl L Cargar un guión	0-2 2-0 3-4
d002.s038	Executes the instructions in a file sequentially.	Ejecuta las instrucciones en una archivo de forma secuencial .	0-0 1-9 2-8 3-0
d002.s039	Nice if you want to define some libraries or resume some previous work.	Es útil si lo que desea es definir una biblioteca o reanudar un trabajo anterior .	0-0 1-4 2-1 3-12 4-8 5-13 6-11 7-15
d002.s040	Ctrl G Save Script	Ctrl G Guardar el guión	0-0 4-2 7-2 7-4 13-1
d002.s041	Saves the instructions you have typed since the session began to be able to reuse.	Guarda las intrucciones que ha introducido desde que comenzó la sesión , con lo que podrá reutilizarlas .	0-2 2-17 3-0
d002.s042	Generates text files so it should be easy to fix using any text editor, like Kate.	Genera un archivo de texto que podrá corregir usando cualquier editor de texto , por ejemplo Kate .	0-0 0-2 1-1 2-4 7-3 8-2 12-6 13-11 14-8 15-13 15-16
d002.s043	Ctrl S Save Log	Ctrl S Guardar el registro	0-2 2-4 6-3 8-2 16-0 17-1
d002.s044	Saves the log with all results into an HTML file to be able to print or publish.	Guarda el registro con todos los resultados en un archivo HTML que podrá imprimir o publicar .	0-10 1-16 2-0 3-2
d002.s045	Ctrl Q Quit	Ctrl Q Salir	1-2 17-0 17-1
d002.s046	Shuts the program down.	Cierra el programa .	0-2 1-0 2-0 2-3
d002.s047	To add a new 2D graph on kalgebra, what you have to do is to go to the 2D Graph tab and click in the Add tab to add the new function.	Para añadir un gráfica 2D en kalgebra , lo que tiene que hacer es ir a la pestaña Gráfica 2D y aquí pulsar la pestaña Añadir , que le permitirá añadir una nueva función .	0-1 0-21 1-15 1-22 2-32 3-5 4-6 4-7 4-33
d002.s048	Then your focus will go to an input text box where you can type your function.	A continuación tendrá dirigirse al cuadro de texto de entrada , donde podrá introducir su función .	1-13 5-5 5-7 8-10 10-12 16-3 17-4 18-13 30-14 32-15 33-16
d002.s049	If you want to use a typical f(x) function it is not necessary to specify it.	Si quiere usar una función f(x) típica , no es necesario que la especifique .	0-0 1-2 3-1 6-3 8-5 9-6 11-7 13-13 15-4 16-14
d002.s050	If you have entered the function click on the OK button to display the graph in the main window.	Después de haber introducido la función , pulse el botón Aceptar para dibujar la gráfica en la ventana principal .	0-0 1-2 5-3 6-13 7-5 8-4 9-5 13-10 14-11 16-18
d002.s051	You can set several graphs on the same view.	Es posible dibujar varias gráficas en la misma vista .	0-0 1-1 3-2 13-3 14-4 15-5 16-6 17-8 19-9
d002.s052	The Foundation has recently been involved in organising a conference which dealt with this critical challenge.	Para esto use simplemente el botón Añadir cuando se encuentre en el modo Lista .	0-1 1-0 2-2 3-3 4-6 4-11 4-13 5-10 6-4 8-5 9-14
d003.s002	Over 100 participants from the main interest groups attended and debated issues such as the role of key actors including public authorities, social partners, voluntary and community organisations as well as service users.	Asistieron más de 100 participantes en representación de los principales grupos de interés , los cuales discutieron cuestiones tales como el papel de los principales agentes , entre ellos , las autoridades públicas , los interlocutores sociales y las organizaciones comunitarias y de voluntarios , además de los propios usuarios .	0-1 1-3 2-4 4-8 5-9 6-12 7-10 8-0 10-16 11-17 12-18 13-19 14-20 15-21 16-22 17-24 18-25 18-35 19-28 20-32 21-31 22-26 22-29 23-36 25-33 26-43 27-41 28-40 29-39 30-37 31-45 32-46 34-49 35-50
d003.s003	There were relatively few cases reported of attempts to involve users in service planning but their involvement in service provision was found to be more common.	Se llegó a la conclusión de que es necesario adoptar un enfoque más global que tenga en cuenta que los usuarios no se sirven de esos servicios de forma aislada , sino como parte de su vida cotidiana .	0-0 1-7 2-3 3-19 4-4 6-5 7-9 8-10 9-11 10-18 12-34 13-13 14-29 15-33 16-21 17-22 18-24 19-23 24-12 26-28 26-36
d003.s004	Note was also taken of the variety of different roles played by public welfare	Se tomó nota también de la diversidad de funciones que desempeñan estos servicios	0-2 1-1 2-3 3-1 4-4 5-5 6-6 7-7 8-6 9-8 9-10 10-10 13-12
d003.s005	The Foundation organised, together with the European Commission, the Spanish Ministry of Social Affairs and the Galician regional government, a European conference on social exclusion: a major challenge for public welfare services.	"La Fundación organizó , junto con la Comisión Europea , el Ministerio español de Asuntos Sociales y la Comunidad Autónoma de Galicia , una conferencia europea sobre el tema "" Exclusión social : Un gran reto para los servicios públicos de protección social "" ."	0-0 1-1 2-2 3-3 4-4 5-4 6-5 7-7 8-6 9-8 10-9 11-11 12-10 13-12 14-14 15-13 16-15 17-16 18-14 18-20 19-17 20-18 21-21 22-22 23-24 24-23 25-25 26-30 27-29 28-31 29-32 30-33 31-34 32-35 33-38 34-40 35-37 36-43
d003.s006	The Foundation recently published a comparative study as part of the EPOC project which assesses the extent to which direct participation can humanise work while increasing profitability.	La Fundación publicó recientemente en el marco del proyecto EPOC un estudio comparativo en el que se evalúa hasta qué punto la participación directa puede humanizar el trabajo e incrementar al mismo tiempo la rentabilidad .	0-0 1-1 2-3 3-2 4-10 5-12 6-11 7-4 8-6 9-5 10-7 11-9 12-8 13-15 14-17 15-31 16-20 17-18 18-19 19-23 20-22 21-24 22-25 23-27 24-28 25-29 26-32 27-33
