Token ID	Token	Lemma	POS
es001.s010.t021	únicamente	únicamente	ADV
es001.s010.t022	mediante	mediante	ADP
es001.s010.t023	cirugía	cirugía	NOUN
es001.s010.t024	)	)	PUNCT
es001.s010.t025	y	y	CCONJ
es001.s010.t026	maligno	maligno	ADJ
es001.s010.t027	(	(	PUNCT
es001.s010.t028	se	él	PRON
es001.s010.t029	ha	haber	AUX
es001.s010.t030	extendido	extender	VERB
es001.s010.t031	o	o	CCONJ
es001.s010.t032	es	ser	AUX
es001.s010.t033	probable	probable	ADJ
es001.s010.t034	que	que	SCONJ
es001.s010.t035	se	él	PRON
es001.s010.t036	extienda	extiendar	VERB
es001.s010.t037	fácilmente	fácilmente	ADV
es001.s010.t038	a	a	ADP
es001.s010.t039	otras	otro	DET
es001.s010.t040	partes	parte	NOUN
es001.s010.t041	del	del	ADP
es001.s010.t042	cuerpo	cuerpo	NOUN
es001.s010.t043	)	)	PUNCT
es001.s010.t044	,	,	PUNCT
es001.s010.t045	en	en	ADP
es001.s010.t046	pacientes	paciente	NOUN
es001.s010.t047	que	que	PRON
es001.s010.t048	no	no	ADV
es001.s010.t049	recibió	recibir	VERB
es001.s010.t050	quimioterapia	quimioterapia	NOUN
es001.s010.t051	(	(	PUNCT
es001.s010.t052	medicamentos	medicamento	NOUN
es001.s010.t053	para	para	ADP
es001.s010.t054	el	el	DET
es001.s010.t055	cáncer	cáncer	NOUN
es001.s010.t056	)	)	PUNCT
es001.s010.t057	antes	antes	ADV
es001.s010.t058	de	de	ADP
es001.s010.t059	un	uno	DET
es001.s010.t060	cáncer	cáncer	NOUN
es001.s010.t061	de	de	ADP
es001.s010.t062	pulmón	pulmón	NOUN
es001.s010.t063	de	de	ADP
es001.s010.t064	células	célula	NOUN
es001.s010.t065	no	no	ADV
es001.s010.t066	pequeñas	pequeño	ADJ
es001.s010.t067	avanzado	avanzado	ADJ
es001.s010.t068	o	o	CCONJ
es001.s010.t069	metastásico	metastásico	ADJ
es001.s010.t070	que	que	PRON
es001.s010.t071	no	no	ADV
es001.s010.t072	afecta	afectar	VERB
es001.s010.t073	a	a	ADP
es001.s010.t074	las	el	DET
es001.s010.t075	células	célula	NOUN
es001.s010.t076	escamosas	escamosa	ADJ
es001.s010.t077	.	.	PUNCT
es001.s011.t001	Alimta	Alimta	PROPN
es001.s011.t002	se	él	PRON
es001.s011.t003	utiliza	utilizar	VERB
es001.s011.t004	en	en	ADP
es001.s011.t005	combinación	combinación	NOUN
es001.s011.t006	con	con	ADP
es001.s011.t007	cisplatino	cisplatino	NOUN
es001.s011.t008	en	en	ADP
es001.s011.t009	pacientes	paciente	NOUN
es001.s011.t010	que	que	PRON
es001.s011.t011	no	no	ADV
es001.s011.t012	han	haber	AUX
es001.s011.t013	sido	ser	AUX
es001.s011.t014	tratados	tratar	VERB
es001.s011.t015	antes	antes	ADV
es001.s011.t016	,	,	PUNCT
es001.s011.t017	y	y	CCONJ
es001.s011.t018	solo	solo	NOUN
es001.s011.t019	en	en	ADP
es001.s011.t020	pacientes	paciente	NOUN
es001.s011.t021	que	que	PRON
es001.s011.t022	han	haber	AUX
es001.s011.t023	recibido	recibir	VERB
es001.s011.t024	otro	otro	DET
es001.s011.t025	tipo	tipo	NOUN
es001.s011.t026	de	de	ADP
es001.s011.t027	quimioterapia	quimioterapia	NOUN
es001.s011.t028	en	en	ADP
es001.s011.t029	el	el	DET
es001.s011.t030	pasado	pasado	NOUN
es001.s011.t031	.	.	PUNCT
es001.s012.t001	El	el	DET
es001.s012.t002	medicamento	medicamento	NOUN
es001.s012.t003	sólo	sólo	ADV
es001.s012.t004	podrá	poder	AUX
es001.s012.t005	dispensarse	dispensar él	VERB
es001.s012.t006	con	con	ADP
es001.s012.t007	receta	receta	NOUN
es001.s012.t008	médica	médico	ADJ
es001.s012.t009	.	.	PUNCT
es001.s013.t001	¿	¿	PUNCT
es001.s013.t002	Cómo	cómo	PRON
es001.s013.t003	se	él	PRON
es001.s013.t004	utiliza	utilizar	VERB
es001.s013.t005	Alimta	Alimta	PROPN
es001.s013.t006	?	?	PUNCT
es001.s014.t001	Alimta	Alimta	PROPN
es001.s014.t002	sólo	sólo	ADV
es001.s014.t003	debe	deber	AUX
es001.s014.t004	administrarse	administrar él	VERB
es001.s014.t005	bajo	bajo	ADP
es001.s014.t006	la	el	DET
es001.s014.t007	supervisión	supervisión	NOUN
es001.s014.t008	de	de	ADP
es001.s014.t009	un	uno	DET
es001.s014.t010	médico	médico	NOUN
es001.s014.t011	cualificado	cualificado	ADJ
es001.s014.t012	en	en	ADP
es001.s014.t013	el	el	DET
es001.s014.t014	uso	uso	NOUN
es001.s014.t015	de	de	ADP
es001.s014.t016	quimioterapia	quimioterapia	NOUN
es001.s014.t017	anticancerígena	anticancerígén	ADJ
es001.s014.t018	.	.	PUNCT
es001.s015.t001	La	el	DET
es001.s015.t002	dosis	dosis	NOUN
es001.s015.t003	recomendada	recomendado	ADJ
es001.s015.t004	de	de	ADP
es001.s015.t005	Alimta	Alimta	PROPN
es001.s015.t006	es	ser	AUX
es001.s015.t007	de	de	ADP
es001.s015.t008	500	500	NUM
es001.s015.t009	mg	mg	NUM
es001.s015.t010	por	por	ADP
es001.s015.t011	metro	metro	NOUN
es001.s015.t012	cuadrado	cuadrado	NOUN
es001.s015.t013	de	de	ADP
es001.s015.t014	superficie	superficie	NOUN
es001.s015.t015	corporal	corporal	ADJ
es001.s015.t016	(	(	PUNCT
es001.s015.t017	calculada	calculado	ADJ
es001.s015.t018	utilizando	utilizar	VERB
es001.s015.t019	la	el	DET
es001.s015.t020	altura	altura	NOUN
es001.s015.t021	y	y	CCONJ
es001.s015.t022	el	el	DET
es001.s015.t023	peso	peso	NOUN
es001.s015.t024	del	del	ADP
es001.s015.t025	paciente	paciente	NOUN
es001.s015.t026	)	)	PUNCT
es001.s015.t027	.	.	PUNCT
es001.s016.t001	Se	él	PRON
es001.s016.t002	administra	administrar	VERB
es001.s016.t003	una	uno	DET
es001.s016.t004	vez	vez	NOUN
es001.s016.t005	cada	cada	DET
es001.s016.t006	tres	tres	NUM
es001.s016.t007	semanas	semana	NOUN
es001.s016.t008	en	en	ADP
es001.s016.t009	forma	forma	NOUN
es001.s016.t010	de	de	ADP
es001.s016.t011	infusión	infusión	NOUN
es001.s016.t012	intravenosa	intravenoso	ADJ
es001.s016.t013	que	que	PRON
es001.s016.t014	dura	durar	VERB
es001.s016.t015	10	10	NUM
es001.s016.t016	minutos	minuto	NOUN
es001.s016.t017	.	.	PUNCT
es001.s017.t001	Para	para	ADP
es001.s017.t002	reducir	reducir	VERB
es001.s017.t003	los	el	DET
es001.s017.t004	efectos	efecto	NOUN
es001.s017.t005	secundarios	secundario	ADJ
es001.s017.t006	,	,	PUNCT
es001.s017.t007	los	el	DET
es001.s017.t008	pacientes	paciente	NOUN
es001.s017.t009	deben	deber	AUX
es001.s017.t010	tomar	tomar	VERB
es001.s017.t011	un	uno	DET
es001.s017.t012	corticosteroide	corticosteroide	NOUN
es001.s017.t013	y	y	CCONJ
es001.s017.t014	ácido	ácido	NOUN
es001.s017.t015	fólico	fólico	ADJ
es001.s017.t016	(	(	PUNCT
es001.s017.t017	un	uno	DET
es001.s017.t018	tipo	tipo	NOUN
es001.s017.t019	de	de	ADP
es001.s017.t020	vitamina	vitamina	NOUN
es001.s017.t021	)	)	PUNCT
es001.s017.t022	y	y	CCONJ
es001.s017.t023	recibir	recibir	VERB
es001.s017.t024	inyecciones	inyección	NOUN
es001.s017.t025	de	de	ADP
es001.s017.t026	vitamina	vitamina	NOUN
es001.s017.t027	B12	B12	PROPN
es001.s017.t028	durante	durante	ADP
es001.s017.t029	el	el	DET
es001.s017.t030	tratamiento	tratamiento	NOUN
es001.s017.t031	con	con	ADP
es001.s017.t032	Alimta	Alimta	PROPN
es001.s017.t033	.	.	PUNCT
es001.s018.t001	Cuando	cuando	SCONJ
es001.s018.t002	Alimta	Alimta	PROPN
es001.s018.t003	se	él	PRON
es001.s018.t004	administra	administrar	VERB
es001.s018.t005	con	con	ADP
es001.s018.t006	cisplatino	cisplatino	NOUN
es001.s018.t007	,	,	PUNCT
es001.s018.t008	también	también	ADV
es001.s018.t009	se	él	PRON
es001.s018.t010	debe	deber	AUX
es001.s018.t011	administrar	administrar	VERB
es001.s018.t012	un	uno	DET
es001.s018.t013	medicamento	medicamento	NOUN
es001.s018.t014	antiemético	antiemético	ADJ
es001.s018.t015	(	(	PUNCT
es001.s018.t016	para	para	ADP
es001.s018.t017	prevenir	prevenir	VERB
es001.s018.t018	los	el	DET
es001.s018.t019	vómitos	vómito	NOUN
es001.s018.t020	)	)	PUNCT
es001.s018.t021	y	y	CCONJ
es001.s018.t022	líquidos	líquido	NOUN
es001.s018.t023	(	(	PUNCT
es001.s018.t024	para	para	ADP
es001.s018.t025	prevenir	prevenir	VERB
es001.s018.t026	la	el	DET
es001.s018.t027	deshidratación	deshidratación	NOUN
es001.s018.t028	)	)	PUNCT
es001.s018.t029	antes	antes	ADV
es001.s018.t030	o	o	CCONJ
es001.s018.t031	después	después	ADV
es001.s018.t032	de	de	ADP
es001.s018.t033	la	el	DET
es001.s018.t034	dosis	dosis	NOUN
es001.s018.t035	de	de	ADP
es001.s018.t036	cisplatino	cisplatino	NOUN
es001.s018.t037	.	.	PUNCT
es001.s019.t001	El	el	DET
es001.s019.t002	tratamiento	tratamiento	NOUN
es001.s019.t003	debe	deber	AUX
es001.s019.t004	retrasarse	retrasar él	VERB
es001.s019.t005	o	o	CCONJ
es001.s019.t006	suspenderse	suspender él	VERB
es001.s019.t007	,	,	PUNCT
es001.s019.t008	o	o	CCONJ
es001.s019.t009	reducirse	reducir él	VERB
es001.s019.t010	la	el	DET
es001.s019.t011	dosis	dosis	NOUN
es001.s019.t012	,	,	PUNCT
es001.s019.t013	en	en	ADP
es001.s019.t014	pacientes	paciente	NOUN
es001.s019.t015	cuyos	cuyo	PRON
es001.s019.t016	recuentos	recuento	NOUN
es001.s019.t017	sanguíneos	sanguíneo	ADJ
es001.s019.t018	son	ser	AUX
es001.s019.t019	anormales	anormal	ADJ
es001.s019.t020	o	o	CCONJ
es001.s019.t021	que	que	PRON
es001.s019.t022	tienen	tener	VERB
es001.s019.t023	otros	otro	DET
es001.s019.t024	efectos	efecto	NOUN
es001.s019.t025	secundarios	secundario	ADJ
es001.s019.t026	.	.	PUNCT
es001.s020.t001	No	no	ADV
es001.s020.t002	se	él	PRON
es001.s020.t003	recomienda	recomendar	VERB
es001.s020.t004	el	el	DET
es001.s020.t005	uso	uso	NOUN
es001.s020.t006	de	de	ADP
es001.s020.t007	Alimta	Alimta	PROPN
es001.s020.t008	en	en	ADP
es001.s020.t009	pacientes	paciente	NOUN
es001.s020.t010	con	con	ADP
es001.s020.t011	problemas	problema	NOUN
es001.s020.t012	renales	renal	ADJ
es001.s020.t013	moderados	moderado	ADJ
es001.s020.t014	o	o	CCONJ
es001.s020.t015	graves	grave	ADJ
es001.s020.t016	.	.	PUNCT
es001.s021.t001	Para	para	ADP
es001.s021.t002	obtener	obtener	VERB
es001.s021.t003	más	más	ADV
es001.s021.t004	información	información	NOUN
es001.s021.t005	,	,	PUNCT
es001.s021.t006	consulte	consulte	VERB
es001.s021.t007	el	el	DET
es001.s021.t008	Resumen	Resumen	PROPN
es001.s021.t009	de	de	ADP
es001.s021.t010	las	el	DET
es001.s021.t011	características	característica	NOUN
es001.s021.t012	del	del	ADP
es001.s021.t013	producto	producto	NOUN
es001.s021.t014	(	(	PUNCT
es001.s021.t015	también	también	ADV
es001.s021.t016	parte	parte	NOUN
es001.s021.t017	del	del	ADP
es001.s021.t018	EPAR	EPAR	PROPN
es001.s021.t019	)	)	PUNCT
es001.s021.t020	.	.	PUNCT
es001.s022.t001	¿	¿	PUNCT
es001.s022.t002	Cómo	cómo	PRON
es001.s022.t003	funciona	funcionar	VERB
es001.s022.t004	Alimta	Alimta	PROPN
es001.s022.t005	?	?	PUNCT
es001.s023.t001	El	el	DET
es001.s023.t002	principio	principio	NOUN
es001.s023.t003	activo	activo	ADJ
es001.s023.t004	de	de	ADP
es001.s023.t005	Alimta	Alimta	PROPN
es001.s023.t006	,	,	PUNCT
es001.s023.t007	pemetrexed	pemetrexed	NOUN
es001.s023.t008	,	,	PUNCT
es001.s023.t009	es	ser	AUX
es001.s023.t010	un	uno	DET
es001.s023.t011	medicamento	medicamento	NOUN
es001.s023.t012	citotóxico	citotóxico	ADJ
es001.s023.t013	(	(	PUNCT
es001.s023.t014	un	uno	DET
es001.s023.t015	medicamento	medicamento	NOUN
es001.s023.t016	que	que	PRON
es001.s023.t017	mata	matar	VERB
es001.s023.t018	las	el	DET
es001.s023.t019	células	célula	NOUN
es001.s023.t020	que	que	PRON
es001.s023.t021	se	él	PRON
es001.s023.t022	están	estar	AUX
es001.s023.t023	dividiendo	dividir	VERB
es001.s023.t024	,	,	PUNCT
es001.s023.t025	como	como	SCONJ
es001.s023.t026	las	el	DET
es001.s023.t027	células	célula	NOUN
es001.s023.t028	cancerosas	canceroso	ADJ
es001.s023.t029	)	)	PUNCT
es001.s023.t030	,	,	PUNCT
es001.s023.t031	que	que	PRON
es001.s023.t032	pertenece	pertenecer	VERB
es001.s023.t033	al	al	ADP
es001.s023.t034	grupo	grupo	NOUN
es001.s023.t035	de	de	ADP
es001.s023.t036	los	el	DET
es001.s023.t037	antimetabolitos	antimetabolito	NOUN
es001.s023.t038	.	.	PUNCT
es001.s024.t001	En	en	ADP
es001.s024.t002	el	el	DET
es001.s024.t003	cuerpo	cuerpo	NOUN
es001.s024.t004	,	,	PUNCT
es001.s024.t005	el	el	DET
es001.s024.t006	pemetrexed	pemetrexed	NOUN
es001.s024.t007	se	él	PRON
es001.s024.t008	convierte	convertir	VERB
es001.s024.t009	en	en	ADP
es001.s024.t010	una	uno	DET
es001.s024.t011	forma	forma	NOUN
es001.s024.t012	activa	activo	ADJ
es001.s024.t013	que	que	PRON
es001.s024.t014	bloquea	bloquear	VERB
es001.s024.t015	la	el	DET
es001.s024.t016	actividad	actividad	NOUN
es001.s024.t017	de	de	ADP
es001.s024.t018	las	el	DET
es001.s024.t019	enzimas	enzima	NOUN
es001.s024.t020	que	que	PRON
es001.s024.t021	participan	participar	VERB
es001.s024.t022	en	en	ADP
es001.s024.t023	la	el	DET
es001.s024.t024	producción	producción	NOUN
es001.s024.t025	de	de	ADP
es001.s024.t026	nucleótidos	nucleótido	NOUN
es001.s024.t027	(	(	PUNCT
es001.s024.t028	los	el	DET
es001.s024.t029	componentes	componente	NOUN
es001.s024.t030	básicos	básico	ADJ
es001.s024.t031	del	del	ADP
es001.s024.t032	ADN	ADN	PROPN
es001.s024.t033	y	y	CCONJ
es001.s024.t034	el	el	DET
es001.s024.t035	ARN	ARN	PROPN
es001.s024.t036	,	,	PUNCT
es001.s024.t037	el	el	DET
es001.s024.t038	material	material	NOUN
es001.s024.t039	genético	genético	ADJ
es001.s024.t040	de	de	ADP
es001.s024.t041	las	el	DET
es001.s024.t042	células	célula	NOUN
es001.s024.t043	)	)	PUNCT
es001.s024.t044	.	.	PUNCT
es001.s025.t001	¿	¿	PUNCT
es001.s025.t002	Cómo	cómo	PRON
es001.s025.t003	se	él	PRON
es001.s025.t004	ha	haber	AUX
es001.s025.t005	estudiado	estudiar	VERB
es001.s025.t006	Alimta	Alimta	PROPN
es001.s025.t007	?	?	PUNCT
es001.s026.t001	Para	para	ADP
es001.s026.t002	el	el	DET
es001.s026.t003	tratamiento	tratamiento	NOUN
es001.s026.t004	del	del	ADP
es001.s026.t005	mesotelioma	mesotelioma	NOUN
es001.s026.t006	pleural	pleural	ADJ
es001.s026.t007	maligno	maligno	ADJ
es001.s026.t008	,	,	PUNCT
es001.s026.t009	Alimta	Alimta	PROPN
es001.s026.t010	se	él	PRON
es001.s026.t011	ha	haber	AUX
es001.s026.t012	estudiado	estudiar	VERB
es001.s026.t013	en	en	ADP
es001.s026.t014	un	uno	DET
es001.s026.t015	estudio	estudio	NOUN
es001.s026.t016	principal	principal	ADJ
es001.s026.t017	en	en	ADP
es001.s026.t018	456	456	NUM
es001.s026.t019	pacientes	paciente	NOUN
es001.s026.t020	que	que	PRON
es001.s026.t021	no	no	ADV
es001.s026.t022	habían	haber	AUX
es001.s026.t023	recibido	recibir	VERB
es001.s026.t024	quimioterapia	quimioterapia	NOUN
es001.s026.t025	para	para	ADP
es001.s026.t026	su	su	DET
es001.s026.t027	enfermedad	enfermedad	NOUN
es001.s026.t028	antes	antes	ADV
es001.s026.t029	.	.	PUNCT
es001.s027.t001	Se	él	PRON
es001.s027.t002	compararon	comparar	VERB
es001.s027.t003	los	el	DET
es001.s027.t004	efectos	efecto	NOUN
es001.s027.t005	de	de	ADP
es001.s027.t006	Alimta	Alimta	PROPN
es001.s027.t007	en	en	ADP
es001.s027.t008	combinación	combinación	NOUN
es001.s027.t009	con	con	ADP
es001.s027.t010	cisplatino	cisplatino	NOUN
es001.s027.t011	con	con	ADP
es001.s027.t012	los	el	DET
es001.s027.t013	de	de	ADP
es001.s027.t014	cisplatino	cisplatino	NOUN
es001.s027.t015	solo	solo	ADJ
es001.s027.t016	.	.	PUNCT
es001.s028.t001	Para	para	ADP
es001.s028.t002	el	el	DET
es001.s028.t003	tratamiento	tratamiento	NOUN
es001.s028.t004	del	del	ADP
es001.s028.t005	cáncer	cáncer	NOUN
es001.s028.t006	de	de	ADP
es001.s028.t007	pulmón	pulmón	NOUN
es001.s028.t008	de	de	ADP
es001.s028.t009	células	célula	NOUN
es001.s028.t010	no	no	ADV
es001.s028.t011	pequeñas	pequeño	ADJ
es001.s028.t012	,	,	PUNCT
es001.s028.t013	los	el	DET
es001.s028.t014	efectos	efecto	NOUN
es001.s028.t015	de	de	ADP
es001.s028.t016	Alimta	Alimta	PROPN
es001.s028.t017	se	él	PRON
es001.s028.t018	compararon	comparar	VERB
es001.s028.t019	con	con	ADP
es001.s028.t020	los	el	DET
es001.s028.t021	de	de	ADP
es001.s028.t022	docetaxel	docetaxel	PROPN
es001.s028.t023	(	(	PUNCT
es001.s028.t024	otro	otro	DET
es001.s028.t025	medicamento	medicamento	NOUN
es001.s028.t026	contra	contra	ADP
es001.s028.t027	el	el	DET
es001.s028.t028	cáncer	cáncer	NOUN
es001.s028.t029	)	)	PUNCT
es001.s028.t030	en	en	ADP
es001.s028.t031	un	uno	DET
es001.s028.t032	estudio	estudio	NOUN
es001.s028.t033	en	en	ADP
es001.s028.t034	el	el	DET
es001.s028.t035	que	que	PRON
es001.s028.t036	participaron	participar	VERB
es001.s028.t037	571	571	NUM
es001.s028.t038	pacientes	paciente	NOUN
es001.s028.t039	con	con	ADP
es001.s028.t040	enfermedad	enfermedad	NOUN
es001.s028.t041	localmente	localmente	ADV
es001.s028.t042	avanzada	avanzado	ADJ
es001.s028.t043	o	o	CCONJ
es001.s028.t044	metastásica	metastásica	NOUN
es001.s028.t045	que	que	PRON
es001.s028.t046	habían	haber	AUX
es001.s028.t047	recibido	recibir	VERB
es001.s028.t048	quimioterapia	quimioterapia	NOUN
es001.s028.t049	en	en	ADP
es001.s028.t050	el	el	DET
es001.s028.t051	pasado	pasado	NOUN
es001.s028.t052	.	.	PUNCT
es001.s029.t001	Alimta	Alimta	PROPN
es001.s029.t002	también	también	ADV
es001.s029.t003	se	él	PRON
es001.s029.t004	comparó	comparar	VERB
es001.s029.t005	con	con	ADP
es001.s029.t006	gemcitabina	gemcitabina	NOUN
es001.s029.t007	(	(	PUNCT
es001.s029.t008	otro	otro	DET
es001.s029.t009	medicamento	medicamento	NOUN
es001.s029.t010	contra	contra	ADP
es001.s029.t011	el	el	DET
es001.s029.t012	cáncer	cáncer	NOUN
es001.s029.t013	)	)	PUNCT
es001.s029.t014	,	,	PUNCT
es001.s029.t015	ambos	ambos	NUM
es001.s029.t016	en	en	ADP
es001.s029.t017	combinación	combinación	NOUN
es001.s029.t018	con	con	ADP
es001.s029.t019	cisplatino	cisplatino	NOUN
es001.s029.t020	,	,	PUNCT
es001.s029.t021	en	en	ADP
es001.s029.t022	un	uno	DET
es001.s029.t023	estudio	estudio	NOUN
es001.s029.t024	en	en	ADP
es001.s029.t025	el	el	DET
es001.s029.t026	que	que	PRON
es001.s029.t027	participaron	participar	VERB
es001.s029.t028	1.725	1725	NUM
es001.s029.t029	pacientes	paciente	NOUN
es001.s029.t030	que	que	PRON
es001.s029.t031	no	no	ADV
